id,created_at,text
1067212135560896512,2018-11-27 00:22:55,"b'#SupportPelosi\nNancy Pelosi brings to the House\nNEEDED/IMPORTANT/NECESSARY SKILLS\n*An experienced,knowledgeable Spe\xe2\x80\xa6 https://t.co/kSWTcWbTCp'"
1066070476106149889,2018-11-23 20:46:22,b'#FridayFeeling\nThese are unprecedented times and Democracy\nremains at risk.\nTrump continues his attacks on the Cons\xe2\x80\xa6 https://t.co/5zCPJ1MtDM'
1066069770133561344,2018-11-23 20:43:34,"b'Trump\xe2\x80\x99s always demanded 100% loyalty from everyone\naround him,the loyalty is never reciprocated.\nHe\xe2\x80\x99ll throw anyone\xe2\x80\xa6 https://t.co/NiEdLHbOu5'"
1066059105243185153,2018-11-23 20:01:11,b'Trump\xe2\x80\x99s not above the Law....\nEven though he believes he is...\nEven though his Family believe they are... https://t.co/dFXOjoBWXD'
1066044426018013185,2018-11-23 19:02:51,"b'#SupportPelosi\nNancy Pelosi brings to the House:\nNEEDED and IMPORTANT SKILLS\n*An experienced,knowledgeable Speaker\xe2\x80\xa6 https://t.co/V8XT3NiTcL'"
1065714069729091587,2018-11-22 21:10:08,"b'RT @CyrusMMcQueen: I am honestly #thankful for each and every one of you who follow my daily diatribes, soul searching soliloquy\xe2\x80\x99s, comedic\xe2\x80\xa6'"
1065713937558265862,2018-11-22 21:09:37,"b'#thankful\nToday,Let\xe2\x80\x99s all be thankful....\nLet\xe2\x80\x99s all unite around our shared humanity.\nLet\xe2\x80\x99s remember we\xe2\x80\x99re all more\xe2\x80\xa6 https://t.co/Gx7w01PgTh'"
1065713491884032000,2018-11-22 21:07:51,"b'#thankful\nToday,when looking around the table at my beloved children and grandchildren enjoying the Holiday,I\xe2\x80\x99ll kn\xe2\x80\xa6 https://t.co/qXkTpqjia7'"
1065543999124135936,2018-11-22 09:54:20,b'#HappyThanksgiving2018\nThis year there\xe2\x80\x99s:\nGood news for Dems\nGood news for the future of Democracy.\nGood news again\xe2\x80\xa6 https://t.co/MA0R86FkA9'
1065542113314697216,2018-11-22 09:46:51,"b'#ThursdayMotivation\nToday,Let\xe2\x80\x99s be thankful\nLet\xe2\x80\x99s all unite around our shared humanity.\nLet\xe2\x80\x99s remember we\xe2\x80\x99re all mo\xe2\x80\xa6 https://t.co/wPbpHiz1kR'"
1065541575982411776,2018-11-22 09:44:43,"b'#ThursdayThoughts\nLater today, when looking around the table at my beloved children and\ngrandchildren,I\xe2\x80\x99ll know the\xe2\x80\xa6 https://t.co/hJXRqHQE08'"
1065541038872379392,2018-11-22 09:42:35,"b'#HappyThanksgiving2018\nLater today,when looking around the table at my beloved children and\ngrandchildren I\xe2\x80\x99ll know\xe2\x80\xa6 https://t.co/cQ1rIj9Oqp'"
1065512645393096704,2018-11-22 07:49:45,"b'RT @BarackObama: I am grateful for the next generation of leaders -- the young people who are tolerant, creative, idealistic and doing the\xe2\x80\xa6'"
1065433388750962689,2018-11-22 02:34:49,b'@Cinfulmc13 #SupportPelosi\nCritics of Leader Pelosi:\xe2\x80\x9dWe need younger blood\xe2\x80\x9d\nMORE IMPORTANT WE NEED:\n*An experienced\xe2\x80\xa6 https://t.co/EOxXoMfYTK'
1065432455933509632,2018-11-22 02:31:06,"b'Trump\xe2\x80\x99s message to the World murder\nAmerican\xe2\x80\x99s/American residents w/impunity,\nI\xe2\x80\x99m easily bought.\nWe no longer have\xe2\x80\xa6 https://t.co/eAmK44HY5g'"
1065430621600792576,2018-11-22 02:23:49,b'Instead say sorry for:\n*Spreading hate/fear/division\n*Ruining relationship w/Allies\n*Cozying up to Autocrats\n*Destr\xe2\x80\xa6 https://t.co/5i1Iy4SDqc'
1065428623166005248,2018-11-22 02:15:53,"b'@sandy06906 @maydaymindy9 Totally Agree\nI\xe2\x80\x99ve said this before there\xe2\x80\x99s no bottom to\nhis behavior,he\xe2\x80\x99ll take any acti\xe2\x80\xa6 https://t.co/RuR0VwDC4p'"
1065427141242875907,2018-11-22 02:09:59,b'@KidCasteel @CaptainResists @San_Resists @American_Blonde @GR8FL @ListenToEzra @lfkraus @exoticgamora\xe2\x80\xa6 https://t.co/JOP1FxiG6M'
1065425872071610368,2018-11-22 02:04:57,"b'\xe2\x80\x9cJohn Roberts\xe2\x80\x9d\nI\xe2\x80\x99ve said this before there\xe2\x80\x99s no bottom to\nhis behavior,he\xe2\x80\x99ll take any action to win,\nprotect his in\xe2\x80\xa6 https://t.co/EQYZiw3Uzo'"
1065424993272639488,2018-11-22 02:01:27,"b'As soon as I began Tweeting,I\xe2\x80\x99ve shouted my alarm.\nHe hates Democracy/admires tyrannical Gov.\nHe\xe2\x80\x99s brutally attacki\xe2\x80\xa6 https://t.co/sCVxAM7h4D'"
1065420762587238400,2018-11-22 01:44:39,b'No words necessary... https://t.co/Z3yI1ED5t9'
1065420449348235265,2018-11-22 01:43:24,"b'Excellent review,captures the beautiful essence of\nof her book and the depth of Michelle Obama\xe2\x80\x99s \nexperience and me\xe2\x80\xa6 https://t.co/FaEcvSnoTZ'"
1065419434318286848,2018-11-22 01:39:22,b'Must Read!\nThese are unprecedented times and Democracy\nremains at risk.\nTrump continues his attacks on the Constitu\xe2\x80\xa6 https://t.co/Ns60SomBXZ'
1065417583212535810,2018-11-22 01:32:00,"b'Ivanka and the Trump family are both ignorant and\narrogant,acting as if they\xe2\x80\x99re autocrats ruling the\nU.S.\nThey beli\xe2\x80\xa6 https://t.co/GrCiPArCCP'"
1065415886973095936,2018-11-22 01:25:16,b'I\xe2\x80\x99m troubled by the newly elected Dems\nwho put self interest before what\xe2\x80\x99s best for\nthe Dem Party and the Nation.\nI\xe2\x80\xa6 https://t.co/SBhJiJKXG4'
1065414856713609223,2018-11-22 01:21:10,b'Trump in his ignorance and arrogance views himself as the King.\nHe believes that everyone in the Government\nis his\xe2\x80\xa6 https://t.co/vcgQY4uFFz'
1065410197051588608,2018-11-22 01:02:39,b'#ThanksgivingEve\nLet\xe2\x80\x99s be thankful\n\xf0\x9f\x91\x89Let\xe2\x80\x99s all unite around our shared humanity.\n\xf0\x9f\x91\x89Let\xe2\x80\x99s remember we\xe2\x80\x99re all more alik\xe2\x80\xa6 https://t.co/4AiaJT8NWb'
1065405988763836418,2018-11-22 00:45:56,"b'@MonikaBenyamen #SupportPelosi\nThese are unprecedented/frightening times.\nYes,we took the House,but it\xe2\x80\x99s one battle\xe2\x80\xa6 https://t.co/xwP6DX9D47'"
1065405909793419275,2018-11-22 00:45:37,b'RT @MonikaBenyamen: I\xe2\x80\x99m throwing a #FBRParty to help all of you connect with fellow resisters! I WILL follow back! \xf0\x9f\x92\x99\xf0\x9f\x8c\x8a\n\n1 Like\n2 Retweet\n3 F\xe2\x80\xa6'
1065405817636179968,2018-11-22 00:45:15,"b'@music_election #SupportPelosi\nThese are unprecedented/frightening times.\nYes,we took the House,but it\xe2\x80\x99s one battle\xe2\x80\xa6 https://t.co/rPEawuwDHi'"
1065405726275895296,2018-11-22 00:44:54,"b""RT @music_election: I'm ready for a (blue) wave of support. \nThis is my #FBRParty \n#FollowBackResistance\n\nI'll follow you back if you follo\xe2\x80\xa6"""
1065405644344385537,2018-11-22 00:44:34,"b'@CarissaBonham #SupportPelosi\nThese are unprecedented/frightening times.\nYes,we took the House,but it\xe2\x80\x99s one battle\xe2\x80\xa6 https://t.co/FhYCc2ckKu'"
1065405532922626048,2018-11-22 00:44:07,b'RT @CarissaBonham: This is my first #FBRParty\n\nI am sick of the #TrumpCrimeFamily and the republicans who have lost their damn minds. \n\nLet\xe2\x80\xa6'
1065405218924490752,2018-11-22 00:42:53,"b'@ResisterRachel #SupportPelosi\nThese are unprecedented/frightening times.\nYes,we took the House,but it\xe2\x80\x99s one battle\xe2\x80\xa6 https://t.co/8wvD9oRxio'"
