id,created_at,text
1067497267136004096,2018-11-27 19:15:56,b'RT @COOLJINZO: My favourite bit from that Scots language social video https://t.co/SE6perBnyh'
1067482223849455616,2018-11-27 18:16:09,"b'RT @TheHoshuah: for my fellow nerds, geeks, and Gryffindors. the time has come. https://t.co/sbgcXRom3T'"
1067482117439918082,2018-11-27 18:15:44,b'RT @COOLJINZO: This is jaw-dropping! https://t.co/x3d6ITwc7P'
1067468765938499587,2018-11-27 17:22:41,b'event &amp; info https://t.co/29GJSf5yEF'
1067468617757966336,2018-11-27 17:22:05,b'Truly thrilled to be sharing the stage with TIFFANY @tiffanytunes next Wednesday @thehugandpint! https://t.co/TwjYKzw7dV'
1067461993421045760,2018-11-27 16:55:46,b'@ryanjamesclark_ Ryan...... please......'
1067461925687169031,2018-11-27 16:55:30,b'RT @ryanjamesclark_: @COOLJINZO sending this to your mom'
1067451761236029441,2018-11-27 16:15:06,"b""RT @NightSchoolRecs: Our New Year's Party @stereoglasgow will have SACRED PAWS @sacredpawsltd @rockactionrecs and the debut gig by PATIENCE\xe2\x80\xa6"""
1067451742474956800,2018-11-27 16:15:02,b'RT @GraceSpelman: @COOLJINZO @Buncahn I\xe2\x80\x99m cryin dude'
1067326049262989312,2018-11-27 07:55:34,b'https://t.co/nHrkTP5ZYx'
1067311560824102912,2018-11-27 06:58:00,b'My favourite bit from that Scots language social video https://t.co/SE6perBnyh'
1067299030525456384,2018-11-27 06:08:12,b'This is jaw-dropping! https://t.co/x3d6ITwc7P'
1067292259144663042,2018-11-27 05:41:18,b'https://t.co/11y0dlF0DH'
1067252347150221317,2018-11-27 03:02:42,"b'RT @COOLJINZO: I have it on good authority that the crucifixion of our lord Jesus Christ involved cock/ball torture, and he died from happi\xe2\x80\xa6'"
1067092306862530563,2018-11-26 16:26:46,b'RT @JohnSkelton: @COOLJINZO If you were announcing the films I would go to every screening'
1067091770868142080,2018-11-26 16:24:38,"b""i'm fully prepared to do this, but if i say yes will they think i'm an idiot and not hire me? this happened when ap\xe2\x80\xa6 https://t.co/nh4VjcwRxd"""
1067091302871965696,2018-11-26 16:22:46,"b'applying to work at odeon, is this a trick question? do i say no? https://t.co/J7GrbllYxV'"
1067088740751982599,2018-11-26 16:12:36,"b'RT @COOLJINZO: Hello! I am skint and trying desperately to find money to get me by til somebody eventually hires me, so I have put this alb\xe2\x80\xa6'"
1066942579340705792,2018-11-26 06:31:48,"b'RT @CountCaleb: @COOLJINZO Whenever u send it to a lady it gets across ""yes I\'m horny. No I\'m not ashamed. Yes I know u will ghost me""'"
1066927153000923136,2018-11-26 05:30:30,b'@CountCaleb with out a doubt!!!'
1066860368553750531,2018-11-26 01:05:07,b'Officially ready for #WWEStarrcade https://t.co/NkrHifpQzV'
1066488350725541888,2018-11-25 00:26:51,b'turns out brandon has got piles as well! unreal'
1066446767686934530,2018-11-24 21:41:37,"b""I'm looking to find a job in the wrestling business! If anyone can point me in the right direction it would be great"""
1066418142480687111,2018-11-24 19:47:52,b'RT @KieranJMcl: @COOLJINZO https://t.co/pekh8rk6J3'
1066409416789057537,2018-11-24 19:13:12,b'this spaghetti and meatballs recipe will make you cum'
