id,created_at,text
1067527140843970561,2018-11-27 21:14:38,b'RT @KaylarWill: .....what America has always been..... https://t.co/KwJfYppjEt'
1067527020295401472,2018-11-27 21:14:09,b'Did y\xe2\x80\x99all fucking know that young cats can get ACNE!! Hades has legit acne on her chin! We didn\xe2\x80\x99t know what it was\xe2\x80\xa6 https://t.co/Kg7l6su3xf'
1067513049383403521,2018-11-27 20:18:39,"b'RT @connorhannigan4: moms during december:\n\nme: \xe2\x80\x9cmom, i need more toothpaste\xe2\x80\x9d \n\nmom: \xe2\x80\x9cokay, but it\xe2\x80\x99s going to be part of your Christmas pre\xe2\x80\xa6'"
1067512504723611648,2018-11-27 20:16:29,b'RT @JennMays2: This is a great quote \xf0\x9f\x98\x82 https://t.co/HbyGxr4Igd'
1067512410662154240,2018-11-27 20:16:06,b'RT @Jstlivinbbyy: SAYIN LESS IS ACTUALLY SAYIN THE MOST! https://t.co/rFwwbRR9Lr'
1067508213548032000,2018-11-27 19:59:26,b'RT @QUEERBAlTER: 12 year old me felt that shit and i hadn\xe2\x80\x99t even had my heart broken yet https://t.co/cC4aEsBQME'
1067507390566801409,2018-11-27 19:56:09,b'Why https://t.co/V9YkrweA3A'
1067506054399836160,2018-11-27 19:50:51,b'RT @yunggmulan: how you support the death penalty AND be pro life??? \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94'
1067503374810193926,2018-11-27 19:40:12,"b'RT @mama2roman: i\xe2\x80\x99m a huge advocate for gentle parenting, of course i don\xe2\x80\x99t know what it\xe2\x80\x99s like yet to have a toddler that talks back or do\xe2\x80\xa6'"
1067503323727740934,2018-11-27 19:40:00,b'RT @davidsiders: . @BetoORourke acknowledges he has changed his answer on #2020 ... now not ruling it out https://t.co/sYGsSncdHl'
1067488042875801600,2018-11-27 18:39:17,"b""RT @itsbarbielx: Do y'all report your friends when they do rapey shit? or your homeboy who sells fentanyl cut cocaine? or your other boy th\xe2\x80\xa6"""
1067487211434795009,2018-11-27 18:35:58,b'RT @jovanhiII: you tellin me a shrimp fried this rice'
1067484864516100096,2018-11-27 18:26:39,"b'RT @prncessdiaries: HONESTLY if u were a book stan during 2012-2015 u had a good life. like hunger games, catching fire, the fault in our s\xe2\x80\xa6'"
1067484748208058368,2018-11-27 18:26:11,b'RT @TyBone4: This is how I mine my own business https://t.co/qpt7kiJcPX'
1067340429107052544,2018-11-27 08:52:43,b'RT @AnnaKendrick47: Holy shit. I just remembered I was in Twilight.'
1067197420516323330,2018-11-26 23:24:27,b'RT @_Melaninjunkie: These the best fucking sugar cookies known to man kind and it\xe2\x80\x99s really not up for debate https://t.co/XvjEWhWpPQ'
1067197329890074624,2018-11-26 23:24:05,"b'RT @ImWithLenin: Siri, show me: White privilege. https://t.co/oKpnfOwG5E'"
1067197168656764928,2018-11-26 23:23:27,b'RT @dvmnjavi: the Grinch is a heavy mood https://t.co/jO4GJQa4Qt'
1067180522697306113,2018-11-26 22:17:18,b'RT @caixjohnson: Bruh I\xe2\x80\x99d lose my mind https://t.co/B5mdtPCyWh'
1067179347369492480,2018-11-26 22:12:38,b'Had some coffee and smoked! https://t.co/rkT4mOHesS'
1067178786440003585,2018-11-26 22:10:24,b'RT @mineifiwildout: watch him jump https://t.co/hkNTHuV1yR'
1067157115582713872,2018-11-26 20:44:17,b'Angela is just in a bad mood today so she keeps crying. My cats are acting like crackheads. Zac isn\xe2\x80\x99t home. I\xe2\x80\x99m losing my shit right now.'
1067149678318362624,2018-11-26 20:14:44,b'Everything is ruining my fucking day'
1067146722877542406,2018-11-26 20:03:00,"b'RT @NytheBOSS: We teach girls to shrink themselves\nTo make themselves smaller\nWe say to girls\n""You can have ambition\nBut not too much\nYou s\xe2\x80\xa6'"
1067143737334206475,2018-11-26 19:51:08,"b'RT @sadgirlkms: ppl be like \xe2\x80\x9cis it really fair to judge someone based on their beliefs, choices, and actions?? :/\xe2\x80\x9c'"
1067143118263332864,2018-11-26 19:48:40,"b'RT @aquacados: Idk why calling people by their preferred pronouns/name is so hard for y\xe2\x80\x99all? You call someone by their preferred nick name,\xe2\x80\xa6'"
