id,created_at,text
1067546339456819201,2018-11-27 22:30:56,b'https://t.co/rR9npAzf14'
1067453448491274240,2018-11-27 16:21:49,b'https://t.co/K9jv7pY6BS'
1067279991501717505,2018-11-27 04:52:33,"b'I do love Jimin with all my heart and soul. \xf0\x9f\x98\x94\xe2\x9c\x8a\xf0\x9f\x92\x9c @BTS_twt\n\nI do love ARMY too, we are one. https://t.co/1rwpP2rSwW'"
1067274753919148032,2018-11-27 04:31:44,b'https://t.co/UkKFvrzaU4'
1067274351257534464,2018-11-27 04:30:08,"b'So ""Jungkook hyung"" will be a great new experience soon'"
1067166262709620736,2018-11-26 21:20:38,b'https://t.co/WTpefXU2wL'
1067101197994217473,2018-11-26 17:02:06,b'https://t.co/sW8pzZFNkY'
1067039736336924672,2018-11-26 12:57:52,b'https://t.co/tv9Ta70i9H'
1066716705630625797,2018-11-25 15:34:15,b'https://t.co/tbciqfH0aW'
1066715883064754177,2018-11-25 15:30:59,b'Idk why but every quote @luvbangtanx does from my tweets makes me smile because it always appears on my notificatio\xe2\x80\xa6 https://t.co/H9W8dgTwu6'
1066714183163625472,2018-11-25 15:24:14,"b""@trvthvntold Don't worry I did it! Thank you for understanding"""
1066713310102462464,2018-11-25 15:20:46,b'@sagejimin Yes!'
1066713259057795072,2018-11-25 15:20:34,"b'@trvthvntold I did not know about it, I saw it on a kkt room \xf0\x9f\x99\x81 i just left work and ugh, nvm'"
1066712402513801216,2018-11-25 15:17:09,"b""OMG, I thought it was good to post the video, ugh. Always me doing something wrong \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc don't be so mean to me, you can be talk polite \xf0\x9f\x99\x84"""
1066707117506289664,2018-11-25 14:56:09,b'https://t.co/gD0MYp59CL'
1066606321183666176,2018-11-25 08:15:38,b'https://t.co/5EDlzxoUkr'
1066589622401146880,2018-11-25 07:09:16,b'181125 HD https://t.co/mR3NiIWVjU'
1066552021103316992,2018-11-25 04:39:52,b'https://t.co/hbZDHfLwjD'
1066551925997531136,2018-11-25 04:39:29,"b""RT @heyhoneybee_: So K media said Jin is the Dorito man because his big shoulders and his tiny waist. \n\nI'm into this, let's trend it @BTS_\xe2\x80\xa6"""
1066538938058313733,2018-11-25 03:47:52,b'https://t.co/hwSx87ij0j'
1066538810119516160,2018-11-25 03:47:22,b'Where the nams fs pics are? I feel betrayed https://t.co/hU9tlEwJYh'
1066530905731358721,2018-11-25 03:15:57,"b""REMINDERS FOR JIN\xe2\x80\x99S BDAY!\n\n1. CHANGE UR ICON TO JIN'S PIC\n\n2. WE'LL TREND:\n\xe2\x80\x93#/OurEpiphanyJin\n\xe2\x80\x93#/ShiningAndPreciousJ\xe2\x80\xa6 https://t.co/DPeyfJSrca"""
1066529663340765185,2018-11-25 03:11:01,b'RT @AgustDTownPics: 181125  HQ https://t.co/XPRfs30dpx'
1066524974394032133,2018-11-25 02:52:23,b'181125 #\xeb\xb0\x95\xec\xa7\x80\xeb\xaf\xbc https://t.co/IBnj3KS4QV'
1066524855678394370,2018-11-25 02:51:55,b'RT @hoseokxpictures: 181125 to Korea #\xec\xa0\x9c\xec\x9d\xb4\xed\x99\x89 https://t.co/RWejIuqwQs'
1066523214262738944,2018-11-25 02:45:23,b'181125 \n#\xeb\xb0\x95\xec\xa7\x80\xeb\xaf\xbc https://t.co/Ns9Dl0cFbS'
1066522090440933376,2018-11-25 02:40:56,b'181125 to Korea https://t.co/OPlS7KTUIr'
1066521817265905664,2018-11-25 02:39:50,b'BTS are leaving to Korea \xf0\x9f\x92\x9c\xf0\x9f\x98\xad'
1066521481566400515,2018-11-25 02:38:30,b'RT @AgustDTownPics: 181125 https://t.co/btqBK1bwmZ'
1066520918254596096,2018-11-25 02:36:16,b'RT @hoseokxpictures: https://t.co/GPAg3cMOcs'
1066520897849356288,2018-11-25 02:36:11,b'RT @AgustDTownPics: https://t.co/sRWN2KeJHa'
1066516876916940800,2018-11-25 02:20:13,b'https://t.co/D7YwlQhhKs'
