id,created_at,text
1066228507020222466,2018-11-24 07:14:20,b'Want to protect luke from haunting of hill house \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xe2\x9d\xa4\xef\xb8\x8f my baby'
1064280076580057089,2018-11-18 22:11:58,b'Ace Base Face.. God I love SHINee'
1064025311463923712,2018-11-18 05:19:37,"b""I am looking through his pictures and all my folders and my heart hurts so much.. Why can't this pain ever go away\xe2\x80\xa6 https://t.co/O72D8QiHGp"""
1064025151342227457,2018-11-18 05:18:59,"b""Ahhh today is one of those days where I can't stop crying... I miss jonghyun so much. I miss him. I miss him dearly"""
1064019395293306881,2018-11-18 04:56:07,b'RT @almightykeybeom: #Key will be recording for KBS \xe2\x80\x98Hello Counselor\xe2\x80\x99 today and will be aired on Nov. 26!'
1057397607155171328,2018-10-30 22:23:29,b'Lol the names on the front on the season greetings.. Thanks for the reminder I guess'
1056087108861878272,2018-10-27 07:36:02,b'RT @BAP_Youngjae: Aitai!! https://t.co/NxbUduA4DP'
1056086728333701120,2018-10-27 07:34:31,b'@WhisperOnew \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1056086704283508736,2018-10-27 07:34:26,b'@WhisperOnew Same \xf0\x9f\x98\xad\xf0\x9f\x98\x98\xe2\x9d\xa4\xef\xb8\x8f'
1055267926515712000,2018-10-25 01:20:54,"b""Happy birthday to my fav person my personal sunshine @WhisperOnew. I'm so blessed to have this cupcake in my life.\xe2\x80\xa6 https://t.co/YpmFGjppU0"""
1055267189614202880,2018-10-25 01:17:58,b'@WhisperOnew And your birthday'
1054130996684087296,2018-10-21 22:03:09,b'@bangbummie I MISSED YOU SO MUCH https://t.co/FhVIhx0y8S'
1054130476976287745,2018-10-21 22:01:05,b'@ReemChangmin \xf0\x9f\x98\x94\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1053996225039491072,2018-10-21 13:07:37,b'RT @onewjk89: [yoontaehwi_ IG]\n\n\xec\xa0\x9c\xec\xa3\xbc\xeb\x8f\x84\xec\x99\x80\xec\x84\x9c \xeb\xb3\xb4\xea\xb3\xa0\xec\x8b\xb6\xeb\x8b\xa4\xea\xb3\xa0 \xec\x97\xb0\xeb\x9d\xbd\xec\x98\xa8 \xec\x9a\xb0\xeb\xa6\xac \xec\xa7\x84\xea\xb8\xb0 ~\xc2\xa0\n\xeb\xb3\xbc\xeb\x95\x8c\xeb\xa7\x88\xeb\x8b\xa4 \xec\x9e\x98\xec\x83\x9d\xea\xb8\xb0\xea\xb3\xa0 \xec\x9d\xb4\xec\x81\x98\xea\xb3\xa0 \xec\xb0\xa9\xed\x95\x9c \xec\x9a\xb0\xeb\xa6\xac \xec\xa7\x84\xea\xb8\xb0\xc2\xa0\n\n#\xec\x98\xa8\xec\x9c\xa0 #ONEW https://t.co/RmZLbMIBV8'
1053996073021140992,2018-10-21 13:07:00,b'@bangbummie My precious ROCIO'
1053995283158188032,2018-10-21 13:03:52,"b""I love jonghyun so much, honestly I don't think I'll find someone so genuine so passionate so real so smart like him..."""
1053960109724844033,2018-10-21 10:44:06,b'@WhisperOnew I should watch it!'
1053958854994669568,2018-10-21 10:39:07,b'I love him'
1053958797432041472,2018-10-21 10:38:53,b'I miss him so much. I miss him :('
1053958695988514818,2018-10-21 10:38:29,b'RT @Enxrima: Just read part of Jonghyun\xe2\x80\x99s Master\xe2\x80\x99s thesis/diploma work. He compared musicals with pop concerts. For musicals he chose \xe2\x80\x9cAida\xe2\x80\xa6'
1053958651084296192,2018-10-21 10:38:18,"b""Jonghyun's thesis... My baby"""
1048136272269598721,2018-10-05 09:02:15,b'@ChrisEvans No please stay forever \xf0\x9f\x98\xad'
1045073839963525120,2018-09-26 22:13:14,b'RT @Little_Freak_K: 20170926 our princess Roo \xe2\x9c\xa8\xf0\x9f\x8c\x99 https://t.co/nueJeltFPi'
1043533121994481664,2018-09-22 16:10:58,b'RT @Liang_elf: Happy birthday to our precious Key\xf0\x9f\x94\x91\xf0\x9f\x92\x8e\xe2\x9d\xa4\n#\xea\xb8\xb0\xeb\xb2\x94\xec\x95\x84\xec\x83\x9d\xec\x9d\xbc\xec\xb6\x95\xed\x95\x98\xed\x95\xb4 #\xea\xb8\xb0\xeb\xb2\x94\xec\x9d\xb4\xec\x9d\x98_28\xeb\xb2\x88\xec\xa7\xb8_\xec\xb0\xac\xeb\x9e\x80\xed\x95\x9c\xea\xb0\x80\xec\x9d\x84 #HappyKeyday  #HAPPY_KEYs_DAY  #HappyBirthdayKey #SHINee #\xec\x83\xa4\xe2\x80\xa6'
1043533119553331200,2018-09-22 16:10:58,b'Happy birthday to this beautiful soul. We are so gifted to have him. The biggest source of support these past few m\xe2\x80\xa6 https://t.co/m8QQvX2j95'
1043532688626397184,2018-09-22 16:09:15,"b""RT @soompi: Happy Birthday to #SHINee's Key! #HappyKeyDay! \xf0\x9f\x8e\x89 Catch up with him: https://t.co/JF4pA9GRcf https://t.co/8Xb473XRTg"""
