id,created_at,text
1067563017225863168,2018-11-27 23:37:12,b'@cheyNalexander @tr3wayrobbi Okay baby \xf0\x9f\x98\x82'
1067562890906009600,2018-11-27 23:36:42,b'@KobeCantTweet Sheesh \xf0\x9f\x98\x82'
1067530978497843201,2018-11-27 21:29:53,"b""@BDEEZUS Well as long as she watches it with me, I'll still buy my fianc\xc3\xa9 the laptop."""
1067530853964804098,2018-11-27 21:29:24,"b""@tr3wayrobbi I would if it was used for anything but the two things I said. It's for my fianc\xc3\xa9"""
1067530050776502273,2018-11-27 21:26:12,b'RT @iiTonyMontana: @TrueReligion is giving me a opportunity for a free Christmas gift \xf0\x9f\x98\x8f! Retweet this one up for me my mut buddies !! https\xe2\x80\xa6'
1067529960984842241,2018-11-27 21:25:51,"b""Someone link me a laptop. It'll be used for web browsing and editing pictures. So whatever works for that \xf0\x9f\x98\x82"""
1067491929968005120,2018-11-27 18:54:43,b'Vote for my guy @squirrelsheep \nSupport the community \xe2\x9d\xa4\xef\xb8\x8f https://t.co/WHut8LgDPA'
1067297221492830208,2018-11-27 06:01:01,b'@csmilinich88 @mine_mut Big facts!'
1067294464887132160,2018-11-27 05:50:04,b'@TheRealScout13 @puhlowmuh @FatKidDeals Be the plug and screenshot what you talking about for us dummies lol'
1067256454695002112,2018-11-27 03:19:02,"b""@Go_On_Volt I just copped the smart strips for Alexa \xf0\x9f\x92\x80\nI'm big lazy"""
1067254491483906050,2018-11-27 03:11:14,b'@Tr3yFiv5 Dude I need tonpay closer attention to FKD cause I missed out and bought 2 tall boys for retail price'
1067253983176286208,2018-11-27 03:09:12,"b""@iJapanda_ @Kingg_Prod @vvStyL @Ninja Regardless it's funny."""
1067253599745511424,2018-11-27 03:07:41,b'@Tr3yFiv5 I was thinking of doing the echo dot 2 with the smart plug. They have them on sale for decently cheap'
1067253416513159168,2018-11-27 03:06:57,b'@_Driggers_ \xf0\x9f\x91\x80\xf0\x9f\x91\x80'
1067253383487242241,2018-11-27 03:06:49,b'@Tr3yFiv5 @PlayLine I wanna know where these break companies and shit get their signed jerseys so cheaply.'
1067252691850747905,2018-11-27 03:04:04,b'@Go_On_Volt I just ordered some for my set up. Thought it looked bland without it'
1067252583230840832,2018-11-27 03:03:39,"b""@_Driggers_ We've thought about the beanies and hoodies"""
1067252500493946880,2018-11-27 03:03:19,"b""@garrett_grever Dude I've got a video of my 2 year old son taking 7th place in a Fortnite game. He legit landed and\xe2\x80\xa6 https://t.co/8s8LGHEfOD"""
1067251809520156672,2018-11-27 03:00:34,b'@garrett_grever Doing gifts for the community now brother.'
1067251661733855234,2018-11-27 02:59:59,"b""@Tr3yFiv5 I do have my old HD60 so I wouldn't even need a new one. Jersey is a good idea!"""
1067251532847083520,2018-11-27 02:59:28,b'@Andres_24_35 Bet!'
1067251481240317952,2018-11-27 02:59:16,"b""@ironsouthpaw22 As soon as this copy gets here I've already got a giveaway coming for that lol"""
1067251398461534209,2018-11-27 02:58:56,"b""@mine_mut You're telling me you sold coins to an inactive account? Come on man, as if people won't see that it's a\xe2\x80\xa6 https://t.co/XoeH2CNeeI"""
1067250737183371264,2018-11-27 02:56:18,b'Taking ideas for the Christmas 12 Days of Giveaways I do every year. No longer playing this year so it will have to\xe2\x80\xa6 https://t.co/niwowPHSgs'
1067249901271171073,2018-11-27 02:52:59,b'@iim_riskyy @SmooveParker35 Thats the guy who was talking shit to you yesterday. Dawg back in your dick now? Lol'
1067241232986972161,2018-11-27 02:18:32,b'@JeremySchultz90 @iim_riskyy @EASPORTS_MUT What situation brother'
1067210898534793216,2018-11-27 00:18:00,b'@snap_attack97 Ask brothe r'
1067154694458548224,2018-11-26 20:34:40,"b""@KobeCantTweet @imdavisss @MarioHTXX I've heard of the brick message (it can happen on any console) and obviously b\xe2\x80\xa6 https://t.co/1OlZyDhnqE"""
1067153893635821582,2018-11-26 20:31:29,"b""@KobeCantTweet I haven't had any of these issues, what the hell? Lol"""
1067153612361617410,2018-11-26 20:30:22,"b""@ScottColeShow @RG_Madden Calling games would be fun but I'm sure I'm the last person EA wants calling games \xf0\x9f\x98\x82"""
1066867514225934337,2018-11-26 01:33:31,b'@J_Kennedy_81 I actually QUIT QUIT. Lol'
1066857703287504904,2018-11-26 00:54:32,"b""@SuddenRadiation If it's open.. Am I right? Lol"""
1066841770158362624,2018-11-25 23:51:13,"b'Shoutout to my guy @ToKeNasty for taking the time to make sure the site he sponsors, pays those who support him. Do\xe2\x80\xa6 https://t.co/59juMXQ2iY'"
1066839914187317248,2018-11-25 23:43:51,"b""@Terealdeathly @MaddenStore You're welcome, be sure to thank Toke as well."""
1066838197995491333,2018-11-25 23:37:01,"b""@MutGod925 @garrett_grever @iim_riskyy @ToKeNasty @YT_AndrewTV @MaddenStore First I was shit, now I'm not shit? Wel\xe2\x80\xa6 https://t.co/W3WRxy3hRx"""
1066831046107430912,2018-11-25 23:08:36,b'@GrandEqualizer @MaddenStore My man \xe2\x9d\xa4\xef\xb8\x8f'
1066830695450972160,2018-11-25 23:07:13,"b""@SmooveParker35 @iim_riskyy @ToKeNasty Lemme stop you there. Don't kiss a mans ass for the follow. You should only\xe2\x80\xa6 https://t.co/7G2u8tM1ob"""
1066828770181619712,2018-11-25 22:59:34,"b""@ColbyNorman11 We are trying to adjust our prices accordingly but it's super hard to compete with a site that doesn\xe2\x80\xa6 https://t.co/wCulOBoSko"""
1066828037067603981,2018-11-25 22:56:39,"b""@Terealdeathly @MaddenStore And they won't either. \xf0\x9f\x98\xb4"""
1066827675501805569,2018-11-25 22:55:13,"b'@NYGfootballkev They should be, because their supporters are being fucking robbed.'"
1066827015502876672,2018-11-25 22:52:35,"b""@NYGfootballkev I've had multiple tell me they haven't been paid"""
1066826303683215360,2018-11-25 22:49:46,"b""Y'all should deadass tag some of their sponsors and let's gauge the opinion of them."""
1066825871569403911,2018-11-25 22:48:03,"b""@MantisRoger @MaddenStore Let's ask some how they feel shall we?"""
1066825548607995906,2018-11-25 22:46:46,"b'@Terealdeathly @MaddenStore After 4 years of selling to them, and now having to wait... how do you feel? Feel scamm\xe2\x80\xa6 https://t.co/z7lX0Yn5fE'"
1066824904681635842,2018-11-25 22:44:12,"b'@MutMayweather @MaddenStore Read the thread, the guy was wrong lol'"
1066824849199427585,2018-11-25 22:43:59,"b""@MantisRoger @MaddenStore Fun fact, I've had multiple of those youtubers looking to leave them and come to RBM beca\xe2\x80\xa6 https://t.co/1NhNcguJVg"""
1066823851525500929,2018-11-25 22:40:01,"b""Seriously, how can people defend a company (@maddenstore) who is clearly not paying their suppliers and haven't for\xe2\x80\xa6 https://t.co/Do4dNBJoVg"""
1066823407705210880,2018-11-25 22:38:15,"b""@Zirksee @BerrystrongMUT @MaddenStore @RockBottomMUT @iim_riskyy It's 100% been confirmed that you along with hundr\xe2\x80\xa6 https://t.co/uaaHftUo4f"""
1066516582845825024,2018-11-25 02:19:02,b'@BigBallerCam_ Thank you \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd\nI was super nervous the house would catch fire lol'
1066515764050575360,2018-11-25 02:15:47,"b""First turkey I've ever deep fried and it was a wonderful success. \xf0\x9f\x8d\xbb https://t.co/eRc3ffNwe3"""
