id,created_at,text
1064801956437417984,2018-11-20 08:45:44,b'RT @JustinVisuals: if anyone is Christmas shopping for me\n\nI wear a size\n7 day carribean cruise'
1064596398266552321,2018-11-19 19:08:55,b'@BriannHouser Oh I know. SAME.'
1064595643237376008,2018-11-19 19:05:55,b'This happened last night bc I found @BriannHouser at the bar\xf0\x9f\x98\x85 https://t.co/ZFe2Dn7kfb'
1063264666997194753,2018-11-16 02:57:05,b'Do you remember when you joined Twitter? I do! #MyTwitterAnniversary My life has now been consumed for 6 years..\xf0\x9f\x99\x83 https://t.co/qTR5DDsKqx'
1062867711028588544,2018-11-15 00:39:44,b'RT @jenniferchappy: why is the question coke or pepsi when dr pepper is the answer'
1062866661085192192,2018-11-15 00:35:33,b'@Layne0122 I\xe2\x80\x99m glad you\xe2\x80\x99re better at your math now. Lol'
1062676355173769216,2018-11-14 11:59:21,b'Nursing school at its finest. https://t.co/eklNx3TrlS'
1062568232266145794,2018-11-14 04:49:42,b'Setting my 5am alarm for the last time this semester\xf0\x9f\x98\xad I\xe2\x80\x99m so happy.'
1062565862312419329,2018-11-14 04:40:17,b'RT @samie_mcgowan: HOW TO TIP YOUR SERVER:\nYour bill =105.47\nMove the decimal over one = 10.54\nThen times it by 2 = 21.08\nYour final total\xe2\x80\xa6'
1061876209313857536,2018-11-12 06:59:51,"b'RT @_StillDoinIt: Dear Apple,\n\nCan you please put the \xe2\x80\x9cflip camera\xe2\x80\x9d button for FaceTime back in it\xe2\x80\x99s original spot \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'"
1061853031841574912,2018-11-12 05:27:45,"b'RT @beavers_brennan: ""There are plenty of fish in the sea, but you know what else is in the sea? Trash, there is alot of trash in the sea a\xe2\x80\xa6'"
1061419682551549952,2018-11-11 00:45:47,b'RT @imsunscott: accidentally made the best acoustic version of HOTLINE BLING https://t.co/nizAU66nIl'
1060139048034074624,2018-11-07 11:57:00,b'RT @caseyjones_: I TOOK MY HIGH SCHOOL BODY FOR GRANTED AND I REGRET IT EVERY DAY.'
1060003226228060162,2018-11-07 02:57:17,b'RT @ttucheer: \xf0\x9f\x91\x80 on the \xf0\x9f\x8f\x86 #bbtb #ctnod #sneakpeak #coed https://t.co/sAELbjNYva'
1058824022367092737,2018-11-03 20:51:33,b'Nick knew I was having a bad day and surprised me with flowers at work\xf0\x9f\x98\xad\xf0\x9f\x98\x8d'
1058456701953810433,2018-11-02 20:31:57,b'RT @JuiceTooWavie: October just ended and im already stressing on how i have to get ready to start getting people\xe2\x80\x99s christmas gifts'
