id,created_at,text
1066866873009094661,2018-11-26 01:30:58,b'RT @nicksonr_: why the Grinch wanted to live alone with his dog https://t.co/5tv0xmuUr1'
1066814361841233920,2018-11-25 22:02:18,b'send me your fackin money  https://t.co/f2a00m17YX'
1066760881546113025,2018-11-25 18:29:48,b'yes https://t.co/IYEAWOCcm1'
1064895751296303104,2018-11-20 14:58:26,b'RT @cutswish: this pussy? designer. Cucci if you will'
1064357334246395905,2018-11-19 03:18:57,b'RT @itstatyannag: Me when I hear Fleetwood Mac in public https://t.co/AK6ebhEXVC'
1064287859220328448,2018-11-18 22:42:53,b'hi i am extremely excited for christmas (only 37 days left) @ Toronto Santa Claus Parade https://t.co/mKqYeyMsrl'
1063195319956111361,2018-11-15 22:21:32,b'RT @try2shootusdown: migos and james corden bopping to i wanna dance with somebody is exactly what you needed to see today https://t.co/S36\xe2\x80\xa6'
1062919633068531712,2018-11-15 04:06:03,"b'RT @addiegaff: This is horrifying. And it\xe2\x80\x99s not \xe2\x80\x9chazing\xe2\x80\x9d, it\xe2\x80\x99s sexual assault and torture. https://t.co/Ixy4rYKvpz'"
1062733579271135232,2018-11-14 15:46:44,b'RT @lilonedrop: Y\xe2\x80\x99all paid for this and I can see this on Sherborne for free https://t.co/mgRgPZdKTy'
1062098006432976897,2018-11-12 21:41:12,"b""RT @Diddy: Honesty saves everyone's time."""
1062095591923204096,2018-11-12 21:31:36,b'RT @commiekimmie9: lmfaooo men discovering empathy is the funniest shit to me https://t.co/byOEk08jZT'
1060999362199859206,2018-11-09 20:55:35,"b'RT @KAWAllLYN: ima just ""hehe"" my way thru life'"
1060053061366882304,2018-11-07 06:15:19,b'ME LMFAOOOOOOO https://t.co/dU5naiLCmU'
1059268823189254144,2018-11-05 02:19:02,"b'thank u, next https://t.co/b8MjVVKThM'"
1058748887505297408,2018-11-03 15:53:00,b'story of my life https://t.co/NTdpzp48jq'
1058537455681302528,2018-11-03 01:52:50,b'RT @katanasIice: Misery Business is just SICKO MODE for emo kids'
