id,created_at,text
1067659279069401089,2018-11-28 05:59:42,b'RT @loopsofelris: (\xe2\x9a\xa0\xef\xb8\x8e) someone reported me to the dean of students because I was suspected of sleeping with my teacher for money which is n\xe2\x80\xa6'
1067658540972560384,2018-11-28 05:56:46,"b'RT @sheraincorrect: ""can i copy the homework?""\n\nadora: i can help you with it!\nglimmer: yeah, sure.\ncatra: bold of you to assume i did the\xe2\x80\xa6'"
1067657444212396034,2018-11-28 05:52:25,b'i can\xe2\x80\x99t wait to get my venom onesie for christmas it\xe2\x80\x99s going to be the best thing i own'
1067656538465099776,2018-11-28 05:48:49,b'does this not exactly describe me https://t.co/oWO8qRvwJt'
1067584604092084225,2018-11-28 01:02:59,b'THE SPIDER WOMEN MOVIE IS GOING TO SAVE MY LIFE'
1067583137583050752,2018-11-28 00:57:09,b'this is the BEST https://t.co/RDVQYyADk2'
1067546186620387328,2018-11-27 22:30:19,b'aaAAAAAHHHHHHH https://t.co/YpPV5J2jgA'
1067546025634672640,2018-11-27 22:29:41,b'WAIT WHAT https://t.co/aCDkTYRCk7'
1067545074014113793,2018-11-27 22:25:54,"b'RT @breakfreemalek: adding ""bri"" to the end of every tweet is literally the height of comedy idk why it\'s so funny to me it makes me piss e\xe2\x80\xa6'"
1067544973287911424,2018-11-27 22:25:30,b'someone took my seat this is HOMOPHOBICCC'
1067541458394042370,2018-11-27 22:11:32,b'RT @mmtrack12: https://t.co/vNiJkwF0UX'
1067515908636127233,2018-11-27 20:30:00,b'RT @borhapstark: dancing queen and killer queen are girlfriends send tweet https://t.co/LIWuIP48fF'
1067515842122772480,2018-11-27 20:29:44,b'i don\xe2\x80\x99t need to be attacked like this rn https://t.co/ZP1KxEIwv9'
1067512430345875457,2018-11-27 20:16:11,"b""RT @quill_rocket: ladies, if he:\n\n-doesnt feel so good\n-doesnt know whats happening\n-doesnt wanna go\n\nthats not your man. that's peter park\xe2\x80\xa6"""
1067511298399756289,2018-11-27 20:11:41,b'RT @queenxstan: oh my god https://t.co/2SdwqNyd9G'
1067509560439500800,2018-11-27 20:04:47,b'@mmtrack12 YES SJSKSN'
1067507105551155200,2018-11-27 19:55:01,b'@mmtrack12 I WANNA FIGHT HIM EVEN MORE NOW'
1067506910268612608,2018-11-27 19:54:15,b'@mmtrack12 UR RIGHT'
1067506887061454848,2018-11-27 19:54:09,b'RT @mmtrack12: @sapphicspider he is the reason that americans didnt get to see rogerina on mtv'
1067506843092574208,2018-11-27 19:53:59,b'my mom told me that one time my Super Religious uncle asked her how people \xe2\x80\x9cbecome homosexual\xe2\x80\x9d and he got so uncomf\xe2\x80\xa6 https://t.co/gWu0RYAOU3'
1067506311183495168,2018-11-27 19:51:52,b'@mmtrack12 he does like queen but he is a home of phobe and home of phobes aren\xe2\x80\x99t allowed to like queen it\xe2\x80\x99s against the law'
1067505943364100098,2018-11-27 19:50:24,b'even if this was true... i don\xe2\x80\x99t want it but i want it https://t.co/HMw7KDizw0'
1067505352655101953,2018-11-27 19:48:04,b'the fact that my homophobic uncle got to see queen live will never not make wanna fight him'
1067504866203860992,2018-11-27 19:46:08,b'RT @PicturesFoIder: https://t.co/99Ar0x4HT0'
1067461325222117376,2018-11-27 16:53:07,b'i miss iron man 2 natasha'
1067457097246289920,2018-11-27 16:36:19,b'and we were running on the street in front of my house and i was debating either running or going to my family for\xe2\x80\xa6 https://t.co/zodl3ek7EU'
1067456624309153793,2018-11-27 16:34:26,"b'and the other was funny and cute at first, just my neighborhood friends and i waiting at the bus stop for thr schoo\xe2\x80\xa6 https://t.co/68poPYHiTo'"
1067456195223445504,2018-11-27 16:32:43,"b'one of them was about this RV that kept running people over, and even tho it was mostly bad people that were being\xe2\x80\xa6 https://t.co/D4oqeJwXG2'"
1067455673858834432,2018-11-27 16:30:39,b'anyway i had really disturbing dreams last night but i only remember two'
1067448475867000832,2018-11-27 16:02:03,b'remember when everyone used to say \xe2\x80\x9cif u don\xe2\x80\x99t still support them then ur a FAKE FAN\xe2\x80\x9d after a celebrity did somethi\xe2\x80\xa6 https://t.co/SIM2dqkBXI'
1067445834483040256,2018-11-27 15:51:33,b'i lost followers for this tweet y\xe2\x80\x99all are just in denial'
1067441964486864901,2018-11-27 15:36:11,b'louis can\xe2\x80\x99t sing very well and it should be SAID'
1067438812253446144,2018-11-27 15:23:39,b'and i can\xe2\x80\x99t believe they\xe2\x80\x99re calling YOU toxic. do they even know what that means lmao https://t.co/ERu7q8L3Pt'
1067432775639134214,2018-11-27 14:59:40,b'i feel like i\xe2\x80\x99m trying to mentally survive every fucking day'
1067432528200445955,2018-11-27 14:58:41,b'i feel like i have no personality'
1067417576890744833,2018-11-27 13:59:16,"b""RT @SamBucky: ALSO IT'S CANON THAT TONY ACTIVELY LOOKS FOR THE FRESHEST AND DANKEST MEMES Y'ALL JOT THAT DOWN https://t.co/9sKA4BUcCA"""
1067416547583385601,2018-11-27 13:55:11,b'RT @despacitosmash: honestly lord voldemort is a dumb fucking bitch he tried to get rid of a baby by using a spell on him when the window w\xe2\x80\xa6'
1067416162923831296,2018-11-27 13:53:39,b'it\xe2\x80\x99s 6am and i\xe2\x80\x99m tired but i\xe2\x80\x99ve had a series of really weird bad dreams all night and now i\xe2\x80\x99m paranoid https://t.co/vvMnEg4NPv'
1067258359374524416,2018-11-27 03:26:36,b'this is homophobic https://t.co/gKJr7hqV4u'
1067246821678886912,2018-11-27 02:40:45,b'RT @catsfolder: High 5 https://t.co/HWm8Jfdxrr'
1067232189186625536,2018-11-27 01:42:36,b'RT @staryabos: felicia and peter watching a scary movie :\xe2\x80\x99) https://t.co/BJDGfzOD4l'
1067231904565317632,2018-11-27 01:41:28,b'RT @stonyshome: you have $10 to recruit an avenger from the mcu\n\nsteve rogers \xe2\x80\x94 $2\nnatasha romanoff \xe2\x80\x94 $8\nthor \xe2\x80\x94 $10\nbruce banner \xe2\x80\x94 $10\nclin\xe2\x80\xa6'
1067231443502301184,2018-11-27 01:39:38,b'RT @MattBC_: when you\xe2\x80\x99re off out with the girls at 5 but you\xe2\x80\x99re fighting against darth vader at 8 https://t.co/rxCLcdRTK1'
1067231255425560577,2018-11-27 01:38:54,b'me hanging out in my room all by myself for months on end https://t.co/xfSNjkvVOz'
1067182181833859072,2018-11-26 22:23:54,b'RT @asiancharacter: mermista: i\xe2\x80\x99m proud to identify as a moronsexual. i\xe2\x80\x99m attracted to dumbasses and dumbasses exclusively\n\nsea hawk: what\xe2\x80\xa6'
1067178501072011264,2018-11-26 22:09:16,b'RT @minacidos: seahawk going to visit mermista: https://t.co/4vH3Hih9QK'
1067178385460228096,2018-11-26 22:08:48,b'mermista: does seahawk deserve rights? be honest'
1067178321572651012,2018-11-26 22:08:33,b'RT @aesyncthetic: folks holding sea hawk Like That breathe if you agree https://t.co/gzU4VydOUp'
1067155891210735616,2018-11-26 20:39:25,b'im dying can this class end so i can get some chinese food'
1067152190869954561,2018-11-26 20:24:43,"b'me: why am i losing weight\nme: only eats applesauce, string cheese, and fritos before 12pm'"
1067145633402769409,2018-11-26 19:58:40,"b'omg i forgot about this, marvel STOLE this and gave it to thanos smh https://t.co/qEwsDk179y'"
1067143753066934272,2018-11-26 19:51:11,b'@mmtrack12 we even match. the straights stand no chance'
1067143608531210240,2018-11-26 19:50:37,b'RT @mmtrack12: we will end homophobia @sapphicspider https://t.co/cg0es1ilSw'
1067140317546074113,2018-11-26 19:37:32,b'this is the worst thing i\xe2\x80\x99ve ever seen https://t.co/anEGE3SwUj'
1067138039309262848,2018-11-26 19:28:29,b'RT @seuIgizone: https://t.co/jvT846Cgir'
1067137342811459584,2018-11-26 19:25:43,b'i got a confirmation email for the mugs i ordered... i am braver than the us marines'
1067111421509459969,2018-11-26 17:42:43,b'@mmtrack12 i was looking at those mugs in class tho'
1067110312229236737,2018-11-26 17:38:19,b'@mmtrack12 don\xe2\x80\x99t worry she\xe2\x80\x99s not'
1067086058997727233,2018-11-26 16:01:56,b'RT @marram023: homework : unfinished \nsleep schedule : ruined \nself esteem : low\nbody : hurts\nlife : a mess\nyee : haw'
1067085379080151041,2018-11-26 15:59:14,b'RT @thorstrilogy: if my boyfriend \xf0\x9f\x91\xa6\xf0\x9f\x8f\xbb doesn\xe2\x80\x99t pull out a ring \xf0\x9f\x92\x8d \xf0\x9f\x92\x8e like this \xf0\x9f\x98\xb1 when he\xe2\x80\x99s proposing \xf0\x9f\x99\x88 \xf0\x9f\xa4\xab i\xe2\x80\x99m saying no \xe2\x9d\x8c\xf0\x9f\x99\x85\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/mE9G\xe2\x80\xa6'
1067083965943623681,2018-11-26 15:53:37,b'there was one girl i knew in high school who once told me \xe2\x80\x9ci don\xe2\x80\x99t read mainstream books\xe2\x80\x9d and i have to fucking cry\xe2\x80\xa6 https://t.co/MOqiuv7pXS'
1067083102634168321,2018-11-26 15:50:11,b'oof i miss when star wars stan twitter was thriving'
1067083005150162945,2018-11-26 15:49:48,b'remember when we all used to be star wars stan accounts'
1067079700353232897,2018-11-26 15:36:40,b'i really miss leia'
1067079655818063873,2018-11-26 15:36:29,"b'y\xe2\x80\x99all i miss luke, han, and leia'"
1067057217835134976,2018-11-26 14:07:20,b'ugh i don\xe2\x80\x99t wanna go to class https://t.co/UcK2jhQ9rN'
1066949050639872000,2018-11-26 06:57:31,b'RT @cqtra: seems pretty gay to me https://t.co/V6V63FzvqM'
1066917436727808000,2018-11-26 04:51:53,"b""RT @SamBucky: y'all https://t.co/kxTUze0b41"""
1066916003357978625,2018-11-26 04:46:12,b'deadpool ghost wrote this https://t.co/6t5ligxlNh'
1066885777282363392,2018-11-26 02:46:05,b'RT @mmtrack12: https://t.co/KTLOaTLJHV'
1066884946940243968,2018-11-26 02:42:47,b'RT @dracomallfoys: nobody:\n\nsylvester stallone: https://t.co/aY7infk8qs'
1066884417929367552,2018-11-26 02:40:41,b'@stonyshome it\xe2\x80\x99s ok i love the pain https://t.co/ro6O1z0Dw8'
1066882600818503682,2018-11-26 02:33:28,b'oh. I never thought that was why he was staring at them with that look... ohmygod. that whole scene just got better https://t.co/GCtAYVV7zb'
1066882258198384640,2018-11-26 02:32:06,b'RT @PUNKRAYZ: *i trip into a pit of snakes and die on impact* https://t.co/iILS7d2mhx'
1066877386619154432,2018-11-26 02:12:45,b'i forgot about the snake habitat'
1066877260395769856,2018-11-26 02:12:15,b'my birth month says that\xe2\x80\x99s your fooking job but my heart says niall masturbating https://t.co/QacJ5XZukB'
1066876478111936514,2018-11-26 02:09:08,b'y\xe2\x80\x99all ever feel good just to flex on peter parker'
1066870609479577601,2018-11-26 01:45:49,"b""RT @hulknaps: Hostess ads in the 70's pulled NO PUNCHES https://t.co/DG0vtGLw8L"""
