id,created_at,text
1067619692083200002,2018-11-28 03:22:24,b'RT @JuddLegum: 1. Cindy Hyde-Smith won. \n\nNothing she said or did was disqualifying to a huge majority of white voters. That gave her the w\xe2\x80\xa6'
1067615251217166336,2018-11-28 03:04:45,"b""@brandonlgtaylor So true. But then this is the same university that hired a male Whitelighter to head their Women's\xe2\x80\xa6 https://t.co/0P5R4LJcgL"""
1067613578201628673,2018-11-28 02:58:07,"b""@brandonlgtaylor Didn't they get lab funding from that demon dude? Ostensibly for biotech purposes, but really so t\xe2\x80\xa6 https://t.co/I12hgl68Ai"""
1067600271348559874,2018-11-28 02:05:14,"b'@deannaraybourn @kelly_instalove @MandaCollins Meanwhile, I\'m arriving late with ""Marvin K. Mooney, Will You Please Go Down Now?""'"
1067596565215363073,2018-11-28 01:50:30,b'@LadyHawkins My mind is buzzing with the possibilities.'
1067595625833906177,2018-11-28 01:46:46,"b'@deannaraybourn @LadyHawkins I wouldn\'t put it past Kenny G to have a muzak version of ""The Gambler.""'"
1067593867611045889,2018-11-28 01:39:47,b'@LadyHawkins Poker games in the Danger Zone are rough.'
1067581119023980544,2018-11-28 00:49:08,"b""RT @saladinahmed: when I get fifty great reviews but focus on the one that's negative https://t.co/XgynqMapgY"""
1067574690871500800,2018-11-28 00:23:35,"b""RT @gildedspine: Everyone has seen this on their feed today but another time won't hurt! https://t.co/hM8o0dV6Cz"""
1067557370010759169,2018-11-27 23:14:45,"b""@herhandsmyhands @chronic_mom @miss_batesreads OMG. I am buying that cat one as soon as I'm back from traveling this weekend."""
1067536230521421831,2018-11-27 21:50:45,b'@Karnythia I would call every trustworthy friend in the area to help me hide the body.'
1067533669517197313,2018-11-27 21:40:35,b'@Jamie_Wesley OH MY GOD. I have a mighty need for these figures.'
1067527589357658114,2018-11-27 21:16:25,"b'RT @ZahraaKathrada: How are uncles able to do this much cardio, but can\xe2\x80\x99t make themselves tea https://t.co/vrDLL2SQOR'"
1067525497733726209,2018-11-27 21:08:06,"b""@janine_ballard I will brace myself for the rough parts! Have you read Sabaa Tahir's Ember in the Ashes series? Tha\xe2\x80\xa6 https://t.co/vIjBSIMWy1"""
1067522543177863173,2018-11-27 20:56:22,"b""@janine_ballard That is music to my ears! I don't mind darkness and torment as long as everything turns out okay!"""
1067520499264163841,2018-11-27 20:48:15,"b""@DCRomanceReader ::gentle hugs:: Hope you're feeling better now."""
1067517875823566850,2018-11-27 20:37:49,"b""@OliviaWrites ::hugs:: I'm thinking of you, too."""
1067517658529243137,2018-11-27 20:36:57,"b""Witness my glee at finding Tasha Suri's EMPIRE OF SAND at the library. \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d https://t.co/GNyUmu2Z9L"""
1067514729487364101,2018-11-27 20:25:19,"b""@OliviaWrites You are so welcome, Olivia. I'm proud to know you! \xe2\x9d\xa4\xef\xb8\x8f"""
1067488986162171904,2018-11-27 18:43:01,"b""@Charlotte_Stein Yay! Congratulations, Charlotte! Can't wait to read it. :D"""
1067487206737158144,2018-11-27 18:35:57,b'@scandalwomen Instead of shells or coconuts. \xf0\x9f\xa4\xa3'
1067483928334909446,2018-11-27 18:22:56,b'RT @NrouteHQ: Shakespeare\xe2\x80\x99s cause of death remains a mystery. \nEven his doctor at the time wasn\xe2\x80\x99t sure whether it was TB or not TB'
1067477412261306368,2018-11-27 17:57:02,b'Juniper Latte? Why did Starbucks have to go and steal my burlesque name? https://t.co/N1lYuNuBZq'
1067476460544368640,2018-11-27 17:53:15,"b'@Dylan_StJaymes @aprillivings Wait, I have my timeline slightly mixed up. I think Coleman and Skye happened after J\xe2\x80\xa6 https://t.co/lgGIcydkSd'"
1067475936591966214,2018-11-27 17:51:10,"b""@Dylan_StJaymes @aprillivings I 'shipped him and Skye SO HARD. I was really annoyed that her stans killed that by l\xe2\x80\xa6 https://t.co/WZf1ounw3n"""
1067474610453647361,2018-11-27 17:45:54,b'@Dylan_StJaymes @aprillivings I loathed Courtney. But I will always be grateful that her existence introduced us al\xe2\x80\xa6 https://t.co/Y92YsckgRj'
1067448011331182594,2018-11-27 16:00:12,"b""@mostlybree @Dylan_StJaymes Two dudes make everything okay, Bree. Power dynamics don't exist!"""
1067438201252601856,2018-11-27 15:21:13,b'@Dylan_StJaymes Hahahahaha. I think I have a similar set of feelings.'
1067437835358224384,2018-11-27 15:19:46,b'@Dylan_StJaymes Full agreement here. I am still bitter about what was done to Lucky over the years.'
