id,created_at,text
1067638774992113664,2018-11-28 04:38:14,b'batfleck remains superior'
1067636706093002752,2018-11-28 04:30:01,b'RT @GeovaneYullen: 11 ANOS ATR\xc3\x81S NA HIST\xc3\x93RIA DA TV\n\nAkon: I wanna\nAudit\xc3\xb3rio: FUCK YOU\nFaust\xc3\xa3o: AAAAAAA GALERAAAAA https://t.co/qLa48lvenM'
1067631630142054400,2018-11-28 04:09:50,"b'RT @lucasmarshxll: this whole \xe2\x80\x9cgo to college, get a degree, get a job, pay off your debt while investing in your 401k plan, sit at desk, wo\xe2\x80\xa6'"
1067629662640242688,2018-11-28 04:02:01,b'RT @DcComicsUnited: in love https://t.co/DkJNNhYXbV'
1067627303340044288,2018-11-28 03:52:39,b'RT @boujeesIut: me: \xe2\x80\x98i want a sugar daddy\xe2\x80\x99\nan oIder guy: \xe2\x80\x98hi\xe2\x80\x99\nme: https://t.co/uot1jkVbXd'
1067622475163467776,2018-11-28 03:33:28,b'me two days ago: lol life is pointless I\xe2\x80\x99m ready to leave this earth\n\nme rn at 1:33 AM: damn there are so many thin\xe2\x80\xa6 https://t.co/f62MSK32ox'
1067622003945934848,2018-11-28 03:31:35,b'RT @rizuNM: https://t.co/27uFBoab4c'
1067621563535642626,2018-11-28 03:29:50,b'RT @kakuchosi: \xe6\x88\x91\xe3\x81\xaa\xe3\x81\x8c\xe3\x82\x89\xe3\x83\x8a\xe3\x82\xbe\xe5\x8b\x95\xe7\x94\xbb\xe3\x81\xa7\xe3\x81\x99\xe3\x81\x8c\xe3\x80\x81\xe5\xa4\x89\xe3\x81\xaa\xe9\x9d\xa2\xe7\x99\xbd\xe3\x81\xbf\xe3\x81\x8c\xe3\x81\x82\xe3\x82\x8b\xe3\x81\x8b\xe3\x81\xa8 https://t.co/tLvu52NxuL'
1067619623309324288,2018-11-28 03:22:08,"b'RT @princesskokachn: MY FAVORITE SAGITTARIUS.\nA GODAMN QUEEN. \nA WHOLE ICON.\n\n\xe2\x80\x9cWE ARE ALL SLUTS.\xe2\x80\x9d\n\nin celebration of sagittarius season, i\xe2\x80\xa6'"
1067599707399172096,2018-11-28 02:02:59,b'I only have 3 episodes left of angel https://t.co/afzgsAV38G'
1067586926948044800,2018-11-28 01:12:12,"b""RT @askywalkers: pls tell me nicole's costume means what i think it means and theyre gonna do the fake death plot for atlanna im going to f\xe2\x80\xa6"""
1067586484113473536,2018-11-28 01:10:27,b'RT @4eyedRaven: What are you thankful for? https://t.co/hgFhFUyGwJ'
1067584038918074374,2018-11-28 01:00:44,b'RT @jaboukie: the episode where spongebob and patrick raise a clam and patrick turns to spongebob and says \xe2\x80\x9clet\xe2\x80\x99s have another\xe2\x80\x9d was my firs\xe2\x80\xa6'
1067582808313475073,2018-11-28 00:55:50,b'RT @LetsTalkDove: OH MY EYES HAVE BEEN BLESSED https://t.co/QtlTihFjVD'
1067582608689762304,2018-11-28 00:55:03,b'RT @LetsTalkZatanna: So WB have a Justice League Dark script collecting dust?? DOING NOTHING WITH IT? https://t.co/SpHRQcCLAA'
1067581965082206214,2018-11-28 00:52:29,b'RT @moaningwaynes: https://t.co/r5DSZxkkbZ'
1067581654896730113,2018-11-28 00:51:15,b'RT @justicceleaque: MY SON https://t.co/N9YDlO2BiZ'
1067578192045723648,2018-11-28 00:37:30,b'I\xe2\x80\x99m about to let kids play video games https://t.co/1GBds644FO'
1067542028651819008,2018-11-27 22:13:48,b'@Bruno_Redondo_F @Sampere_art @LucasRemoussin THAT CONNOR DESIGN ARE YOU KIDDING YOU SNAPPED https://t.co/LTGUCCeLHI'
