id,created_at,text
964703290574348289,2018-02-17 03:29:22,b'I remade my Twitter!\nSorry!!! @honeyedprodigal'
964687061390274560,2018-02-17 02:24:53,b'how do you befriend someone cooler than you OTHER than just finding them on social media (with a limited amount of knowledge)'
964403077955575808,2018-02-16 07:36:26,b'RT @yeetztweetz: sorry to get somewhat political guys just mass shootings send my anxiety through the fucking roof. that coupled with the f\xe2\x80\xa6'
964363491451707392,2018-02-16 04:59:08,"b'RT @BuzzFeedNews: Father of Jaime Guttenberg, one of the Florida school shooting victims, speaks at a vigil: ""I don\'t know what I do next.\xe2\x80\xa6'"
964354559610036225,2018-02-16 04:23:38,b'RT @pitchfork: The y\xc3\xa9-y\xc3\xa9 legend returns https://t.co/hHMzleMCZL'
964213723224133632,2018-02-15 19:04:00,b'RT @justinjm1: BREAKING: School shooter trained with white supremacists https://t.co/8phSfVWqXS'
963934600299819008,2018-02-15 00:34:52,"b'RT @AGSchneiderman: The school shooting in Parkland, FL is heartbreaking. \n\nThis is the EIGHTEENTH school shooting in the United States thi\xe2\x80\xa6'"
963934374264635392,2018-02-15 00:33:58,b'no more thoughts and prayers!!!'
963283587792453632,2018-02-13 05:27:58,b'RT @rachlack: Is your child texting about Tracy Chapman\xe2\x80\x99s \xe2\x80\x9cFast Car\xe2\x80\x9d?\n\nygafc = you\xe2\x80\x99ve got a fast car\nigaptguooh = I\xe2\x80\x99ve got a plan to get us\xe2\x80\xa6'
961859752543141890,2018-02-09 07:10:10,"b""taking baths seems too 'self love'\nI prefer to sit in the shower like the depressed mf I am"""
961760371022295041,2018-02-09 00:35:15,"b""I don't trust people whose last name is also a first name"""
960931261794562048,2018-02-06 17:40:40,b'o u c h https://t.co/QoTUxKIQQf'
959595407641788416,2018-02-03 01:12:28,"b""the people I'm most nervous to be around probably couldn't give less of a shit about me - if they notice me at all!\xe2\x80\xa6 https://t.co/tyrNXfGgFP"""
958557307272552448,2018-01-31 04:27:25,b'RT @kumailn: Art has always been political.\nMusic has always been political.\nMovies have always been political.\nBooks have always been poli\xe2\x80\xa6'
957789828602413056,2018-01-29 01:37:44,b'RT @mitchysuch: Boys have swag\n\nMen have a massive collection of unfinished passion projects that they are too scared to complete due to th\xe2\x80\xa6'
957157659081244673,2018-01-27 07:45:43,"b'RT @PFTompkins: If you can\xe2\x80\x99t handle me at my worst, I don\xe2\x80\x99t blame you! It\xe2\x80\x99s terrible! I am... NOT good!'"
957119378973011968,2018-01-27 05:13:37,"b""3rd night in a row that I have weasled into a party with free booze and food\nI'm living my best, most freeloading self"""
955998036496334848,2018-01-24 02:57:48,b'RT @nevona: https://t.co/S1NkWTNZ7u'
955959091481858048,2018-01-24 00:23:02,b'negotiating with myself on the acceptable number of exclamation points to put in professional emails'
955897405970432001,2018-01-23 20:17:55,b'https://t.co/vhza6NuXlf'
955505902701789184,2018-01-22 18:22:14,b'@kenyburns This is my least favorite thing you have ever said'
955177145382268929,2018-01-21 20:35:52,b'today I seem to be operating on a different wavelength than every person I come into contact with'
955176917178568704,2018-01-21 20:34:58,b'@tessataylor420 Yes'
954874427983806465,2018-01-21 00:32:58,b'RT @rosecoIoredbaby: hey cute fun quick reminder that:\n\n- having a uterus/vagina isnt what makes someone a woman\n\nand\n\n- using that imagery\xe2\x80\xa6'
953686658703962112,2018-01-17 17:53:12,b'RT @outofcontextGA: https://t.co/rGqv3GZMQz'
953093272578048000,2018-01-16 02:35:18,b'an important thread https://t.co/gQJLMC7mpZ'
951646201085968384,2018-01-12 02:45:09,"b'RT @CNN: ""Not racial. Not racially charged. Racist. ... The sentiment the President expressed today is a racist sentiment."" Anderson Cooper\xe2\x80\xa6'"
951584404467433473,2018-01-11 22:39:36,"b'today on awkward men don\'t leave me alone:\n""i can smell the PNW on you""\n""You seem like a good quiet woman""\n""You loo\xe2\x80\xa6 https://t.co/fkVAWj1g4E'"
951583739603165184,2018-01-11 22:36:57,b'@tessataylor420 Mine too!! Where we goin?'
951200104966270976,2018-01-10 21:12:32,b'swiped a girls card and she had a custom picture of a guy wearing the jacket from Drive\nI told her I liked it and s\xe2\x80\xa6 https://t.co/qcIPNkf6QM'
950592873333862400,2018-01-09 04:59:36,b'RT @ClickHole: Which Bing Bong Theory Are You? https://t.co/LDCr3uc5lA https://t.co/288Iho5WEZ'
950582933298888705,2018-01-09 04:20:06,"b'RT @MEENAVOGUEE: GRACE JONES, 1978. https://t.co/PuxhQotKZj'"
950556848930746369,2018-01-09 02:36:27,b'RT @poetastrologers: Shoutout to everyone falling in love anywhere with anyone or anything at all'
950458701965541376,2018-01-08 20:06:27,"b'RT @KimKierkegaard: Despair comes in different guises. With so many styles, it can be hard to know which one is best for your body type'"
950264019054600192,2018-01-08 07:12:51,"b""I have an issue with dominance in the workplace bc I don't go to work every day to be yelled at by some sad man who\xe2\x80\xa6 https://t.co/KTgZ0FrK1Y"""
950225065458614274,2018-01-08 04:38:04,b'RT @lukeoneil47: Guillermo del Toro whips ass I\xe2\x80\x99m not trying to watch a movie without a monster in it. Fuck off with regular ass people wal\xe2\x80\xa6'
950214694991683586,2018-01-08 03:56:52,"b""I won't watch the Golden Globes but I'll watch b list comedians and other lonely people live tweet it"""
948663531498479616,2018-01-03 21:13:05,"b'RT @MarisaKabas: until shit like this stops, i have no interest in the tales of white weed entrepreneurs https://t.co/Iaa82atKOW'"
947763836991430656,2018-01-01 09:38:01,"b'growth, balance, understanding, and hard work'"
947557430220562432,2017-12-31 19:57:50,"b""RT @mitskileaks: you're telling me I have to go straight into 2018??? there aren't any breaks?????"""
947209539081748481,2017-12-30 20:55:27,b'RT @KimKierkegaard: Learning to be anxious in the right way is your best look for 2018'
946864508168896513,2017-12-29 22:04:25,"b'RT @kenyburns: in 2018 i will not eat food, i will sustain myself on the fuel of my bottled up emotions. i may never need to eat again'"
945054773509734400,2017-12-24 22:13:10,b'my grandpa got everyone cards with a picture of his cats on them and on the inside wrote how he loved us but not as\xe2\x80\xa6 https://t.co/WqVxsRdgbG'
942597754190053377,2017-12-18 03:29:51,b'Cameron Diaz dancing underwear scene shaped my personality and Lucy Lui baracuda scene shaped my sexuality'
942500062713618432,2017-12-17 21:01:40,"b""don't think I've ever felt so detached from myself and all of my surroundings"""
942132860332281856,2017-12-16 20:42:32,b'RT @PearlsFromMyrna: The outburst I had at JoAnn\xe2\x80\x99s Fabrics is not reflective of who I am.'
941944804295843843,2017-12-16 08:15:16,"b'Me coming home to my dog any time I go out: ""wtf scout why are you being so weird? Oh my god are you fucking drunk""'"
941166220010692608,2017-12-14 04:41:27,"b""I've grown out of a lot of things this last year\nbut I guess one of them wasn't giving myself bad emotional haircuts"""
940766440717725699,2017-12-13 02:12:52,"b""RT @leslieleeiii: Tamir Rice's mother ended up living in a homeless shelter but this racist piece of shit's racist son sheds a few tears an\xe2\x80\xa6"""
938618935481470979,2017-12-07 03:59:27,"b""@Fur_burger94 @pvntherpuss I'm convinced my eyes would have caught an STD otherwise"""
937779732392767488,2017-12-04 20:24:45,b'RT @MarsinCharge: It\xe2\x80\x99s time to bring my favorite holiday meme back https://t.co/xvOKYf8DaH'
937744846353195013,2017-12-04 18:06:08,b'is blowing your nose loudly and hacking a lung in front of people just something humans care less and less about doing with age??'
937744377891270656,2017-12-04 18:04:16,b'RT @nobody_stop_me: Good to be back having fun on this hell website for deranged morons'
937544664642494464,2017-12-04 04:50:41,"b""you're telling me Nina Simone isn't already????? https://t.co/e6s8YdAozU"""
936993502407180289,2017-12-02 16:20:34,"b'RT @make5calls: You up? The Senate GOP just passed a #TaxScamBill that will raise taxes on 87M families, destroy the ACA, hand over the Ala\xe2\x80\xa6'"
935936436905189376,2017-11-29 18:20:10,"b'RT @i_D: for the first time since 1999, no white men are nominated for album of the year at the grammys https://t.co/b0h4TcgGlk https://t.c\xe2\x80\xa6'"
935686690571554816,2017-11-29 01:47:45,"b""idk Animal Crossing got too real for me\nI've got a loan to pay off but instead I keep buying fun hats"""
935658085972041728,2017-11-28 23:54:06,"b'man, the shit I will do to avoid making eye contact with men walking down the street lol'"
935656306232369152,2017-11-28 23:47:01,"b""RT @shellyb777: oh that's yr girl? then why is she at my house having a genuine conversation with me where both our feelings are being ackn\xe2\x80\xa6"""
935609657946619905,2017-11-28 20:41:39,"b""RT @Mr_Masiwa: Slave trade in this time and age people are being sold for as little as $400 and the world is watching please don't be the o\xe2\x80\xa6"""
935053376047288322,2017-11-27 07:51:11,b'RT @AYE_ME_adelee: 47. ninki minjaj\nhttps://t.co/7EK7DJJYmm'
934930524694446080,2017-11-26 23:43:01,b'I consider making a new twitter account after every unsuccessful tweet'
934151704110493697,2017-11-24 20:08:16,"b'@yi_soojung Oh Crystal, I know you \nYou just never cease to amaze me'"
933450397527588864,2017-11-22 21:41:32,b'RT @paulrust: Jude\xe2\x80\x99s Law: \xe2\x80\x9cAnything that can go handsome will go handsome.\xe2\x80\x9d'
932396895279783938,2017-11-19 23:55:17,b'@tessataylor420 Lol I know who this is'
931378257122934784,2017-11-17 04:27:35,"b'RT @lilnativeboy: Just a reminder last year on Thanksgiving that Natives were being tortured with dogs, illegal scare tactics, being run ov\xe2\x80\xa6'"
930582875304370176,2017-11-14 23:47:01,b'Angel Olsen is one of the best artist rn'
930303938007515136,2017-11-14 05:18:37,b'RT @yi_soojung: Top is @thriftstorefolk to me\nBottom is @commudad https://t.co/wEBiBSIEyI'
929780708997939200,2017-11-12 18:39:30,"b'RT @OwensDamien: \xe2\x80\x98What\xe2\x80\x99s that, chocolate? Everyone who laughed at my hat must die? Well, you\xe2\x80\x99re the boss.\xe2\x80\x99 https://t.co/t9jnJzKct2'"
929451318980182016,2017-11-11 20:50:37,"b""@Fur_burger94 I feel like it got so swept under the rug with stranger things coming out too but it's soo good"""
929413001609756672,2017-11-11 18:18:21,"b'RT @StephenAtHome: Hope nothing bad comes out about my comedy hero, Mel Gibson, now starring in Daddy\xe2\x80\x99s Home 2!'"
929104613180977152,2017-11-10 21:52:56,"b""now to add to my list of 'things that make me unrelatable to my peers' is listening to specific, often feminist Ted Talks for 2 hours daily"""
928526664291704833,2017-11-09 07:36:22,"b'RT @chickpeapatty: ""yr not like other girls"" my guy i am the amalgamation of every single girl i\'ve ever thought was cool'"
926982705098629120,2017-11-05 01:21:14,"b'RT @RhodaDoodles: Even if my titties aren\xe2\x80\x99t physically out, they\xe2\x80\x99re spiritually out, and that\xe2\x80\x99s what matters'"
926668824480321537,2017-11-04 04:33:59,b'@beatriceelol Sorry you had a bad day but also you look incredible!'
926521458364358656,2017-11-03 18:48:24,"b""I feel sick at the sexualization/idolizing of Stranger Things kids as they'll be ridiculed in 10 yrs for having a public mental breakdowns"""
925992261023756288,2017-11-02 07:45:33,"b'RT @maybetomhanks: my gf left me because I wouldn\'t stop calling our relationship a ""collab""'"
925879121397170177,2017-11-02 00:15:59,b'just going to start posting all of these fabulous candids https://t.co/SMiz9MICaa'
925043570062401536,2017-10-30 16:55:48,"b'@96Bailee ""Do you know who sings that song?""\n""Frank Sinatra""\n""NO! Frank Sinatra! Bet you don\'t even know who that is""'"
924771966338215938,2017-10-29 22:56:32,"b'RT @christianovelli: the acronym #ootd would actually be more suited to me, if it stood for \xe2\x80\x9cOutburst Of The Day\xe2\x80\x9d\xe2\x80\xa6.'"
924530728821334016,2017-10-29 06:57:57,b'(Sonny &amp;) Cher https://t.co/ueRMeNZGwL'
923304823608434688,2017-10-25 21:46:38,"b""bumming myself out because I can't accept change"""
922478358495092736,2017-10-23 15:02:34,b'@danikahelm Miss you!! I hope you have the spookiest bday yet!!!'
922333784019681281,2017-10-23 05:28:04,b'RT @yi_soojung: Oh my god @thriftstorefolk https://t.co/QgHSUQ8ueA'
922240931390111746,2017-10-22 23:19:07,b'https://t.co/n5RN67KLrE'
921113608301490176,2017-10-19 20:39:32,b'@yi_soojung tbt https://t.co/QQfkDE4xVG'
920836004197494790,2017-10-19 02:16:26,b'@tessavalda damn we were all rooting for her'
920741819289239552,2017-10-18 20:02:10,"b'u know guy I didnt wanna have sex w u but since u looked at my computer while I was away n then tried to make conversation about it, Im game'"
919774304065044481,2017-10-16 03:57:37,"b'RT @chillmj_: ""why you cockblockin me talking to your friend?""\n\nfirst of all, she told me to'"
919658303810027520,2017-10-15 20:16:40,"b""do you like to / think it's pertinent to read an epilogue??"""
918568260462723072,2017-10-12 20:05:14,b'RT @PFTompkins: Still having trouble identifying &amp; weeding out neo-Nazis but THIS at least was an open-and-shut case. https://t.co/0LqkIupm\xe2\x80\xa6'
918354945337729029,2017-10-12 05:57:35,b'some casual Wednesday cleaning https://t.co/pNqHimu7Li'
918230482264850432,2017-10-11 21:43:01,b'RT @rosemcgowan: https://t.co/WYW7r4d9ui'
917957230338523137,2017-10-11 03:37:13,b'@yi_soojung Oh yeah baby'
917951558335086592,2017-10-11 03:14:40,"b'RT @MarvelStudios: #whatsragnarok ""my head cold \xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7"" - @CherryB1ade https://t.co/MC7Hz84M5m'"
917799682679517185,2017-10-10 17:11:10,"b""RT @DocTaughtMe: All black ppl asked is for the cops not to kill us &amp; if they did, that they be held accountable. That's it. And America de\xe2\x80\xa6"""
917153109750591488,2017-10-08 22:21:55,"b""next person to catcall me while I'm riding my bike home I'm going to throw myself on top if their car and take all the insurance money"""
916748148227182593,2017-10-07 19:32:45,"b'Im not looking to be a household name I just want to be on Google as:\nwriter, director, photographer, snake charmer, concubine, circus act,'"
916441875308937216,2017-10-06 23:15:44,b'RT @Zak_Bagans: Gettin in Trouble tonight https://t.co/NE7JYo7jxz'
916085905995194369,2017-10-05 23:41:14,b'and paying $5 for a decaf latte'
916083971779207169,2017-10-05 23:33:33,b'RT @JustFlandre: When you meet up with your mom at the park but you fall into a bush https://t.co/cOqOteTqbX'
915991304126873601,2017-10-05 17:25:19,"b'I think the most insane thing I regularly hear in food service is people with severe allergies saying ""eh, I\'ll risk it""'"
915259474121592832,2017-10-03 16:57:17,"b'RT @choo_ek: \xe2\x80\x9cIf not guns, they\xe2\x80\x99ll just find another way to kill.\xe2\x80\x9d I\xe2\x80\x99m an ER doc. I\xe2\x80\x99ve seen the other ways and guns are the worst.'"
915080575265861633,2017-10-03 05:06:25,b'RT @zachbraff: https://t.co/EcDPAfmXuH'
915071182897999872,2017-10-03 04:29:05,"b'RT @yi_soojung: @thriftstorefolk ""But also love yourself you insecure ho!!!"" - me to me'"
915063092320468992,2017-10-03 03:56:56,"b'""Stop being a fucking narcissist you stupid piece of shit""\n- me to me 100% of the time'"
914327911024418818,2017-10-01 03:15:36,b'RT @paulrust: I went to the Lousy T-shirt Factory and all I got was this lousy t-shirt.'
913227903462129665,2017-09-28 02:24:33,b'RT @Sadieisonfire: when u hit the fast serve in wii tennis https://t.co/ITBjjMvVTp'
912876985566687232,2017-09-27 03:10:08,b'RT @poetastrologers: Unread texts: 0\nScorpio: Read everything respond to nothing'
912037510804471808,2017-09-24 19:34:22,"b""I like to date effeminate men because I'm a lesbian"""
912005934037135360,2017-09-24 17:28:53,b'RT @_yeatez: get in loser we\xe2\x80\x99re going to the farmers market and supporting local businesses'
911820808242159616,2017-09-24 05:13:16,b'RT @96Bailee: STOP TELLING ME THIS IS THE BEST YEARS OF MY LIFE IT IS DEPRESSING'
911466127154278400,2017-09-23 05:43:53,b'RT @yi_soojung: Wow @thriftstorefolk https://t.co/pdCPHCotF9'
911296920701640704,2017-09-22 18:31:31,b'RT @melissaayala92: This is Mexico https://t.co/kcfJwZgEJb'
910259184670666752,2017-09-19 21:47:56,"b""white 20-something's love to tell you how important traveling is after their parents paid for their Spring Break in Cabo"""
909999151181570048,2017-09-19 04:34:39,"b""laying in bed crying bc I'm so scared of being murdered for rejecting a man's advances"""
909298714845470720,2017-09-17 06:11:22,"b""RT @Kyle_Musser11: DM'ing Memes Is The Most Fun A Girl Can Have Without Taking Off Her Clothes"""
909073377859477506,2017-09-16 15:15:57,b'@mynamesdj ok so i have to ask now which letter you had a crush on'
907372018114293760,2017-09-11 22:35:21,"b'@PJordynashley @McKennaPatrick4 Love you, so!! \xf0\x9f\x92\x95\xf0\x9f\x92\x95'"
907325233543102464,2017-09-11 19:29:27,"b""this is the most full and vivacious I've ever felt thus far in life"""
906607334822092800,2017-09-09 19:56:47,b'RT @yi_soojung: LOL @thriftstorefolk https://t.co/omWXbFCkqI'
905996015341207553,2017-09-08 03:27:37,"b'RT @Theylovestorm_: I saw my ""crazy"" side before and decided never to talk to someone that would take me out of my peace like that ever aga\xe2\x80\xa6'"
905883445242478592,2017-09-07 20:00:18,b'RT @nowthisnews: \xe2\x80\x98I\xe2\x80\x99m gonna be sent back to a country that I\xe2\x80\x99ve ever been to and I\xe2\x80\x99m gonna lose every opportunity that I have.\xe2\x80\x99 https://t.c\xe2\x80\xa6'
905882310540615681,2017-09-07 19:55:47,"b'12:40, get home from work\n12:46, covered in donut crumbs'"
