id,created_at,text
1067627200457949184,2018-11-28 03:52:14,"b'RT @Nataliew1020: When someone works so hard to protect your child\xe2\x80\x99s healthcare, especially when it is the difference between life &amp; death,\xe2\x80\xa6'"
1067626473824157697,2018-11-28 03:49:21,"b""RT @TheRynheart: \xe2\x80\x98Historian finds German decree banishing Trump's grandfather\xe2\x80\x99\n\n\xe2\x80\x98Royal decree ordered Friedrich Trump to leave Bavaria and\xe2\x80\xa6"""
1067626387157200896,2018-11-28 03:49:00,b'RT @RWPUSA: The last of the Dixiecrats.\nShe switched from the Democrats to the GOP a year after America\xe2\x80\x99s first black president took office\xe2\x80\xa6'
1067625873740886022,2018-11-28 03:46:58,"b'RT @Mimirocah1: I saw this conduct in Mafia cases. At a minimum, it\xe2\x80\x99s unethical and not normal. I would want to know more before concluding\xe2\x80\xa6'"
1067620307765219328,2018-11-28 03:24:51,b'RT @KarenAttiah: WaPo Editorial Board: Trump\xe2\x80\x99s craven response to Khashoggi\xe2\x80\x99s death means other Americans need to step up https://t.co/2uac\xe2\x80\xa6'
1067618988774043650,2018-11-28 03:19:36,"b'RT @AndreaChalupa: ""A key to understanding Trump\xe2\x80\x99s relationships with Russia goes through organized criminal syndicates.""\xc2\xa0#Mogilevich https\xe2\x80\xa6'"
1067618654341275650,2018-11-28 03:18:17,b'RT @Redpainter1: it\xe2\x80\x99ll be nice when Mississippi leaves the 1940\xe2\x80\x99s #MSSen'
1067618531842433024,2018-11-28 03:17:48,b'RT @JuddLegum: 1. Cindy Hyde-Smith won. \n\nNothing she said or did was disqualifying to a huge majority of white voters. That gave her the w\xe2\x80\xa6'
1067617189597974529,2018-11-28 03:12:28,b'RT @AdamParkhomenko: The same Jim Jordan named in a class action sexual abuse case with multiple victims? https://t.co/uLvwAv9iMV'
1067615034241634304,2018-11-28 03:03:54,"b""RT @MaddowBlog: NYT: Manafort's lawyers briefed Trump's lawyers on questioning by Mueller after Manafort had already taken cooperation deal\xe2\x80\xa6"""
1067614743110844416,2018-11-28 03:02:44,b'RT @tribelaw: Dangling the prospect of a presidential pardon in return for a co-conspirator\xe2\x80\x99s pretending to flip so as to become the presid\xe2\x80\xa6'
1067609146894225410,2018-11-28 02:40:30,b'RT @IgnatiusPost: The Khashoggi killing had roots in a cutthroat Saudi family feud https://t.co/arBxFVOFJ9'
1067608513541795840,2018-11-28 02:37:59,b'@JoyceWhiteVance smells fishy'
1067608395652440065,2018-11-28 02:37:31,"b'RT @JoyceWhiteVance: The question is, why would there be communication between a flipped criminal defendant who is now working for the gove\xe2\x80\xa6'"
1067604721966432257,2018-11-28 02:22:55,"b'RT @TheBeatWithAri: ""Trying to get the FBI Director jailed to change a probe, is impeachable all on its own""\n\n""This story exposes an act by\xe2\x80\xa6'"
1067603425666506753,2018-11-28 02:17:46,b'RT @AliVelshi: This is what we did today. If you agree with it tweet me: \xe2\x80\x9cMSNBC declines to allow Sarah Sanders to dictate its programming\xe2\x80\x9d\xe2\x80\xa6'
1067603325405810690,2018-11-28 02:17:22,b'RT @GovHowardDean: Actually Obama saved GM which the GOP objected to at the time. https://t.co/DUK8Lt8sVA'
1067600808219471872,2018-11-28 02:07:22,b'RT @Mimirocah1: The Worst Thing Manafort Could Do Is Lie to Mueller. So Why Did He Do It? Me &amp; \xe2\x81\xa6@BarbMcQuade\xe2\x81\xa9  https://t.co/HVVMxhyjAl'
1067600719572869120,2018-11-28 02:07:01,"b'RT @SenSherrodBrown: .@realDonaldTrump, I\xe2\x80\x99ll compare my record standing up for Ohio &amp; American workers to yours any day. Instead of giving\xe2\x80\xa6'"
