id,created_at,text
1067478255316299776,2018-11-27 18:00:23,b'For clarity...\nFINAL VOICE RECORD OF THE YEAR (...not of all time).\nVideo Link &gt;&gt; https://t.co/ywRsyI6bVw https://t.co/5BvrGfMdNA'
1067471297402130432,2018-11-27 17:32:44,b'@LoriBedford1 Final record session of 2018.  Not the final record ever.'
1067462196722978816,2018-11-27 16:56:34,b'FINAL VOICE RECORD: CORNER GAS ANIMATED 2018\n\nLINK &gt;&gt;  https://t.co/qT4PuyqPOf https://t.co/RWMD5AIbHu'
1067275677701824512,2018-11-27 04:35:25,b'@chrislockefun Water slide...?'
1067274621068632064,2018-11-27 04:31:13,b'Hang on... did @chrislockefun do shows in Vancouver and I completely missed it???!!!\nI mean... I know I had my hand\xe2\x80\xa6 https://t.co/9iRJi5Np2c'
1067262550641795073,2018-11-27 03:43:15,b'Sometime in the next week (or so) I\xe2\x80\x99ll be doing my first LIVE STREAM from #TheButtpod YouTube channel.  Should I ju\xe2\x80\xa6 https://t.co/nhBAzyTcoN'
1067198792871567360,2018-11-26 23:29:54,"b'I don\xe2\x80\x99t mean to grouse, but Commander Snoozington is not pulling his weight at the office today. https://t.co/LrZ2KzoUvg'"
1067190214089617408,2018-11-26 22:55:49,b'@BrentPiaskoski @calstampeders Sorry for your loss.  I mean your win.  You know what I mean!'
1067158115940950016,2018-11-26 20:48:16,b'My brother trolling me via text. https://t.co/W2yvYyn2D2'
1067113198409592832,2018-11-26 17:49:47,b'RT @TorrensJonathan: A QUESTION for YOUNGSTERS: is referring to my blue cardigan as Cardi B lit AF?'
1067093770888343552,2018-11-26 16:32:35,"b'If you\'re looking for a place to be told to ""shut up about world events and stick to comedy"" while simultaneously b\xe2\x80\xa6 https://t.co/f5NdhtNRsF'"
1066886542583418882,2018-11-26 02:49:08,b'@BrentPiaskoski ...and nowwwwww...???'
1066846516541706240,2018-11-26 00:10:05,b'Haven\xe2\x80\x99t been able to see the first bit of #GreyCup2018. Can someone quickly tell me how happy or angry @BrentPiaskoski is??!!!'
1066752349538906113,2018-11-25 17:55:54,b'@Ironjawswife @nancyRtweets @CornerGas Holy!!!  That is impressive!  Hope you REALLY REALLY enjoy that shirt!  (...\xe2\x80\xa6 https://t.co/GSVoPoLNfw'
1066751117256622081,2018-11-25 17:51:00,"b'I\'ve been hearing more and more people say ""fustrated"" instead of ""frustrated"" and I\'ll be honest - it\'s growing on\xe2\x80\xa6 https://t.co/qItjICuju4'"
1066537563500859393,2018-11-25 03:42:25,b'@alexjauld YESSSSSSSSSSS!!!!!!'
1066387832741126145,2018-11-24 17:47:26,"b""@LanceStorm They're in there.  I've seen 'em."""
1066072828095606784,2018-11-23 20:55:43,"b'TODAY ONLY, I\xe2\x80\x99m offering special #BlackFriday tweets which are 60% off my regular tweet pricing and covered in mashed yams.'"
1065809036212264960,2018-11-23 03:27:30,b'@robertdsheridan \xe2\x80\x9cGive him the goddam glove!!!\xe2\x80\x9d  (my fav line in the movie)'
1065489935501643776,2018-11-22 06:19:31,b'Sometimes I feel like there might be TOO many tweets. \nAnd now this one on top of it!  Ugh... never ends.'
1065354499013914625,2018-11-21 21:21:20,"b'RT @daveshumka: Cut the shit, Paul Simon. From now on it\'s ""Me and Julio Down by the Schoolio.""'"
1065354429493374977,2018-11-21 21:21:03,b'@daveshumka I feel like you could do a good series of tweets that all start with \xe2\x80\x9cCut the shit Paul Simon...\xe2\x80\x9d'
1065348879066062849,2018-11-21 20:59:00,b'HUGE prize and a SUPER amazing cause that directly helps a LOT of kids with specific needs.  Buy a ticket if you ca\xe2\x80\xa6 https://t.co/tele9WLR6S'
1065267364474699778,2018-11-21 15:35:06,b'Bumped into @allanhawco in our nation\xe2\x80\x99s capital.  We\xe2\x80\x99re here to rattle some cages!!! https://t.co/Txk6h5FZWP'
1065037514937819136,2018-11-21 00:21:45,"b""@JohnWing5 @patterballs ANNNNNNND SCENE!!!\n(...that's the only way I could think to make this stop.)"""
1065035636820762625,2018-11-21 00:14:17,"b""@patterballs @JohnWing5 Great.  Now I'm in a goddamn sketch!  CAN I SPEAK TO THE PRODUCER PLEASE???"""
1065035383132499968,2018-11-21 00:13:17,b'@HawksleyWorkman Failing upward!!!'
1065034152586559488,2018-11-21 00:08:24,"b""@JohnWing5 I'd like to speak to your manager, please."""
1065033074247852033,2018-11-21 00:04:06,"b""WARNING TO RESTAURANTS:\nIf I order a side of mushrooms, and when they come they're not button mushrooms, but some w\xe2\x80\xa6 https://t.co/ZTfAlVCFOL"""
1064924121547436032,2018-11-20 16:51:10,b'@IanBoothby Today\xe2\x80\x99s Tom Sawyer...?'
1064922718984855553,2018-11-20 16:45:36,b'@Erica_Sigurdson Same'
1064921306112581632,2018-11-20 16:39:59,"b'Look at this fake Instagram jerk, pretending to be me on Instagram.  Like a total jerk!  Even steals my damn handso\xe2\x80\xa6 https://t.co/4aC5QTzLaK'"
