id,created_at,text
1067616870956597248,2018-11-28 03:11:12,"b'RT @ClassicPict: According To Science, This Is What Jesus Would Actually Look Like... https://t.co/Fe5zDy2QB4'"
1067582668265742336,2018-11-28 00:55:17,b'This is amazing!!! @ava Congratulations \xf0\x9f\x8e\x89\xf0\x9f\x8e\x88\xf0\x9f\x8e\x8a https://t.co/ylIePHLRsM'
1067526030657605637,2018-11-27 21:10:14,"b""RT @MoniEstelle: @pebbles2day Last night's Word should be a prerequisite for ALL Believers worldwide.  Invaluable tactical information ever\xe2\x80\xa6"""
1067526022499721217,2018-11-27 21:10:12,b'RT @MoniEstelle: @pebbles2day Would not miss it for ANYTHING!  I love you so Sis P for who you are and what God has instilled in you!!! An\xe2\x80\xa6'
1067516712629657600,2018-11-27 20:33:12,b'@MoniEstelle Amen!!! WOG!! I was hoping you weee on the call last night. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x94\xa8\xf0\x9f\x94\xa5\xf0\x9f\x9b\xa1\xe2\x98\x9d\xf0\x9f\x8f\xbd\xf0\x9f\x8c\x8a\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x94\x8c\xe2\x9a\x94\xef\xb8\x8f'
1067516420605411328,2018-11-27 20:32:02,b'RT @MoniEstelle: Declarations in prayer given by @pebbles2day during the prayer call last night regarding moving mountains/obstacles/hinder\xe2\x80\xa6'
1067516410874626048,2018-11-27 20:32:00,"b'RT @MoniEstelle: @pebbles2day said to identify your mountain(s), name each one (for example, fear or illness), find scriptures that speak t\xe2\x80\xa6'"
1067511438724530177,2018-11-27 20:12:15,b'A Testimony from Pastor and Kingdom Sis!  @thea_dumas also a #Wogclalumni \nShe has prayed for years for the Move Of\xe2\x80\xa6 https://t.co/kOxzRDrZ5p'
1067494414464024577,2018-11-27 19:04:36,b'A testimony from @dejariley   About our WOGCL Monday Prayer Call... Thank Ya Lord!\n#\xf0\x9f\x9b\xa1\xf0\x9f\x94\xa8\xe2\x9a\x94\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x94\xa5\xf0\x9f\x8c\xaa\xf0\x9f\x8c\x8a\xf0\x9f\x94\x8c\xf0\x9f\x9b\xa1\nLOVE YOU!!!\xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x98\x98 https://t.co/RsxhQ7KVnR'
1067493373970432000,2018-11-27 19:00:28,"b'A Message from my Sis.,Business partner, and friend! The brilliant and beautiful and did I mention... Bomb writer,\xe2\x80\xa6 https://t.co/7dYqnsiolJ'"
1067493095225389056,2018-11-27 18:59:21,b'WOGCL Ministry prayer line testimony! God bless you!\nSis.P\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd https://t.co/TplP9FEB7o'
1067471968121761792,2018-11-27 17:35:24,"b""RT @glastris: By taking Manafort back to court, Mueller may have found a way to deliver his Russia findings that the White House can't stop\xe2\x80\xa6"""
1067471889742745600,2018-11-27 17:35:05,"b'RT @ndvh: New @Blavity article, ""As a victim of #domesticabuse, my story is proof that protecting black women\'s lives requires real action""\xe2\x80\xa6'"
1067470698094817280,2018-11-27 17:30:21,"b'RT @ABC: Aerial footage shows impact of wildfire that has razed 49,000 acres of farmland and woodland in northeast Australia, stoked by hea\xe2\x80\xa6'"
1067468759084883968,2018-11-27 17:22:39,b'RT @MalcolmNance: BOOM: Here it is. CONSPIRACY AGAINST THE UNITED STATES. The Direct Bridge to the Trump campaign was a Russia-Wikileaks-Tr\xe2\x80\xa6'
1067350793903194112,2018-11-27 09:33:54,b'RT @teracarissa: We\xe2\x80\x99re on!!! #Ladies call in!!! TO GOD BE THE GLORY!!! Count the #miracles that take place when you get off the call. @pebb\xe2\x80\xa6'
1067350767030296576,2018-11-27 09:33:47,b'GO Mighty Woman of God!! You are leading people into their deliverance and increase! May God reward you abundantly\xe2\x80\xa6 https://t.co/bx5GUR09aj'
1067314345678229505,2018-11-27 07:09:04,"b'RT @roybenzS350: @SisterPerri2day Sis, you\xe2\x80\x99ve inspired me to go on an extended water only fast and launch \xf0\x9f\x9a\x80 an assault against the dark kin\xe2\x80\xa6'"
1067158460595298304,2018-11-26 20:49:38,b'RT @RecordingAcad: Creative artists rank fifth in the top 10 professions with the high rates of depressive illness.\nhttps://t.co/a3Py2TO6ii'
1067157571893526528,2018-11-26 20:46:06,b'@TheRealYoG Get well soon\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
1067151815362269184,2018-11-26 20:23:14,b'RT @MiaFarrow: Mars landing\xf0\x9f\x8e\x89\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd  @NASA!! https://t.co/54zz1DVEJg'
1067134693693284354,2018-11-26 19:15:12,b'\xe2\x80\x9cCan unjust leaders claim that God is on their side\xe2\x80\x94 leaders whose decrees permit injustice?\xe2\x80\x9d\nPsalms 94:20 NLT\nhttps://t.co/L2qTvhijJj'
1067107122909827072,2018-11-26 17:25:38,b'@faithevans Congratulations on receiving the @soultrain award for \xe2\x80\x9cThe Lady Of Soul\xe2\x80\x9d You deserve this and more! We\xe2\x80\xa6 https://t.co/rwHDudZ2ML'
1067103043097772032,2018-11-26 17:09:25,b'RT @Essence: Faith and Erykah are legends!  \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe#SoulTrainAwards  https://t.co/507lWZ2nz2'
1067097942358540288,2018-11-26 16:49:09,b'RT @neiltyson: Albert Einstein was a refugee to the USA.'
1067097184103997441,2018-11-26 16:46:09,b'Glory To God!\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd Join Me &amp; The WOGCL Warriors... Lets lift up the name of Jesus together and receive what He has for\xe2\x80\xa6 https://t.co/6r0r4zUP3c'
1067091545701023744,2018-11-26 16:23:44,"b""RT @voguemagazine: Olivier Widmaier Picasso, Pablo Picasso's grandson, sat down with Vogue to discuss art; his recent book, Picasso: An Int\xe2\x80\xa6"""
1066939426662543361,2018-11-26 06:19:16,b'@TheRealYoG Thank you Jesus!\xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xe2\x9c\x8a\xf0\x9f\x8f\xbd'
1066914760468250625,2018-11-26 04:41:15,b'@TheMikeSchiller \xe2\x9c\x8a\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
1066914521015476224,2018-11-26 04:40:18,b'@Fiercly50 \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
1066867745692704768,2018-11-26 01:34:26,"b'Putting up prayers for Robert Mueller, his team &amp; their families, dog,cat,bird,u name it...Let not even a cold come\xe2\x80\xa6 https://t.co/GVU4a0818F'"
1066859929590362112,2018-11-26 01:03:23,b'@TheRealYoG Bless his heart! \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd for him!'
1066858857865994241,2018-11-26 00:59:07,b'@_MAXWELL_ @Amadii \xe2\x99\xa5\xef\xb8\x8f'
1066806284140204034,2018-11-25 21:30:13,b'Whoa @RealByronAllen This is HUGH! https://t.co/Ityym1vCJI'
1066799244265238528,2018-11-25 21:02:14,b'RT @EBONYMag: Hundreds of users participated in the #EBONYChallenge and causing it to go viral on social media platforms including Twitter\xe2\x80\xa6'
1066780541830103040,2018-11-25 19:47:55,b'RT @pebbles2day: @SisterPerri2day @pebbles2day Join Sister Perri &amp; WOGCL Ministry Weekly Prayerline Call:  MONDAY\xe2\x80\x99S at    6pm &amp; 9pm\nExperie\xe2\x80\xa6'
1066777213003956224,2018-11-25 19:34:41,b'@SisterPerri2day @pebbles2day Join Sister Perri &amp; WOGCL Ministry Weekly Prayerline Call:  MONDAY\xe2\x80\x99S at    6pm &amp; 9pm\xe2\x80\xa6 https://t.co/gdqpO3AP87'
1066748093608026113,2018-11-25 17:38:59,b'RT @spotifyartists: Here\xe2\x80\x99s the piece of advice Chaka Khan told Mary J Blige \xe2\x80\x94 a tip that\xe2\x80\x99s stuck with her throughout her three-decade long\xe2\x80\xa6'
1066746629024169984,2018-11-25 17:33:10,b'RT @CheriJacobus: A delegation of US evangelicals met with the Saudi Crown Prince. Michele Bachmann and her delegation are soliciting praye\xe2\x80\xa6'
1066745480997101568,2018-11-25 17:28:36,"b'RT @DanRather: I see there is a push for scientists, especially those writing about climate change, to be hired as Op-Ed writers for major\xe2\x80\xa6'"
1066722652377640961,2018-11-25 15:57:53,b'@100prayingwomen @cindytrimm @BishopIonaLocke @DrJMcCullough @iamdrjazz @apostlegm Thank you! May God increase you\xe2\x80\xa6 https://t.co/SzICUgfwtY'
