id,created_at,text
1064742992152543232,2018-11-20 04:51:25,b'Plz @Whataburger \xf0\x9f\x8d\x94\xf0\x9f\x8d\x9f https://t.co/s8eGf2x0Up'
1062715659686051841,2018-11-14 14:35:32,"b'RT @Fleishman: We earned Agency of the Year honors from the North American Excellence Awards for the 2\xef\xb8\x8f\xe2\x83\xa3nd straight year! Great job, team!\xe2\x80\xa6'"
1060590961380614146,2018-11-08 17:52:44,"b'RT @Fleishman: Meet ""Gen Food,"" a cross-generational group of consumers united by food. See which values guide their desire to improve the\xe2\x80\xa6'"
1057452826358628352,2018-10-31 02:02:54,b'@kcurkyle @kcur @NWSKansasCity https://t.co/DED66zYjTe'
1056645764670279681,2018-10-28 20:35:56,b'chiefs sunday vibes ~ \xf0\x9f\x8d\x81\xf0\x9f\x8d\x82\xf0\x9f\x8d\x81 #kc #jcrewalways \n\nhttps://t.co/48X30dn8ig https://t.co/3GxamagL6E'
1051577368870051840,2018-10-14 20:55:56,b'FleishmanHillard Named to 2018 PR News\xe2\x80\x99 Top Places to Work in PR List -- for the 3rd year running!\xe2\x80\xa6 https://t.co/EhVSFMZzuy'
1047323894858878977,2018-10-03 03:14:09,b'RT @RebeccaCNReid: There\xe2\x80\x99s an episode of Friends where a group of 26 year olds are shocked that they drank 5 bottles of wine between 7 peop\xe2\x80\xa6'
1046540988288823297,2018-09-30 23:23:10,b'#NewProfilePic https://t.co/7oj7YeLEhw'
1042924494426439680,2018-09-20 23:52:30,b'Hi @Starbucks - when will your Anniversary Blend be available for sale? \xe2\x98\x95\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1032083924535664640,2018-08-22 01:55:57,b'Two trips around the sun with you \xe2\x9d\xa4\xef\xb8\x8f #ilysm \n\nhttps://t.co/of0Xlfw6Mx https://t.co/7T3l13CVol'
1029349861559336960,2018-08-14 12:51:46,b'Help videos compete with excessive noise in the market with these ten tips for garnering engagement. via @prnews https://t.co/qljqORjMy3'
1027337319790137344,2018-08-08 23:34:38,"b""RT @Chilis: Chili's. https://t.co/7azakJXVbw"""
1026633897331884032,2018-08-07 00:59:29,b'Spent the weekend in #MLPS at the @uptownartfair with my client Hallmark + Studio Ink! \xf0\x9f\x92\x8c #client #uptownartfair\xe2\x80\xa6 https://t.co/pMAOtd7yFn'
1023414208862597125,2018-07-29 03:45:36,b'RT @swaggie_hunter: Who are we?\n\nSINGLE YOUNG PROFESSIONALS\n\nWhat do we want?\n\nFOR PERISHABLE GROCERIES TO BE SOLD IN SMALLER PORTION SIZES'
1021140488391454720,2018-07-22 21:10:38,b'RT @dog_feelings: sometimes. you have to spin in circles. to appreciate all that\xe2\x80\x99s around you'
1020327015231238144,2018-07-20 15:18:11,b'Netflix\xe2\x80\x99s success lies in the fact that it is a marketing genius and its social media efforts aren\xe2\x80\x99t taking a backs\xe2\x80\xa6 https://t.co/nkpN4ScS3F'
1017881886331301888,2018-07-13 21:22:07,b'RT @traci_jo_moon: Welcome home @QueerEye #HowWeDoKC https://t.co/gxc5y3PSFM'
1017881800545206273,2018-07-13 21:21:47,b'@geeluvman Wish it wasn\xe2\x80\x99t a concern. Just need it for work \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1017847411606093824,2018-07-13 19:05:08,b'INSTAGRAM SERVER IS DOWN RN AND I AM V STRESSED ABOUT IT'
1017237287992688640,2018-07-12 02:40:43,"b'RT @Adaripp: As a nation, we don\xe2\x80\x99t wear anywhere near enough fringe.'"
1016835023092289537,2018-07-11 00:02:16,b'RT @johnlegend: No but I did invest in the Michael Scott Paper Co https://t.co/jDyQpaDy7f'
1014279742424567809,2018-07-03 22:48:29,b'Why pay money to do hot yoga when you can do regular yoga outside and sweat for free'
1007312223826395136,2018-06-14 17:22:03,b'Just take all my money // S\xe2\x80\x99well x Lilly Pulitzer is BACK https://t.co/iFENZthjoy #LillyPulitzerxSwell @swellbottle @LillyPulitzer'
1004156595943636993,2018-06-06 00:22:43,"b""\xe2\x80\x9cThere was a moment when you couldn't walk a block in New York without seeing one of her bags, which were just like\xe2\x80\xa6 https://t.co/sYf1yIBK65"""
1003814646292283392,2018-06-05 01:43:56,b'HELLO WORLD WE HAVE AN ANSWER https://t.co/Tu5nJe6p8u'
1003803933972844544,2018-06-05 01:01:22,b'Hi @netflix when is Ozark season 2 coming? Asking for myself as well as everyone else on Twitter.'
981590144405798912,2018-04-04 17:51:42,b'RT @Bryce_bunkered: Just been told security staff at Augusta National have been handed a sheet with a list of sayings that are prohibited.\xe2\x80\xa6'
979895550987395073,2018-03-31 01:37:59,"b'@BUHTREECE I just... I don\xe2\x80\x99t even know what to feel \xf0\x9f\xa4\x94 I took it twice, picked different answers, still got the same\xe2\x80\xa6 https://t.co/lJ1RKDJ3n7'"
979194693220290561,2018-03-29 03:13:02,b'#skies getting much deserved recognition.  @BVNW / @coachedfritz  https://t.co/tuwuB5jahq'
979002645120671745,2018-03-28 14:29:54,b'Lovely surprise on my desk this morning from @Fleishman \xe2\x80\x93 can\xe2\x80\x99t wait to put these to use \xf0\x9f\x92\x99 https://t.co/AIsptzDOvD'
978993918703538176,2018-03-28 13:55:13,"b'Absolutely love @KendraScott, her story and (of course) her jewelry \xf0\x9f\x92\x9b\xe2\x9c\xa8 // great piece on @CBSThisMorning'"
