id,created_at,text
1067620810536493057,2018-11-28 03:26:51,"b'RT @RodneyHansen: Thanks @Tesla, for keeping my blue suede shoes dry! \xe2\x98\x94\xef\xb8\x8f  #summon #model3 #tesla https://t.co/IsZuR0kd6M'"
1067609097980268544,2018-11-28 02:40:18,"b'RT @Complex: Everyone come look at this absolute unit of a cow...\n\nTurns out being 3,086 pounds and twice as heavy as a normal cow actually\xe2\x80\xa6'"
1067608857713799169,2018-11-28 02:39:21,"b'RT @saeed6ali: This Syrian refugee has endured months of racist bullying in a school in Sheffield, the thugs already broke his arm and now\xe2\x80\xa6'"
1067607913961803776,2018-11-28 02:35:36,b'RT @AyeMigoo_: ATMs spitting out $100s by accident and niggas finding 7.5 million in a storage unit. What do I gotta do mannnnn come on'
1067607576727166978,2018-11-28 02:34:16,b'RT @osnapitzambs: somewhere right now in florida there\xe2\x80\x99s a middle school boy at his bus stop in shorts saying \xe2\x80\x9cits not even that cold\xe2\x80\x9d'
1067522534864752641,2018-11-27 20:56:20,b'@curldoc https://t.co/goPqrB2KeS'
1067514019047768064,2018-11-27 20:22:30,b'RT @Wario64: Neon Genesis Evangelion coming to Netflix in Spring 2019 https://t.co/t7JFwQf1Zr https://t.co/3UkS7lBC5u'
1067512700085907456,2018-11-27 20:17:15,"b'RT @somebadideas: Evangelion is seriously fucked up, in the best way. Landmark work of 20th century pop culture still being copied 20 years\xe2\x80\xa6'"
1067512599925964801,2018-11-27 20:16:51,b'RT @somebadideas: Whoa do we have to bring up a Westernized Evangelion movie adaptation again...\n\nIt\xe2\x80\x99s great because it\xe2\x80\x99s a desperate psych\xe2\x80\xa6'
1067512541457338370,2018-11-27 20:16:37,b'RT @somebadideas: Isn\xe2\x80\x99t this part of the Insrumentality Project https://t.co/H63duyiEp0'
1067511972223229952,2018-11-27 20:14:22,b'RT @dragonballsuper: I\xe2\x80\x99m just Saiyan I wouldn\xe2\x80\x99t mind that commute\xe2\x80\xa6 \xf0\x9f\x94\xa5\xf0\x9f\x91\x80 https://t.co/3qj1oGjzEP'
1067491635439837184,2018-11-27 18:53:33,b'RT @SpacePatrolZoey: GUYS\nNOW THAT EVANGELION IS GONNA BE ON NETFLIX EVERYONE CAN SEE ONE OF MY FAVORITE SCENES EVER https://t.co/CCvo23ZAb0'
1067488073292939264,2018-11-27 18:39:24,"b'RT @Dino_Morpher: You don\xe2\x80\x99t love her. You got her smoking Dutches, this a toxic relationship. https://t.co/gxKGsocvn5'"
1067487728290459648,2018-11-27 18:38:02,b'Stress levels getting dangerously high'
1067473255248859136,2018-11-27 17:40:31,b'RT @1Charvo: https://t.co/H13SPf0NZV'
1067472694017515522,2018-11-27 17:38:17,b'Damn 5 years already? Time fucking flying https://t.co/oIykIUXOIZ'
1067453045641027584,2018-11-27 16:20:13,b'Any of my followers go to Broward College currently? Need a favor'
1067447526062739456,2018-11-27 15:58:17,"b'RT @jaeIeon: *shows mom a funny video*\n\nmy mom: haha, who is that?!\n\nme: https://t.co/3O5UEdVcsq'"
1067440360190894080,2018-11-27 15:29:48,b'Gonna have to rewatch neon genesis on Netflix cause why not'
1067440180968210432,2018-11-27 15:29:05,b'RT @XianMSG: @NXOnNetflix @netflix https://t.co/EcvKxFSX3l'
1067439983332601856,2018-11-27 15:28:18,b'RT @NXOnNetflix: All\xe2\x80\x99s right with the world: Neon Genesis Evangelion is coming to @Netflix. https://t.co/2pQ1lG1h9e'
1067247847458914304,2018-11-27 02:44:49,b'RT @SUPA_COU: They know my energy is real now. They feel it.\n\n@_EliHawkins @_fuckgio @livewems @Kev_TheCreation @YeahitsOliVVV @SunniiiD3 @\xe2\x80\xa6'
1067217299990609920,2018-11-27 00:43:26,b'RT @Complex: Donald Glover previewed his new movie with Rihanna at his festival in New Zealand over the weekend: https://t.co/E8m5uFA0qm\n\nh\xe2\x80\xa6'
1067214269815635968,2018-11-27 00:31:24,b'RT @taesyves: I would happily erase my memory to be able to experience this scene for the first time again https://t.co/kO5cJEGpZZ'
1067176325918674946,2018-11-26 22:00:37,b'RT @weebesthetic: https://t.co/1DBQmW4iBf'
1067126508895039490,2018-11-26 18:42:40,b'Catch me chillin\xe2\x80\x99 with Lofi hip hop mixes playing in the backgorund'
1067126249867350016,2018-11-26 18:41:38,b'RT @_RedNinja: YOSEMITE (FEAT. YOSEMITE) https://t.co/hC8bZpNKYa'
