id,created_at,text
423958415715471360,2014-01-16 23:22:17,"b'RT @trumpetcake: I\'m not a huge coffee drinker. I\'m like 5\'9"" at most.'"
285427000498343936,2012-12-30 16:47:54,"b'RT @shariv67: We only use 10% of our brains because the other 90% is busy regretting saying ""You too!"" to a waiter after he said ""Enjoy  ...'"
285426592660983809,2012-12-30 16:46:17,b'RT @donni: Hard to take rappers seriously once you realize they too have nipples'
285426502999371778,2012-12-30 16:45:55,"b'RT @hihough: \xe2\x80\x9cStaycation\xe2\x80\x9d is a nice euphemism for wrapping yourself in a blanket, ordering takeout, tearing through magazines and half w ...'"
285426394421407744,2012-12-30 16:45:30,b'RT @badbanana: That awful feeling when you hear something downstairs and you suddenly realize your neighbors have cut their vacation short.'
285426296014635009,2012-12-30 16:45:06,"b'RT @UncleDynamite: Even with the promotion, the only thing keeping Bob Cratchit from quitting is the health care.'"
285425964253577216,2012-12-30 16:43:47,"b'RT @SheBanggs: Remember before Caller ID how we used to answer the phone with absolutely no idea who the hell was calling us? Christ, we ...'"
285425230070026240,2012-12-30 16:40:52,b'RT @MikeAndreasen: The City Of Omaha is the Mark Sanchez of snow plowing.'
285424853488660482,2012-12-30 16:39:22,"b'RT @SheBanggs: Question: In the movie Les Mis\xc3\xa9rables, why does Anne Hathaway have to be in it?'"
273983578344407042,2012-11-29 02:55:50,"b'RT @UncleDynamite: ""I am a Lannister. Tyrion, son of Tywin. Of course, you\'ve also heard the phrase \'A Lannister always...uh...he always ...'"
273983347951276032,2012-11-29 02:54:55,"b'RT @SheBanggs: Say what you will about Stevie Nicks, but she made her Ex-Boyfriend sing and play guitar on songs she wrote about what an ...'"
273983252325339137,2012-11-29 02:54:32,b'RT @robdelaney: One advantage to eloping is that you\xe2\x80\x99ll never have to FOUL your lips with the word \xe2\x80\x9cfianc\xc3\xa9.\xe2\x80\x9d'
273983206494183424,2012-11-29 02:54:21,"b'RT @MrWordsWorth: Obama to Serve Romney Popcorn, Toast, Pretzel &amp; Jelly Beans for Private Lunch.'"
273983088835584003,2012-11-29 02:53:53,"b""RT @SheBanggs: Just so we're clear, posting a photo of your Powerball ticket on Facebook doesn't improve your chances of winning the Pow ..."""
255815449206456320,2012-10-09 23:42:10,"b'RT @DamienFahey: ""Mmm, candy corn. My favorite!"" - Mitt Romney'"
255815254683033600,2012-10-09 23:41:24,"b""RT @SheBanggs: I can't believe our parents used to have to sit &amp; wait for someone to develop their film before they could show off p ..."""
245831193373839360,2012-09-12 10:28:18,"b""RT @fireland: Who here likes doing the sad sandpiper?? It's a sex thing I just made up. You're gross if you do it. The human body is rep ..."""
244858680665841664,2012-09-09 18:03:53,b'RT @BDGarp: \xe2\x80\x9cI\xe2\x80\x99m just going to sit here and look stoned and then when you least expect it I\xe2\x80\x99m going to lick my butthole.\xe2\x80\x9d\n\n ~Cats'
244858652090040320,2012-09-09 18:03:46,"b'RT @UncleDynamite: I call your look ""documentary filmmaker dad.""'"
244858608775487488,2012-09-09 18:03:36,b'RT @sucittaM: Whenever I stub my toe I automatically blame and hate the next person I see.'
244858324481359872,2012-09-09 18:02:28,"b""RT @mikeandreasen: If there's one thing we can all agree on, it's politics."""
237766982391439360,2012-08-21 04:24:00,b'RT @UncleDynamite: Where do they have Parker Posey locked away? Can I send her a bible?'
237766951311667201,2012-08-21 04:23:53,b'RT @SheBanggs: I wonder who Anne Hathaway is bothering right now.'
237766898723454978,2012-08-21 04:23:40,"b""RT @JennyJohnsonHi5: Hilary Swank seems to be completely unaware she's a lesbian."""
236876853816733696,2012-08-18 17:26:57,"b""RT @UncleDynamite: Zuckerberg's Law: The passion to protect your customers' privacy and data wanes the closer you get to your IPO date."""
236876562597806081,2012-08-18 17:25:48,b'RT @BDGarp: A picture is worth a thousand words. Yesterday my girlfriend wrote 50 novels on Instagram.'
236876505135841280,2012-08-18 17:25:34,"b'RT @SheBanggs: When in doubt, just do the opposite of whatever the dude wearing crocs and sweatpants is doing.'"
221476198864261122,2012-07-07 05:30:15,"b""RT @fleshcake: It's not a party 'til someone posts their cat's horoscope on FB."""
212633517966884864,2012-06-12 19:52:35,b'RT @kellyoxford: If your baby is carrying around a cell phone I will trip that baby.'
185188161473875970,2012-03-29 02:14:32,b'RT @UncleDynamite: Remember that in 1984 98% of the world thought Lionel Richie was more important than Marvin Gaye. Then these people bred.'
180700081580818433,2012-03-16 17:00:31,"b'RT @BDGarp: If you don\xe2\x80\x99t wash your hands when you pee, we can\xe2\x80\x99t be friends. Or shake hands.'"
180700062177964032,2012-03-16 17:00:26,"b""RT @sucittaM: In the director's cut Mrs. Doubtfire totally bangs that bus driver."""
180699991663325184,2012-03-16 17:00:09,b'RT @mikeandreasen: I honestly expected to be selling my very own line of designer jorts by now.'
180699757902184448,2012-03-16 16:59:14,"b""RT @SheBanggs: You never meet anyone who's quietly in training for a charity run."""
179765636505939969,2012-03-14 03:07:22,b'RT @sucittaM: I wore a red shirt to Target and moved all the DVDs to the frozen food section without anyone questioning me at all.'
177134147947593729,2012-03-06 20:50:46,"b'RT @UncleDynamite: I have had it up to here with pomegranates. Bring on the next obscure, expensive, cranberry-like thing that is specif ...'"
172499420959612928,2012-02-23 01:54:01,"b'You know, if I were you I\xe2\x80\x99d concentrate on the fact that it\xe2\x80\x99s 105 degrees inside, but I suppose it\xe2\x80\x99s a dry heat & I\xe2\x80\x99m just an old fuck.'"
172198436702134272,2012-02-22 05:58:01,b'Make it go back! Make it go back! Turn back the world!'
172141567463800832,2012-02-22 02:12:02,"b'If you\xe2\x80\x99ve looked for cruise-ship cuisine on dry land, and you like dining in the round, have I got the place for you!'"
172136216127471617,2012-02-22 01:50:46,"b""Sweet Jesus, it's like a house of cards!"""
167278494945001472,2012-02-08 16:07:55,"b""You can't hurt me.  I'm invincible.  I've got the shield of love around me."""
141388584887398400,2011-11-29 05:30:40,"b""I'm guessing not a single member of Air Supply made Rolling Stone's Top 100 Guitarists of All-Time List.  Snub!"""
138018599238504448,2011-11-19 22:19:32,"b""RT @sucittaM: I gave my dog an old sock tied in a knot and told him it was an Xbox. So far he's buying it."""
138018327606988800,2011-11-19 22:18:28,"b""RT @SheBanggs: I spend most first dates asking a guy about the street he grew up on & his first pet's name so I'll at least have access  ..."""
133020036980944897,2011-11-06 03:17:02,b'RT @MrWordsWorth: Nothing is better than kissing. Nothing.'
126364649204629505,2011-10-18 18:30:54,b'RT @MrWordsWorth: Rock band The Tea Party to sell its domain name to the Tea Party. Lipton reps disappointed. They thought they had it i ...'
123971122889887744,2011-10-12 03:59:53,"b'Not today, check engine light.'"
123454756403417088,2011-10-10 17:48:02,b'RT @sucittaM: The fact that an animal had to die in order for me to sit in my car and eat a sandwich makes me feel kinda powerful.'
122046987318214656,2011-10-06 20:34:03,"b""It's appropriate that most of these jokes aren't PC because I don't think Steve Jobs would have it any other way."""
121991907835510784,2011-10-06 16:55:11,b'RT @UncleDynamite: I wonder how the Westboro Baptists can justify yet another day off from their guard jobs at Azkaban Prison to picket  ...'
118515182984110081,2011-09-27 02:39:56,"b""It's not gay unless you bend over and see four balls."""
116932735171444736,2011-09-22 17:51:51,"b'Not that I need it, but I bet Nick Nolte would give me his liver.'"
113036467512676354,2011-09-11 23:49:28,"b""RT @benmarvin: I was gonna watch the news today, but they're just playing 10 year old reruns."""
112027508634951681,2011-09-09 05:00:14,"b""If I was a puppet, I'd be all about having sex with Lady Elaine Fairchild.  I don't give a shit."""
111623637710290944,2011-09-08 02:15:23,b'I miss the mug shot Nick Nolte most of all.'
110823680002625539,2011-09-05 21:16:38,"b""I'm not sure that many of you are aware of this, but I'm a platypus."""
109108244810711040,2011-09-01 03:40:07,b'Memo to documentary filmmakers:  More narrating by Javier Bardem doing his Anton Chigurh voice. Trust me on this one.'
108743811886354432,2011-08-31 03:31:59,"b""RT @fleshcake: If the part of my back I can't reach were a person, I'd give him a titty twister he'd never forget."""
106580841265758208,2011-08-25 04:17:07,b'Kudos to all of you responsible for keeping Dennis DeYoung out of the news for so many years.  You know who you are.'
106579093612527616,2011-08-25 04:10:10,"b""You're all in for a big treat once you realize I've been cast as the new Bobby Draper."""
106115685922521088,2011-08-23 21:28:45,"b'RT @EliBraden: Today definitely not the first time I\'ve heard the words, ""5.9? Are you sure? Felt smaller than that.""'"
103679429653434368,2011-08-17 04:07:56,"b'RT @emcognito: The song ""Brick"" would have been shorter if Ben Folds just pushed her down the stairs.'"
103678595934851073,2011-08-17 04:04:38,"b""Speaking of comebacks:  We're ready whenever you are, Ross Perot."""
103677187978313728,2011-08-17 03:59:02,"b""Sometimes sharts just have a life of their own.  Like this one for example.  No getting up for me, I'm not picky."""
102899840488456192,2011-08-15 00:30:08,b'My body is a wonder bra.'
102029133747462144,2011-08-12 14:50:15,"b'RT @michael_J_m00n: I called the Chinese laundry by mistake to order lunch. Lunch was good, but an hour later I was naked again.'"
99696691422314496,2011-08-06 04:21:58,"b""RT @donni: Hey, Matchbox 20, that's matchbox plenty."""
99696578016722944,2011-08-06 04:21:31,"b""RT @SheBanggs: I hope that I'm never too cynical to enjoy watching an elevator door close on a beautiful woman running up to try and sto ..."""
98947059348017152,2011-08-04 02:43:11,"b""Here's something fun to do at home in the dark:  A fat chick with no tits."""
98239346271977472,2011-08-02 03:51:00,b'I\xe2\x80\x99d kill for a Dreamsicle right now.'
94854826269224960,2011-07-23 19:42:07,b'It makes all the sense in the world that Jimmy Fallon would even laugh while masturbating.'
93156604765147136,2011-07-19 03:14:00,b'RT @sucittaM: YEAH I EAT STARBURST WITH THE WRAPPERS ON SO WHAT?! WHAT HAVE YOU EVER DONE?!'
93156472413896704,2011-07-19 03:13:28,"b'RT @SheBanggs: It should have been you, Facebook.'"
93154959092236289,2011-07-19 03:07:27,"b""It's like my mom always said, somebody's gotta fuck the fat chick."""
90258979212627968,2011-07-11 03:19:52,"b'RT @OverlandParker: ""I say we reduce the US budget deficit by making cuts to anything that won\'t affect me, my friends, or my family in  ...'"
90255988032147456,2011-07-11 03:07:59,"b""Oh how I've missed you, Marty Funkhouser."""
89531672374149120,2011-07-09 03:09:48,"b'For a lot of us, Betty Ford already died many, many years ago.'"
89098149389545473,2011-07-07 22:27:08,"b""That's enough from you, parents of weird children with Pete Rose bowl haircuts."""
86849206253404160,2011-07-01 17:30:39,"b""I'm just living the wet dream."""
85856559711789056,2011-06-28 23:46:13,"b""I'd rather have someone eat shit & live to watch the Youtube video of them devouring it."""
85495965359935488,2011-06-27 23:53:21,b'RT @UncleDynamite: I might like you better if we planked together.'
83234830774571008,2011-06-21 18:08:24,b'RT @MrWordsWorth: Always remember that Flintstone kids got to 10 million before Foursquare did.'
82987319661047808,2011-06-21 01:44:53,"b'Now that we have a little bit of distance from it, I think we can all go ahead and admit that the Macarena was just good music.'"
82937318981386240,2011-06-20 22:26:12,"b""I think the biggest risk I take in my life is using a big word in conversation with only 3% certainty that I've pronounced it correctly."""
81134198013952000,2011-06-15 23:01:14,"b'The last thing I want to hear right before having sex is, ""These aren\'t the droids I was looking for"".'"
79406669460807680,2011-06-11 04:36:39,"b""Don't tell anyone, but I'm fucking a fat chick."""
79382682500472832,2011-06-11 03:01:21,b'I miss the Robert Downey Jr. who knew where you could score the really good drugs.'
78676606608093184,2011-06-09 04:15:39,"b""Even though I've never seen it with my own eyes, I have a pretty good idea of what Mick Fleetwood's penis looks like."""
