id,created_at,text
1067642977915494401,2018-11-28 04:54:56,b'Why does this make sense tho https://t.co/VyIEmppUFB'
1067598812921905154,2018-11-28 01:59:26,b'Contrasts are beautiful.'
1067598748535148546,2018-11-28 01:59:11,b'Same when a delicate feminine woman shows fierceness and strength. Bruh.'
1067598608101449728,2018-11-28 01:58:37,"b'When a strong ass tough ass man shows tenderness, that ish is beautiful!!! Men have not begun to comprehend this.'"
1067592515690344448,2018-11-28 01:34:25,"b'I mean. A woman makes a house a home. Groceries, a meal. Sperm, a life. \n\nWe are magic.'"
1067591488920580097,2018-11-28 01:30:20,b'And I mean fierce feminist in the most respecting of roles way. Cuz I\xe2\x80\x99m totally not ok with a lot of feminist ideal\xe2\x80\xa6 https://t.co/COIj0tRpDq'
1067591296871792640,2018-11-28 01:29:34,b'Ok. I like being manhandled. \n\n#ytho \n\nThe fierce feminist in me is like wtf chick!!!!???'
1067589929612394496,2018-11-28 01:24:08,b'Backsquats at 195lbs for 5 reps right now. \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd\nMy 1 rep must be around 220lbs... we shall see'
1067589700830019584,2018-11-28 01:23:14,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/dUal4f1tGX'
1067553388337012736,2018-11-27 22:58:56,b'Focusing on being whole in me instead of the hole in me \n\n#thatwasfun lol'
1067543786811793410,2018-11-27 22:20:47,b'Queen of the Universe. https://t.co/7kLToZJ2kh'
1067532386441850881,2018-11-27 21:35:29,"b""It's all gonna work out. I know it. I believe it."""
1067484367189172227,2018-11-27 18:24:40,"b'""I knew I was on the right path when I started feeling peace in situations where I would normally feel tension""'"
1067448711394013184,2018-11-27 16:02:59,b'RT @heythandi: Many of you will miss Divine orchestrations because you\xe2\x80\x99re so focused on controlling the connection instead of letting it un\xe2\x80\xa6'
1067420656831291392,2018-11-27 14:11:30,b'Smelled a familiar cologne this morning and my stomach churned. Eeeek.'
1067276089406488576,2018-11-27 04:37:03,b'Twitter is much fun. I need new ppl to follow. \nIntellectual twitter and Black twitter \nNeed only apply.'
1067274005038673920,2018-11-27 04:28:46,b'@Womb_Beater_69 @ToriNicksWho https://t.co/NVXRZZeLL6'
1067270684555046912,2018-11-27 04:15:34,b'Stay posted. You will see.'
1067257766727872512,2018-11-27 03:24:14,b'This hyper focus on self love and just being better feels soooooooo good. I legit have butterflies in my tummy all\xe2\x80\xa6 https://t.co/M9lkDluAMU'
1067255853504446464,2018-11-27 03:16:38,b'Sitting with a good friend and talking for hours is frikin HEALING. Love my close female friends\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f so much love\xe2\x80\xa6 https://t.co/z1OSnAMTcV'
1067184413602181121,2018-11-26 22:32:46,b'Fuuuuuuuuuuuuuuhhh'
1067162880381018113,2018-11-26 21:07:12,"b""My hair is thicker and I'm loving it. \nStarted wondering why , googled it and..... it's cuz of the 2lbs of Brussel\xe2\x80\xa6 https://t.co/WLiFz6MQYw"""
1067138029213618177,2018-11-26 19:28:27,b'manipulation is just another manifestation of lack of self-love https://t.co/lZjQjbZbgW'
1067137867506421760,2018-11-26 19:27:48,b'run deeper into yourself. https://t.co/HkqpFV4w5T'
1067137796626878465,2018-11-26 19:27:31,b'RT @tebogonong_: People can love you and honour you; but will you be able to stand alone in your own love. when they can\xe2\x80\x99t invest that sort\xe2\x80\xa6'
1067137776087375873,2018-11-26 19:27:26,"b'RT @tebogonong_: We\xe2\x80\x99re human so we get lazy and instead of doing the inner-work we reach out to other people to fill us , going they\xe2\x80\x99ll lov\xe2\x80\xa6'"
1067137588971167749,2018-11-26 19:26:42,"b'RT @tebogonong_: Self-love is so easy to discuss in theory the practical aspect of it is quite a process , one that has to be nurtured ever\xe2\x80\xa6'"
1067118220749013004,2018-11-26 18:09:44,"b""No matter how you slice it, no matter who falls short or doesn't... it's a loss."""
1067063440034988032,2018-11-26 14:32:03,"b'\xe2\x80\x9cYou doing you, affects me\xe2\x80\x9d'"
1067063358984265728,2018-11-26 14:31:44,b'All of us are deeply connected'
1067056003286556672,2018-11-26 14:02:30,b'Someone pulled the brakes on the train so now we are stalled until God knows when. Happy Monday.'
1067052406582755328,2018-11-26 13:48:13,b'Oh Monday. Here we go. New week with a new shift in my life. Yet again.'
1066903054354665473,2018-11-26 03:54:44,b'Do what is best for YOU. \nPresent and future.'
1066901968231256065,2018-11-26 03:50:25,b'If there\xe2\x80\x99s one things I\xe2\x80\x99ve promised myself is to never be ok with my dysfunction. Every day I\xe2\x80\x99m working on improving.'
1066892731430199297,2018-11-26 03:13:43,b'the best is yet to come.'
1066892458775195648,2018-11-26 03:12:38,"b""i mean, it's ok to just cry sometimes. really."""
1066858037552562180,2018-11-26 00:55:52,b'RT @matthaig1: A flaw of depression is that when you need the most sympathy you reject it. You resist the help because you don\xe2\x80\x99t value the\xe2\x80\xa6'
1066842771330424832,2018-11-25 23:55:12,b'There\xe2\x80\x99s just no way Evelyn and David are gonna last. Not compatible. #90dayfiance'
1066839890439139328,2018-11-25 23:43:45,b'I have a speck right in the middle of my eye and it\xe2\x80\x99s driving me INSANE. I\xe2\x80\x99ve tried to run water on it and nothin. \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
1066814690888728576,2018-11-25 22:03:37,b'The biggest lesson for me of 2018 is: \nLet things be. \nLet people be. \n#stoicism'
1066782412368171008,2018-11-25 19:55:21,"b'RT @The_livinproof: Some of us get what we deserve, and most of us get what we allow.'"
1066723096789467136,2018-11-25 15:59:39,"b'RT @BookOProverbs: Peace is not the absence of affliction, but the presence of God.'"
1066709256366407682,2018-11-25 15:04:39,b'Reminder: discipline is self-love. \n\nIf u r constantly procrastinating on things that r for ur betterment (ex. exer\xe2\x80\xa6 https://t.co/o4aqY7Hnmb'
1066704763725770753,2018-11-25 14:46:48,b'Self-love &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;'
1066704689067171840,2018-11-25 14:46:30,b'#selflove #selflove #selflove #selflove #selflove #selflove #selflove #selflove #selflove #selflove #selflove\xe2\x80\xa6 https://t.co/vfI1VPu9es'
1066509387337015301,2018-11-25 01:50:27,b'Broooo Evelyn is so frikin selfish. David run the other way!!!! #90DayFiance'
1066505226163798017,2018-11-25 01:33:55,b'@KevOnStage Lmaoooo and yet I still will never understand how ppl eat ass. Ass. always. stinks. \xf0\x9f\x98\x82'
1066476625645236225,2018-11-24 23:40:16,b'Moving forward I will take myself out more. Planning a solo trip starts NOW. Being my own travel buddy sounds absolutely lovely'
1066476425870491649,2018-11-24 23:39:28,"b'I must say, me dating myself and having a good time while at it is priceless. #selflove'"
1066476220475469824,2018-11-24 23:38:39,b'Went on a hot date today. Had a lot of fun!'
1066475143810170880,2018-11-24 23:34:23,b'Hey #amctheater25 @AMCTheatres #TimesSquare #nyc the water coming out of the faucet smells like sewer water. Absolutely gross.'
1066470840605294592,2018-11-24 23:17:17,"b'And the Disney princesses all \xe2\x80\x9crescuing a big strong man\xe2\x80\x9d, made me cry tears of joy Hahahaha SO GOOD SO SO GOOD #ralphbreakstheinternet'"
1066470709617197057,2018-11-24 23:16:45,b'Ralph fighting against himself and his insecurities and co-dependency. Bruh. This is golden. Real life lessons in t\xe2\x80\xa6 https://t.co/hybRfwranW'
1066470076486946816,2018-11-24 23:14:14,b'Anybody here for the profound lesson in #RalphBreaksTheInternet ?!  Yasssss Disney yassssss'
1066468757617418245,2018-11-24 23:09:00,b'Needy clingy and self-destructive \n\xf0\x9f\x99\x85\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x85\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f #lessonsfromdisneymovies #ralphbreakstheinternet'
1066467733443932160,2018-11-24 23:04:56,b'The Disney Princesses scene on #ralphbreakstheinternet\xe2\x81\xa0 \xe2\x81\xa0 !!!!!!!!!!!! My face: \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
1066446328186765317,2018-11-24 21:39:52,b'Bruh. Dumbo live action? Disney needs to chill \xf0\x9f\x98\xad'
1066438347197943808,2018-11-24 21:08:10,b'Truly @RedTableTalk is just like the conversations I have with my close friends. That\xe2\x80\x99s cool. Something real and no\xe2\x80\xa6 https://t.co/9F3JeybuA1'
1066430556089524225,2018-11-24 20:37:12,b'Officially Christmas time !'
1066421909393481730,2018-11-24 20:02:51,"b'Oh and teeth! \nYou got hella plaque? Please speak covering your mouth or, like, floss every single day\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'"
1066421654291660800,2018-11-24 20:01:50,"b'Says a lot when a man has clean nails, toenails and ears.'"
1066421037120847875,2018-11-24 19:59:23,"b'RT @ToriNicksWho: If everything is dual in nature, then you have a choice in which side you observe &amp; embrace the most. If all things are g\xe2\x80\xa6'"
1066419992932044801,2018-11-24 19:55:14,"b'Everyday I\xe2\x80\x99m changing. Learning. And I want that to lean towards growth, towards betterment, always. \nI am achievin\xe2\x80\xa6 https://t.co/7EWBk5oKoZ'"
1066391943108792325,2018-11-24 18:03:46,b'Its COMICAL that all these ppl on #90DayFiance swear that living in America is the best thing since sliced bread.\xe2\x80\xa6 https://t.co/fd56S0gBiX'
1066365700460167168,2018-11-24 16:19:29,"b'When u love urself for real, it\xe2\x80\x99s easy to pinpoint what u don\xe2\x80\x99t want.'"
1066192464044847105,2018-11-24 04:51:06,b'The injured finger brings on more injuries. \n#dominicanismsinenglish'
1066191410850877441,2018-11-24 04:46:55,b'It\xe2\x80\x99s not the same to call the devil than see him arrive. \n#dominicanismsinenglish'
1066191125155930112,2018-11-24 04:45:47,b'I gotta put my batteries on. #dominicanismsinenglish'
1066154115779239936,2018-11-24 02:18:44,"b'\xe2\x80\x9cWhen you are precious to God, You\xe2\x80\x99re as important to Satan\xe2\x80\x9d'"
1065976393815609344,2018-11-23 14:32:31,b'Dead. https://t.co/9K6ryTZ4yM'
1065717199049031680,2018-11-22 21:22:34,b'It\xe2\x80\x99s crazy to me how envious and hateful ppl can be sometimes. Wow.'
1065657459430342657,2018-11-22 17:25:11,"b'RT @Maryamhasnaa: You aren\xe2\x80\x99t insecure, your ego is.'"
1065656628865835010,2018-11-22 17:21:53,"b'\xe2\x80\x9cI am willing to release the need for _______ (insert here a condition, illness, or negative thought or behavioral\xe2\x80\xa6 https://t.co/XZomW2iz4F'"
1065606779453784067,2018-11-22 14:03:48,b'Be kind to yourself. Love and approve of yourself.'
1065606777524359172,2018-11-22 14:03:48,"b'\xe2\x80\x9cIf ur inner belief thought pattern is \xe2\x80\x98I am unworthy\xe2\x80\x99, then one of the outer effects will prob be procrastination.\xe2\x80\x9d\n\nOh.'"
1065597546003869696,2018-11-22 13:27:07,b'The older I get and the more I analyze it I don\xe2\x80\x99t think a child needs to ever be hit. Our strength is greater than\xe2\x80\xa6 https://t.co/8bzItgEvx6'
1065597505528832000,2018-11-22 13:26:57,"b'I have a 4yr old nephew and even when he\xe2\x80\x99s super bad, a stern look and a yank of the arm gets him to get his life t\xe2\x80\xa6 https://t.co/r8KE8mulHI'"
1065597500252454913,2018-11-22 13:26:56,"b'From what I\xe2\x80\x99ve seen, kids that get hit grow up to either be angry/violent or to suppress a whole deal of anger and that\xe2\x80\x99s toxic.'"
1065594299000283137,2018-11-22 13:14:13,b'Ppl actually do that? Wtf? Children do not have the capacity to understand this dynamic. \nI think some sort of puni\xe2\x80\xa6 https://t.co/roq62QbnO4'
1065593702821830657,2018-11-22 13:11:51,b'@Stephy_Snaps I\xe2\x80\x99m only on twitter now. Deleted IG and FB apps from my phone. My life has improved significantly lol'
1065420558563778560,2018-11-22 01:43:50,"b'RT @Maryamhasnaa: Whenever something you want does not manifest in your life, it means your energy is simply not a match to that thing. \n\nS\xe2\x80\xa6'"
1065415930421891072,2018-11-22 01:25:26,b'@naimaism Yams &gt;&gt;&gt;&gt; sweet potatoes'
1065415726536802305,2018-11-22 01:24:38,b'@ToriNicksWho I agree with Hertz. Phytoestrogens don\xe2\x80\x99t affect the body like (animal) estrogen does (like the type u\xe2\x80\xa6 https://t.co/EdVNBr4Ukn'
1065393782571585537,2018-11-21 23:57:26,b'Can fetishes be non-sexual? \nIf so I have a serious fetish with watching ppl eat hahah \nUnless they eat with their\xe2\x80\xa6 https://t.co/UI4XQ1Tq5o'
1065370044207693824,2018-11-21 22:23:06,b'This will be a different thanksgiving.'
1065369474004672512,2018-11-21 22:20:50,b'Much truth lol https://t.co/XvenGeKLw0'
1065368578420019203,2018-11-21 22:17:17,b'@LauneAndrea Lol need to get a few things straightened out before that happens.  \nAnd congrats!!!! \xe2\x9d\xa4\xef\xb8\x8f'
1065368377978322944,2018-11-21 22:16:29,b'LMAOOOL https://t.co/tDhBgv1xaS'
1065368275528359938,2018-11-21 22:16:05,"b'RT @DerrickJaxn: A lot of women think because their heartbreak was caused by a man, their healing should be, too. No. As unfair as it is, h\xe2\x80\xa6'"
1065299330087690241,2018-11-21 17:42:07,b'I need an explanation. How/why are Azan and Nicole getting married? Like how is that gonna work? #90dayfiance #season4'
1065295778585939968,2018-11-21 17:28:00,b'I often think how having my old child would make me not feel lonely but that\xe2\x80\x99s defff not a good reason to have a kid. Dangerous waters.'
1065295520686645251,2018-11-21 17:26:59,b'Sometimes I\xe2\x80\x99m so dang lonely. Bleh.'
1065293843329896448,2018-11-21 17:20:19,b'#attacked https://t.co/9WHOlvY2Ho'
1065265648840966145,2018-11-21 15:28:17,b'@crazyorloco lolll!!!! \n(to me ur an exception as well tho)'
1065262818927263755,2018-11-21 15:17:02,b'I thank God I enjoy good health. \nBut right now this lower back pain due to bad form on a heavy dead-lifting legit\xe2\x80\xa6 https://t.co/FHHmJoHLbz'
1065252701183885312,2018-11-21 14:36:50,b'RT @Lin_Manuel: Gmorning Grateful Grateful Grateful Grateful Grateful Grateful Grateful Grateful Grateful Grateful Grateful Grateful Gratef\xe2\x80\xa6'
1065251903918039040,2018-11-21 14:33:39,b'I haaaaaaaaate when ppl exhale over me. \nI. Do. Not. Want. To. Inhale. Your. Breath. Unless ur an infant child. \nBr\xe2\x80\xa6 https://t.co/Y7V0JGdDeH'
1065250339190910976,2018-11-21 14:27:26,"b'""we make them tolerable"" LMAO https://t.co/AtV1Mi4BJ5'"
1065249826466660352,2018-11-21 14:25:24,"b'@Stephy_Snaps Bruh. I\'m hooked. But I\'m in season 4 tho. I def say ""wtf"" at least 3x per episode.'"
1065246168253427713,2018-11-21 14:10:52,b'There are certain kinds of female bodies where mom jeans look frikin spectacular. I be lookin\xe2\x80\x99 and I be starin\xe2\x80\x99!!!!'
1065105419041980416,2018-11-21 04:51:35,b'@crazyorloco \xe2\x9d\xa4\xef\xb8\x8f'
1065101203217018880,2018-11-21 04:34:50,b'And Anfisa\xe2\x80\x99s lips are hideous. I don\xe2\x80\x99t think she\xe2\x80\x99s pretty. She\xe2\x80\x99s shallow and dull. #90Dayfiance'
1065100429858652160,2018-11-21 04:31:45,b'As I watch Anfisa on #90Dayfiance I\xe2\x80\x99m just like \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f who raised this woman!? Lord.'
1065082695410159616,2018-11-21 03:21:17,"b""RT @ashleylatruly: Y'all. Do what your heart is begging you to do. The resources will align. The team will align. The opportunities will al\xe2\x80\xa6"""
1065016461528367104,2018-11-20 22:58:06,b'I\xe2\x80\x99ll never forget when an ex asked me \xe2\x80\x9cdo you love you?!?\xe2\x80\x9d when I was crying/complaining it felt like he didn\xe2\x80\x99t lov\xe2\x80\xa6 https://t.co/lqp3iBDEpT'
1065016027556265984,2018-11-20 22:56:22,b'U know that new relationship feeling? U get butterflies in ur stomach. Ur excited. U smile a lot. U glow. Know what\xe2\x80\xa6 https://t.co/1UaFUowHSa'
1065013848766332928,2018-11-20 22:47:43,b'@RedTableTalk part 2 of becoming mr and mrs Smith left me breathless. I\xe2\x80\x99m gonna re-watch a few times.'
1064997291759681536,2018-11-20 21:41:55,"b'""The most dangerous things to children are the unlived lives of their parents."" - Carl Jung'"
1064991037939204103,2018-11-20 21:17:04,"b'I have so many questions for @jadapsmith and Will as I watch to part 2 of ""Becoming Mr. and Mrs. Smith"" where they\xe2\x80\xa6 https://t.co/8qZIVnGtCN'"
1064988820070965248,2018-11-20 21:08:15,"b'""We expect other ppl to love us more than we love ourselves."" Faulty thinking!\n@jadapsmith should consider being a therapist maybe? haha'"
1064986577829535744,2018-11-20 20:59:21,"b""It's supposed to be that way but it doesn't go that way, almost never. Folks put their kids before anything else. A\xe2\x80\xa6 https://t.co/uWksUF41i9"""
1064974956260409344,2018-11-20 20:13:10,b'Red Table Talk got me like............ #WOW'
1064932773335625729,2018-11-20 17:25:33,b'Discipline is self-love yall.'
1064929699443412993,2018-11-20 17:13:20,b'The self-love!!!!!!!!!!!!!!! https://t.co/1AWbBXpKQ4'
1064929614764621825,2018-11-20 17:13:00,"b'Snoop Dogg thanking himself for putting in the work, for believing in himself, for doing more right than wrong.. is goals!!\nSELF-LOVE !!!'"
1064906973953646595,2018-11-20 15:43:02,b'RT @Debbie_Ford: Are you ready to go from inertia to action or stagnation to stupendous? The choice is yours. https://t.co/5mbkvAhwCb'
1064702134019661824,2018-11-20 02:09:04,b'My sister (the one I would never speak to again cuz she hurt my feelings lol) is the funniest girl ever. \n\nInstead\xe2\x80\xa6 https://t.co/pRIMynR4oA'
1064690994455748608,2018-11-20 01:24:48,"b""RT @matthaig1: Male suicide is the biggest killer of men under 50. \n\nIt is preventable. \n\nLet's not man up. Let's not tough it out. \n\nLet's\xe2\x80\xa6"""
1064690943813722112,2018-11-20 01:24:36,b'RT @ToriNicksWho: you kill the vibe asking questions when the energy is telling you the answers.'
1064689893614542850,2018-11-20 01:20:26,"b'Every time I say there\xe2\x80\x99s only so much my heart can take, it\xe2\x80\x99s as if the Universe considers it a challenge and gives\xe2\x80\xa6 https://t.co/p2ZwMzzh4S'"
1064647064427081729,2018-11-19 22:30:15,b'RT @ToriNicksWho: I don\xe2\x80\x99t accept aggressive rudeness from people i\xe2\x80\x99m dating. Cussing &amp; Yelling bc we not seeing eye to eye ain\xe2\x80\x99t the type o\xe2\x80\xa6'
1064644873251364864,2018-11-19 22:21:32,b'RT @ToriNicksWho: Poor Emotional Responsiveness is also a reason a lot of relationships become sexless. If you\xe2\x80\x99re not stimulating your part\xe2\x80\xa6'
1064644835414544387,2018-11-19 22:21:23,b'RT @ToriNicksWho: Don\xe2\x80\x99t settle for anyone who doesn\xe2\x80\x99t practice healthy emotional responsiveness. If they make you feel like a burden for ex\xe2\x80\xa6'
1064644798940934144,2018-11-19 22:21:14,b'RT @ToriNicksWho: if you haven\xe2\x80\x99t seen your partner all day &amp; they come home &amp; you just stay on your phone or laptop while they\xe2\x80\x99re trying to\xe2\x80\xa6'
1064644787289161734,2018-11-19 22:21:12,b'RT @ToriNicksWho: a great example I heard of healthy emotional responsiveness: your partner express they had a bad day &amp; is tired. You: \xe2\x80\x9cwo\xe2\x80\xa6'
1064644777403183105,2018-11-19 22:21:09,b'RT @ToriNicksWho: Emotional Responsiveness in intimate relationships is a major key. U must be present to engage fruitfully. If I feel my p\xe2\x80\xa6'
