id,created_at,text
1067496710111399936,2018-11-27 19:13:43,b'Gorge again today. My happy place. https://t.co/s2qtZ2jSd7'
1067287709927047168,2018-11-27 05:23:13,b'Yesterday a tour guest told Edwin she felt the spirit of a little girl in the sleeping porch on the southwest corne\xe2\x80\xa6 https://t.co/iMK6mt7OX5'
1067084891517411328,2018-11-26 15:57:18,b'Police state. \xe2\x80\x9cFreedom.\xe2\x80\x9d Yeah right. https://t.co/iRjaOXdHx4'
1066936402435338240,2018-11-26 06:07:15,b'Homework is the worst. We can never get the boys to find the focus on their own and we hardly ever have time to fin\xe2\x80\xa6 https://t.co/CcsLTaxG4N'
1066610424710225920,2018-11-25 08:31:56,b'Catpack. @ Pearl District Downtown Portland https://t.co/3Zh7d4ZAWL'
1066527922792484864,2018-11-25 03:04:06,"b'Boy at the beginning of our hike. He\xe2\x80\x99s not easy (and neither was this hike, lots of complaint). But in the end he\xe2\x80\x99s\xe2\x80\xa6 https://t.co/AbQjBDEyoW'"
1066523298320785413,2018-11-25 02:45:44,"b'Yesterday, a good number of trails re-opened. I have been waiting for this since they closed, really. The Eagle Cre\xe2\x80\xa6 https://t.co/kjdXwsDV08'"
1066235713828601856,2018-11-24 07:42:58,"b'TW: turkey.\n\nWe had no leftovers, and no gravy. So Edwin and I went to the grocery store around 7 and served dinner\xe2\x80\xa6 https://t.co/24UPPMtWWF'"
1065877718682804224,2018-11-23 08:00:25,"b'{from @cordillerantour }\n\nOn the morning of this day we, as a company, have a tradition of taking the people whose\xe2\x80\xa6 https://t.co/zAW2TEObL4'"
1065852131645607936,2018-11-23 06:18:45,"b'RT @pdxlawgrrrl: 1,034 are locked in the Multnomah County jails in Portland on Thanksgiving. Every day a little over a 1,000 people are inc\xe2\x80\xa6'"
1065509421411909632,2018-11-22 07:36:56,b'I had to send up a picture like a flare when we stopped through The Dalles for snacks that looked like maybe dinner\xe2\x80\xa6 https://t.co/cDh6YYowL9'
1065466816284250112,2018-11-22 04:47:39,b'One of the most stunning sights I\xe2\x80\x99ve ever seen. \n\n#palousefalls \n#pnwonderland @ Palouse Falls State Park https://t.co/2VdyogOEIM'
1065346368229777408,2018-11-21 20:49:02,"b'Fancy people being supah fancy. @ The Historic Davenport, Autograph Collection https://t.co/3PJnJy9jCe'"
1065134674144608256,2018-11-21 06:47:50,"b'There is that intimacy that happens when you visit someone\xe2\x80\x99s hometown, their family of origin, when you look at the\xe2\x80\xa6 https://t.co/kKE7hkcJEo'"
1064701109980270592,2018-11-20 02:05:00,b'Seeing new places. @ Riverside State Park https://t.co/vcIcjfjbc0'
1064404238485344256,2018-11-19 06:25:20,b'Road trip. It\xe2\x80\x99s below 30 F and smells like cows. My kids just decided to roller blade and ride their tiny bikes to\xe2\x80\xa6 https://t.co/UI4sGqrcJq'
1064371209893236738,2018-11-19 04:14:06,b'The light was amazing today. \n\nNo raking involved. @ Latourell Falls https://t.co/dT69F3K4V8'
1064058180362268672,2018-11-18 07:30:14,b'I think all my photos that he\xe2\x80\x99s taken are better. But he\xe2\x80\x99s teaching me editing...\n\nI realized yesterday was the ann\xe2\x80\xa6 https://t.co/ipu9mC0Lho'
1063415014185328642,2018-11-16 12:54:31,"b'The @Bremik_NW construction project next door is already rocking and rolling, honking and beeping. I want to go to\xe2\x80\xa6 https://t.co/68wFGYjS3t'"
1063326468019752960,2018-11-16 07:02:40,b'The sun is glowing ever more each day contrary to all good sense. My 11-year-old got a \xe2\x80\x9csuper growler\xe2\x80\x9d today for \xe2\x80\x9cm\xe2\x80\xa6 https://t.co/cduIvjeYez'
1063105755664965633,2018-11-15 16:25:38,b'I discovered this last night and now it\xe2\x80\x99s always raining!! https://t.co/mSZ7neafiA #portlandian'
1062595201892528128,2018-11-14 06:36:52,b'My head has hurt for two days straight. I don\xe2\x80\x99t want coffee (?!?). I\xe2\x80\x99m dreaming of coyotes and wolves and anxiety.\xe2\x80\xa6 https://t.co/OyeWmOA8YT'
1061705637728411648,2018-11-11 19:42:04,"b'I did an energetic reset while my guests were drinking Chardonnay. It\xe2\x80\x99s some great stuff, this. I can\xe2\x80\x99t wait to tel\xe2\x80\xa6 https://t.co/G2lPnrJX6a'"
1061453065243418624,2018-11-11 02:58:26,"b'This is really nasty... lots of jokes about it, but it\xe2\x80\x99s straight-up unacceptable on all levels. https://t.co/MlrM7ewyge'"
1061352956799287296,2018-11-10 20:20:38,b'Someone just tried to sell me DMT in Chinatown. I guess I nailed the look! #portlandian'
1060671063435214849,2018-11-08 23:11:02,b'Anything for the shot @ Latourell Falls https://t.co/oRYZZXYnkO'
1060619076282826753,2018-11-08 19:44:27,b'I don\xe2\x80\x99t care what you\xe2\x80\x99re doing right now quit/call in sick/ say you have an emergency dental appointment and get ou\xe2\x80\xa6 https://t.co/KUYoVkp0Gc'
1060400213851025408,2018-11-08 05:14:46,b'This season and the place I am in the evolution of my career \xe2\x80\x94 I have to realize I truly launched my first tours in\xe2\x80\xa6 https://t.co/niMokKP1QY'
1060025035866419200,2018-11-07 04:23:57,b'I couldn\xe2\x80\x99t figure out where Monroe had gone. Luckily he leaves telltale signs... #lookforthebook https://t.co/wGNrZFYo9Z'
1059947702551748609,2018-11-06 23:16:39,b'The cat is hiding like lots of us from the news. Awww Leo. \n\nLeo is our non-binary cat. Came to us with a male name\xe2\x80\xa6 https://t.co/S3Td5HIj4X'
1059162568911212544,2018-11-04 19:16:49,"b'The wind was wild last night, woke me up. This morning is all calm.\n\nTwo days in a row off as a family. We\xe2\x80\x99re setti\xe2\x80\xa6 https://t.co/KaqN4RkYr0'"
1058986559888900097,2018-11-04 07:37:25,b'Urban racks: you aren\xe2\x80\x99t made for real people but for mannequins who lift their tiny light perfectly appointed road\xe2\x80\xa6 https://t.co/8ETkGq2wDO'
1057863695513145346,2018-11-01 05:15:33,b'Trick-or-treating with three awesome kids and all three of us adults dressed up too. It was fabulous. Happy witches\xe2\x80\xa6 https://t.co/jeiKhBsBvP'
1057781632201981952,2018-10-31 23:49:28,b'Hours at the Bins and we\xe2\x80\x99re starting to bring our costumery together... https://t.co/vS7G8bgFl4'
1057481353694973953,2018-10-31 03:56:16,b'I spent the most gorgeous 36 hours in the Eastern Gorge. \n\nWe\xe2\x80\x99re talking about things that will likely change the c\xe2\x80\xa6 https://t.co/m4IgvKekWU'
1056798876085182464,2018-10-29 06:44:21,"b'Today, trying to heal something. Going without filter, breathing as much as possible. \n\nWhat\xe2\x80\x99s wrong is probably no\xe2\x80\xa6 https://t.co/kuBkMSb5Ma'"
1056218748774838272,2018-10-27 16:19:07,"b'We took the long way yesterday, to everything, and experimented with an experience that\xe2\x80\x99s exactly, spot-on, \xe2\x80\x9cwhat I\xe2\x80\xa6 https://t.co/S3zW1Dudg8'"
1055696845291307008,2018-10-26 05:45:16,b'Three things about today. Or maybe four.\n\n1. I saw a coywolf. I think I did anyway; it was distinctly a much-larger\xe2\x80\xa6 https://t.co/PjZAPQj5FE'
1054939631354023942,2018-10-24 03:36:22,b'So a year ago today I went out to coffee with this man here (shown Friday: a beautiful day!).\n\nI think maybe it was\xe2\x80\xa6 https://t.co/xQXhuIt0s5'
1054931393623547904,2018-10-24 03:03:38,"b'He\xe2\x80\x99s reading The Half-Blood Prince for the second time. Not shone: reading while tying shoes, buckling seatbelt, wa\xe2\x80\xa6 https://t.co/ubKbjJBCRN'"
1054598691024265216,2018-10-23 05:01:36,b'All of the photos from today\xe2\x80\x99s Banks-Vernonia Trail ride with a bunch of sweet journalists from Tokyo... are my fav\xe2\x80\xa6 https://t.co/GjxGhUrtHF'
1054252968655110145,2018-10-22 06:07:49,b'I am too tired emotionally - physically - even my fingers to say the words I have about today\xe2\x80\x99s LIGHT.\n\nWorked hard\xe2\x80\xa6 https://t.co/UB3WXxZw52'
1053681892770242560,2018-10-20 16:18:34,b'Yesterday... well. I have to apologize to all of you but those lucky enough to be part of the progression we tour g\xe2\x80\xa6 https://t.co/XVGz9Bbvnn'
1053169249299128320,2018-10-19 06:21:30,b'Sunrise. Another beautiful day with the sky painted all pretty and the edges of trees too. I don\xe2\x80\x99t know how the ros\xe2\x80\xa6 https://t.co/KUBRKdJufl'
1052985676281597952,2018-10-18 18:12:03,"b""Where I belong @ Shepperd's Dell https://t.co/6bX2AzIBDj"""
1051705010885709824,2018-10-15 05:23:08,b'Rothko lived in this city through most of his childhood.\n\nHis paintings are the sort my business school friend Jaim\xe2\x80\xa6 https://t.co/OhI2uDsfgs'
1051285795603173376,2018-10-14 01:37:20,"b'I had a real honest to god Saturday off. I only worked a little bit. We woke up late, for us; I had breakfast and c\xe2\x80\xa6 https://t.co/DPUI2MC8Wh'"
1050249890318536704,2018-10-11 05:01:01,"b'We went to the garden today, me and Edwin and Margaret. I think by the end of the day Margaret was almost crying.\xe2\x80\xa6 https://t.co/REFJNbJdiM'"
