id,created_at,text
1067688855820627968,2018-11-28 07:57:14,b'@Froste Hi crying LMFAOOOOOOOOOOOO\n\nI\xe2\x80\x99m dad'
1067688170286833664,2018-11-28 07:54:31,b'RT @_JordanBlaze_: This man is a legend \xf0\x9f\x98\xad https://t.co/w8DXJwumyd'
1067687525420912642,2018-11-28 07:51:57,b'@leosugenrevival Yup.'
1067687393438748672,2018-11-28 07:51:25,b'@Rhymestyle https://t.co/xlJqiWV9RY'
1067686844257591296,2018-11-28 07:49:14,b'I don\xe2\x80\x99t trust media who watch early screening of films then go and tweet how a film was amazing etc etc'
1067686081800228864,2018-11-28 07:46:13,b'Gonna bring this back again'
1067686040024936448,2018-11-28 07:46:03,b'RT @SavinTheBees: Peter Parker: I\xe2\x80\x99ll always protect you\n\nGwen Stacey: https://t.co/19GUzQHLY7'
1067676407126355969,2018-11-28 07:07:46,b'@Rhymestyle Do u like imagine dragons?'
1067676309852086274,2018-11-28 07:07:23,"b'Copped.\n\nNeeded for my coffee. With a tad bit of cream, perfectly balanced.\n\nAs all things should be. https://t.co/u6WaPeeoey'"
1067675920532533248,2018-11-28 07:05:50,b'YO THIS MADE MY DAY https://t.co/lvWktQrGi0'
1067674713709674497,2018-11-28 07:01:02,b'@Rhymestyle HUH'
1067674056684535808,2018-11-28 06:58:26,b'@Rhymestyle Stream on twitch'
1067673847942471681,2018-11-28 06:57:36,b'RT @Rhymestyle: @SavinTheBees here before this tweet bangs'
1067673803403145216,2018-11-28 06:57:25,b'@Rhymestyle Like I banged ur dad'
1067672776457080832,2018-11-28 06:53:20,b'Wow I just walked into Disney and got this handgun\n\nThey didn\xe2\x80\x99t even ask for ID\n\nI can\xe2\x80\x99t believe how easy it is to\xe2\x80\xa6 https://t.co/BGxZlDKAyV'
1067666026395983872,2018-11-28 06:26:31,"b'Wow this banged quick.. 1,000 likes in 20 mins??\n\nShe may have taken the kids but I still have my MySpace.'"
1067665370385797120,2018-11-28 06:23:55,b'@DaLoverBoii No lol'
1067665149916409856,2018-11-28 06:23:02,b'I have three PC codes I never redeemed lmao idk if I ever will https://t.co/vFSS8CXsBG'
1067662860199714818,2018-11-28 06:13:56,b'I SHOULDVE SAID IT IN MY MICKEY MOUSE VOICE'
1067660046731898880,2018-11-28 06:02:45,b'RT @Ewado12: THIS MAN IS UNDEFEATED https://t.co/mDwlcw3xfQ'
1067659678878851073,2018-11-28 06:01:18,b'RT @longlivelalo_: I fucking love this guy https://t.co/25esVOTVfB'
1067659139462029313,2018-11-28 05:59:09,b'I met Pluto at Disney \xf0\x9f\xa5\xb0\xf0\x9f\x98\x8d https://t.co/d6t3AZZ6YB'
1067650120978579456,2018-11-28 05:23:19,b'Netflix should do a deathnote live action \xf0\x9f\x98\xa4'
1067648980878684160,2018-11-28 05:18:47,b'anyway \n\nOutlaw Star &gt;&gt;&gt; Cowboy Bebop'
1067648760245698560,2018-11-28 05:17:55,b'@TheMysticSSJ That\xe2\x80\x99s what Belgians thought too.'
1067648386273226753,2018-11-28 05:16:25,b'RT @el_bori_007: Lmfaoooo https://t.co/hYBOfu4Duq'
1067648133914484738,2018-11-28 05:15:25,b'Scarjo as Ein'
1067647605553811456,2018-11-28 05:13:19,"b'Netflix just announced live action Cowboy Bebop \n\nIf Danny DeVito isn\xe2\x80\x99t Spike, it\xe2\x80\x99s a flop.'"
1067647156431990785,2018-11-28 05:11:32,b'@TheFirstWarden https://t.co/Fxpo64KpMW'
1067646807486812163,2018-11-28 05:10:09,b'Man... lol https://t.co/HZtR0UZpbR'
1067646613273726976,2018-11-28 05:09:23,"b""\xe2\x80\x9cI know what it's like to lose. To feel so desperately that you're right, yet to fail nonetheless. It\xe2\x80\x99s frightening\xe2\x80\xa6 https://t.co/SPsjprvQ7R"""
1067644537529556992,2018-11-28 05:01:08,b'Your time is ticking gacha/pay to win/loot box games https://t.co/jqgL7Xpscq'
1067643569224052737,2018-11-28 04:57:17,b'@JJtheGamerGuy Facts'
1067643248817004544,2018-11-28 04:56:01,"b'If y\xe2\x80\x99all don\xe2\x80\x99t know what\xe2\x80\x99s going down, refer to what happened in Belgium.\n\nGacha games are DONE for if things go the way it did in Belgium.'"
1067642134767984641,2018-11-28 04:51:35,b'OH ITS HAPPENING... https://t.co/ciujDDRPnr'
1067638936879587328,2018-11-28 04:38:52,"b'RT @_Florintech: @Rhymestyle Hmm I feel like on the behalf of @SavinTheBees a and the \xf0\x9f\x90\x9d squad, I should probably say ""Told you so""...but th\xe2\x80\xa6'"
1067638911491440640,2018-11-28 04:38:46,b'@Rhymestyle HUH'
1067638117505495040,2018-11-28 04:35:37,b'@aundriizzle It hit the spot \xf0\x9f\x98\x8b'
1067627249443135490,2018-11-28 03:52:26,b'This motor oil on my waffles is HITTIN \xf0\x9f\x98\x8b'
1067617308569292800,2018-11-28 03:12:56,b'@Rhymestyle Whoa'
1067615340656390144,2018-11-28 03:05:07,b'When he\xe2\x80\x99s released in 6ixty9ine years'
1067612147952185344,2018-11-28 02:52:26,b'https://t.co/FF0sOOp2lY'
1067607453720731654,2018-11-28 02:33:46,b'@KenXyro @MJxTV https://t.co/Vgi0YRbwrX'
1067606894917742592,2018-11-28 02:31:33,b'@MJxTV 9 inches limp'
1067606777699549184,2018-11-28 02:31:05,b'RT @AndrethaKnight: Deadass? Me too fam https://t.co/QHJA232EAV'
1067606337528356865,2018-11-28 02:29:20,b'The DBS Broly film will be in 4DX with motion in the seats for the kamehameha which is cool and all\n\nBut I\xe2\x80\x99d pay ex\xe2\x80\xa6 https://t.co/J83oittkTy'
1067601767418933248,2018-11-28 02:11:11,b'@TimothyDeLaG LMAOOO'
1067601592726122496,2018-11-28 02:10:29,b'@TimothyDeLaG Traphik would be proud'
1067587686074990592,2018-11-28 01:15:13,b'@brayanKZ https://t.co/TSE0iFFghv'
1067586247005134848,2018-11-28 01:09:30,b'RT @AnotherTyrell: @SavinTheBees That germany line CAUGHT ME THE FUCK OFF GUARD LMAO'
1067585491543846912,2018-11-28 01:06:30,b'This right here... https://t.co/RMwyciSau0'
1067564147934552064,2018-11-27 23:41:41,b'@EmperorBigD @Zenrotto I hope you said \xe2\x80\x9cwhen is James Gunn dropping guardians 3\xe2\x80\x9d'
