id,created_at,text
1067035960356061186,2018-11-26 12:42:52,b'RT @Kngarou: When you\xe2\x80\x99re running back to get your headphones after you\xe2\x80\x99re already running ridiculously late https://t.co/G1t4OJzCua'
1067035698740514817,2018-11-26 12:41:49,b'You\xe2\x80\x99re my violet in the gotdamn sun \xe2\x98\x80\xef\xb8\x8f'
1067001062501027841,2018-11-26 10:24:11,"b""RT @deleoutsold: adele rapping nicki minaj's monster verse will forever be iconic \xf0\x9f\x8e\x80 https://t.co/Zm7EXBdaGm"""
1066992436822593536,2018-11-26 09:49:55,b'RT @blkgirlculture: Danielle Brooks \xe2\x9c\xa8 https://t.co/ex6Sk0EfBH'
1066992294254059520,2018-11-26 09:49:21,b'You\xe2\x80\x99re gonna pay me pennies then want me to buy y\xe2\x80\x99all a gift that costs R 200 MINIMUM? Hahahahaha y\xe2\x80\x99all got jokes. https://t.co/WR9sCx2tMT'
1066969715816521729,2018-11-26 08:19:38,b'RT @tallwhitetwink: SUPPORT YOUR ARTIST FRIENDS SUPPORT YOUR ARTIST FRIENDS SUPPORT YOUR ARTIST FRIENDS SUPPORT YOUR ARTIST FRIENDS SUPPORT\xe2\x80\xa6'
1066655686493437954,2018-11-25 11:31:47,b'RT @NoNamesLeftKim: Twitter is the only place I can be my true self.\n\nMy family follows me on everything else.'
1065875075805659136,2018-11-23 07:49:55,b'RT @mefeater: Danai &amp; Lupita \xf0\x9f\x92\x95 https://t.co/3wRTVF9lJd'
1065614794051514370,2018-11-22 14:35:39,b'RT @RealLifeGold: 20-30% off isn\xe2\x80\x99t a sale. Please get it together'
1065614623775313920,2018-11-22 14:34:59,b'RT @NkanyeziKubheka: MONEY https://t.co/ins4TFeSUL'
1065593919294119936,2018-11-22 13:12:42,b'That\xe2\x80\x99s it. It\xe2\x80\x99s on my bucket list. https://t.co/kviEXIA9P0'
1065593801941635074,2018-11-22 13:12:14,b'RT @NicsDVdR: Princess of not getting touched. Princess of need to make an easy escape. Princess of self protection cause men are trash \xf0\x9f\x97\x91 h\xe2\x80\xa6'
1065582919425642496,2018-11-22 12:29:00,b'RT @nickccerino: I don\xe2\x80\x99t know why this makes so much sense but it does https://t.co/pJ4a2KRhd4'
1065573427162042368,2018-11-22 11:51:17,"b'South Africa\xe2\x80\x99s like that kid in school with a scholarship who had loads of rich friends so we feel like stunting, d\xe2\x80\xa6 https://t.co/I2J3URXc30'"
1065567123651596288,2018-11-22 11:26:14,b'RT @KammyWammy3: \xe2\x80\x9cAnd where tf MY peace at?? Hmm Marcus?\xe2\x80\x9d https://t.co/bamDmJpBO6'
1065553746183241729,2018-11-22 10:33:04,"b'Also, stop talking shit about \xe2\x80\x9cmillennials\xe2\x80\x9d \xf0\x9f\x98\x92 https://t.co/uscQGx22Ul'"
1065541998709477376,2018-11-22 09:46:23,"b'RT @alexivenegas_: We have come the full fucking circle, welcome to the iPod mini https://t.co/h2mGdKMO6P'"
1065541882850234368,2018-11-22 09:45:56,b'RT @tayallard: hm.... thought the reason people were against abortion was because it\xe2\x80\x99s \xe2\x80\x9ckilling a human life.\xe2\x80\x9d great logic. https://t.co/0m\xe2\x80\xa6'
1065540199445348352,2018-11-22 09:39:14,b'Alcohol is disgusting. Easy money \xf0\x9f\x98\x82 https://t.co/WylJCwHK0d'
1065539665309155329,2018-11-22 09:37:07,b'RT @Danez_Smif: Is there any way I can drop my body off at the gym and come back for it later?'
1065539593259360256,2018-11-22 09:36:50,"b'RT @Courtz_RM: Whether it\xe2\x80\x99s gentrification in Bo-Kaap, mining in Xolobeni or fracking in the Karoo, we must support communities in their fi\xe2\x80\xa6'"
1065539161560633344,2018-11-22 09:35:07,b'RT @grimalkinrn: Because we were literally asleep. https://t.co/v7MskP78no'
1065539107542188033,2018-11-22 09:34:54,b'RT @TheBluntDoctor6: imma buy u a drank https://t.co/Vy8VHYzTzs'
