id,created_at,text
1067568299615997952,2018-11-27 23:58:11,b'@HalTheWanted @thedarkestwun I was thinking about baby-poop actually. (Like if a toddler got his hands on a family\xe2\x80\xa6 https://t.co/1BODXGvXPa'
1066951064824336384,2018-11-26 07:05:31,"b'@NanaTamara21 Adult dogs have so much love to give and receive. Side note- if you\xe2\x80\x99re looking for a puppy, folks..co\xe2\x80\xa6 https://t.co/JfEES5479y'"
1066592850861649920,2018-11-25 07:22:06,b'@PamDeGirolamo @NickPonticello David Dennison is the alter ego of super villain Narcisso!'
1066588280756428800,2018-11-25 07:03:57,b'@debi420681 @NotMyPrecedent @mmpadellan @CheeseForEvery1 As did I!'
1066588068935696385,2018-11-25 07:03:06,b'@CheeseForEvery1 Slow clap \xf0\x9f\x91\x8fMaster stroke sir. Master stroke. I\xe2\x80\x99d like to buy the movie rights to this heartwarming\xe2\x80\xa6 https://t.co/FxI0ZmAPFj'
1066559516114771968,2018-11-25 05:09:39,b'@AstridWinegar @BestemorF Handpicked for loyalty and complicity. That\xe2\x80\x99s how the Cheeto picks henchmen and lackeys'
1066428856830091264,2018-11-24 20:30:27,b'@ICCORUPSHUN1 Amen!'
1066172590320799744,2018-11-24 03:32:08,b'@81martin63 @stacey_vonstein @CyrusMMcQueen Followed!'
1066172068587171840,2018-11-24 03:30:04,"b'@CyrusMMcQueen @elzey_t We do both, but I eat the space-age, ridged technological wonder, fresh from the can!'"
1065809065652084737,2018-11-23 03:27:37,"b'@ICCORUPSHUN1 @QueenPhillippa I won\xe2\x80\x99t be having kids, but I care about my coworkers and their kids and really, huma\xe2\x80\xa6 https://t.co/0fB7oIVXOh'"
1065767102789804032,2018-11-23 00:40:52,b'@ericsslater @LeahNMA @duff_ward @GregorDeininger @EdKrassen Followed both of you. Thank you for your logic and intelligence'
1065698897727639552,2018-11-22 20:09:51,b'@BeauWillimon Did you notice the hotel door knockers as well? One side good one evil'
1065687838975451136,2018-11-22 19:25:54,b'@jolia_pati @WaldorfSmaldorf @EDoggTheRed @PreetBharara Awe. I miss his comedy. I read the joke with his voice in m\xe2\x80\xa6 https://t.co/5VG8eHNkXq'
1065686316921188352,2018-11-22 19:19:52,b'@DonnieDoWrong @loveDbeach007 Nice tweet! \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1065685414097256449,2018-11-22 19:16:16,"b'Damnit! This makes me more angry than my usual low boil. Friends, you should be angry too https://t.co/VPrYWX9M6b'"
1065621981758799874,2018-11-22 15:04:13,b'@MattOswaltVA Yay! I\xe2\x80\x99ve got something to watch between Twilight Zones \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1065621485337763840,2018-11-22 15:02:15,"b'RT @HotDogOKC: For every RT this gets, we will feed a warm meal to someone in need this Holiday Season.  \n\nSpread the Love!\n\xf0\x9f\x8c\xad\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8c\xad\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8c\xad\xe2\x9d\xa4\xef\xb8\x8f https\xe2\x80\xa6'"
1065474631878901760,2018-11-22 05:18:42,b'@IronStache @mysteri_isle Already donated and ready when you are \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd to donate again when you run again'
1065470489194184705,2018-11-22 05:02:14,"b'#retweet4good Aaron knows where he came from. He\xe2\x80\x99s making Chico, CA proud https://t.co/yMPgS35Da1'"
1065326321725714432,2018-11-21 19:29:22,b'@morethanmySLE @karolynprg Best of luck! It\xe2\x80\x99s always good to have the information you need to fight your battles. I\xe2\x80\xa6 https://t.co/7FvJiIvIFj'
1065128109773484034,2018-11-21 06:21:45,b'@ChasingOzPhotog https://t.co/rVQMdcSjNU'
1065003059053395968,2018-11-20 22:04:50,"b""RT @Bornabrit1: All I can say about IVANKA'S MISUSE OF her private server &amp; emails is- \n\nCome JANUARY the dems BETTER LAUNCH a HUGE INVESTI\xe2\x80\xa6"""
1064220522022465536,2018-11-18 18:15:19,b'@BoobPunchTina @MrsLadyJade @BarbaraAnnFlrn @lazrmom @anniekhh @searl727 @DrMicroChem @bryanbehar Awe yeah \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1064212292793860096,2018-11-18 17:42:37,b'@MrsLadyJade @BarbaraAnnFlrn @lazrmom @anniekhh @searl727 @DrMicroChem @BoobPunchTina @bryanbehar https://t.co/17dibWOyiB'
1064037785101729793,2018-11-18 06:09:11,b'@DogginTrump The good news? Red shirts always get Beamed down to the planet first and the Aliens usually kill them\xe2\x80\xa6 https://t.co/2TcQHNDaV7'
1064002068053016576,2018-11-18 03:47:15,b'@suzystays @warrior_4_good They always leave a seat open for Hannity'
1063975077799063553,2018-11-18 02:00:00,b'@DrMicroChem @bryanbehar Beat me to it! \xf0\x9f\x98\x82 Okay- remember Canfield\xe2\x80\x99s diet chocolate soda?'
1063974503187808256,2018-11-18 01:57:43,b'@BarbaraAnnFlrn @lazrmom @anniekhh @searl727 @DrMicroChem @BoobPunchTina @bryanbehar The foil was a sign of Quality!'
1063957532383764480,2018-11-18 00:50:17,b'@Byebyesugah @amyks_07 @shelbymorgan99 @kplusque @KRS_RogueShark @michaelschweitz I say it to my phone/iPad/desktop\xe2\x80\xa6 https://t.co/0xRDGHP9ti'
1063934072290852866,2018-11-17 23:17:04,b'@gatesisthedevil I\xe2\x80\x99m think pitchforks \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1063875912435851264,2018-11-17 19:25:58,"b'@amyks_07 @shelbymorgan99 @Byebyesugah @kplusque @KRS_RogueShark @michaelschweitz I\xe2\x80\x99m following you all, \xe2\x80\x98cause I f\xe2\x80\xa6 https://t.co/xpQm9F47OM'"
1063206971128467456,2018-11-15 23:07:50,"b'RT @espyforsenate: Madison, Rankin, Lafayette and Adams counties: YOU can vote TODAY by in-person absentee ballot.\n\nSimply go to your local\xe2\x80\xa6'"
1062888604316266496,2018-11-15 02:02:45,"b'@sandyknauer @jguil4d @FancyNancy2018 @lostsailorsaint @nth_infusion @JuddLegum @Google It\xe2\x80\x99s a long hard road, but\xe2\x80\xa6 https://t.co/7gDMFwt2hF'"
1062842042189996032,2018-11-14 22:57:44,b'RT @funder: Retweetfest: Tweet this link out on your Twitter feed with-Follow @espyforsenate in it and we will retweet you! https://t.co/oX\xe2\x80\xa6'
1062816319194591232,2018-11-14 21:15:31,"b'RT @TopRopeTravis: Good morning @Google,\n\nWe know you\xe2\x80\x99re the most powerful company in the world &amp; you will not pay attention to little old\xe2\x80\xa6'"
1062815608335671301,2018-11-14 21:12:41,b'@KeatonPatti This is how I know everyone on this thread read it- the tweets actually make the original funnier. Kudos robot overlords!'
1062814432588292096,2018-11-14 21:08:01,b'@FancyNancy2018 @lostsailorsaint @sandyknauer @nth_infusion @JuddLegum @Google Amen!!!! Followed for that. Overturn\xe2\x80\xa6 https://t.co/y2muj4x5Ep'
1062752223061454848,2018-11-14 17:00:49,b'@KevinlyFather I actually made a video for the guys at work- how to replace a toilet paper roll- and texted it to t\xe2\x80\xa6 https://t.co/O38zDb7Ve1'
1062747688628715520,2018-11-14 16:42:48,"b'@LiberalVenom @TanziaMill @Google Why would @google support a racist?  Hey twitter friends, donate $10 with me to\xe2\x80\xa6 https://t.co/MbMgqM3bkh'"
1062485158761181184,2018-11-13 23:19:36,b'@ScentsyJules @KathleenMcGowan @Copy_Beethoven @Redpainter1 You\xe2\x80\x99re all fantastic! Followed \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1062483018185494528,2018-11-13 23:11:06,b'RT @aravosis: Oh my god. The French government showed up at Arlington National Cemetery yesterday to honor our fallen heroes when Trump ref\xe2\x80\xa6'
1062474094011015168,2018-11-13 22:35:38,"b'@atDavidHoffman I think the whole idea of signatures matching is BS! I have MS. When I lost, the regained some hand\xe2\x80\xa6 https://t.co/W7mxNX8fxt'"
1062201686934994944,2018-11-13 04:33:11,b'@chpalmer2 @mamacasswriter @tommyrulznyc @seungminkim @PhilipRucker \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1062200616733237248,2018-11-13 04:28:56,b'@HeWhoLovesWords He\xe2\x80\x99s chasing something... squirrel? \xf0\x9f\xa4\x9d'
1062199070653968384,2018-11-13 04:22:47,"b'@chpalmer2 @mamacasswriter @tommyrulznyc @seungminkim @PhilipRucker Sorry Charlie, but I don\xe2\x80\x99t remember her ever ha\xe2\x80\xa6 https://t.co/MN3TFavqHW'"
1062195866604195840,2018-11-13 04:10:03,b'@HeWhoLovesWords Chief sends his love while dreaming (excellent multitasking) https://t.co/PQaZj9g8sF'
1062158104052158464,2018-11-13 01:40:00,b'@TysonBrand Stop supporting racist propaganda. Stop paying for ad time on Faux.'
1062141511175794688,2018-11-13 00:34:04,b'@sheLLbeLL_xo @NameRedacted68 @jules_su Jordan Blue\xe2\x80\x99s application anwhere should be considered favorably. He\xe2\x80\x99s prov\xe2\x80\xa6 https://t.co/LS7j3Ib5m2'
1062132591376003072,2018-11-12 23:58:37,b'@DogginTrump @dadamo6510 I donated yesterday and I\xe2\x80\x99ll be doing it more as the days pass and the runoff gets closer.\xe2\x80\xa6 https://t.co/7s3TcryD78'
1062029257373769728,2018-11-12 17:08:01,"b'RT @jonfavs: The President is spreading conspiracies in order to delegitimize election results, and thinks that military ballots in Florida\xe2\x80\xa6'"
1061820113232351234,2018-11-12 03:16:57,b'@Clara_Resists @jasonbaum @espyforsenate Thanks for your endorsement of @espyforsenate . I just donated a little of\xe2\x80\xa6 https://t.co/ksoYNALAhb'
1061134435939012608,2018-11-10 05:52:19,b'@theoriginalbeev @TheSarcasmShow For your consideration \xf0\x9f\x98\x82\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc https://t.co/0p8oP1Co83'
1061019845456621568,2018-11-09 22:16:58,b'Spread this far and wide. I\xe2\x80\x99m not fishing for retweets. Just read original post and retweet that. The free press mu\xe2\x80\xa6 https://t.co/UwykigS9p6'
1060929411875135488,2018-11-09 16:17:37,"b""RT @DanRather: I've noticed some confusion about how elections work. People vote on (and now often before) Election Day. And those votes ar\xe2\x80\xa6"""
1060747024012730368,2018-11-09 04:12:52,b'@The_Pophouse @JoyAnnReid That was an epic tweet! You win the Brainiac award \xf0\x9f\xa5\x87 in the Twitterverse https://t.co/tNj0X0sEVY'
1060741871658393600,2018-11-09 03:52:24,"b'RT @Critical_EE: So...if you voted absentee in Florida, maybe you should check to see if your ballot was actually tabulated. Because accord\xe2\x80\xa6'"
1060701156240838656,2018-11-09 01:10:37,b'@MomAutie @myserenity69 The Mighty Boosh is with you! https://t.co/ldfA4Idd8l'
1060700742175023104,2018-11-09 01:08:58,b'@HeWhoLovesWords Gotta taste everything to make sure it\xe2\x80\x99s good. Oliver\xe2\x80\x99s doing you a favor \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1060655190854922240,2018-11-08 22:07:58,b'@spdustin @luis_montilla7 Thanks for the exposition. Followed!'
1060593269036306432,2018-11-08 18:01:54,"b'RT @ACLU: GEORGIA PROVISIONAL VOTERS: You can make sure your vote is counted.\n\nIf you have a problem, @ACLUofGA wants to hear about it. htt\xe2\x80\xa6'"
1060573908850507776,2018-11-08 16:44:59,b'RT @washingtonpost: White House shares doctored video to support punishment of journalist Jim Acosta https://t.co/LJNPJ30GTr'
1060571248193822720,2018-11-08 16:34:24,"b'@Nick_Offerman shared this. I\xe2\x80\x99m sharing with you. It\xe2\x80\x99s so vivid, I feel I\xe2\x80\x99m in line at that grocery store. https://t.co/D9RaNvqy6z'"
1060567516420857857,2018-11-08 16:19:34,b'@Nick_Offerman @tabora_X Thank you for sharing Mr. Offerman. Powerful'
1060391749686779904,2018-11-08 04:41:08,b'@heretical_1 @joimonki @magicresists @Amy_Siskind @girlsreallyrule @Alyssa_Milano @AynRandPaulRyan @krassenstein\xe2\x80\xa6 https://t.co/pTeyH4Dp0D'
1060390337158426624,2018-11-08 04:35:32,b'@ButtyHolly1 @Jojo_Lovejoy He\xe2\x80\x99ll Yes'
1060384745828171777,2018-11-08 04:13:19,b'@Amy_Siskind This is correct. We\xe2\x80\x99re in a war for the soul of our nation. Wars can last a long time. I\xe2\x80\x99m not stopping. #resist'
1060352291843141633,2018-11-08 02:04:21,b'RT @DanRather: News the White House pulled Jim @Acosta\xe2\x80\x99s credentials is not an attack on one journalist but all of the press. There should\xe2\x80\xa6'
1060282297457369089,2018-11-07 21:26:13,b'@LDsquidtastic Perfect chant... Apri Cot! Pol Pot! Apri Cot! Pol Pot!'
1060277755818860545,2018-11-07 21:08:10,"b'RT @TheRickyDavila: In 1858, Abraham Lincoln lost his own very high profile Senate race. In 1860, he was elected as the 16th President of t\xe2\x80\xa6'"
1060050238252011520,2018-11-07 06:04:06,b'I\xe2\x80\x99m not celebrating. I\xe2\x80\x99m not mourning. I\xe2\x80\x99m formulating a strategy. Friends. We did a lot. Let\xe2\x80\x99s recruit more activi\xe2\x80\xa6 https://t.co/Iy9ySuqoc5'
1059814775528419330,2018-11-06 14:28:27,"b'RT @girlsreallyrule: Tips for TEXAS VOTERS to protect your vote:\n1. Vote for each Dem candidate INDIVIDUALLY\n2. Take your time, there are r\xe2\x80\xa6'"
1059688138761691138,2018-11-06 06:05:14,b'Take note friends. It\xe2\x80\x99s not too difficult to vote for each item. Don\xe2\x80\x99t get duped by any irregularities. https://t.co/drEKFimJhG'
1059625421128400897,2018-11-06 01:56:01,b'@LunaLuvgood2017 #ivoted and #IVotedEarly !'
1059610243326341120,2018-11-06 00:55:43,b'@DesignationSix I showed you mine. Show me yours! Vote! https://t.co/xkm464YJhx'
1059609949439909893,2018-11-06 00:54:33,"b'RT @DesignationSix: This is a midterm party. To make your voice as loud as possible before the election tomorrow, please follow everyone wh\xe2\x80\xa6'"
1059265470627373056,2018-11-05 02:05:43,"b'RT @TeaPainUSA: Tea Pain\xe2\x80\x99s not certain of many things, but he\xe2\x80\x99s sure about this. If we don\xe2\x80\x99t show up and Trump holds the House and Senate,\xe2\x80\xa6'"
1059188844967460865,2018-11-04 21:01:14,b'@Red_eyedjedi @wvjoe911 @awelab1956 @YahooNews Thank you for your service and apologies for the buffoon and his lac\xe2\x80\xa6 https://t.co/I6Hh957MwG'
1058865537608966145,2018-11-03 23:36:31,"b'RT @TeaPainUSA: The polls are tightenin\xe2\x80\x99!  But pay close attention. The polls ain\xe2\x80\x99t sayin\xe2\x80\x99 we\xe2\x80\x99re gonna win. They\xe2\x80\x99re sayin\xe2\x80\x99 IF we turn out,\xe2\x80\xa6'"
1058146107962777600,2018-11-01 23:57:46,b'@mthsr1 @UROCKlive1 @MissesBun @NRA Beat me to it! \xf0\x9f\x98\x82\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1057858953491533824,2018-11-01 04:56:43,b'@makk1123 @DogginTrump Raising them right!'
1057127068574539777,2018-10-30 04:28:28,b'@eclecticbrotha @Wilson__Valdez Unbelievable amount of gaslighting and deflection. Obama didn\xe2\x80\x99t hold rallies many t\xe2\x80\xa6 https://t.co/fLoyaPzB14'
1057121045662945280,2018-10-30 04:04:32,b'@DesignationSix @cornish1969 I\xe2\x80\x99m in this! Let\xe2\x80\x99s take on the Cheeto and the regime. Take back this country while we\xe2\x80\xa6 https://t.co/XBts8fptcu'
1057120461157392384,2018-10-30 04:02:12,b'RT @DesignationSix: This is a midterm party. To grow your pages and make your voices as loud as possible before the election follow anyone\xe2\x80\xa6'
1057117643054841856,2018-10-30 03:51:01,b'@RVAwonk @bhsnitzer Thanks for doing this for the team! I wouldn\xe2\x80\x99t ever watch that dumpster fire'
1057054329981427712,2018-10-29 23:39:26,b'@JuddLegum @DrSpockets @LandOLakesInc I wrote them a little something on their TL'
1057027580941877248,2018-10-29 21:53:08,"b'@LandOLakesInc I loved your whipped butter, but I\xe2\x80\x99ll buy Trader Joe\xe2\x80\x99s brand now that I know you\xe2\x80\x99ve given money to a\xe2\x80\xa6 https://t.co/3FqWqhCk7B'"
1056719416992292865,2018-10-29 01:28:36,"b'RT @TheRickyDavila: A journalist, Justin King, beautifully explains how the GOP\xe2\x80\x99s fear-mongering about immigrant caravans is complete BS. L\xe2\x80\xa6'"
1056597492429545472,2018-10-28 17:24:07,b'A few folks I follow have told me about their voting machine issues. Please vote for each individual candidate inst\xe2\x80\xa6 https://t.co/tlLmQ9mJBe'
1056340988594020352,2018-10-28 00:24:52,"b'I finally got this pressed to vinyl. My contribution to resistance. Now go vote, you fine Americans!\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc https://t.co/IbeA4GRItW'"
1055587716287459328,2018-10-25 22:31:38,"b'I just donated to @RosenforNevada . If you can skip a meal, you can donate too and help her win. This is the closes\xe2\x80\xa6 https://t.co/2iTqbiASA1'"
1055587028266496000,2018-10-25 22:28:54,b'@RosenforNevada Just donated. Good luck and Godspeed'
1055561810739261440,2018-10-25 20:48:41,b'@TheMrJayBrown I\xe2\x80\x99m Plump Scrabble. Let\xe2\x80\x99s start a duo! \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1055560232447791105,2018-10-25 20:42:25,b'@zoll_p @rsspych @TheRickWilson \xf0\x9f\x8e\xafexactly'
1055560165401878528,2018-10-25 20:42:09,b'@seriousky @rsspych @TheRickWilson Perfect tweet'
1055514882785701888,2018-10-25 17:42:13,"b""RT @Onabender716: @johnroysound I keep wondering also why nobody from MSM is doing this.  It surely can't be the danger factor.  At this po\xe2\x80\xa6"""
1055514783485587456,2018-10-25 17:41:49,b'@EarlOfEnough Amen! And yes I voted \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1055513337004322816,2018-10-25 17:36:04,"b'I know I\xe2\x80\x99m not the only person who thought this... Can Anyone from Media, ie. Television news, go to Mexico\xe2\x80\x99s South\xe2\x80\xa6 https://t.co/tQ3MZxJe1e'"
1055311583029542914,2018-10-25 04:14:22,b'@cooljim198 He\xe2\x80\x99s \xe2\x80\x98Special\xe2\x80\x99 alright. \xf0\x9f\x98\x82 bless his heart'
1055254436652605441,2018-10-25 00:27:18,b'@DesignationSix I voted! Won\xe2\x80\x99t you join me? You\xe2\x80\x99ll be glad you did https://t.co/PZvQIJbXCw'
1055253547325939712,2018-10-25 00:23:46,b'RT @DesignationSix: Midterm Party! Grow your pages to make your voices as loud as possible before the election. Follow everyone who\n\nLIKES\xe2\x80\xa6'
1055242905013501952,2018-10-24 23:41:28,b'@brycetache You are inspiring! Thanks to the whole crew out there doing it!'
1055209528822657024,2018-10-24 21:28:51,"b'@christyallison @CoffeeConfessor @MizShannonS @MattOswaltVA Math rock, but goes well with a nice Chardonnay, for th\xe2\x80\xa6 https://t.co/nOZyxYG8bC'"
1055188887809585152,2018-10-24 20:06:49,"b'@johncusack I mailed it last week and playing a show Friday where the audience will either groan, boo, or cheer as\xe2\x80\xa6 https://t.co/FPzrtQKi4a'"
1054983614721613824,2018-10-24 06:31:09,b'@DogginTrump @JoAnnDowling23 Sure have!\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd https://t.co/k2ol4KOMem'
1054918992672907264,2018-10-24 02:14:21,b'@LDsquidtastic Are the woofer and tweeter speaker components on the back?'
1054561086773460992,2018-10-23 02:32:10,b'@cbaileyretired @NRafter @HollywoodGeek @shannonloftis @attebury @leemwilliams @ddale8 That right there \xf0\x9f\x8e\xaf'
1054414501099884544,2018-10-22 16:49:41,"b""RT @edizzle1980: @BetteMidler I can't stress this enough to my #Resistance fam: Watch out for those NPC bots/trolls who have the gray carto\xe2\x80\xa6"""
1054414205435076609,2018-10-22 16:48:31,"b'@mcspocky @bhsnitzer He\xe2\x80\x99s yelling \xe2\x80\x98Fire!\xe2\x80\x99 In a crowded theater, but the Theater is the United States'"
1054233030959685632,2018-10-22 04:48:35,b'@LelenaPeacock @jenbrea I was diagnosed almost 7 years ago. MS can really do a number on you. I\xe2\x80\x99m stubborn and than\xe2\x80\xa6 https://t.co/L32U62pN1B'
1054226856445063168,2018-10-22 04:24:03,b'@HeWhoLovesWords Good night from Chief too. Lotsa tough dog work to do tomorrow. \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x90\xb6zzzzzz... https://t.co/kzbyjWexub'
1054224992928325633,2018-10-22 04:16:39,b'Remember this man. Remember what they did to him. Remember who enabled it. Vote as though you were in his place. Di\xe2\x80\xa6 https://t.co/NlpLPJaHGl'
1054223298647613441,2018-10-22 04:09:55,b'@LaKeniaem Followed you for this tweet. You and your posse are obviously my kind of people ! Congrats on Citizenship and voting!'
1054165495656546304,2018-10-22 00:20:14,"b'@david_linklater @ALT_uscis Very good! Very, Very good \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x98\x82'"
1053880825786204160,2018-10-21 05:29:03,b'To the good folks in Georgia. Please help extended family members get to the polls if you can. This will be seen by\xe2\x80\xa6 https://t.co/4RrdXGIK31'
