id,created_at,text
1067662358238191616,2018-11-28 06:11:57,"b'RT @AlexisRenG: In a generation where everyone acts like having emotions makes you weak, I appreciate those who spill their soul to me'"
1067660896460308485,2018-11-28 06:06:08,"b""RT @kobychill: hey there delilah what's it like in nyc im a thousand miles away but girl tonight u look so pretty hit my juuuul"""
1067660040285429761,2018-11-28 06:02:44,"b'@adam_naugle The truth, the whole truth and nothing but the truth'"
1067659392919760896,2018-11-28 06:00:10,b'RT @adam_naugle: Cheese Fry Pizza will forever be the best pizza ever invented for multiple reasons #iykyk'
1067641098322042880,2018-11-28 04:47:28,b'RT @Kait_Tokz: a college kids worst nightmare is the two weeks between thanksgiving and christmas break'
1067640839193731072,2018-11-28 04:46:26,b'@adam_naugle https://t.co/nZJ2vw0YS2'
1067542437621571586,2018-11-27 22:15:25,b'@adam_naugle tell me more'
1067157038613110784,2018-11-26 20:43:59,"b'RT @gabynino_: can y\xe2\x80\x99all believe that people grew up experiencing The Beatles, Queen, Michael Jackson, Led Zepplin, etc. and all we get is\xe2\x80\xa6'"
1066926217373335552,2018-11-26 05:26:47,b'RT @ArianaGrande: thank u fuckin next'
1066786757214158849,2018-11-25 20:12:37,b'RT @ArianaGrande: peace'
1066786661814714368,2018-11-25 20:12:14,b'RT @madisonbeer: make sure you don\xe2\x80\x99t start seeing yourself through the eyes of those who don\xe2\x80\x99t value you. know your worth even if they don\xe2\x80\x99t'
1066595254504210434,2018-11-25 07:31:39,b'RT @ArianaGrande: like fuck'
1066595249450045441,2018-11-25 07:31:38,b'RT @morgimac001: gotta keep your head up through tough times'
1066594960026275840,2018-11-25 07:30:29,b'RT @Breanawrabek: If anyone is Christmas shopping for me I wear a size 4-door Jeep Wrangler'
1066466098512625665,2018-11-24 22:58:26,b'Better days are coming'
1065080236285542401,2018-11-21 03:11:31,b'People suck'
1065053746797977600,2018-11-21 01:26:15,"b'RT @dianazamoraxox: hardest pill I had to swallow this year was learning that no matter how good you could be to someone, no matter how muc\xe2\x80\xa6'"
1065053367058223105,2018-11-21 01:24:45,b'RT @haileymadisenn: I need some wine'
1065052769818681344,2018-11-21 01:22:22,b'RT @leezusxo: 2019 gonna be great bc drake said turn the 6 upside down it\xe2\x80\x99s a 9 now. so basically 2019 gon be 2016 part two'
1064255947378475010,2018-11-18 20:36:05,b'so over everyone\xe2\x80\x99s shit'
1063256852308348928,2018-11-16 02:26:02,b'RT @lexxxx_sanchez: Me listening to sad songs even tho I\xe2\x80\x99m already sad but not sad enough https://t.co/ORUQOLHOGn'
1063122093724844032,2018-11-15 17:30:33,b'@adam_naugle Exactly!!'
1063107254193401856,2018-11-15 16:31:35,b'It\xe2\x80\x99s the little things'
1062886192268492800,2018-11-15 01:53:10,b'RT @_ParkerH: Do u ever realize how truly happy u are when you\xe2\x80\x99re singing in the car with ur friends'
1062882322381529089,2018-11-15 01:37:47,b'RT @thecandybox1: Celebrate #smallbizsat with us on Nov 24! #Shopsmall and share the businesses you love. #backedbyamex https://t.co/r3Cal5\xe2\x80\xa6'
1062506327791071232,2018-11-14 00:43:43,b'RT @lilac_spawn: Me on my way to see Bohemian Rhapsody. https://t.co/hSShz77ohD'
1062495282678693888,2018-11-13 23:59:50,"b""I'm so over this whole being alive thing"""
1061345070320893953,2018-11-10 19:49:18,b'RT @ABlannar: Sitting on my parents bed for 20 mins before I ask them if I can hangout with friends because I was scared that they would sa\xe2\x80\xa6'
1061344640174080001,2018-11-10 19:47:35,b'RT @sarahhh_22: one exam away from majoring in being a stay at home mom'
1060707155706306560,2018-11-09 01:34:27,b'RT @tanamongeau: and eventually the same wound opens and closes enough to the point that you no longer feel it'
1060707025934606336,2018-11-09 01:33:56,b'RT @trvpism: have you ever just cried because you\xe2\x80\x99re you'
1060705322761965570,2018-11-09 01:27:10,b'RT @justinbieber: Thank you next is a bop. My favorite song. Least this song is smash. Fire'
1060704496500858881,2018-11-09 01:23:53,b'RT @ArianaGrande: remember when i was like hey i have no tears left to cry and the universe was like HAAAAAAAAA bitch u thought'
1060703960347099138,2018-11-09 01:21:45,b'RT @AudreyRhodes_: are y\xe2\x80\x99all crying bc I am https://t.co/Keo0FnxavM'
1060703732609024000,2018-11-09 01:20:51,b'If only some people knew'
1060703649737990144,2018-11-09 01:20:31,b'RT @haleypascuzzo: so hard to be positive in a world full of negative'
1060440375536553984,2018-11-08 07:54:22,b'RT @brennadyke_: I take pride in having such a messy car. Need a sweatshirt? There\xe2\x80\x99s one in my car. Need a hat? One in my car. Phone charge\xe2\x80\xa6'
1059990177895071744,2018-11-07 02:05:26,b'RT @adam_naugle: Tired of wasting time doing nice things for people who don\xe2\x80\x99t appreciate it'
1059990054611943425,2018-11-07 02:04:57,b'RT @JohnnieAverona: In love w @ArianaGrande :-)'
1057076923514478598,2018-10-30 01:09:12,b'RT @JohnnieAverona: I have the best friends in the world \xe2\x9d\xa4\xef\xb8\x8f'
1055499958005182464,2018-10-25 16:42:54,b'@JohnnieAverona @GreenCobos I\xe2\x80\x99m crying.'
1054578069829246976,2018-10-23 03:39:39,b'RT @JabbarLewis: This is how Will Smith bagged Jada \xf0\x9f\x98\xad\xf0\x9f\x98\x82\xe2\x9d\xa4\xef\xb8\x8f I love them https://t.co/MXEQ3R069B'
1054577777784053760,2018-10-23 03:38:29,b'RT @vic_moser: I\xe2\x80\x99m definitely the type of person who takes the long way home just so I can listen to more songs'
1054561574524989440,2018-10-23 02:34:06,b'@BkTheSavior bet'
1054558816254201856,2018-10-23 02:23:09,b'I want pink hair.'
1054162899407642625,2018-10-22 00:09:55,b'RT @jawnfreaks: u have to train ur mind to be stronger than ur feelings or ur gonna lose yourself'
1054150126753796098,2018-10-21 23:19:10,"b""Wishing I didn't feel everything so deeply"""
1054148418967343105,2018-10-21 23:12:22,b'RT @jennifermerr: mornin folks let\xe2\x80\x99s get that brown bread from the Cheesecake Factory. you know the kind? god it\xe2\x80\x99s so fuckin good. yeah let\xe2\x80\xa6'
1048840238305632256,2018-10-07 07:39:33,b'RT @vic_moser: It\xe2\x80\x99s been a cuddle with my toaster in the bath tub kinda week'
1043739521643372544,2018-09-23 05:51:08,b'RT @hulian_weeks: Honestly I just want to give up.. on everything lowkey'
1043722979987853312,2018-09-23 04:45:24,b'I quit'
1041532976369164288,2018-09-17 03:43:06,b'RT @BritJayneBell: be at peace \xe2\x80\x94 everything\xe2\x80\x99s working out just as it should'
1041528302010343424,2018-09-17 03:24:32,"b'RT @dpbrelsford: A year from now, everything you\xe2\x80\x99re stressing about won\xe2\x80\x99t mean a thing. Be thankful, smile more, spend more time with famil\xe2\x80\xa6'"
1038288558921056256,2018-09-08 04:50:57,b'RT @brenden_hull: the spins on repeat all night rip to a real one\xf0\x9f\xa4\xab'
1038287598723260416,2018-09-08 04:47:08,b'RT @thatgirlsalina: RT this if you would allow anybody who isn\xe2\x80\x99t in the best place to slide in your DM and vent to you (sometimes it\xe2\x80\x99s easi\xe2\x80\xa6'
1038285864676352001,2018-09-08 04:40:15,b'RT @NoelStayWoke: Your girl 10 minutes after arguing with you https://t.co/XA1pwqURBb'
1038281315181846528,2018-09-08 04:22:10,"b'RT @somethingbased: This is my fav video of Mac, it\xe2\x80\x99s him covering \xe2\x80\x9cisn\xe2\x80\x99t she lovely\xe2\x80\x9d by Stevie wonder on the piano... rip to the goat http\xe2\x80\xa6'"
1038280867226025985,2018-09-08 04:20:23,b'What a terrible day it\xe2\x80\x99s been'
1034653166904782850,2018-08-29 04:05:12,b'RT @feldmanicoletta: Listening to Mamma Mia really transforms me. Puts me in a typical movie scene of a teen girl jamming out alone in her\xe2\x80\xa6'
1034268891055316992,2018-08-28 02:38:14,b'RT @recklesslayy: summer 16 was the mf time to be alive \xf0\x9f\x98\x82 ion think I\xe2\x80\x99ve ever had that much fun for that many WEEKS in a row'
1034268700638162944,2018-08-28 02:37:28,b'RT @jackhughes__: me: hi do you take walk-ins\n\ncremator: what'
1034268604391464962,2018-08-28 02:37:05,b'RT @chrstnmnrqz: Someone Venmo me $3000 its an emergency'
1033169446330945536,2018-08-25 01:49:26,b'RT @jessinnnes: when ur man is going out with his friends and ur last attempt to make him stay in is trying to seduce him before he leaves\xe2\x80\xa6'
1033156195664769024,2018-08-25 00:56:46,b'RT @Hailey_Valente: Jumping to conclusions like https://t.co/zVsanYCflg'
1033086960515145728,2018-08-24 20:21:39,b'RT @trvpism: tbh my music taste is so hard to describe like it\xe2\x80\x99s literally everything except for the songs i dont like'
1032497128713728000,2018-08-23 05:17:53,b'RT @gaybreath: yeah sex is cool but have you ever just laid on your lovers chest and listened to their heartbeat like THAT SHIT IS SO EUPHO\xe2\x80\xa6'
1031651867749740544,2018-08-20 21:19:07,b'@Hailey_Valente OMG https://t.co/r7NHKJ5aEy'
1031212883395399680,2018-08-19 16:14:45,"b'RT @itskentuckyy: me: hey baby im about to go out, did you wanna co.... \n\nmy girlfriend: https://t.co/1RWEqrwlOL'"
1031211599560933376,2018-08-19 16:09:38,b'RT @xolei_: new york during christmas is something i definitely want to experience'
1029443206163963904,2018-08-14 19:02:41,b'RT @joannaasommer: The people who get to spend the next four years of college with my high school best friends don\xe2\x80\x99t know how lucky they are'
1028553451725312001,2018-08-12 08:07:07,b'RT @Taylor_Pence_: My mans: Wanna come with me to..\nMe: https://t.co/P94D83D8eg'
1028552503615541248,2018-08-12 08:03:21,b'RT @proxactears: when you buy something &amp; it takes money out of ur bank account https://t.co/pXaIjBcANe'
1028198709836824576,2018-08-11 08:37:30,b'my thoughts are always keeping me up wayyy too late'
1025441350853046272,2018-08-03 18:00:44,b'@TinoCapone5 Betty'
1025440736681107461,2018-08-03 17:58:18,b'Happy birthday ya stupid idiot @TinoCapone5 cue your laugh https://t.co/B83Ld74pD1'
1024911431567925248,2018-08-02 06:55:01,b'@haleypascuzzo @JoshJST This is the best thing I could ever be tagged in. Thank you.'
1024312424063795205,2018-07-31 15:14:47,b'RT @vibingwAVERY: concerts are where you realize how fucking beautiful it is to be alive in this world.'
1023775775495995397,2018-07-30 03:42:20,b'RT @vic_moser: Reassurance is such a big thing to me'
1023775700120219649,2018-07-30 03:42:02,b'@TheChainsmokers hands down best performance I\xe2\x80\x99ve ever attended. Thank you\xe2\x9d\xa4\xef\xb8\x8f #AC'
1023440654251290624,2018-07-29 05:30:41,b'@CumpioReuben why can I hear you saying this in my head https://t.co/LOcEUWu4ig'
1023365737757466624,2018-07-29 00:32:59,b'RT @bbabydarian: You ever see someone\xe2\x80\x99s tweet and be like........... but you.... nvm..'
1023316487996628992,2018-07-28 21:17:17,"b""RT @amymcollum: I know she isn't your daughter and some of you will glance and move on....PLEASE...today don't do that. PLEASE....today mak\xe2\x80\xa6"""
1023316039801692160,2018-07-28 21:15:30,b'RT @laurhmedley: me: time to sleep!\n\nmy brain: mamma mia :) \n\nme: please no\n\nmy brain: i :) was :) cheated :) by :) you :) and :) i :) thin\xe2\x80\xa6'
1023051220699754497,2018-07-28 03:43:13,b'I give up'
1023048056739168256,2018-07-28 03:30:38,b'RT @Simone_Biles: I honestly think people forget I\xe2\x80\x99m human and that I have feelings too'
1023047847174971393,2018-07-28 03:29:48,b'RT @mojghann: that tattoo needle calling my name'
1022177716815179776,2018-07-25 17:52:13,"b'RT @GoDiegitoGo: Now that I\xe2\x80\x99m thinking about it.... yes, I might be a raccoon. https://t.co/MqENB0mjiu'"
1022177599345307650,2018-07-25 17:51:45,b'RT @_coryrichardson: [holding my new born son]\n\nme: he\xe2\x80\x99s beautiful\n\ndoctor: we\xe2\x80\x99re gonna have to give him some shots\n\nme: oh hell yeah pour\xe2\x80\xa6'
