id,created_at,text
828039403780059136,2017-02-05 00:35:52,b'@krswsesrs44 @afdenmead @karibear09 pfft!\xf0\x9f\x98\xb3 not what you told me! \xf0\x9f\x98\x8f'
828039116222713856,2017-02-05 00:34:44,b'@krswsesrs44 @karibear09 @afdenmead hee hee...\xf0\x9f\x98\x8b'
828038810927763456,2017-02-05 00:33:31,"b""@krswsesrs44 @karibear09 nah, she'll be running and pushing with me....twice as fast......\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x98\x9c"""
828038601833332736,2017-02-05 00:32:41,b'@krswsesrs44 @karibear09 @afdenmead yeh thanks for that.....\xf0\x9f\x99\x84\xf0\x9f\x98\x8b'
828038335725711360,2017-02-05 00:31:38,b'@afdenmead @krswsesrs44 @karibear09 \xf0\x9f\x98\x8f'
828036388419489792,2017-02-05 00:23:53,"b""@krswsesrs44 @karibear09 @afdenmead when you've quite finished being in fits looking like a mad woman u are...I'm off to bed!\xf0\x9f\x99\x8b\xf0\x9f\x8f\xbb speak soon x"""
828034664015261696,2017-02-05 00:17:02,b'@krswsesrs44 @clarixel422 @NancyBinCO @Poetprincess @pscoordsen13 @keionib @Jeasih10 @SchJanet @karibear09 @ruthjccassidy \xf0\x9f\x98\xb1\xf0\x9f\x99\x89'
828034461195382784,2017-02-05 00:16:14,b'@krswsesrs44 @karibear09 excellent......we can run at speed over the bumps.....'
828034132269756416,2017-02-05 00:14:55,b'@krswsesrs44 @karibear09 @afdenmead oh boy! \xf0\x9f\x99\x84 what have I unleashed...\xf0\x9f\x98\x8f but may explain his love of mead wine.....'
828033421079363584,2017-02-05 00:12:06,"b'@krswsesrs44 @karibear09 @NancyBinCO @keionib @Jeasih10 I know! \xf0\x9f\x99\x88 I ,love the new ones too.....'"
828033144049766400,2017-02-05 00:11:00,b'@krswsesrs44 @karibear09 \xf0\x9f\x98\x8f'
828032963258507264,2017-02-05 00:10:17,b'@krswsesrs44 @clarixel422 @NancyBinCO @Poetprincess @pscoordsen13 @keionib @Jeasih10 @SchJanet @karibear09 @ruthjccassidy u say plenty...'
828032738309599232,2017-02-05 00:09:23,"b""@krswsesrs44 @baxarlene59 @muff_et @pscoordsen13 @ruthjccassidy nope, can't see that....."""
828031983594926080,2017-02-05 00:06:23,b'@karibear09 @krswsesrs44 oh wait....will I have to push her? \xf0\x9f\x99\x84'
828031833346625537,2017-02-05 00:05:47,"b'@krswsesrs44 @karibear09 go jump in and say hi to @afdenmead, I torment him regularly....\xf0\x9f\x98\x88'"
828031563359252481,2017-02-05 00:04:43,"b""@krswsesrs44 @karibear09 @NancyBinCO @keionib @Jeasih10 I'm scared cos I can't see the emojis.....\xf0\x9f\x98\xac iPad too old! \xf0\x9f\x98\x82"""
828031091638464512,2017-02-05 00:02:50,b'@krswsesrs44 @karibear09 better late than never....\xf0\x9f\x98\x8b'
828025328329166848,2017-02-04 23:39:56,b'@krswsesrs44 @clarixel422 @NancyBinCO @Poetprincess @pscoordsen13 @keionib @Jeasih10 @SchJanet @karibear09 @ruthjccassidy yeh....'
828025094329028610,2017-02-04 23:39:01,b'@CathyCadenf @krswsesrs44 @baxarlene59 @muff_et @pscoordsen13 @ruthjccassidy well thanks! \xf0\x9f\x98\xb3\xf0\x9f\x98\xa9'
828024955484901377,2017-02-04 23:38:28,b'@krswsesrs44 @CathyCadenf @baxarlene59 @muff_et @pscoordsen13 @ruthjccassidy never ending torture....\xf0\x9f\x99\x84\xf0\x9f\x98\x8f'
828024812090060800,2017-02-04 23:37:53,b'@CathyCadenf @krswsesrs44 @baxarlene59 @muff_et @pscoordsen13 @ruthjccassidy ears burning....\xf0\x9f\x98\x8f\xf0\x9f\x91\x82\xf0\x9f\x8f\xbb'
828024241912160257,2017-02-04 23:35:37,b'@krswsesrs44 @karibear09 @NancyBinCO @keionib @Jeasih10 well if you insist.....\xf0\x9f\x98\x8f'
828023935375646720,2017-02-04 23:34:24,"b'@karibear09 @krswsesrs44 yes you did indeed.....\xf0\x9f\x98\x88\n\nHI, \xf0\x9f\x99\x8b\xf0\x9f\x8f\xbb'"
783779018214612997,2016-10-05 21:20:54,b'@Frockie @KentPage @UNICEFLive such a special thing to do! \xe2\x98\xba\xef\xb8\x8f'
781775024441159680,2016-09-30 08:37:45,b'Nor should #batb #Savebatb...... https://t.co/RsO1g25KZp'
781770650847420416,2016-09-30 08:20:22,"b""@Frockie oh I do and it's overwhelming at times to feel so loved by so many, connected by this one show. \xe2\x98\xba\xef\xb8\x8f #batb"""
781600657589604352,2016-09-29 21:04:52,b'@Frockie love you x'
781600621757595648,2016-09-29 21:04:44,b'RT @Frockie: I met some of my best friends thx to #BATB\n#BeastiesRFanmily'
781600434414821376,2016-09-29 21:03:59,b'@LindsTeach1386 @AustinBasis @ruthjccassidy @pscoordsen13 @krswsesrs44 @Judache @SchJanet @karibear09 @WilmaBatB blessed indeed X \xf0\x9f\x98\x98'
781600337937465344,2016-09-29 21:03:36,b'RT @LindsTeach1386: So fortunate to have met so many Beasties on Twitter &amp; in person because of #BATB! Will always treasure these friendshi\xe2\x80\xa6'
776558401060995072,2016-09-15 23:08:45,b'Thinking of you all on this sad day\xf0\x9f\x98\xa5@pscoordsen13 @baxarlene59 @krswsesrs44 @pluralistics @BATBJunkie @CathyCadenf @muff_et @ruthjccassidy'
776558097196257280,2016-09-15 23:07:32,b'RT @pscoordsen13: @JayRyan #ThankYouJay 4 letting us know U were on your way! We were anxiously waiting #BatB \nhttps://t.co/KOVpkJGlgj http\xe2\x80\xa6'
776558055601401858,2016-09-15 23:07:22,b'RT @pscoordsen13: @JayRyan #ThankYouJay for Vincent who likes older women. Thank goodness for that! #BatB https://t.co/N35c1FpmwA'
776558017408016384,2016-09-15 23:07:13,"b'RT @pscoordsen13: @JayRyan #ThankYouJay for all the sweet, tender VInCat moments! #BatB https://t.co/lcr1TsbIR5'"
776557984524726272,2016-09-15 23:07:05,"b'RT @beastieaw: @JayRyan #ThankYouJay for the tender, raw moments of anguish and pain. We felt all the emotion in every scene. #BATB https:/\xe2\x80\xa6'"
776557949204520960,2016-09-15 23:06:57,b'RT @pscoordsen13: @JayRyan #ThankYouJay for the best friend bromance with JT #BatB https://t.co/CE5sfMfj2f'
776557907173335041,2016-09-15 23:06:47,b'RT @LeeRock: The look on your face Jay! Loved it! @JayRyan #ThankYouJay #BatB https://t.co/MMZZza1H4p'
776557848583176192,2016-09-15 23:06:33,b'RT @pscoordsen13: @JayRyan #ThankYouJay 4 the extraordinary onscreen chemistry W Kristin~that told the beautiful #BatB VinCat \xe2\x9d\xa4\xef\xb8\x8fstory https\xe2\x80\xa6'
776557774767546368,2016-09-15 23:06:15,b'RT @pscoordsen13: #ThankYouJay @JayRyan for all the joy you have given #BatB fans as Vincent https://t.co/23OSiEGFtR'
776557700977135616,2016-09-15 23:05:58,b'RT @pscoordsen13: @JayRyan #ThankYouJay for helping us stay in shape watching Vincent exercise #BatB https://t.co/VCKzYs1K37'
776557679229693956,2016-09-15 23:05:53,"b'RT @Frockie: @JayRyan Thanks  Jay, for having been a little ""Bestia"" too, not only a Beast ;-)\n#ThankYouJay #BATB https://t.co/4l42U16qKb'"
776557581070430208,2016-09-15 23:05:29,b'RT @pscoordsen13: @JayRyan #ThankYouJay for looking gorgeous &amp; cool even behind bars! #BatB https://t.co/pXnYcYpC7u'
776557551907381249,2016-09-15 23:05:22,b'RT @pscoordsen13: @JayRyan #ThankYouJay for the many facets of #BatB Vincent! https://t.co/0fNb0aRljj'
776557532735209472,2016-09-15 23:05:18,b'RT @LindsTeach1386: @JayRyan #ThankYouJay for showing a wide range of emotions within a scene! This will always be a favorite! #BATB https:\xe2\x80\xa6'
776557448647811072,2016-09-15 23:04:58,b'RT @Frockie: @JayRyan thx for your rogue looks\nThx to have loved Vincent so much.To have protected him till the end.\n#ThankYouJay https://t\xe2\x80\xa6'
776557414518820864,2016-09-15 23:04:50,b'RT @pscoordsen13: @JayRyan #ThankYouJay for the perfect #BatB Vincent ..best wishes in all you do! https://t.co/sp4zk9QP6V'
730498232028139520,2016-05-11 20:42:05,b'@baxarlene59 good thanks...you? @pscoordsen13 @CathyCadenf @eclatantly @muff_et @krswsesrs44 @ruthjccassidy'
729431372637589505,2016-05-08 22:02:46,"b'@WilmaBatB @naoulia1 great pic, thank you x \xe2\x9d\xa4\xef\xb8\x8f'"
729431174947475457,2016-05-08 22:01:58,b'@AustinBasis @WilmaBatB @pscoordsen13 @hcs8780 @naoulia1 aww thank you xo \xf0\x9f\xa4\x93\xe2\x9d\xa4\xef\xb8\x8f'
729431071255887873,2016-05-08 22:01:34,b'@pscoordsen13 @WilmaBatB @AustinBasis @hcs8780 @naoulia1 thank you and same to you xxx'
729430973385936896,2016-05-08 22:01:10,b'@amoura74 @WilmaBatB @naoulia1 thank you x'
729430901705289728,2016-05-08 22:00:53,b'@AnnieBatb thank you x'
729430848290836480,2016-05-08 22:00:41,"b'@57Veronica love it, thank you x'"
729430712902942720,2016-05-08 22:00:08,b'@Chimerart @WilmaBatB @AustinBasis @pscoordsen13 @hcs8780 @naoulia1 aww thanks X'
729430643042603008,2016-05-08 21:59:52,b'@ACelinakova @WilmaBatB @naoulia1 thank you x'
729430596699688964,2016-05-08 21:59:41,b'@angelaparabosch @WilmaBatB @naoulia1 thank you x'
729430505830141952,2016-05-08 21:59:19,b'@IWegerif @WilmaBatB @AustinBasis @pscoordsen13 @hcs8780 @naoulia1 thank you x'
729430448921821185,2016-05-08 21:59:05,b'@pscoordsen13 @baxarlene59 @CathyCadenf @eclatantly @muff_et @krswsesrs44 @ruthjccassidy and from me to you all....\xf0\x9f\x98\x98\xf0\x9f\x8c\xba'
729430289580183552,2016-05-08 21:58:27,b'@ValeriaWosnitza @WilmaBatB @naoulia1 thank you and happy birthday to the other lovely ladies! \xf0\x9f\x8d\xb7\xe2\x9d\xa4\xef\xb8\x8f'
729430153550516224,2016-05-08 21:57:55,b'@Fab_Gerard @WilmaBatB @naoulia1 thank you x'
729430079185506304,2016-05-08 21:57:37,b'@RomySchwenke @WilmaBatB @naoulia1 thank you x'
729430013121052672,2016-05-08 21:57:21,b'@maggs_81 @WilmaBatB thank you xo'
714194356576632832,2016-03-27 20:56:18,b'@CathyCadenf good you? @eclatantly @pscoordsen13 @muff_et @baxarlene59 @krswsesrs44 @ruthjccassidy'
714126454850719744,2016-03-27 16:26:29,b'@krswsesrs44 boo!! \xf0\x9f\x91\xbb @CathyCadenf @eclatantly @muff_et @baxarlene59 @pscoordsen13 @ruthjccassidy'
714126058652573696,2016-03-27 16:24:54,b'@muff_et @eclatantly @pscoordsen13 @CathyCadenf @baxarlene59 @krswsesrs44 @ruthjccassidy ditto! \xf0\x9f\x90\xa3'
714125845401628672,2016-03-27 16:24:04,b'@pscoordsen13  @baxarlene59 @CathyCadenf @eclatantly @muff_et @krswsesrs44 @ruthjccassidy https://t.co/UmEeLnlqoX'
713757701348728832,2016-03-26 16:01:11,b'@baxarlene59 hello! \xf0\x9f\x8d\xb0 @pscoordsen13 @CathyCadenf @eclatantly @muff_et @krswsesrs44 @ruthjccassidy'
713757608549683200,2016-03-26 16:00:49,b'@pscoordsen13 hello! \xf0\x9f\x8d\xb0\xf0\x9f\x8d\xb0 @CathyCadenf @eclatantly @muff_et @baxarlene59 @krswsesrs44 @ruthjccassidy'
713757483903369220,2016-03-26 16:00:19,b'@CathyCadenf hello!\xf0\x9f\x8d\xb0 @eclatantly @muff_et @baxarlene59 @pscoordsen13 @krswsesrs44 @ruthjccassidy'
713062972126535681,2016-03-24 18:00:35,b'RT @pscoordsen13: #ThankfulThursday I will forever be thankful for the many wonderful friends I found from our mutual love of #BatB https:/\xe2\x80\xa6'
