id,created_at,text
796160810905202688,2016-11-09 01:21:43,b'https://t.co/3RcXMGwykO'
724392546936475648,2016-04-25 00:20:16,"b'@JeremyClarkson A few name ideas (my roommate suggested them): Horsepower, Petrol Heads, or Speed &amp; Power.'"
711417013642641408,2016-03-20 05:00:08,"b""I haven't been on in so long I have 162 unread conversations... Oops."""
711412141270683649,2016-03-20 04:40:46,"b""Kinda like this show, but then again it's ABC and ABC is Disney... and really Disney is amazing. Except for... https://t.co/geVDQlHH4b"""
691721774984228865,2016-01-25 20:38:17,b'@JeremyClarkson Did Captain Moustache at least get Oliver as part of his severence package?'
626736375946182656,2015-07-30 12:49:30,"b'Sincerely hoping the new ""Not Top Gear"" will start off with some ridiculous and completely \'factual\' special. @JeremyClarkson'"
598489471420637184,2015-05-13 14:06:24,b'I Love #Xtina! http://t.co/BLYef7GsyW'
587145983219335168,2015-04-12 06:51:25,"b""Holy fuck guys it's been forever! What have you been doing?"""
454103816947109888,2014-04-10 03:49:21,"b""I've moved. Feel free to follow and friend me here: http://t.co/Cxf6SiK9QN"""
411653802652356608,2013-12-14 00:28:09,b'Made 80 cookies from 1 ball of dough last night. #ChristmasCookies'
411652964278108160,2013-12-14 00:24:49,b'Last day of exams tomorrow... unless the snowstorm is bad enough and they cancel them.'
411652332141940736,2013-12-14 00:22:18,b'Shit son. http://t.co/hwGaN0pGJD'
396381146025443328,2013-11-01 21:00:04,b'Hallo all. :P'
382735981947801600,2013-09-25 05:19:03,b'Lady GaGa bombed on WWHL so fucking funny. http://t.co/AvRZee9pS6'
381592047297507328,2013-09-22 01:33:28,b'Delicious Apples = Smaller http://t.co/6HAUV1hrUj'
381391731284926465,2013-09-21 12:17:29,b'Kind of addicted to #BattleCry'
380934540308402176,2013-09-20 06:00:46,"b'I know you all love free music (This song is by a guy I knew in High School), but I actually really like it.... http://t.co/SLWw8tJ8u0'"
380624527312441344,2013-09-19 09:28:53,"b""It's almost October! What should I be for Halloween?"""
380606514341236736,2013-09-19 08:17:19,"b""Just noticed that Ms. George (Regina's mom) from Mean Girls... was portrayed by Amy Poehler (Leslie Knope from Parks &amp; Rec.)"""
380600545636913152,2013-09-19 07:53:35,b'WTF 123 million views since September 9th? Gangnam Style was better than this. Also Miley Cyrus produced a video... http://t.co/cr0E9AK7vm'
380583404774772736,2013-09-19 06:45:29,b'Kia commercial using #Applause I love it. http://t.co/d06VN14lPa'
380545594751610880,2013-09-19 04:15:14,b'Woohoo! Facebook has finally removed enough of my deactivated friends that I can add people back again!'
380528512371003392,2013-09-19 03:07:21,b'So iOS 7 is obsessed with scrolling and swiping. #WTF'
379665553767813120,2013-09-16 17:58:16,b'Guess who is an uncle! http://t.co/e0MtOgdqGE'
377808002331705345,2013-09-11 14:57:01,"b""2 days ago it was 60 degrees outside. Today it's 90 degrees with 70% humidify. I'm so over New England trying to be Florida."""
377512713867755520,2013-09-10 19:23:39,b'Check into the hospital on Foursquare and all the tips say Bring a Book. I do not have a book. #SAD'
377254367067267072,2013-09-10 02:17:04,"b'Professor: ""So what high school did you go to?""\nMe: ""Brookline High School..""\nProfessor: ""Oh! Then you\'re first... http://t.co/kCAInXm2xy'"
376528636930969600,2013-09-08 02:13:17,b'4 Cop Cars. What the hell did you do? http://t.co/cFq3giuyzu'
376484104939655168,2013-09-07 23:16:20,"b'We live in a time where lemonade is made from artificial lemons, but furniture polish is made from real lemons. WTF is wrong with us!'"
375661843622404096,2013-09-05 16:48:57,b'Sunny Day! Except its cloudy as can be. http://t.co/hBPwTx4ckU'
375652743773683712,2013-09-05 16:12:48,b'Fucking thing scared the shit out of me. http://t.co/pgiexwLyzc'
375529529340481536,2013-09-05 08:03:11,"b""It's beginning to look as though I'll finish cleaning up the apartment around the time I graduate College."""
374654633425125376,2013-09-02 22:06:40,"b""I've decided that I will now start decorating my apartment whenever the grocery store decides a new holiday is... http://t.co/C5sBpqdoPp"""
374478386619363328,2013-09-02 10:26:19,"b""Since its release in August 2008, singles from Gaga's debut, The Fame, have notched an amazing 154 consecutive... http://t.co/cCmIXXczfK"""
374460007758430208,2013-09-02 09:13:17,b'Oh cock. A baby #Stig http://t.co/02KdO5ygsw'
374457217279590400,2013-09-02 09:02:12,"b""Hello and welcome to college. If the person you're around looks like a zombie, fell asleep in the bushes last... http://t.co/Bzp1mFVmUK"""
374296703257829377,2013-09-01 22:24:22,"b'I was walking past some of the MIT Research Buildit and began getting attacked, along with 20 other people, by a... http://t.co/8YzZxUhY4E'"
373552715453853696,2013-08-30 21:08:02,b'Anyone looking for a Pinnarello carbon fiber frame bike?'
373489194536296448,2013-08-30 16:55:37,b'So my phone pulls all the contact information from my Facebook friends and puts it all in my phone. Kik pulls info... http://t.co/uNlOF7atTf'
372763313031372801,2013-08-28 16:51:14,b'My Oh My Have things changed! http://t.co/2rACxpGq9T'
371232885652848640,2013-08-24 11:29:51,"b""Just tried on my old jeans from 6th grade... They still fit perfectly. Twink doesn't even begin to describe it."""
371126973432487936,2013-08-24 04:29:00,"b""I'm sorry, but I am NOT your fucking slave. http://t.co/jgm8C5Gbir"""
370408250593644544,2013-08-22 04:53:03,"b""I can't stop playing #PVZ2 Still pretty annoyed that EA has ruined another fun game though. $4 for a snow pea... http://t.co/S31fsCFCRu"""
370022765052825600,2013-08-21 03:21:16,b'So apparently Hello Kitty is supposed to be a little girl. WTF?'
369730107726131200,2013-08-20 07:58:21,"b""I swear to God everytime I think I've got it cleaned up we bring more shit. #fuckit http://t.co/AuAsn0Brr6"""
369553821443166209,2013-08-19 20:17:51,"b""I just realized I've moved once a year every year since 2010. Damn."""
368134010423480320,2013-08-15 22:16:02,"b""While I appreciate you guys playing music in the park I would prefer it if you weren't playing glorified elevator music."""
368050248436170752,2013-08-15 16:43:11,"b""Moving's a bitch. http://t.co/nRMXlQqRAL"""
368050246452260864,2013-08-15 16:43:11,"b""Moving's a bitch. http://t.co/83dOlZTVOd"""
368041091028639744,2013-08-15 16:06:48,b'Thanks for the birthday wishes guys. \xe2\x80\x94 feeling blessed'
367370508310159361,2013-08-13 19:42:09,"b""Lady Gaga's new song kinda gives me the impression that its from her perspective on stage. It's pretty catchy... http://t.co/fSyFNfGmmL"""
367143292036591616,2013-08-13 04:39:16,b'I love Applause. #Gagasmic'
367084053151088640,2013-08-13 00:43:53,b'Guess who got 8 free cans of Red Bull from the Red Bull truck!'
365727648007200770,2013-08-09 06:54:00,"b""If the IOC allows the games to continue in Russia all the members should be replaced with people who aren't morons. http://t.co/4joJgmsBFq"""
365725964849778690,2013-08-09 06:47:19,"b""I've had pizza in NYC before. I prefer less grease. http://t.co/3DZ0M20uPU"""
365725152748650496,2013-08-09 06:44:05,b'#1 is reason enough to stay away. http://t.co/QYCI4ltFzP'
365247799324975105,2013-08-07 23:07:15,"b""To make a long story short: I ended up with a metric fuck ton of ties and I won't use 99.9% of them because there... http://t.co/zGBBSLujjI"""
364993944892882944,2013-08-07 06:18:32,"b""I hate that #6 is a problem. I'd like to know how many adults have to take tests to prove they continually deserve... http://t.co/NwHLMndfb8"""
364764028721049601,2013-08-06 15:04:56,b'So there are builders next door working on another apartment and at 8:30 this morning they started sawing through... http://t.co/tTQ1Ruakq7'
364438699800412163,2013-08-05 17:32:11,"b'When I weighed myself yesterday morning I was 118.4, but when I weighed myself before bed I was 126.8 and I was... http://t.co/PKxG5M8Asr'"
363328269862449152,2013-08-02 15:59:44,"b""Why are the Question Mark and Exclamation Point next to each other on the iPhone keypad? I'm tired of having to... http://t.co/GCfHNJQ75M"""
363310606679412736,2013-08-02 14:49:33,"b'You opened up a pizza shop in one of the most expensive areas in Brookline, decorated it like a Pinkberry, and... http://t.co/1edeCODba4'"
362972319871799297,2013-08-01 16:25:19,"b""I love how you can sub 'Gay Man' for 'Woman' in most songs. #GayMansWorld"""
362699742955839489,2013-07-31 22:22:12,"b""Answer: Hotel California. There now I don't need to get the app. http://t.co/QRZiwePcY7"""
362304392675852289,2013-07-30 20:11:13,b'Carrying 2 of these 50 pound boxes 3/4 of a mile from my apartment to the new one. I look like one of those... http://t.co/RDeRv0RhHh'
362244251989442563,2013-07-30 16:12:14,"b""Fitting my college tuition total on a check sucks... For two reasons: 1. It doesn't fit written out on the line.... http://t.co/dAGzyQMHDC"""
362230148789055488,2013-07-30 15:16:12,"b""Did you know that 4 out of 5 dentists recommend seeing a dentist 2x per year? I don't know what the 5th guys thinking."""
362228684721098752,2013-07-30 15:10:22,"b""Did you know that HPV vaccines are covered by your insurance if you're under 30? If no I'd recommend getting one,... http://t.co/IVpqjlrlBD"""
362215030046998529,2013-07-30 14:16:07,b'So the receptionist accidentally turned on the intercom between her desk and my room. I can hear everything all... http://t.co/ryo2KfknH5'
362059524519108608,2013-07-30 03:58:12,b'Anyone going to college in Boston this year?'
361262889547472897,2013-07-27 23:12:39,"b""I believe this is a bubbltastrophe, but it's #Bubblicious. Damn now I want gum. http://t.co/KjdKBJXixW"""
360568566191374336,2013-07-26 01:13:39,b'So apparently if you wear polarized glasses to the movie theater you will see subtitles appear.'
360447307205967876,2013-07-25 17:11:49,"b""Yesterday I was sweating my ass off. Today I'm wearing a jacket because its in the low 60's and raining. Summer... http://t.co/v0aL9bMYO0"""
360208791909830659,2013-07-25 01:24:03,"b""Well I can cross getting hit by a taxi off my bucket list... Oh wait it wasn't on there in the first place!"""
360091826004320256,2013-07-24 17:39:16,"b""It's #beautiful outside! Love when Boston feels like this. http://t.co/JuUekm5usR"""
359965892890738688,2013-07-24 09:18:51,b'So I accidentally let 3 oz of ice dissolve in 9 oz of Dr. Pepper (I would have poured the whole can in but the... http://t.co/h7fInxGd10'
359919046768074752,2013-07-24 06:12:42,"b'So my day is spent bouncing between writing my book, moving into the new apartment, and browsing Ebay for no reason.'"
359812431142338562,2013-07-23 23:09:03,b'2 benefits of being gay: 1. You can often share your clothing with your boyfriend so you now have double the... http://t.co/rocmGRBMU2'
359772701373636609,2013-07-23 20:31:10,b'Really... Are you sure? http://t.co/iGvA62hwFn'
359727982069288961,2013-07-23 17:33:29,b'Is this supposed to be a tomato or a pumpkin because it looks orange but the stem leads me to say tomato. http://t.co/PfGi9opHWs'
359724656418230276,2013-07-23 17:20:16,"b'I have a 30"" waist. Why the fuck doesn\'t a size 30 fit me! I can\'t even fit into some size 28\'s because they\'re... http://t.co/Ej9WaoJV3E'"
359523821465767936,2013-07-23 04:02:13,b'Wanna do the environment a favor? Eat squid or small fish not big fish. Different species of squid can grow 100... http://t.co/TycbyGdt8f'
359470584721182721,2013-07-23 00:30:40,"b""And there's no bed. :O http://t.co/dUEGPDmmbm"""
359470531130560512,2013-07-23 00:30:27,b'Living room with a bunch of shit. http://t.co/6e5XO0VqOR'
359470422623924225,2013-07-23 00:30:02,b'At least the apartments clean... or was clean. http://t.co/xPzYHlBonm'
359343527186006017,2013-07-22 16:05:47,"b""I'm fine with people bringing up things from Titanic sites and wrecks, but I don't think it should be done for... http://t.co/mCHR3ORVm1"""
359343163581796352,2013-07-22 16:04:21,"b'""In the many, many years we\'ve been diving at the Titanic Site we\'ve never seen any human remains.""\n\nNO FUCKING... http://t.co/p7lZZi0FNT'"
359337146072580096,2013-07-22 15:40:26,b'USPS at its finest. http://t.co/bBGhxcK9Mi'
359192053009223680,2013-07-22 06:03:53,"b""You attached a camera with 1 thousand feet of cable to the fin of a squid and you're shocked that it got eaten the... http://t.co/o9C714PaBC"""
358677507429511168,2013-07-20 19:59:16,b'Can someone explain why we dock dogs tails and pin their ears. Why not just leave the dog alone and let it grow... http://t.co/wPcrvCNn6B'
358473884229578753,2013-07-20 06:30:08,"b""My views on abortion: If you're not having one then shut up. It's better than having that woman/teenager's life... http://t.co/jKv6N96p1W"""
358432840918122497,2013-07-20 03:47:03,b'When we used to play games. #SAD http://t.co/u1Md5iX372'
358372991177990145,2013-07-19 23:49:14,b'$440 for a chicken? Was someone so hungover that they misplaced a decimal? http://t.co/mGcl4pswCR'
358355119533858816,2013-07-19 22:38:13,b'I swear there needs to be an alert system for Red Sox Games. There playing the Yankees today and it is a cluster fuck down here.'
358258135808491520,2013-07-19 16:12:50,b'This is not Okay. http://t.co/uRtJeO7P43'
358255685588353024,2013-07-19 16:03:06,"b""My mother can seriously suck shit. She's going to give me no help with paying for college after getting a... http://t.co/In45PrEP2r"""
357512055814766593,2013-07-17 14:48:11,b'New England having a dry heat? Madness! But it feels so damn good.'
356855298826317824,2013-07-15 19:18:27,"b'So I have 30,000 per year for college. College costs ~36,000 at this point. Anyone wanna donate to the Colby Needs Money Fund? :P'"
356262386027606016,2013-07-14 04:02:26,b'Anyone else notice that the more religious people are the more easily murder is justified?'
355802985646915585,2013-07-12 21:36:56,b'Hilarious. http://t.co/I8gTuEouRl'
355765166471786496,2013-07-12 19:06:40,"b'I have a problem with this whole banning horse meat thing: Why are horses a protected group of animals while pigs,... http://t.co/0EPhu3J48R'"
355737356017479680,2013-07-12 17:16:09,b'And today I continue packing. #damn'
355434741496942592,2013-07-11 21:13:40,"b""One of the World's best looking sixty-something year olds. http://t.co/SjnvJTKb4F"""
355434010824024065,2013-07-11 21:10:46,b'One of the best looking Sixth Something http://t.co/iSWxqCfu0X'
355249181155274752,2013-07-11 08:56:19,"b'I posted 12 photos on Facebook in the album ""New Apartment"" http://t.co/kFuv42wf4b'"
355115612005081088,2013-07-11 00:05:34,"b""I must admit I'm currently addicted to Cher's new song Woman's World and have no idea why."""
355108047280013315,2013-07-10 23:35:30,"b""So apparently a lot of veterinarians believe that animals don't have emotions. They just exhibit different levels... http://t.co/Y0X08S1FKw"""
355075861684301824,2013-07-10 21:27:37,b'I can stand on my kitchen counters and all I have to do is tilt my head slightly to keep from hitting the ceiling.... http://t.co/ZeYqTN7Tt6'
354306645171503104,2013-07-08 18:31:01,b'Anyone ever get the feeling that the world is using you to prove a point?'
353946264766910464,2013-07-07 18:39:00,b'They should have used Munster cheese. http://t.co/0ilO38cz7o'
353930401452011521,2013-07-07 17:35:58,"b""I searched for and am going to every thrift store in Boston. I can't save money my ass."""
353329894731685890,2013-07-06 01:49:46,"b'Everyone always asks me what I\'m doing with my life. I\'ve decided to answer with ""I\'m working at a Tomagachi Pet... http://t.co/NoPL4q1WZr'"
352955722805424129,2013-07-05 01:02:56,b'#Boston #Rooftop http://t.co/0xjrerfCTn'
352873874226036736,2013-07-04 19:37:42,"b""It's 92 degrees outside. RealFeel is 102 degrees. It's too fucking hot to eat ice cream."""
352583059557728257,2013-07-04 00:22:06,b'On page 43 of my book and cannot figure out how to leave the third grade. I thought 4th grade was going to be my... http://t.co/FupVmjfT50'
352582353153040384,2013-07-04 00:19:18,b'Going to watch the Boston Pops from the roof deck of a friends apartment. #traditions #july4th'
352562652574265344,2013-07-03 23:01:01,"b""Question: Why don't you upload more pictures of yourself?\nAnswer: I don't take pictures of myself on a daily basis."""
352471879577108480,2013-07-03 17:00:19,"b""Alright made my (hopefully) final name change. It's also going to become my legal name. My initials will no... http://t.co/zxuHj14wU2"""
351778384189198336,2013-07-01 19:04:37,"b""Watching old Disney movies. I'm totally not a lazy fool..."""
351421347617980418,2013-06-30 19:25:53,b'@fluffyguy Do you have shows in Boston? Driving down to Stamford from Boston is a bitch. Worth it though your new material was hysterical.'
351420906893082624,2013-06-30 19:24:07,"b""Went to McDonalds after seeing @fluffyguy and some woman came in to buy water. Really? You stop at McDonald's to buy friggin water! #dumbass"""
351189866463236096,2013-06-30 04:06:03,"b'""Now the blame is on me."" Thank you Taylor Swift. What finally got it through your head?'"
351145310908715009,2013-06-30 01:09:00,"b""Dude... You make very insightful comments! I just wish you'd invest in fucking SpellCheck."""
351129377007869952,2013-06-30 00:05:41,b'At a show to see Fluffy!'
350650668542996481,2013-06-28 16:23:28,"b'Can someone explain why Pineapples are the symbol of hospitality? If you eat to much you can burn your tongue, It... http://t.co/BF3dWAY9UR'"
350622624377864192,2013-06-28 14:32:02,b'I wake up to 40 emails (literally). Is this some kind of sick joke?'
350450436945350656,2013-06-28 03:07:49,b'Ate so much pineapple my tongue burns.... Shit.'
