id,created_at,text
1067622400400023552,2018-11-28 03:33:10,b'omg my Mom figured out somehow I was wishing for this book and surprised me with it \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f love her so much https://t.co/OyESqvwRYi'
1066751881177980929,2018-11-25 17:54:02,b'sending everyone love and good vibes today \xe2\x9d\xa4\xef\xb8\x8f take a moment to count your many blessings'
1065663310320812034,2018-11-22 17:48:26,b'RT @the_myleg_fish: Do you see this? No cell phones. Just people living in the moment.  https://t.co/gEsKdnKxqP'
1065647104968851456,2018-11-22 16:44:03,b'Happy Thanksgiving https://t.co/JZ5LwPASIP'
1065167615998521345,2018-11-21 08:58:44,"b'thank you airport Gods for TSA Pre-Check \xe2\x9d\xa4\xef\xb8\x8f y\xe2\x80\x99all know how many times it has saved me from missing flights, love u'"
1064670500851499008,2018-11-20 00:03:22,"b'Xmas List: Michelle Obama\xe2\x80\x99s book \xe2\x80\x9cBecoming\xe2\x80\x9d, Vine 2, a new Frank Ocean album, and a plane ticket'"
1064661244639174657,2018-11-19 23:26:35,b'Feelin like a bag of tequila-soaked carrots: nasty and good for your eyes'
1062355809403842560,2018-11-13 14:45:37,b'haven\xe2\x80\x99t even been awake 45 minutes and I\xe2\x80\x99ve already totally screwed something up at work (as I was typing this twee\xe2\x80\xa6 https://t.co/Fwr0JkoSPL'
1061676793885802496,2018-11-11 17:47:27,"b'@freakmonroe you\xe2\x80\x99re so compassionate, it\xe2\x80\x99s no wonder you\xe2\x80\x99re also so talented'"
1061671488514867202,2018-11-11 17:26:22,"b'unafraid to be afraid, yet afraid to be unafraid  (\xe2\x80\x9cOmen\xe2\x80\x9d x Jenna Barton, Dappermouth) https://t.co/gaAtssJxeY'"
1058767608898576390,2018-11-03 17:07:23,b'RT @syIphe: Fallen Angel by Alexandre Cabanel (detail) https://t.co/EkKkQB1fad'
1057672682588774402,2018-10-31 16:36:32,b'Happy Halloween xx // song: Nightmare x Artie Shaw https://t.co/HtrUd3cw6b'
1056569217913446401,2018-10-28 15:31:46,b'Some Halloween friends I made last night: twin Mia Wallace\xe2\x80\x99s and Eve &amp; Eve https://t.co/Gv1KHbKqb4'
1056568124902924288,2018-10-28 15:27:25,b'Caution: I bite https://t.co/CLEeZY3MvW'
1056193263663755264,2018-10-27 14:37:51,"b'I keeping waking up at 3-4am, zombie running to my kitchen, scarfing down a honey bell tangelo, and then passing back out'"
1055438060224212993,2018-10-25 12:36:57,b'I am literally in back to back meetings from 10am to 5:30pm.... https://t.co/5GFG5OaWRW'
1054142503446822915,2018-10-21 22:48:52,b'I feel like posting your Twitter drafts would be one of those annoying ass challenges https://t.co/apV5KxprvS'
1054141350201999360,2018-10-21 22:44:17,b'Hi TJ I didn\xe2\x80\x99t forget about you'
1053776218749837312,2018-10-20 22:33:23,b'@daensie https://t.co/BKyyWaYpwj'
1053775273265643520,2018-10-20 22:29:38,b'happy birthday @daensie https://t.co/ugxme9Qvaw'
1053738701883355139,2018-10-20 20:04:18,b'Rather than spend my money on going out I\xe2\x80\x99d rather get a massage amirite??'
