id,created_at,text
1067637387461869571,2018-11-28 04:32:43,b'RT @Mr_Ruff_Tho: Lotus flower bomb didn\xe2\x80\x99t get enough credit.'
1067619494997184512,2018-11-28 03:21:37,b'RT @thatgirljaycole: Am i the only one who keeps clicking \xe2\x80\x9cRemind Me Tomorrow\xe2\x80\x9d on my computer update for like the past couple months?\xf0\x9f\x98\x82'
1067610219012857856,2018-11-28 02:44:46,b'I want some horchata'
1067601274273783808,2018-11-28 02:09:13,b'RT @ilove_vonnie: y\xe2\x80\x99all be having high stakes personal convos via text and wonder why your friend/bae/family member doesn\xe2\x80\x99t \xe2\x80\x9cget it\xe2\x80\x9d....no\xe2\x80\xa6'
1067591170547687425,2018-11-28 01:29:04,b'RT @CokoNoir: Girlfriends https://t.co/QkDf6UdCJz'
1067577395601920002,2018-11-28 00:34:20,b'RT @_itsBRITBRAT: Girl nobody cares if you wanna wear lipstick and nothing else on yo face. That\xe2\x80\x99s yo dumb ass looking crazy as hell'
1067562473006473216,2018-11-27 23:35:02,b'@Im_JReeves Yessss both poppin !'
1067557364050653184,2018-11-27 23:14:44,b'RT @KimKardashian: Beyond https://t.co/8wUxqXtolI'
1067556771038928903,2018-11-27 23:12:23,"b'@eanomasil I got my package 2 hours ago, so I\xe2\x80\x99m not sure if they\xe2\x80\x99ve stepped up their game or what'"
1067548419508580352,2018-11-27 22:39:11,b'I can\xe2\x80\x99t wait to get my nails and toes done \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad I\xe2\x80\x99m out here bogus.'
1067522173978451971,2018-11-27 20:54:54,b'@SirZave Don\xe2\x80\x99t do that \xf0\x9f\x98\x92'
1067508271345479680,2018-11-27 19:59:39,b'@MsAshleyDevonna Yes they are coming through! Stepped their game up'
1067508199417438208,2018-11-27 19:59:22,"b'RT @__NATALEIGH: Boohoo, PLT and Missguided are on it this season https://t.co/Bb5S0YNr1X'"
1067508182849896454,2018-11-27 19:59:18,b'RT @MsAshleyDevonna: BooHoo and PLT are really showing out! https://t.co/bQX1YQuNtu'
1067482408390443008,2018-11-27 18:16:53,b'@itsMila___ It\xe2\x80\x99s cool to me. It\xe2\x80\x99s fast fashion so I\xe2\x80\x99m not expecting anything grand.'
1067482303683837958,2018-11-27 18:16:28,b'@hananiahzion @SirZave Sure didn\xe2\x80\x99t lol cause nah'
1067482233185988610,2018-11-27 18:16:11,b'Man if y\xe2\x80\x99all don\xe2\x80\x99t fry this mf\xe2\x80\x99a https://t.co/SiVrRNYg7J'
1067479165375406080,2018-11-27 18:04:00,b'@SirZave No'
1067478302624018432,2018-11-27 18:00:34,b'I ordered my boohoo stuff on Saturday and got notified that it\xe2\x80\x99s out for delivery today. How?!?! Stellar shipping w\xe2\x80\xa6 https://t.co/cmDgnWvKQv'
1067363692415717376,2018-11-27 10:25:09,"b'RT @gangstafemme: Renee is a 10 y/o competitive cheerleader w/ Olymic Dreams! Despite her hard work, she will have to give up her goals in\xe2\x80\xa6'"
1067196776988516352,2018-11-26 23:21:53,b'RT @OhhMyMekaaaa: Depending on someone else to provide your \xe2\x80\x9cpeace\xe2\x80\x9d is only going to have you temporarily satisfied and will leave your spi\xe2\x80\xa6'
1067074577556275200,2018-11-26 15:16:19,b'@dominiqueshante I\xe2\x80\x99m guessing it may come faster if you pay for express shipping'
1067074103499268096,2018-11-26 15:14:26,b'@dominiqueshante It\xe2\x80\x99s risky because i know they got crazy orders over the weekend.'
1067038818472214528,2018-11-26 12:54:13,b'RT @duhhitsdora: Candles burning in a clean home is a whole different level of comfort and peace \xf0\x9f\x98\xad'
1067013042418917376,2018-11-26 11:11:48,b'you deserve a love that always feels like summer.'
1067011063881887744,2018-11-26 11:03:56,b'auntieeeee \xe2\x9c\xa8\xe2\x9c\xa8 https://t.co/i6xpOJqfHs'
1066909085583532032,2018-11-26 04:18:42,b'I notice everything...'
1066769293654876161,2018-11-25 19:03:13,b'RT @Sunraays_: I just might be this extra https://t.co/OX2VBrrG2H'
