id,created_at,text
1064999325686743041,2018-11-20 21:50:00,"b'It\xe2\x80\x99s not even Thanksgiving yet, but Black Friday deals are already popping up online!\n\nHow can you make sure you\xe2\x80\x99re\xe2\x80\xa6 https://t.co/RbLPpygj2N'"
1063633091141533697,2018-11-17 03:21:04,"b'RT @thefour910: Meet Donna, a fabulously friendly pooch who is great for first-time owners. Already house-trained, and a joy to ride with i\xe2\x80\xa6'"
1063633013781790722,2018-11-17 03:20:46,b'I certainly haven\xe2\x80\x99t! Anyone else ever come across this? https://t.co/K52TOXs7wv'
1063597601193435136,2018-11-17 01:00:03,b'The plan would narrow the definition of sexual harassment and allow students accused of misconduct to cross-examine\xe2\x80\xa6 https://t.co/BtUX9fi7OS'
1063579267219509248,2018-11-16 23:47:12,b'RT @AaronParseghian: A Northern Michigan man is returning to the U.S. after being detained in North Korea.\n\nRight now we\xe2\x80\x99re Interviewing fo\xe2\x80\xa6'
1063555018509438977,2018-11-16 22:10:50,b'JUST IN: An Antrim County man is on his way back to the U.S. after being detained in North Korea for a month. https://t.co/gm6HuRk1p3'
1063123633181220865,2018-11-15 17:36:40,b'Looking for a new furry friend? 27 dogs have just been surrendered to the Clare County Animal Shelter.\n\nThey\xe2\x80\x99re Chi\xe2\x80\xa6 https://t.co/R0KchkFmgH'
1062533077510094848,2018-11-14 02:30:01,b'Comic book fans far and wide are celebrating the life of Stan Lee.\n\nHe was the co-creator of popular Marvel charact\xe2\x80\xa6 https://t.co/1SWa3OiI8t'
1062461354395754497,2018-11-13 21:45:01,"b'We\xe2\x80\x99ve all heard about phishing scams, but what about smishing? \n\nIn this week\xe2\x80\x99s Tech on Tuesday, I walk you through\xe2\x80\xa6 https://t.co/wA44pb51in'"
1062063279978278913,2018-11-12 19:23:12,"b""It's a sad day for comic book fans. \n\nStan Lee passed away today at age 95. https://t.co/Fw7pmEnTsO"""
1061083524764184576,2018-11-10 02:30:00,"b'Greyhound racing has been an attraction in Florida for years, but after Tuesday\xe2\x80\x99s election it\xe2\x80\x99s clear people don\xe2\x80\x99t\xe2\x80\xa6 https://t.co/Wnn51lqIZ4'"
