id,created_at,text
1067628877260959744,2018-11-28 03:58:54,b'@Cmungai_Ke @MatwanaCulture Moto \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 \xf0\x9f\x94\xa5'
1067628796034068480,2018-11-28 03:58:35,b'RT @Cmungai_Ke: @MatwanaCulture aye @viviankenya  Waonaje hii hapa ??'
1067109723055554561,2018-11-26 17:35:58,"b""\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 now we've established I'm the stable one. Hawa watoto was siku hizi wajuaji Sana. Ukweli usemwe it's easier t\xe2\x80\xa6 https://t.co/WAdRgirX6h"""
1067108023791960065,2018-11-26 17:29:13,"b""\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 Mimi I just flow. It's easier and there is less kujitetetea. This we're doing. For sure https://t.co/AVImV2ytxu"""
1067106061470060544,2018-11-26 17:21:25,b'RT @reborn_wanjee: @hult_prize_anu @MwalimuRachel @MRXtotheWorld @NRGRadioKE Huwa mnafanana na @viviankenya kapsa'
1067105877679853569,2018-11-26 17:20:41,"b""Lol . @MwalimuRachel just let me laugh . We need to seriously work on this contention. I'll cook tea you'll bring k\xe2\x80\xa6 https://t.co/0tCFg0T7Ah"""
1065892272426926081,2018-11-23 08:58:15,b'RT @ChillSpot7: NP: Talk to me by @viviankenya #ChillSpotOnBossRadio @McMike254 @cartundu @Joy_Kellyne @MisaleVeejay'
1065892255683235841,2018-11-23 08:58:11,b'RT @JahDidi: @TalliaOyando @VivianKenya My life in a picture\xe2\x9d\xa4 https://t.co/RiLG608WjX'
1065892218718904321,2018-11-23 08:58:02,b'RT @KUTVKenya: Chally V: Ningependa kufanya  kazi na @viviankenya \n#VipiShabaan \n#KUTVRiseToday https://t.co/CYOUKw4ihm'
1065892174515118081,2018-11-23 08:57:52,b'RT @DeejayKiks: @viviankenya \nSupporting kenyan music 100% \nLoading...\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/xiu4iqvtVV'
1065892155611406336,2018-11-23 08:57:47,b'RT @vjace_kenya: #thetakeoff Np. Attention @viviankenya @redsanmusic  on @Hot_96Kenya @vjace_kenya @shixkapienga'
1065892141870780416,2018-11-23 08:57:44,b'RT @KBCTelevision: Np In Love by Amani G X @viviankenya On #MahanjamKBC ^JL https://t.co/UK1YWGrSFf'
1065892127677259777,2018-11-23 08:57:41,b'RT @MrSwiftSkillz: #Np Charm @viviankenya ft. @JChameleone #ibizafridays'
1065892102784131074,2018-11-23 08:57:35,b'RT @AbrahamNamisi: @KBCTelevision @viviankenya Such an inspiration'
1065891983401590785,2018-11-23 08:57:06,b'RT @towettke: AMANI G ft VIVIAN - IN LOVE @AmaniGracious @viviankenya https://t.co/qcJNjAjESm'
1065891949918502912,2018-11-23 08:56:58,b'RT @MatwanaCulture: Bado kwa Wollenje dooh zina Colour Clash! @viviankenya \xe2\x80\xa2 \xf0\x9f\x8e\xa8 by #JbNewEra #Mato \xc2\xb7\n\xc2\xb7\n#MatwanaMatatuCulture #Matatu #Kenya\xe2\x80\xa6'
1065891896206245888,2018-11-23 08:56:46,b'RT @reborn_wanjee: @MwalimuRachel Is @VivianKenya your twin sister? you usually look alike'
1065891842074517504,2018-11-23 08:56:33,b'RT @Sis_Shanniez: Now playing #TalkToMe by @viviankenya on #KayaFlavaz @RadioKaya 93.1FmMsa ||94.9FmVoi || 99.7FmMlnd Coast of Kenya (Momba\xe2\x80\xa6'
1065891791646408704,2018-11-23 08:56:21,b'RT @KbcRadioTaifa: Waskiza kibao cha mrembo  @viviankenya - chumchum @KbcRadioTaifa @cynthy_anyango1 @mwamkondo \n#Zinga ^VW https://t.co/mm\xe2\x80\xa6'
1061349287819382784,2018-11-10 20:06:03,b'RT @BoomplayMusicKE: Listen &amp; Download #TalkToMe (Boss Lady) by @viviankenya now on #BoomplayMusic\n\xf0\x9f\x94\x97\xf0\x9f\x91\x87\nhttps://t.co/NUgJUFej4j\n-\n-\n-\n#NewMus\xe2\x80\xa6'
1061349232827949056,2018-11-10 20:05:50,b'Thank you so much https://t.co/ubBiIFphiX'
1061348974148358144,2018-11-10 20:04:49,b'RT @CarolNdanu13: @MANUJOMANUJO2 @Clemmo25flow @DjGitts Show ni liiit...narequest talk to me ya @viviankenya'
1061348953734692864,2018-11-10 20:04:44,"b""RT @AllanMajikUG: #Always On Myind by @McPallaso x @viviankenya\n\nBeen \xe2\x96\xba PLAYing it...\n\xe2\x97\x84\xe2\x97\x84 REWindind it...\n\nI haven't thought of \n\xe2\x96\x8c\xe2\x96\x8cPAUSing o\xe2\x80\xa6"""
1061175049581924352,2018-11-10 08:33:42,b'The live link here for the last send off of my late Dad Weston https://t.co/mHXjDpqsUd'
1061173613276078081,2018-11-10 08:27:59,b'My dear late Dad Weston will miss you.  Watch a live stream of the final send off here https://t.co/N2qNlpyLnr'
1059793750556319745,2018-11-06 13:04:54,"b""I'm humbled. Thank you https://t.co/mCxLExl0Uk"""
1059793650857709568,2018-11-06 13:04:31,b'RT @vjace_kenya: #club96 Np. In love @viviankenya @Amani_G_  on @Hot_96Kenya with @vjace_kenya @shixkapienga .. Saturday Night Party'
1059793370514636800,2018-11-06 13:03:24,b'RT @Benjabella: Her debut single \xe2\x80\x9cSitasahau\xe2\x80\x9d hit the air waves in July shortly followed by \xe2\x80\x9cIn love\xe2\x80\x9d featuring @viviankenya . #NiPoaAmaniGf\xe2\x80\xa6'
1059793343255924742,2018-11-06 13:03:17,b'RT @marion_ndinda: Her debut single \xe2\x80\x9cSitasahau\xe2\x80\x9d hit the air waves in July shortly followed by \xe2\x80\x9cIn love\xe2\x80\x9d featuring @viviankenya and now #NiP\xe2\x80\xa6'
1059793294912307200,2018-11-06 13:03:06,b'RT @ItsTheMagician: #MainaAndKingangi @ItsMainaKageni Heeeeey\n@MissNgare come here and listen to Charm Charm by @viviankenya'
1059793269415133185,2018-11-06 13:03:00,b'RT @MatwanaCulture: Talk to Me @viviankenya airbrush portrait ready to grace the streets \xe2\x80\xa2 \xf0\x9f\x8e\xa8 by #Mato\n\xc2\xb7\n\xc2\xb7\n#MatwanaMatatuCulture #Matatu #Ke\xe2\x80\xa6'
1059793173160120325,2018-11-06 13:02:37,b'Hey! @amaniG is a talented young lady presently under the management of @PineCreekMusic motivating many young girls\xe2\x80\xa6 https://t.co/S0G9kR6Bty'
1059792374682009601,2018-11-06 12:59:26,b'RT @MatwanaCulture: @viviankenya @Rocker_Bri @ouko_billy Its in Mombasa...Still been pimped'
1059792171317055489,2018-11-06 12:58:38,b'RT @Classic105Kenya: Rip!! Female artiste @viviankenya in mourning after losing her dad https://t.co/cdvd7rwfy4 https://t.co/ARqs6dCSLU'
1059792152102912001,2018-11-06 12:58:33,b'Thank you so much https://t.co/kgBv7sAj8O'
1059792102064865281,2018-11-06 12:58:21,b'Humbled. Thank you https://t.co/VDmdXwH4oV'
1059792048935657473,2018-11-06 12:58:09,b'RT @kemboifaith2: @AliTonix70 @mbarukmwalimu @babuwaks @radiomaisha @viviankenya Charm ! Charm ! #Majimakuu'
1059791976550318081,2018-11-06 12:57:51,b'RT @Kiss100kenya: \xe2\x80\x98Please keep us in prayer\xe2\x80\x99 @viviankenya asks Kenyans to pray for Sam West and the family as they mourn\nhttps://t.co/NsZhw\xe2\x80\xa6'
1059791867200618496,2018-11-06 12:57:25,b'RT @cherotichrebeca: #TopMasharikiPlayChart now playing  @viviankenya -chum chum  @KbcRadioTaifa https://t.co/GpXVI0hATA'
1059791772518416384,2018-11-06 12:57:03,b'Thank you so much \xf0\x9f\x99\x8f https://t.co/EyH2vAyFyK'
1059791642666901507,2018-11-06 12:56:32,b'RT @vjace_kenya: #thetakeoff Np. Talk to me @viviankenya    on @Hot_96Kenya with @shixkapienga @vjace_kenya https://t.co/qSjRuhZhyi'
1059411708220002305,2018-11-05 11:46:48,b'@Rocker_Bri @ouko_billy @MatwanaCulture Where is this Matatu. I want to shoot a video with it'
1058672767988654085,2018-11-03 10:50:31,b'RT @PiliPiliFM: The Top10countdown #KumiBoraKE finest #Kenya_Coast NP. Number. 6 #TalkToMe By @viviankenya cc @MbuiKassim'
1057856062743814144,2018-11-01 04:45:14,"b'RT @wasafitv: All the way Kutokea Pande za Nairobi Kenya, Imepata Nafasi ya Kipekee Jumatano ya leo #NowPlaying\xe2\x96\xb6 #TalkToMe Kutoka kwa Queen\xe2\x80\xa6'"
1057674740620500992,2018-10-31 16:44:43,"b""RT @MRXtotheWorld: @viviankenya has moved from grass to grace. From selling 'mali mali', being paid 4,000/= for a gig, to becoming one of t\xe2\x80\xa6"""
