id,created_at,text
378319470105616384,2013-09-13 00:49:25,b'#rackem'
378259886619914240,2013-09-12 20:52:39,b'@gueicay what?'
378258691826257920,2013-09-12 20:47:54,b'@_a1i lol. http://t.co/pAeHMKEg4a now follow me'
378258299134566400,2013-09-12 20:46:20,b'@laurahodgsonxxx why not try http://t.co/pAeHMKEg4a'
378257985857806336,2013-09-12 20:45:06,b'@TaDaBishh see if this make sense http://t.co/pAeHMKEg4a'
378257871529472000,2013-09-12 20:44:38,b'@ConnorTanner lol'
378257805771149312,2013-09-12 20:44:23,b'@cheyenne6marie lol'
378257702306082816,2013-09-12 20:43:58,b'@LindforsMiranda lol.'
378257646224023553,2013-09-12 20:43:45,b'@MsMicheleNicole wat r u lookin for'
378257548417052672,2013-09-12 20:43:21,b'@unfaithfulw0rds y'
378257400131637248,2013-09-12 20:42:46,b'@jessicaaaraujo_ am hirinn'
378257304673480704,2013-09-12 20:42:23,b'@_a1i work for urself'
378252800586944512,2013-09-12 20:24:29,b'#rackem'
378252599134138368,2013-09-12 20:23:41,b'@Colombiana_03 take a look http://t.co/pAeHMKEg4a hiring.'
378252517462659072,2013-09-12 20:23:22,b'@_slaughter7 work here http://t.co/pAeHMKEg4a'
378252461665816576,2013-09-12 20:23:09,b'@ILoveJulia_ u like talking n meeting People? http://t.co/pAeHMKEg4a hiring.'
378252335220133888,2013-09-12 20:22:38,b'@LovingThe_Drew wat u do?'
378252235198578688,2013-09-12 20:22:15,b'@AmandaDaddarioO http://t.co/pAeHMKEg4a'
378252141967593473,2013-09-12 20:21:52,b'@_karinaKayy hired!'
378252077073313792,2013-09-12 20:21:37,b'@newnew_lilbooty get started now. http://t.co/pAeHMKEg4a'
378251902128885760,2013-09-12 20:20:55,"b""@emilybell_x it take a bit of work at first. http://t.co/pAeHMKEg4a pay we'll later on."""
378251797497774080,2013-09-12 20:20:30,b'@brooketaggart do this part time. http://t.co/pAeHMKEg4a'
378251719848632320,2013-09-12 20:20:12,b'@ofiesss http://t.co/pAeHMKEg4a seriously?'
378251615636959232,2013-09-12 20:19:47,b'@numnums143 all the best'
378251478537760768,2013-09-12 20:19:14,b'@miller_desirae form a team n work on this. http://t.co/pAeHMKEg4a'
378251341102981120,2013-09-12 20:18:41,b'@Kimberleighsue try this out http://t.co/pAeHMKEg4a tough at first.'
378251240158666752,2013-09-12 20:18:17,b'@U_Vee see if this make sense. http://t.co/pAeHMKEg4a'
378251158390730752,2013-09-12 20:17:58,b'@humzam95 $20 http://t.co/pAeHMKEg4a'
378251100194750464,2013-09-12 20:17:44,b'@morgantlouviere subway? For real? Why not do this http://t.co/pAeHMKEg4a'
378250986885636096,2013-09-12 20:17:17,b'@_needyeuphoric y y y? http://t.co/pAeHMKEg4a'
378250902949199872,2013-09-12 20:16:57,b'@theOfficialcjay want to try this http://t.co/pAeHMKEg4a'
378250828500316160,2013-09-12 20:16:39,b'@blowthegripp http://t.co/pAeHMKEg4a doable?'
378250646182305792,2013-09-12 20:15:56,b'@leahpiperx how about http://t.co/pAeHMKEg4a can get u started now n'
378250540859133953,2013-09-12 20:15:31,b'@HannahReed111 er... Can work on this http://t.co/pAeHMKEg4a together?'
378250392846352384,2013-09-12 20:14:55,b'@leahtorringt0n done.  http://t.co/pAeHMKEg4a when can u start?'
378250265020735488,2013-09-12 20:14:25,b'@havensavvv Cheer up. Take a look http://t.co/pAeHMKEg4a this could change yr life.'
291509378694148096,2013-01-16 11:37:06,b'Is it sad to not have had a girlfriend by the time you are 16? http://t.co/XyGcrzK1 #sad'
291509377473589248,2013-01-16 11:37:06,b'Sad about losing childhood toys? http://t.co/XyGcrzK1 #sad'
291509376299192321,2013-01-16 11:37:05,b'How do you make friends/ get girls at collage? http://t.co/XyGcrzK1 #sad'
291509375162519552,2013-01-16 11:37:05,"b'If I\'m as ""attractive"" as people say, then why don\'t people ever ask me out or approach me? http://t.co/XyGcrzK1 #sad'"
291509373883252736,2013-01-16 11:37:05,"b""How can I stop blaming myself for my rejection? I'm a woman? http://t.co/XyGcrzK1 #sad"""
291501441439387648,2013-01-16 11:05:34,b'Whats your favorite sad song? http://t.co/XyGcrzK1 #sad'
291501440353054721,2013-01-16 11:05:33,b'Instead of fealling sorry for our selfs why cant we be glad for the children ? http://t.co/XyGcrzK1 #sad'
291501439325450240,2013-01-16 11:05:33,b'Galaxy S3 Causing Extreme Network Latency Problems? http://t.co/XyGcrzK1 #sad'
291501437983264768,2013-01-16 11:05:33,"b""I need help! My friend's parents died? http://t.co/XyGcrzK1 #sad"""
291501436808855552,2013-01-16 11:05:33,b'How can I learn to fake cry? http://t.co/XyGcrzK1 #sad'
291493645603966977,2013-01-16 10:34:35,"b""is it wrong not marrying your baby's father? http://t.co/XyGcrzK1 #sad"""
291493644567969792,2013-01-16 10:34:35,b'How do dog breeders JUSTIFY?!? http://t.co/XyGcrzK1 #sad'
291493639211847680,2013-01-16 10:34:33,"b'Do I have to change myself? God, christian bible and life? http://t.co/XyGcrzK1 #sad'"
291493637471207424,2013-01-16 10:34:33,b'Modern Warfare.. The best game franchise in history? http://t.co/XyGcrzK1 #sad'
291493632060559360,2013-01-16 10:34:32,b'WHY is it that sometimes I get so deeply depressed? http://t.co/XyGcrzK1 #sad'
291485468128841730,2013-01-16 10:02:05,b'do dogs get depressed? http://t.co/XyGcrzK1 #sad'
291485466920890368,2013-01-16 10:02:05,b'People who read manga would you read my story? 10 points? http://t.co/XyGcrzK1 #sad'
291485465666793473,2013-01-16 10:02:05,b'Distant? Why is he being so distant? http://t.co/XyGcrzK1 #sad'
291485464446267392,2013-01-16 10:02:04,b'Emotional or am I over reacting? http://t.co/XyGcrzK1 #sad'
291485463187976192,2013-01-16 10:02:04,b'What do I do about this girl I really like? http://t.co/XyGcrzK1 #sad'
291477661342130177,2013-01-16 09:31:04,b'Need someone to talk to? http://t.co/XyGcrzK1 #sad'
291477660226424832,2013-01-16 09:31:04,b'is there any legal recourse if a dog you purchased from a breeder dies two weeks after purchase in i\xe2\x80\xa6 http://t.co/XyGcrzK1 #sad'
291477659140112384,2013-01-16 09:31:03,b'what will you do to show your attitude? http://t.co/XyGcrzK1 #sad'
291477657638555648,2013-01-16 09:31:03,b'Ginger cat personalities? http://t.co/XyGcrzK1 #sad'
