id,created_at,text
1064598063237468161,2018-11-19 19:15:32,"b""It seems the roads are growing wider and wider 'most every day\nI used to love to drive but now I stay off them lane\xe2\x80\xa6 https://t.co/VSpQfokqUx"""
1064272321228300288,2018-11-18 21:41:09,b'Just look at that snoofler https://t.co/69Oc9WyZwz'
1064237177163456512,2018-11-18 19:21:30,b'@livzigs Thanks liv! I love you very much and am looking forward to seeing yo \xe2\x99\xa5\xef\xb8\x8f'
1058787255920275456,2018-11-03 18:25:27,b'@livzigs You\xe2\x80\x99re absolutely right'
1058729289548554241,2018-11-03 14:35:07,b'Change is hard.'
1058081924370100226,2018-11-01 19:42:43,b'I think my sinuses are trying to kill me. They\xe2\x80\x99ve evolved and are defeating the Sudafed.'
1056581344023724035,2018-10-28 16:19:57,b'Get your shit together Philly'
1052251757294825472,2018-10-16 17:35:43,b'RT @Animal_R_Us: Opening a science wing. https://t.co/FXByIze3Lw'
1052251181848891392,2018-10-16 17:33:26,b'RT @curledbitch: who the fuCK CHANGED THE SOUND LMAOOOO https://t.co/liyHdtzoci'
1050809617478049794,2018-10-12 18:05:10,"b'RT @ShineMyGold: today i was lookin at a girl because she had a piece of lettuce in her hair and she looks at me and said ""i have a boyfrie\xe2\x80\xa6'"
1050717685569544192,2018-10-12 11:59:52,"b'@ErikReightler But hey, Atleast we murdered them and it wasn\xe2\x80\x99t a close game.'"
1050708884879495168,2018-10-12 11:24:54,b'@ErikReightler Yeah you couldn\xe2\x80\x99t be more right.'
1050561352836747264,2018-10-12 01:38:39,b'Goooooooooooooooooooooo biiiiiiiiiiiiiirrrrrrrrrrdsss'
1050083944304128001,2018-10-10 18:01:36,b'RT @NOTVIKING: christopher columbus: i have discovered this new land\n\nnative americans who have lived there for thousands of years: weird f\xe2\x80\xa6'
1049819468350844933,2018-10-10 00:30:40,b'@MReenock @NBCSPhilly @GrittyNHL @MileyCyrus This is getting ridiculous'
1049646518427373568,2018-10-09 13:03:26,b'@MReenock @GrittyNHL @AdventureAqua Hahahahahaha'
1047886508852699137,2018-10-04 16:29:47,"b'I just used \xe2\x80\x9cshook\xe2\x80\x9d to describe myself in a serious conversation today for the first time. So, there\xe2\x80\x99s that. Idk how I feel about it.'"
1047885247583535105,2018-10-04 16:24:46,b'RT @ShimminyKricket: Knowing when to quit is a massively important skill in life. Its actually MORE important than knowing how and when to\xe2\x80\xa6'
1047541585112707072,2018-10-03 17:39:10,b'RT @run_bailey_run: whatever your far\nwhatever your near \nbelief begins now \nbelief begins right here \ndo you choose to \nbelieve in yoursel\xe2\x80\xa6'
1045712347145408513,2018-09-28 16:30:26,b'@hizzmcdizz It\xe2\x80\x99s just the damn truth'
1045666904214507524,2018-09-28 13:29:52,"b'You know how there\xe2\x80\x99s that saying that says \xe2\x80\x9cDrink a cup of coffee, put on some gangster rap and handle it\xe2\x80\x9d or whate\xe2\x80\xa6 https://t.co/2zo54kzmXX'"
1044691085384192002,2018-09-25 20:52:18,b'Just a match begging for fire'
1043166292767907840,2018-09-21 15:53:19,b'RT @stevemorris__: Age 5: If you give a mouse a cookie\nAge 25: https://t.co/MxYwvka4ow'
1043126962552745985,2018-09-21 13:17:02,b'Was courage the cowardly dog actually cowardly?'
1042506835335503873,2018-09-19 20:12:53,b'NO.'
1042421019259154433,2018-09-19 14:31:52,"b'It\xe2\x80\x99s been awhile so here\xe2\x80\x99s a haiku about trying:\n\nSleepy eyes slump closed\nMy coffee is not working\nStill I type, type, type'"
1042197156441063424,2018-09-18 23:42:19,b'RT @dog_feelings: a lot of things in life are unpredictable. but not the skittle under the fridge. it just sits there. and i just watch it'
1041672958090117120,2018-09-17 12:59:21,b'It\xe2\x80\x99s important to separate logic brain from emotional brain because when emotional brain is telling you that you\xe2\x80\x99re\xe2\x80\xa6 https://t.co/4bGz2XMxgP'
1041373919339397120,2018-09-16 17:11:04,b'@ErikReightler This shit isn\xe2\x80\x99t lookin good'
1041373115006283776,2018-09-16 17:07:53,b'@ErikReightler Fuck I know'
1041372285217718272,2018-09-16 17:04:35,b'Goooooooooo biiiiiiirds'
1041305390099644418,2018-09-16 12:38:46,"b'RT @chunkyhooliganx: Amy Winehouse receiving her Grammy, her reaction breaks my heart everytime. Happy birthday. https://t.co/cbL7VCpbaZ'"
1040647522128224256,2018-09-14 17:04:38,b'@livzigs Love you'
1040620911299383297,2018-09-14 15:18:53,b'I am going THROUGH IT right now.'
1039223274008399872,2018-09-10 18:45:11,"b'It seems like with mental health, everyone knows exactly what is good for you and what you should do and you\xe2\x80\x99ll be\xe2\x80\xa6 https://t.co/iknGN4opg7'"
1038435476292681728,2018-09-08 14:34:45,b'Literally listening to K.I.D.S and The High Life all day RIP'
1037753582672662528,2018-09-06 17:25:09,b'RT @JOEL9ONE: Game day! See y\xe2\x80\x99all at the Linc!'
1037411035202940930,2018-09-05 18:43:59,b'RT @Eagles: This is only the beginning.\n\n#FlyEaglesFly https://t.co/NX97oEjDvw'
1037070895368552448,2018-09-04 20:12:23,b'RT @ohlode: Ayyyy https://t.co/dcqIDjDHnt'
1037070808701657089,2018-09-04 20:12:03,"b'RT @darrenrovell: BREAKING: Nike had been paying Colin Kaepernick all along, waiting for the right moment. That moment is now, as he become\xe2\x80\xa6'"
1035971474299994112,2018-09-01 19:23:41,b'RT @AndrewChamings: wife: [watching the news] some idiot tried to fight a squid at the aquarium\n\nme: [covered in ink] maybe the squid was b\xe2\x80\xa6'
1035898531746377728,2018-09-01 14:33:50,b'RT @halfblakeddd: Self care'
1032973133630849024,2018-08-24 12:49:21,b'Shouting it from the rooftops! Hand-knit accessories made from local materials! \n\nhttps://t.co/96Lyxlqcp7\xe2\x80\xa6 https://t.co/MLyK3aivFI'
1029726702828773377,2018-08-15 13:49:12,b'A new friend\nIs like finding a new song\nThat you cannot wait to play\nOver and over again'
1029106410917912576,2018-08-13 20:44:22,b'@MReenock I just don\xe2\x80\x99t get it lol'
1029102323442888704,2018-08-13 20:28:08,b'@MReenock I think about this a lot'
1028310506464059392,2018-08-11 16:01:44,b'RT @cottoncandaddy: danny devito isn\xe2\x80\x99t going to die he\xe2\x80\x99s just going to keep getting smaller and more dense until he finally collapses into\xe2\x80\xa6'
1027954712048541697,2018-08-10 16:27:56,"b'RT @aaronhughes1928: Me: 90s Kids for 1000\n\nAlex Trebek: This household task, likely due to inclusive philosophies and/or pure convenience,\xe2\x80\xa6'"
1027953721693622272,2018-08-10 16:24:00,b'Leading your dog/cat to a carpet-free area before they throw up. https://t.co/fQbrWos8vL'
1027643077991833601,2018-08-09 19:49:37,"b'Hey, Go birds.'"
1027596191746469888,2018-08-09 16:43:18,b'RT @cardivee: why can\xe2\x80\x99t college prepare students for actual post grad problems like taxes and how to talk on the phone without sounding lik\xe2\x80\xa6'
