id,created_at,text
944451215458492416,2017-12-23 06:14:51,b'RT @LysaTerKeurst: God is mighty. \nGod is caring. \nGod is worthy of praise. \nGod is loving. \nGod is able. \nGod is in control. \nNothing take\xe2\x80\xa6'
944450306120867840,2017-12-23 06:11:14,b'Instant masterpiece shared via GoArt https://t.co/ELBvv0JtsW'
938431024161349632,2017-12-06 15:32:46,b'@kanpolx3 @GxdCxmplex The principal was going to let the remarks stand without any reprimand whatsoever. That is wh\xe2\x80\xa6 https://t.co/RcAaZgiiJD'
937881148461633536,2017-12-05 03:07:45,"b'RT @RealPaulWalker: 4 years later we remember #PaulWalker for his kindness, authenticity, sense of adventure and a genuine smile that could\xe2\x80\xa6'"
937880215702863872,2017-12-05 03:04:03,b'RT @MentalHealthAm: The Contradiction of Living With Both Anxiety and Depression https://t.co/7xBv6IeK5i via @TheMightySite https://t.co/VL\xe2\x80\xa6'
937878900029448196,2017-12-05 02:58:49,b'RT @SarahKSilverman: Let\xe2\x80\x99s all take a beat &amp; internalize this quote from the transcendent James Baldwin:\xe2\x80\xa6'
937224008537444352,2017-12-03 07:36:31,b'@a_committedhrt @viciouscyclepmd This was such a great story and I am so glad you shared it and God led me to it.'
937223482152312832,2017-12-03 07:34:25,b'https://t.co/4yirYH9kh1'
937221491812372480,2017-12-03 07:26:31,b'@Longreads This was a really excellent read! I have never felt more understood.'
937061492758892544,2017-12-02 20:50:44,"b""You don't need to reinvent the wheel, you just need to make it better. #creativity"""
936779183493062656,2017-12-02 02:08:56,b'@pmddaware wondering how you found out you were misdiagnosed. I have been diagnosed with bipolar disorder and PMDD.'
931286004140560384,2017-11-16 22:21:00,b'@EcoFluffyMama @blogbabesrt Never heard of this. I googled it and I am not sure if I would like having to take out\xe2\x80\xa6 https://t.co/kydp5Asge9'
931283018349649921,2017-11-16 22:09:08,b'RT @DonnieWahlberg: Ya know that moment when someone feeling shitty tries to generously dump that shitty feeling onto you?\n\nYou can choose\xe2\x80\xa6'
745146916376219648,2016-06-21 06:50:43,"b'RT @bimpse: ""Why do I ever agree to do anything ever?\xe2\x80\x9d - Me, every time it\xe2\x80\x99s time for me to do a thing I agreed to do'"
745145878529224704,2016-06-21 06:46:36,"b'RT @thefoundbird: But, @UterusRage, why?! #livetweetyourperiod https://t.co/NuOCIiLXKI'"
739663747250278400,2016-06-06 03:42:34,"b'RT @tastemade: Life is a rose, and so is this peach rose cheesecake @pankobunny RECIPE: https://t.co/8SFV0XUn7C https://t.co/zfTpjWXCR7'"
739663359541432320,2016-06-06 03:41:01,b'These mood swings though. #PMDD'
736560297884983300,2016-05-28 14:10:34,b'RT @NAPMDD: #PMDD https://t.co/XVIoqrQmAw'
736559863506030594,2016-05-28 14:08:50,b'@BadgerSpanner @ChickAndTheDead I am about to start zoloft. Prozac made me numb. Not sure if it was better than all the other things I felt'
736559347954810880,2016-05-28 14:06:47,b'@XianJaneway same here!'
736558650274238464,2016-05-28 14:04:01,"b""@decidedlySane all of the above for me. Every month. Tried Prozac wasn't much help I will start Zoloft this time around #pmdd"""
736460317803319300,2016-05-28 07:33:17,b'@Baby_Makers @detechter wow. I never knew this.'
734939115284799490,2016-05-24 02:48:34,"b""RT @Catstello: \xe2\x9c\xa8\xf0\x9f\xa6\x84 Friendly reminder: you're allowed to love your body no matter what it looks like \xf0\x9f\xa6\x84\xe2\x9c\xa8"""
734545276397060097,2016-05-23 00:43:35,"b""RT @GODs_Graces: When we can't piece together the puzzle of our own lives, remember the best view of a puzzle is from above.  Let Him help\xe2\x80\xa6"""
734544966513504256,2016-05-23 00:42:21,"b'RT @GODs_Graces: This is   a great attitude.  TRUST IN GOD, he   has good things in store for you. https://t.co/I2SP3BLy9G'"
734381287700598788,2016-05-22 13:51:57,"b""Laying in bed with horrible cramps.. Taken midol and have my heating pad so it's time for #livetweetyourperiod because, hey why not?"""
732371261758771205,2016-05-17 00:44:50,b'RT @The90sLife: Retweet if this had a positive impact on your childhood https://t.co/ygct6cSllO'
732370918480195586,2016-05-17 00:43:28,b'RT @The90sLife: So true\xf0\x9f\x8e\xae\xf0\x9f\x92\xaf https://t.co/OSnnnod0ZP'
732370707401846784,2016-05-17 00:42:38,"b""RT @The90sLife: Every girl's first crush, benny the jet rodriguez https://t.co/B6ucDeLpcX"""
732370218891264005,2016-05-17 00:40:41,"b'RT @GODs_Graces: God cares about everything that concerns you, so feel free to talk to Him about anything.'"
732370195994583040,2016-05-17 00:40:36,b'RT @GODs_Graces: God is placing great opportunities in your life...pause and appreciate them.'
732218009956306944,2016-05-16 14:35:52,b'@Baby_Makers @detechter cramps are not normal? Care to explain this one because they have been a normal part of my cycle every month'
730999419978567680,2016-05-13 05:53:37,"b'RT @TMNTMovie: Meet Casey Jones, the newest member of the crew. #TMNT2 https://t.co/rTSfKugj0G'"
730756739700772864,2016-05-12 13:49:18,"b""@blamethehormone I've purchased your book. I love it. Very insightful. I suffer from PMDD and I get very weary of the constant struggle"""
730756014438531073,2016-05-12 13:46:25,b'@Misslayt yes! Very real and debilitating.'
730755745646583808,2016-05-12 13:45:21,"b""RT @mooddisordersON: Your mood swings may be a sign of a hormone-related #mooddisorder. Read about one woman's experience with #PMDD https:\xe2\x80\xa6"""
730755019167924224,2016-05-12 13:42:27,"b""RT @amkbroadway: Just when I didn't think I could love @IMKristenBell more! I live w/ #PMDD everyday.  #MentalHealthAwarenessMonth https://\xe2\x80\xa6"""
723876155401580545,2016-04-23 14:08:19,b'@thislifeandme I like to talk with other women who understand and who are not ashamed.'
687255226726879232,2016-01-13 12:49:49,"b""RT @Souldiaspora: Didn't take the Advil soon enough now in too much pain to get to it... #livetweetyourperiod https://t.co/OEDR7VC5Th"""
