id,created_at,text
800870249260150789,2016-11-22 01:15:21,b'Suh dude @Kennnaaaaaaaaaa'
770429143381078016,2016-08-30 01:13:16,b'RT @Italianotta: FINAL ROUND! Which state is the most useless?'
756700369678401538,2016-07-23 04:00:01,b'Oh my gosh! Happy birthday baby! Sweet 16 for a sweetie pie I love you sososososososososososososososososo much! \xf0\x9f\x98\x8d\xf0\x9f\x92\x95\xf0\x9f\x92\x9c\xf0\x9f\x98\x98\xf0\x9f\x92\x93\xf0\x9f\x92\x9a\xf0\x9f\x92\x9b\xf0\x9f\x91\xac\xf0\x9f\x92\x8b\xf0\x9f\x92\x99\xf0\x9f\x8e\x89 @JSlabyBabyxoxo'
747600629531549700,2016-06-28 01:20:54,"b""Today's the day between the gay days that we give back to The Straights\xe2\x84\xa2."""
745848042142695424,2016-06-23 05:16:45,b'Are you fucking kidding me'
745846104546226181,2016-06-23 05:09:03,"b""I would still be buying them just they'd be for a girl"""
745846104391049222,2016-06-23 05:09:03,b'Those tweeted out of order'
745845806364827648,2016-06-23 05:07:52,"b""I bought jonny flowers today and realized in a heteronormative world I wouldn't need to buy them"""
745845636147322881,2016-06-23 05:07:11,b'Shit wait'
745845480748359681,2016-06-23 05:06:34,b'Relationships are hard work'
744705815223934976,2016-06-20 01:37:56,b'https://t.co/4vS9f5XqXl'
744705213513273344,2016-06-20 01:35:33,b'\xe2\x9d\xa4\xef\xb8\x8f I have gay \xe2\x9d\xa4\xef\xb8\x8f'
744704840706686981,2016-06-20 01:34:04,b'RT @everywordisgay: gay johnny'
744704681268625408,2016-06-20 01:33:26,b'#iwasbornto be a gay homo'
741351559100006400,2016-06-10 19:29:19,b'RT @MrHuntEJ: I am trying to get 6480 likes and retweets. 1 for everyday that this amazing teacher has worked! #ejpride https://t.co/IHcVpp\xe2\x80\xa6'
741351527407886337,2016-06-10 19:29:12,"b'RT @headachepiano: ""I like how we\'re all on our phones"" \xe2\x80\x94Eli 2k16 https://t.co/BajxDMHiHF'"
737658316063711233,2016-05-31 14:53:42,b'RT @popeharslay: #MakeJaelynnDoMarchingBand pls retweet https://t.co/SHLDEN9GqI'
731492433008152581,2016-05-14 14:32:41,b'@BrandonNotKevin I hate you all you were supposed to settle this for us but instead we have this indecisiveness'
729503834679214080,2016-05-09 02:50:42,"b""Hi it's jonathan I'm bad at hacking but ily bae and plz don't fart in ur sleep I will be anger"""
729503659399229440,2016-05-09 02:50:00,b'Me being a Capricorn and my bf being a Leo I think this is accurate https://t.co/A5gmuQvy9i'
729499485081108480,2016-05-09 02:33:25,b'@JSlabyBabyxoxo beanie luvs u \xf0\x9f\x92\x8b'
729498252907819008,2016-05-09 02:28:31,b'Which is cuter'
