id,created_at,text
1050169912180822017,2018-10-10 23:43:12,b'RT @Luke5SOS: ^-^ https://t.co/hwvZo5oFiU'
1050095220879224837,2018-10-10 18:46:25,"b'RT @alxsatrum: IDEA: memories but instead of Snapchat it\xe2\x80\x99s Spotify \n\n\xe2\x80\x9cOn this day 2 years ago, you listened to \xe2\x80\x98I fall apart\xe2\x80\x99 by Post Malon\xe2\x80\xa6'"
1050095088729317383,2018-10-10 18:45:53,b'RT @Just_Vodka8: For the Next time you think Drinking and Driving is cool https://t.co/uyRHQWy5AR'
1050068245955391488,2018-10-10 16:59:13,b'RT @moshspit: 18. i cant believe..... https://t.co/6I37RY95ZS'
1050067771860635648,2018-10-10 16:57:20,b'RT @moshspit: 11. he has ONE lip https://t.co/qS7rk8xw6Q'
1050060346201911296,2018-10-10 16:27:50,b'RT @JackedYaTweets: He naming me https://t.co/cmSlO1LJMw'
1050060314170064896,2018-10-10 16:27:42,b'RT @umcornell: |\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3\xef\xbf\xa3 |\n|  your child\xe2\x80\x99s           |\n|  mental health       | \n|  is more important|     \n|  than their grades |\n| \xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf\xef\xbc\xbf_\xe2\x80\xa6'
1050060282293309440,2018-10-10 16:27:35,"b'RT @emmavreyes: If I could delete all of the lyrics to every single One Direction album from my brain memory to make room for tests, guess\xe2\x80\xa6'"
1050059903430209537,2018-10-10 16:26:04,b'RT @emryseb: British twitter when they see an American microwaving their water for tea\n https://t.co/wKD5RCHzh9'
1049844472673173505,2018-10-10 02:10:02,b'RT @AmayraniDiaz_: She looks like Boo at the end \xf0\x9f\x98\xad\xe2\x9d\xa4\xef\xb8\x8f https://t.co/xLXUBVhaEQ'
1049736373853450245,2018-10-09 19:00:29,b'RT @bassisthugs: calum in an unbuttoned shirt is a big yes from me https://t.co/vPwsbguNkl'
1049676048844120064,2018-10-09 15:00:46,b'RT @kingzyphree: We don\xe2\x80\x99t eat shit for breakfast. We just starve until all the food is ready https://t.co/Vn88897zm8'
1049674306370904064,2018-10-09 14:53:51,b'RT @lipring: This is still the cutest video of Luke https://t.co/XgPMKXKoQ6'
1049673476146167809,2018-10-09 14:50:33,"b'RT @Sian_Johnson47: Eyelash extensions, surgeries, fillers, eyebrow treatment. Don\xe2\x80\x99t make other people feel ugly just because they can\xe2\x80\x99t af\xe2\x80\xa6'"
1049673294436343808,2018-10-09 14:49:50,b'RT @TENDERpbj: shrek be like \xe2\x80\x9cd\xc3\xb6nk\xc3\xa6\xe2\x80\x9d'
1049517175164297216,2018-10-09 04:29:28,b'RT @IDiveInYoGirl: have you ever noticed that ppl would rather stop speaking to u instead of apologizing when they\xe2\x80\x99re in the wrong? haha ho\xe2\x80\xa6'
1049516996977709056,2018-10-09 04:28:45,b'RT @KentingtonC: Hi yes you\xe2\x80\x99re valid for wanting an abortion after being raped and you\xe2\x80\x99re valid for wanting an abortion after having consen\xe2\x80\xa6'
1049510393662590977,2018-10-09 04:02:31,b'RT @_ayosworldd: Brother Nature and Canela https://t.co/U2KqOKudQh'
1049510083820949505,2018-10-09 04:01:17,b'RT @ellisuhhh: once you start seeing how silly absolutely everything in life is you really just start doing whatever you want because nothi\xe2\x80\xa6'
1049509934944215040,2018-10-09 04:00:42,"b'RT @baeriella: If you\xe2\x80\x99re 18+, watch this. https://t.co/oZCXVvvZUg'"
1049509379786121216,2018-10-09 03:58:29,b'RT @saltyjinyoung: anyone: looks at bella\n\nedward:  https://t.co/XtdSrwd8Hm'
1049509340154093568,2018-10-09 03:58:20,b'RT @ShineMyGold: my mom deserves way better than this life has offered her'
1049424195313180672,2018-10-08 22:20:00,b'RT @dianaaadee: females really be throwing away beautiful ass friendships over some dick LOL SAD'
1049423624359297025,2018-10-08 22:17:44,"b""RT @irritations: [holding my newborn son]\n\nme: he's beautiful\n\ndoctor: we're gonna have to give him some shots \n\nme: oh hell yeah pour up i\xe2\x80\xa6"""
1049423513600360448,2018-10-08 22:17:17,"b""RT @Luke5SOS: Find something that makes you happy and don't let anyone take it away from you :-)"""
1049423419706671109,2018-10-08 22:16:55,b'RT @AmoNickk: do u ever want to take a nap but the nap doesnt want to take u'
1049423352790691840,2018-10-08 22:16:39,b'RT @astrarchi: just teach your kids about consent and shut the fuck up lmao weird bitch https://t.co/WWtj1gvhPf'
1049119988743917568,2018-10-08 02:11:11,b'RT @lipring: This was THE note change. I will never get over it. https://t.co/cI42GA5wrw'
1049115280578957314,2018-10-08 01:52:29,b'RT @continentlbkfst: me: how bad is it doc\n\nDr: she\xe2\x80\x99s developed a severe case of decorative house speech disorder\n\nmy mom: Life is what hap\xe2\x80\xa6'
1049108148127260672,2018-10-08 01:24:08,b'RT @AlyciaTyre: You ever just sit and think about your whole future and get all excited about getting married and having your own house and\xe2\x80\xa6'
1049107880048246784,2018-10-08 01:23:04,b'RT @lie2mehemmings: \xe2\x80\x9cSaN DiEGOoOoO\xe2\x80\x9d\n\ni can\xe2\x80\x99t stop laughing ashton literally recreated his most iconic meme...HE REALLY DID THAT \n\n@Ashton5S\xe2\x80\xa6'
1049107794551554048,2018-10-08 01:22:44,"b""RT @TomiLaffly: OK, so...do you FINALLY fucking understand why women don't report their sexual assaults? Do you now get it? DO YOU?"""
1049107420461584384,2018-10-08 01:21:15,b'RT @Larson_Miller19: You bet I\xe2\x80\x99d stare down Lucifer himself and take him toe to toe if he was coming after my dog https://t.co/lwfRMDVNQu'
1048780539426209792,2018-10-07 03:42:20,b'RT @sadedelacruz: sis look like she going through it \xf0\x9f\x98\xad her baby daddy ain\xe2\x80\x99t shit where he at https://t.co/CdpoD2IeoW'
1048780313143508992,2018-10-07 03:41:26,b'RT @vic_moser: It\xe2\x80\x99s been a cuddle with my toaster in the bath tub kinda week'
1048720920318300160,2018-10-06 23:45:26,b'RT @bassisthugs: calum hood playing bass is my favorite view ever https://t.co/bnEjQg4oWE'
1048612137810219008,2018-10-06 16:33:10,b'RT @Dannycommockx: Switching from WiFi to 4G cause I\xe2\x80\x99m an impatient cunt https://t.co/YYdl6kuGMZ'
1048611775330099205,2018-10-06 16:31:44,b'RT @kamerontaylor17: THESE are THE smell of middle school pre teen girls in \xe2\x80\x9809 i never knew their actual names and just referred to them b\xe2\x80\xa6'
1048611643658305537,2018-10-06 16:31:12,b'RT @TheNickKent: Being choked might be a turn on for you...\n\nBut it\xe2\x80\x99s not for sea turtles so keep your fuckin trash out the damn ocean'
1048445478491377664,2018-10-06 05:30:55,"b'RT @Michael5SOS: Real bands save fans, real fans save bands'"
1048443758847700993,2018-10-06 05:24:05,b'RT @ImTheeBrock: Going to sleep on time and waking up tired https://t.co/TSdokBDutq'
1048443676924551168,2018-10-06 05:23:46,"b""RT @ShineMyGold: [while being tackled by police dog] what's his name?"""
1048441793568759808,2018-10-06 05:16:17,b'RT @milkygoddess: in life you gotta yee the haw before the haw yee\xe2\x80\x99s u'
1048441761348112384,2018-10-06 05:16:09,b'RT @bassisthugs: if walls could talk is such a bop!!! you can\xe2\x80\x99t convince me otherwise https://t.co/qOl3SEAbpb'
1048440838534123521,2018-10-06 05:12:29,b'RT @LilTunechi: Let\xe2\x80\x99s Go Red Sox!!!'
1048440125976444928,2018-10-06 05:09:39,b'RT @sadgirlkms: girls just wanna have serotonin'
1048440116837011457,2018-10-06 05:09:37,b'RT @dylanobrien: @realDonaldTrump Fuck you'
1048439458691997696,2018-10-06 05:07:00,b'RT @amandaasette: Time: 8am\nShirt: cropped\nLooking: good\nSydney: pressed https://t.co/lpJOSchMGB'
1048439399795609600,2018-10-06 05:06:46,b'RT @_madsssss: *PLS RETWEET* we\xe2\x80\x99re calling for oncologists all over the world for any help/advice/innovative treatment for stage 4 ovarian\xe2\x80\xa6'
1048238606949801984,2018-10-05 15:48:53,b'RT @softsadsatan: you ever want to talk to your friend abt shit goin on in your life but they got shit goin on in their life and you don\xe2\x80\x99t\xe2\x80\xa6'
1048238575622508544,2018-10-05 15:48:46,b'RT @Blessjae: Listening to him rant about all the things he\xe2\x80\x99s passionate about https://t.co/0SA3LqFxqO'
1048160753583370241,2018-10-05 10:39:32,b'RT @killbyundrscore: it makes me so sad these creatures are kept in tiny tanks for human entertainment. look at them fuckin thriving out he\xe2\x80\xa6'
1048160248115159040,2018-10-05 10:37:31,b'RT @cheerylex: being kind is like?? the best thing in the world?? making other people feel loved and happy is so rewarding?? and having peo\xe2\x80\xa6'
1048160195862519808,2018-10-05 10:37:19,b'RT @maaddy_mariee: when\xe2\x80\x99s national single day'
1047898085492502531,2018-10-04 17:15:47,b'RT @kellychaucaa: \xe2\x80\x9cwho is 5sos\xe2\x80\x9d https://t.co/qww3vVWlSv'
1047897742855557121,2018-10-04 17:14:25,b'RT @lie2mehemmings: do you ever just get jealous of 5sos because they get to hang out with 5sos???'
1047897586236051457,2018-10-04 17:13:48,b'RT @Moristiko: me walking to my parents room at 2am telling them i threw up https://t.co/cKUkWAUVFN'
1047897492547932162,2018-10-04 17:13:25,b'RT @TommySobiesski: If i use \xe2\x80\x9c:/\xe2\x80\x9c just know that shit hurt'
1047897217783275521,2018-10-04 17:12:20,b'RT @Pornhub: Who am I? Im addicted to Youngblood by @5SOS'
1047870580475813888,2018-10-04 15:26:29,b'RT @benoobrown: Do you ever tidy your room then spend half the night walking in and out to look at the great job you\xe2\x80\x99ve done???'
