id,created_at,text
485503313644118016,2014-07-05 19:19:44,b'RT @robinlexy123: Why is everybody hating on the Robin sisters..?\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x92\x81'
455900308158566400,2014-04-15 02:47:58,b'Ayyyyeee follow my new twitter @Haleymary1 http://t.co/RUDawSOk0c'
453386564077252608,2014-04-08 04:19:15,b'New account --&gt; @Haleymary1 unfollow this one'
453313532621094912,2014-04-07 23:29:02,b'@Haleymary1 @Haleymary1 follow my new account and unfollow this one!'
453256227095842816,2014-04-07 19:41:20,"b""\xe2\x80\x9c@_W_N_M: @halr22 I'll think about it \xf0\x9f\x98\x8f\xe2\x80\x9d lmaooo u were quick to think i see"""
453252994444705792,2014-04-07 19:28:29,b'Everyone follow my new account! @haleymary1 and unfollow this account'
453229689931575296,2014-04-07 17:55:53,b'\xe2\x80\x9c@JustinYousif22: @halr22 ahooo lol\xe2\x80\x9d \xf0\x9f\x98\x84\xf0\x9f\x98\x94'
453229605156294656,2014-04-07 17:55:33,b'Like who the hell has the time to hack'
453229512365711360,2014-04-07 17:55:11,b'Making a new twitter in a little cause some joke is obsessed with me &amp; changed my password.. Lmao'
453197128211247105,2014-04-07 15:46:30,b'RT @Pontifex: How good it is for us when the Lord unsettles our lukewarm and superficial lives.'
453197052868956160,2014-04-07 15:46:12,b'@CelineeToubia Happy birthday beautiful!\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x98'
453196746286301184,2014-04-07 15:44:58,b'@markoda59 geeeee mark.. Thank you\xe2\x98\xba\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
453195416637415424,2014-04-07 15:39:41,b'\xe2\x80\x9c@ReallyNiceCarss: RT if you want this car! http://t.co/lDDydcwvWI\xe2\x80\x9d @markoda59 TOO BAD'
453193880893399041,2014-04-07 15:33:35,b'My girls are gone...\xf0\x9f\x98\xad\xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\x92\x94'
453193366755237888,2014-04-07 15:31:33,b'\xe2\x80\x9c@NotWorldStarHH: Do the stanky leg http://t.co/O2d6CplxuF\xe2\x80\x9d @RomarioSemma'
453010383788208128,2014-04-07 03:24:26,b'Alex &amp; Ryan i \xf0\x9f\x91\x80 u \nI know everything\n.................\n\xf0\x9f\x92\xa8\xf0\x9f\x8d\x83'
453009830957948928,2014-04-07 03:22:14,b'@AlexBeslach @Dubz95 \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c'
453009042655301633,2014-04-07 03:19:06,b'I hope you guys can run fast!!!!!\xf0\x9f\x98\xa1\xf0\x9f\x94\xaa@AlexBeslach @Dubz95 http://t.co/DWyvUHOmUM'
453008666300411905,2014-04-07 03:17:37,b'\xe2\x99\xa6\xef\xb8\x8f- ur my bitch\xe2\x9d\xa4\xef\xb8\x8f'
453006709259132928,2014-04-07 03:09:50,b'\xf0\x9f\x98\x8b\xf0\x9f\x92\x97\xf0\x9f\x99\x88- perfection..\xf0\x9f\x98\x8d cant wait till summer!'
453006563390021636,2014-04-07 03:09:15,"b""\xf0\x9f\x92\xb0- you're the bae &amp; actually im KINDA  sad i wont be talking to you for a week.\xf0\x9f\x98\x90\xf0\x9f\x98\x82"""
453006238809219072,2014-04-07 03:07:58,b'\xf0\x9f\x98\x88\xf0\x9f\x92\xa8- i love you\xf0\x9f\x98\x8d my fav!'
453006156936388609,2014-04-07 03:07:38,b'\xf0\x9f\x91\x8a\xf0\x9f\x91\x8a\xf0\x9f\x91\x8a\xf0\x9f\x91\x8a- doing urs because i think ur crazy as hell (in a good way lmaoo)'
453005993593413633,2014-04-07 03:06:59,b'@nickkenaya LMFAOO done with you!!'
453005519725154304,2014-04-07 03:05:06,b'@nickkenaya because that tweet pissed me off LMFAOO #ihateyou http://t.co/f342BviZPG'
453001789462167552,2014-04-07 02:50:17,"b""\xf0\x9f\x98\xbb\xf0\x9f\x92\xa9\xf0\x9f\x99\x8b- you're perfection. And i miss the hell out of you!!!\xf0\x9f\x98\x8d\xf0\x9f\x98\x98\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\xad"""
453001131245858816,2014-04-07 02:47:40,b'No more sorry.'
453001087939645440,2014-04-07 02:47:30,"b'\xe3\x80\xbd\xef\xb8\x8f\xf0\x9f\x94\xb1- we met the wrong way, but eff all that bs ur such a beauty! \xf0\x9f\x98\x8d\xf0\x9f\x98\x98'"
453000903763578881,2014-04-07 02:46:46,b'\xf0\x9f\x94\xa5- u chose this emoji cause uk ur hot lol \xf0\x9f\x98\x98'
453000774021181440,2014-04-07 02:46:15,b'\xf0\x9f\x94\xac- the fact that u play basketball makes me like u a lot more than i used too\xf0\x9f\x98\x82\xf0\x9f\x98\x98'
453000389357363200,2014-04-07 02:44:43,b'\xf0\x9f\x91\x80- shouldaaa been born earlier lmaooooooooooo'
453000245614370818,2014-04-07 02:44:09,b'\xf0\x9f\x92\xa9- this emoji looks like u\xe2\x9d\xa4\xef\xb8\x8f lol jk cant wait till we get out of here!!!\xf0\x9f\x8c\xb4\xe2\x98\x80\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8f'
452999890809790464,2014-04-07 02:42:44,b'Guyssss stopp no moreee\xf0\x9f\x99\x88\xf0\x9f\x98\x82'
452999759666487296,2014-04-07 02:42:13,b'\xf0\x9f\x92\x9c- beauty! Just like her older sister\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
452999577268809728,2014-04-07 02:41:30,b'\xf0\x9f\x9a\xaa- like i said the only person in the world who can make me actually LOL through twitter..'
452999403532345344,2014-04-07 02:40:48,b'$$$- we should talk more!'
452999121914589184,2014-04-07 02:39:41,b'\xf0\x9f\x9b\x80- lets just say i give u props for being a stoner &amp; an athlete \xf0\x9f\x98\x82\xf0\x9f\x98\x98'
452998898572079105,2014-04-07 02:38:48,b'\xf0\x9f\x91\x85- ur one of my favs &amp; even tho kelly hates ur guts i can not wait for summer\xf0\x9f\x8e\x89\xf0\x9f\x98\x99\xf0\x9f\x8d\x81\xf0\x9f\x8d\x83'
452998447667240961,2014-04-07 02:37:00,b'5- you have a drinking problem!! u tend to cuss my life out when ur drunk.. Other than that i love you dad\xf0\x9f\x98\x82\xf0\x9f\x98\x98'
452998091646328832,2014-04-07 02:35:36,b'\xf0\x9f\x92\x90- miss you! it has honestly been way too long\xf0\x9f\x98\xad'
452997752096452609,2014-04-07 02:34:15,b'@robinlexy123 LMAO nope!'
452997679526600704,2014-04-07 02:33:57,b'@bchoulagh u better! Ily2\xf0\x9f\x98\x98\xf0\x9f\x98\x98'
452997623088041984,2014-04-07 02:33:44,b'\xf0\x9f\x98\x8b- i miss you!! Better see u when i get back\xf0\x9f\x98\x8d\xf0\x9f\x98\x98'
452997447166357506,2014-04-07 02:33:02,b'\xf0\x9f\x98\x88\xf0\x9f\x98\x88- ur such a cutie!!'
452997295479345152,2014-04-07 02:32:26,"b""\xf0\x9f\x90\xab- LMFAO if you keep messing with my dad (Ro) i'll have to kill you.. Other than that ur my fav!\xf0\x9f\x98\x8d\xf0\x9f\x98\x98"""
452997025215176704,2014-04-07 02:31:21,b'\xf0\x9f\x8e\x8d- my fav obviously... Alex hates on our relationship\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f'
452996834017820673,2014-04-07 02:30:36,b'\xf0\x9f\x91\x8c- true one! You &gt; everyone'
452996683320659968,2014-04-07 02:30:00,b'@JessicaNamou next wednesday boo! Im gna be out of town\xf0\x9f\x98\xad'
