id,created_at,text
1065742643962019840,2018-11-22 23:03:41,"b'RT @DisneyStudios: July 19, 2019. #TheLionKing https://t.co/ehTudu6wcm'"
1064673802603372551,2018-11-20 00:16:29,b'RT @rania_mazigh: I swear you hit a couple curbs and suddenly everybody thinks you can\xe2\x80\x99t drive \xf0\x9f\x98\xa4'
1061267450396848128,2018-11-10 14:40:52,b'RT @ufobri: my prime was when the teacher would say \xe2\x80\x9cone direction\xe2\x80\x9d and people in the class would turn and look at me'
1049878997532897281,2018-10-10 04:27:13,b'RT @MattBellassai: harry styles is co-chairing the met gala and im about to ocean\xe2\x80\x99s 8 my way in as his date https://t.co/Fbx0QYILSl'
1049045215460450305,2018-10-07 21:14:04,b'RT @OfficalMothman: Thread of what my mom is dressing up my dog as everyday this October'
1043296187544162304,2018-09-22 00:29:29,b'#FightForIowa https://t.co/OYdGJdsMUH'
1042119555206848512,2018-09-18 18:33:58,b'RT @HawkeyeSoccer: Happy Birthday to our awesome athletic trainer Annica Morrison!  Thanks for all that you do!  #Hawkeyes'
1041913246326898688,2018-09-18 04:54:10,"b'RT @DisneyStudios: On December 19, the story continues. Watch the all-new trailer for #MaryPoppinsReturns now. https://t.co/QTnXFgY6KQ'"
1038193064060301312,2018-09-07 22:31:29,"b""RT @IowaOnBTN: .@HawkeyeSoccer kicks off CyHawks series weekend as they face in-state rival, Iowa State tonight at 8 ET. \n\nYou can't forget\xe2\x80\xa6"""
1038133495154049026,2018-09-07 18:34:47,"b""RT @HawkeyeSoccer: It's #GameDay in Ames... the #Hawkeyes face Iowa State in the first Iowa Corn Cy-Hawk Series matchup of the season.\xe2\x80\xa6"""
1037411560191344648,2018-09-05 18:46:04,b'RT @HawkeyeSoccer: Happy Birthday to junior midfielder @sydblitchok | #Hawkeyes https://t.co/nPCbJzsfeK'
1036074017499820032,2018-09-02 02:11:09,b'RT @BigTenNetwork: The best tradition in college football is back!\n\nSo great to see the @UIchildrens Wave return for another season of @Haw\xe2\x80\xa6'
1025802754638405637,2018-08-04 17:56:49,b'RT @Quisxx: If you see me slacking this semester BEAT MY ASS'
1022257224813555712,2018-07-25 23:08:09,b'RT @issaharrys: Harry Styles\xe2\x80\x99 Concert:  8:00pm \n\nMe at 4:58am: https://t.co/FfD6T00MlS'
1022190577436319744,2018-07-25 18:43:19,"b'RT @dog_rates: This is Bill. He hopes your day was wonderful. If not, he\xe2\x80\x99s available for a long hug, and maybe some noggin pats. 12/10 good\xe2\x80\xa6'"
1021585642021703680,2018-07-24 02:39:31,b'RT @CuddyTre: Y\xe2\x80\x99all ever be driving and be like \xe2\x80\x9cdamn i should crash this bitch\xe2\x80\x9d \xf0\x9f\x98\xad'
1021459322256207873,2018-07-23 18:17:34,b'RT @paulyhiggins: 8 years today! Be happy- we have so many great songs and with so many fond memories to share and enjoy. Listening to my f\xe2\x80\xa6'
1021421352400670720,2018-07-23 15:46:42,"b'RT @onedirection: A whole lotta history... this Monday is an important anniversary for the guys, it\xe2\x80\x99s been #8YearsofOneDirection\n\nTo celebr\xe2\x80\xa6'"
1019613790726508545,2018-07-18 16:04:05,b'RT @NoControlProjec: 1D: the break will be 18 months\n\nMe: ok\n\n*2 years &amp; 7 months later*\n\nMe: https://t.co/irCaMKffjE'
1019439818806386688,2018-07-18 04:32:47,"b'@millieraines Urban outfitters, Tobi, Lulus, topshop, Zara, ASOS, princess polly, boohoo, express, prettylittlethin\xe2\x80\xa6 https://t.co/M0tFx4nZ7Q'"
1018165117928857601,2018-07-14 16:07:35,b'RT @kadehooper: i\xe2\x80\x99m a feminist bc boys go to jupiter to get more stupider and girls go to college to get more knowledge i\xe2\x80\x99m sorry but that\xe2\x80\x99\xe2\x80\xa6'
1017924530608754688,2018-07-14 00:11:34,b'\xe2\x80\x9cI really just want everyone to love me as much as I love myself\xe2\x80\x9d \n\n*me to myself as I remember something funny I d\xe2\x80\xa6 https://t.co/gH1dlG7fVa'
1016179550940778496,2018-07-09 04:37:39,b'RT @attachedmrsL: Full offense but you can\xe2\x80\x99t be a Christian and hate gay people. You can\xe2\x80\x99t be a Christian and hate people of a different sk\xe2\x80\xa6'
1010235900025032704,2018-06-22 18:59:42,b'RT @signofmedicinex: me talking about my family:\n\xe2\x96\xb6 \xf0\x9f\x94\x98\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80 00:10\n\nme talking about my friends:\n\xe2\x96\xb6 \xf0\x9f\x94\x98\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80\xe2\x94\x80 00:25\n\nme talking about my cru\xe2\x80\xa6'
1006064185095196673,2018-06-11 06:42:48,b'RT @kiIIakaye: if anyone feels this way about me my dms are open https://t.co/fi9ww8yHCq'
1004230627825274881,2018-06-06 05:16:54,b'RT @jensonah: My worst fear is being in a port-o-potty during an earth quake https://t.co/l1Gqe8CrlQ'
1000837128497106944,2018-05-27 20:32:20,b'RT @bennetsmoak: i am:\n\n\xe2\x9a\xaa straight\n\xe2\x9a\xaa gay\n\xf0\x9f\x94\x98 confusion. why is this one kan-sas but this one is not ar-kan-sas? AMERICA EXPLAIN! EXPLAIN! WHA\xe2\x80\xa6'
1000064536018374656,2018-05-25 17:22:20,b'RT @Y2SHAF: i am addicted to spending money and i am not rich enough to have this problem'
998692140229316608,2018-05-21 22:28:55,b'RT @Jstlivinbbyy: A #MotivationalMonday Prayer\xe2\x9d\x97\xef\xb8\x8f https://t.co/KKkc9i7iEY'
997293133414260737,2018-05-18 01:49:46,b'RT @avaevanss: How dare you drive the speed limit when I\xe2\x80\x99m late to something due to my own poor time management skills'
996532979882188800,2018-05-15 23:29:11,b'RT @quacksonqueen: when tom holland finally meets ryan reynolds https://t.co/kTHyo09OwM'
992118179706101761,2018-05-03 19:06:21,b'RT @TheIowaHawkeyes: Win. Graduate. Do it Right. These two embody that everything it means to be a Hawkeye. #Hawkeyes #FightForIowa https:/\xe2\x80\xa6'
983428061738815489,2018-04-09 19:34:55,"b'RT @MadisonTMarsh: I have to stop saying \xe2\x80\x9coh, that\xe2\x80\x99s not due until April\xe2\x80\x9d because now it\xe2\x80\x99s actually April &amp; everything is due'"
983154568312901632,2018-04-09 01:28:09,"b""RT @pengakoto: Apparently I can't have everything my way? weird"""
980878249483030528,2018-04-02 18:42:53,b'RT @ky_denzz: my 93 y/o resident had me watering her flowers for well over 20 minutes because they had to be perfect. she then told me to l\xe2\x80\xa6'
978787975071981570,2018-03-28 00:16:52,"b""RT @awloveyoulouis: only one direction fans are allowed to roast one direction that's the tea"""
977352594828996609,2018-03-24 01:13:11,b'RT @kellycerino: u ever accidentally ruin ur life'
977342810511654912,2018-03-24 00:34:18,"b'RT @iowasoftball: UPSET CITY!!! HAWKS WIN!! \n\nIowa downs #19 Michigan, 4-3! #Hawkeyes #FightForIowa https://t.co/Fkn7xLtd0Q'"
976208576757846020,2018-03-20 21:27:16,b'RT @PETTYMAMII: You wanna change a man? PRAY FOR HIM. God either going to change him or remove him'
975831184537214980,2018-03-19 20:27:39,"b""RT @smileysarahhhhh: 8th grade is beyond stressful ... I just can't \xf0\x9f\x98\xa9\xf0\x9f\x98\xaa!!!!!"""
974371978080604160,2018-03-15 19:49:17,b'RT @kenzireneee: a message to my haters:\n\nbrick wall waterfall girl you think you got it all ya dont I do SO BOOM with that attitude peace\xe2\x80\xa6'
