id,created_at,text
1066461468818882561,2018-11-24 22:40:02,b'@rgesbocker https://t.co/h3NvgSP5By'
1066460028423626753,2018-11-24 22:34:19,b'@rgesbocker Ur a few days late bud'
1066365484533202946,2018-11-24 16:18:38,b'@cececal Smoke weed about it'
1065803071459155969,2018-11-23 03:03:48,b'@mara_keller https://t.co/AWRsiyIbYm'
1064988959489605633,2018-11-20 21:08:49,b'@DATA_BYTE_ @mizedub I\xe2\x80\x99m time! I\xe2\x80\x99m literally time!'
1063859840794140673,2018-11-17 18:22:06,b'*local kid gets really defensive over the fast and furious movies*'
1063614492427395073,2018-11-17 02:07:10,b'*sees a pimple that needs to be popped on someone\xe2\x80\x99s face*\n\nMy brain:\nSay it \nSay it\nSay it\nSay it\nSay it\nSay it\nSay\xe2\x80\xa6 https://t.co/xd7fI6bZOD'
1063613176229564416,2018-11-17 02:01:56,b'RT @PatMcAfeeShow: Almost broke my neck turning around here \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/UcxkkVZUC7'
1063514992434126848,2018-11-16 19:31:48,b'RT @mizedub: Happy mf Friday I have a new mix I did for the boyz over at Squam Sound Collective. If u wanna hear some unreleased dinner pla\xe2\x80\xa6'
1062813500295258114,2018-11-14 21:04:19,b'Just had a serious talk with myself after I bit my stick of gum into 5 pieces before it was fully in my mouth'
1062507936520589312,2018-11-14 00:50:07,"b'on g0d every single time I go to the city, I end up paying the city of chicago more than I end up spending on fuckin drinks'"
1062493314354683904,2018-11-13 23:52:00,b'@cececal Nerd'
1061049706640482304,2018-11-10 00:15:38,b'https://t.co/jI6vHOudOm'
1061049421658505217,2018-11-10 00:14:30,"b'I saw Virgil Abloh at O\xe2\x80\x99Hare and I shouted while he was well within ear shot distance, \xe2\x80\x9ctHaTs ViRgIL aBloH!\xe2\x80\x9d https://t.co/XbddlupRL3'"
1061048697268723714,2018-11-10 00:11:37,b'RT @Shaquille2x: Y\xe2\x80\x99all see dat?\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/ScfOWJLLqA'
1060994262165270529,2018-11-09 20:35:19,b'@mizedub real tough guy hours'
1060993910980403200,2018-11-09 20:33:55,b'@mizedub Thems are some nice HOGS'
1060750726664724482,2018-11-09 04:27:35,b'RT @okaywhytho: just wanna remind everyone that twirling your spaghetti with a spoon does absolutely nothing https://t.co/5GFf0Jjqp8'
1059993216563511296,2018-11-07 02:17:31,b'Boi do you want me to die https://t.co/PFLd4BJlhp'
1059992728229031942,2018-11-07 02:15:34,"b'I am back to, one million ants'"
1059971170110451712,2018-11-07 00:49:54,b'The only thing that beats a failure is a try'
1059888344589651970,2018-11-06 19:20:47,b'@cececal Listennnnnnn to the song here in my heart'
1059886633187770370,2018-11-06 19:13:59,b'RT @_danajean: If you\xe2\x80\x99re in the Plainfield/Joliet area n want some pretty hairs I\xe2\x80\x99m offering a free haircut or deep conditioning treatment\xe2\x80\xa6'
1059847134512603142,2018-11-06 16:37:02,"b'GIANT INFLATTABLE WOMEN CHEST CANNONS, \n\nFellas, now that I have your attention, \n\n(\xe1\xb4\xbe\xcb\xa1\xe1\xb5\x89\xe1\xb5\x83\xcb\xa2\xe1\xb5\x89 \xe1\xb5\x8d\xe1\xb5\x92 \xe1\xb5\x9b\xe1\xb5\x92\xe1\xb5\x97\xe1\xb5\x89 \xe1\xb5\x92\xe1\xb5\x98\xca\xb3 \xe1\xb6\x9c\xe1\xb5\x92\xe1\xb5\x98\xe2\x81\xbf\xe1\xb5\x97\xca\xb3\xca\xb8 \xe1\xb6\xa6\xcb\xa2 \xe1\xb6\xa6\xe2\x81\xbf \xe1\xb6\xa6\xe1\xb5\x90\xe1\xb5\x90\xe1\xb5\x89\xe2\x81\xbf\xcb\xa2\xe1\xb5\x89 \xe1\xb5\x97\xe1\xb5\x98\xca\xb3\xe1\xb5\x90\xe1\xb5\x92\xe1\xb6\xa6\xcb\xa1)'"
1059846149581037568,2018-11-06 16:33:07,b'You ever move your joints just to stunt on old people?'
1059827990924791808,2018-11-06 15:20:58,"b'Well, bucko, this is America where we measure dick size by how much time you spend time with your wife and how much\xe2\x80\xa6 https://t.co/BziBH2beQV'"
1059601735075983362,2018-11-06 00:21:54,b'@enjoi8585 This song is out Roddy Richh ballin every season'
1059079825682558980,2018-11-04 13:48:01,b'\xe2\x80\x9cEvery 15 Juul Rips a turtle gets caught in plastic\xe2\x80\x9d'
1059079719604359168,2018-11-04 13:47:36,b'Petition to change our time scale from minutes and seconds to recharges and Juul rips'
1058886802487083008,2018-11-04 01:01:01,b'@okaywhytho I\xe2\x80\x99m sorry but if you thought this was it you are dead wrong my guy'
1058519469415391237,2018-11-03 00:41:22,b'Someone get me a light pair of boot cuts and a busch light right now'
1058129036445184000,2018-11-01 22:49:56,b'RT @aintnobodycool: NO FUCKING WAY?!?!?!? https://t.co/yOEaeJe2PW'
1058101954159804418,2018-11-01 21:02:19,b'RT @oliverbr: Spider Man vs Jesus https://t.co/nyQg5QNlIg'
1058080503432208385,2018-11-01 19:37:04,b'If you ever been in sams club and didn\xe2\x80\x99t take a free sample pls unfollow me at this instant'
1057978634072457216,2018-11-01 12:52:17,"b""RT @gjonesbass: holy shit i can't believe this album aphex twin just secretly dropped \xf0\x9f\x98\xad\xf0\x9f\x98\xad hands down the best music he's written by lightyea\xe2\x80\xa6"""
1057978410524467201,2018-11-01 12:51:24,b'Do you think crack heads wake up ready to rise and grind for this crack?'
1057977957782831104,2018-11-01 12:49:36,b'We all miss you Mac'
1057977000391073792,2018-11-01 12:45:47,b'@sydcaldd @PostMalone Wow this is fire'
1057779402728189953,2018-10-31 23:40:36,b'@RealNickAccount https://t.co/2EvbUVLGoS'
1057779075887042560,2018-10-31 23:39:18,b'@RealNickAccount https://t.co/F0NcfN3Ahk'
1057778590539005953,2018-10-31 23:37:23,b'@RealNickAccount must exploratorium'
1057747194558775303,2018-10-31 21:32:37,b'Simple question did you smash in the graveyard yes or no?'
1057319013146091521,2018-10-30 17:11:11,"b""RT @Dustinkcouch: nasa employee: oh hey u guys are back early \n\nastronaut: moon's haunted\n\nnasa employee: what? \n\nastronaut: *loading a pis\xe2\x80\xa6"""
1057064569250680832,2018-10-30 00:20:07,b'@RealNickAccount At a low cost of ending my shit you got a deal'
1057026640121946113,2018-10-29 21:49:24,b'RT @lukasbattle: Bad night :( https://t.co/t72f2Q81qH'
1056969833110257665,2018-10-29 18:03:40,b'RT @trvisXX: JUST SO U KNOW SOME OF DAYS BEFORE AND OWL PHARAOH WILL BE RAN AT THESE SHOW. JUST WANNA SEE WHO ROCKING FROM THE JUMP.'
1056459758528552961,2018-10-28 08:16:49,b'@AjLikesWatches @LinkedIn https://t.co/mDT3c1JmoE'
1056389056853147648,2018-10-28 03:35:52,b'@AjLikesWatches @LinkedIn'
1056179999156436994,2018-10-27 13:45:09,b'You ever go through the toll to stunt on people who don\xe2\x80\x99t have an ipass?'
1055960978179981312,2018-10-26 23:14:50,b'@mizedub Huge mowing the lawn at 5:45am energy'
1055675084491374592,2018-10-26 04:18:48,b'@gjonesbass Thank you\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbd\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbd'
1055674539017990144,2018-10-26 04:16:38,b'@gjonesbass G Jones I\xe2\x80\x99m very proud of you and I can\xe2\x80\x99t wait to listen to this album. \n\n(\xe1\xb4\xb5\xcb\xa2 \xe1\xb5\x97\xca\xb0\xe1\xb5\x89\xca\xb3\xe1\xb5\x89 \xe1\xb5\x83\xe2\x81\xbf\xca\xb8 \xe1\xb6\x9c\xca\xb0\xe1\xb5\x83\xe2\x81\xbf\xe1\xb6\x9c\xe1\xb5\x89 \xe1\xb5\x97\xca\xb0\xe1\xb6\xa6\xcb\xa2 \xe1\xb6\xa6\xcb\xa2\xe2\x80\xa6 https://t.co/ej1lJkskdL'
1055673960396926976,2018-10-26 04:14:20,b'RT @trvisXX: Love to every Dj keeping la flame tunes alive. Not enough characters on here for everyone.  But know I really respect the Dj c\xe2\x80\xa6'
1055668372715782144,2018-10-26 03:52:08,b'@joey_guzaldo Underrated tweet'
1055662293533552640,2018-10-26 03:27:58,"b'Uh, mr Dubois, my name is a pimp named slick back, and this is an intervention'"
1055476761771888640,2018-10-25 15:10:44,"b'Life continuously fucks you, but you out here, getting this BREAD.'"
1055089511259164672,2018-10-24 13:31:56,b'Aurevoir!'
1055089315192152064,2018-10-24 13:31:10,"b'oui oui enchant\xc3\xa9 mademoiselle, allons chercher ce pain, merci beaucoup'"
1054548629019594753,2018-10-23 01:42:40,b'lol yo the bubonic plague just came through and killed just about everyone w no remorse'
1054543182300614656,2018-10-23 01:21:01,b'Ten years gone in my ass https://t.co/mGp033i9jN'
1054479449524224000,2018-10-22 21:07:46,b'@okaywhytho @rgesbocker'
1054451208914698241,2018-10-22 19:15:33,b'@okaywhytho Wow what'
1054113279474327553,2018-10-21 20:52:44,"b'RT @NFL: Alex Smith dumps it off to @KapriBibbs...\n\nTOUCHDOWN, @redskins!\n\n\xf0\x9f\x93\xba: CBS #HTTR https://t.co/Mhj7JLDJsk'"
1054089437964132353,2018-10-21 19:18:00,"b'RT @okaywhytho: imma just say this one more time and thats gon b it, mo bamba was never a good song'"
1054043582087213056,2018-10-21 16:15:47,b'Wow thanks Twitter! Ethically I am now sound and ready to take on the world. https://t.co/zIQh5ER06O'
1053823297262104576,2018-10-21 01:40:27,b'Life comes at ya quick when you put on a vest and it\xe2\x80\x99s too tight'
1053694098648039424,2018-10-20 17:07:04,b'Bro they really fucked around and came out with the titanic 2 https://t.co/fGaDPy9Wl8'
1053136361677602817,2018-10-19 04:10:49,b'@gr_c_b @_danajean https://t.co/dGrgI045QT'
1053135729264656384,2018-10-19 04:08:18,b'@_danajean @gr_c_b I\xe2\x80\x99m funnier than the both of you.'
1053135289814781953,2018-10-19 04:06:34,b'@_danajean https://t.co/vSCwqsXykI'
1052921252397109248,2018-10-18 13:56:03,"b""RT @Da_MichaelScott: To sell a can of Coke, you don't just show the can. You show a baby picking flowers on the moon. And people are like,\xe2\x80\xa6"""
1052749460181274625,2018-10-18 02:33:25,b'\xe2\x9a\x97\xef\xb8\x8f\xe2\x9a\x97\xef\xb8\x8f\xe2\x9a\x97\xef\xb8\x8f https://t.co/Xi86INjp3Y'
1052730331055489024,2018-10-18 01:17:24,b'Can we all collectively agree that we all got down to shania twain at one point of our lives'
1052330174061142017,2018-10-16 22:47:19,b'RT @cheetah_lax: Congratulations to Cheetah Lax #42 Christina Calderon on her commitment to play lax at Aurora University. Great job Christ\xe2\x80\xa6'
1051975823069274112,2018-10-15 23:19:15,b'RT @ninacal2205: Excited to announce my verbal commitment to play lacrosse at Aurora University! Go Spartans!! \xf0\x9f\x92\x99\xf0\x9f\x92\x99 https://t.co/7UFBBLvidF'
1051968196931190784,2018-10-15 22:48:57,"b'Can I have a proud big brother moment, my little sister committed to a college for lacrosse\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97!'"
1051960612799033344,2018-10-15 22:18:49,b'RT @mizedub: this new new chune is CRANKING these cones \xf0\x9f\x91\x80 by all means keep moving https://t.co/IGYu0a7bxi'
1051610670171607046,2018-10-14 23:08:16,b'RT @okaywhytho: I CaNT WaiT 2 MAYk a bAjilliOn doLlars OfF my BrYaNT giLes PiEce OnE daY'
1051300687890530304,2018-10-14 02:36:30,"b'RT @prestonsmenthol: Don\xe2\x80\x99t get me wrong, I\xe2\x80\x99m pretty drunk already, but I could really use a drink rn'"
1051177173086871554,2018-10-13 18:25:42,b'@mike_rago This could mean so many things'
1051102987949617153,2018-10-13 13:30:55,b'Damn rip Mac Miller'
1050925952178548737,2018-10-13 01:47:26,b'It makes me so angry that wait and weight are said the same way'
1050853086816858114,2018-10-12 20:57:54,b'@Aliiiimartinez Real eerie hours'
1050773284516765697,2018-10-12 15:40:48,b'@rgesbocker Has great potential to be fire'
1050772264336220161,2018-10-12 15:36:44,b'@rgesbocker CHICKEN AND WAFFLES'
1050772243175886849,2018-10-12 15:36:39,"b'@rgesbocker Yes, like some wings and eggs.'"
1050767547753226240,2018-10-12 15:18:00,b'Bdubs should start making breakfast'
1050759224010203141,2018-10-12 14:44:55,"b'Remember when everyone was so bent over the fact people only knew who Jhene Aiko from, \xe2\x80\x9cgotta eat the booty like groceries.\xe2\x80\x9d'"
1050758825643511809,2018-10-12 14:43:20,b'RT @father: blade and blade II was so ahead of they times'
1050758520189140993,2018-10-12 14:42:08,b'That\xe2\x80\x99s enough horny Twitter for the day https://t.co/ssBfpWbKbO'
1050757449878130688,2018-10-12 14:37:52,b'How about all you spooky ass single people stop being spooky ass unapproachable and stop having some spooky ass exp\xe2\x80\xa6 https://t.co/VtOVNppiF3'
1050521102605279233,2018-10-11 22:58:43,b'When you tryna clap but you only have 5 minutes before y\xe2\x80\x99all gotta be somewhere https://t.co/hQNbFlhcOf'
