id,created_at,text
1066447311817986048,2018-11-24 21:43:47,b'My first owned rap hip-hop CD https://t.co/JnynJBZ1QC'
1065876726213799936,2018-11-23 07:56:29,"b'RT @CNN: Former President Obama dropped in on a food bank in Chicago this week and helped prepare Thanksgiving meals.\n\n""You guys are doing\xe2\x80\xa6'"
1065875063583326208,2018-11-23 07:49:52,"b'RT @BBCNews: ""Given the chance it can recover, and we know how to do that"" -  Sir David Attenborough calls for urgent action to tackle the\xe2\x80\xa6'"
1065869934717165571,2018-11-23 07:29:29,b'RT @LeilaPakkala: Proud to join 60 children and young people taking over the National Assembly in #Zambia for #WorldChildrensDay. These you\xe2\x80\xa6'
1065868033543958528,2018-11-23 07:21:56,b'RT @Comey: Happy Thanksgiving. Got a subpoena from House Republicans. I\xe2\x80\x99m still happy to sit in the light and answer all questions. But I w\xe2\x80\xa6'
1065863768599539712,2018-11-23 07:04:59,b'Forgive https://t.co/l4G75AIQwV'
1065861760043741185,2018-11-23 06:57:01,b'RT @jimmyfallon: Happy Thanksgiving! https://t.co/qJRFzXJbWE'
1065861301312794624,2018-11-23 06:55:11,b'RT @JimBridenstine: Happy Thanksgiving from the @Space_Station and entire @NASA family! https://t.co/9ReLUjjrkq'
1065858931619069952,2018-11-23 06:45:46,"b""Don't forget gerrymandering and voting laws https://t.co/we0magM3OC"""
1065743940358352896,2018-11-22 23:08:50,b'Laura Trice: Remember to say thank you https://t.co/JR3lrA1IFZ'
1065382119499694080,2018-11-21 23:11:05,"b'RT @SenBobCorker: Under the law, the president is now required to determine whether MbS is responsible and report to our committee with a d\xe2\x80\xa6'"
1065381680116977664,2018-11-21 23:09:21,b'RT @nowthisnews: These Trump toilet brushes are selling out for the holidays https://t.co/uyqCgA0OsG'
1065378301701574656,2018-11-21 22:55:55,"b'RT @RoKhanna: .@AyannaPressley observed that \xe2\x80\x9cthe people closest to the pain, should be closest to the power\xe2\x80\x9d. \n\nIn that same vein, Millenn\xe2\x80\xa6'"
1065376476676087809,2018-11-21 22:48:40,b'Hmm https://t.co/mdn36jCNcM'
1065045341211217920,2018-11-21 00:52:51,"b""Is this a joke? That is the only nice thing I can think to say on this because it's so ridiculous! https://t.co/6ESMOviWKs"""
1065044242978881537,2018-11-21 00:48:29,"b'You mean starved to death. Media really needs to stop being so politically correct. Call a horror what it is a ""hor\xe2\x80\xa6 https://t.co/dXTgk7FCuV'"
