id,created_at,text
1066886018245120000,2018-11-26 02:47:03,"b'RT @macksmorereese: when kali uchis said \xe2\x80\x9cshe don\xe2\x80\x99t want love, she want my hundred dollar bills\xe2\x80\x9d.........I was she'"
1066884314070020097,2018-11-26 02:40:16,"b""RT @BillRatchet: in 2019 i'm only fuckin with my airpods in"""
1066884094233985030,2018-11-26 02:39:24,b'Awww :/\xf0\x9f\x92\x96 https://t.co/cuyU2TFYmo'
1066583731350134784,2018-11-25 06:45:52,b'Just when I was feeling really happy my anklet\xe2\x80\x99s little cute eye charm fell off and I\xe2\x80\x99m legit crying. I got in Venu\xe2\x80\xa6 https://t.co/FZdNX9LwYD'
1066514928423432192,2018-11-25 02:12:28,b'RT @Jalexa16: After Thanksgiving it\xe2\x80\x99s officially mi burrito sabanero tuki tuki tuki tuki season'
1066513443396575232,2018-11-25 02:06:34,b'RT @ProjectBuddy: Mental illness is different for everyone. No mental illness affects two people the same exact way. Just because two peopl\xe2\x80\xa6'
1066513317760356352,2018-11-25 02:06:04,b'RT @cody_macc: Mental illness is real man.'
1066490722663026689,2018-11-25 00:36:17,b'RT @pescaditomalo: wow i\xe2\x80\x99m GORGEOUS'
1066449532035026944,2018-11-24 21:52:36,b'RT @SurgeryOnA: Grape'
1066449210642317312,2018-11-24 21:51:20,b'RT @umcornell: im not a catfish or anything but if u catch me on a rough day idk what to tell u sis https://t.co/IL9Y6bSRYM'
1066398998200692741,2018-11-24 18:31:48,b'RT @alezander: Well it\xe2\x80\x99s a good thing I hate myself https://t.co/JAiuJYesw8'
1066397895329406976,2018-11-24 18:27:25,b'Omg\xf0\x9f\x98\xa9\xf0\x9f\x92\x96 https://t.co/RxOVAtnRza'
1066370385086562304,2018-11-24 16:38:06,"b'RT @COOPERDINERO00: 123movies needs to chill with the pop ups about local babes in my area ready to sex me, im just tryna watch incredibles'"
1066065360950976512,2018-11-23 20:26:03,"b""RT @awfficial: omg y'all i dead ass just guessed noah centineo's password and... who wants a follow let's get this bread https://t.co/9DyBY\xe2\x80\xa6"""
1066047653224431616,2018-11-23 19:15:41,b'RT @GallantPurple: zoe exiting the hospital after killing that frat boy with her pussy https://t.co/wsMdxIIese'
1066047490519064576,2018-11-23 19:15:02,b'Productive Friday! I actually feel like an adult!'
1065782407071129600,2018-11-23 01:41:41,b'RT @mimosa_daddy: Happy tenksgivin to my gringxs in the timeline from this Central American house. https://t.co/k7oFM1HTKU'
1065782060307034112,2018-11-23 01:40:19,b'RT @ahsleak: Happy Thanksgiving everyone \xf0\x9f\xa6\x83\xf0\x9f\x8d\x81\nhttps://t.co/dQi3RKx3Uh'
1065760997602783233,2018-11-23 00:16:37,b'Happy Mass Native Genocide! Let\xe2\x80\x99s give thanks to the white men who righteously stole the natives\xe2\x80\x99 homeland while th\xe2\x80\xa6 https://t.co/QvehoxPg49'
1065756903085551617,2018-11-23 00:00:21,b'RT @WifiAndPorn: Women: \xe2\x80\x9cBe his peace\xe2\x80\x9d\n\nHer: https://t.co/DFJms7pVmg'
1065729208901496832,2018-11-22 22:10:18,b'@mimosa_daddy Yes!\xf0\x9f\xa4\xaa'
1065727724684115968,2018-11-22 22:04:24,"b'@mimosa_daddy I see that Tatascan, te va dejar como tustaca.'"
1065699338574123008,2018-11-22 20:11:36,b'RT @jasminetooks: It wouldn\xe2\x80\x99t be me if I didn\xe2\x80\x99t post this vine every Thanksgiving. https://t.co/qkLYWg3yPz'
1065695141808168960,2018-11-22 19:54:56,b'RT @MeatballSquad: Do you guys remember in like 5th/6th grade when all the teachers were transitioning from classic projectors to SmartBoar\xe2\x80\xa6'
1065607389280264192,2018-11-22 14:06:14,b'RT @pinwicapturas: https://t.co/LH4lNcVrsQ'
1065605698866753538,2018-11-22 13:59:31,b'RT @lowkeylean2: 28: Miss. Keisha https://t.co/G212zSYJ2o'
1065463222168219649,2018-11-22 04:33:22,b'RT @Casey_Schultz34: hey twitter. sorry i really had to go off. have a good night. https://t.co/gTRIKXUMvi'
1065347609001259008,2018-11-21 20:53:57,b'RT @Austin_James74: *Me always jumping to conclusions*\n\n\xe2\x94\x81\xe2\x94\x81\xe2\x94\x81\xe2\x94\x81\xe2\x94\x81\xe2\x94\x93 \xef\xbc\xbc\xef\xbc\xbc \n\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x83   \xef\xbc\xbc\xef\xbc\xbc \n\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x83 \xe3\x83\xbd\xf0\x9f\x98\xa8\xe3\x83\x8e\n\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x83 \xe3\x80\x80 /\n\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x83  \xe3\x83\x8e) \n\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x83\n\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x83\n\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x83\n\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x94\x93\xe2\x80\xa6'
1065341129338437632,2018-11-21 20:28:12,b'RT @RickandMorty: Gather the family and watch DRUNK RICK METHOD ACTING: VOLUME 2: https://t.co/XhWD6Fghly'
1065341007577853952,2018-11-21 20:27:43,b'@pescaditomalo A bad bitch that\xe2\x80\x99s who'
1065286102511116288,2018-11-21 16:49:33,b'RT @LowIifee: Me acting like nothing happened after I was distracted &amp; almost swerved into oncoming traffic &amp; the ppl behind me saw it all\xe2\x80\xa6'
1065138324443000832,2018-11-21 07:02:20,b'I think I\xe2\x80\x99m ready to heal now\xf0\x9f\xa5\xb0 its time I take control of my life again'
1065137419714871296,2018-11-21 06:58:44,b'RT @702Austin: growing up with siblings\n\n\xe2\x80\x9ccome here\xe2\x80\x9d\n\xe2\x80\x9cwhy\xe2\x80\x9d\n\xe2\x80\x9cjust come here\xe2\x80\x9d\n\xe2\x80\x9cno you\xe2\x80\x99re gonna hit me\xe2\x80\x9d'
1065137310746857472,2018-11-21 06:58:18,b'RT @FUCKWHOYOUBE: EVERYBODY GOT THAT WEIRD MUSIC THEY FW BUT CAN\xe2\x80\x99T CRANK IT WITH THEY FRIENDS LMAOO'
1065022170361819136,2018-11-20 23:20:47,b'RT @DILLONFRANCIS: WAIT HOLD THE FUCK UP.... https://t.co/3ddMXt2dr7'
1064734791298248704,2018-11-20 04:18:50,b'@CupcakKe_rapper Only gift I\xe2\x80\x99d like from you love is if you can tell me everything will be okay :/ I\xe2\x80\x99m going throug\xe2\x80\xa6 https://t.co/Y83MGyRXo3'
1064708194587406339,2018-11-20 02:33:09,"b""RT @xforcades2: me: i need more money, i'm gonna ask for more hours\n\nboss: you can leave early if you wa-\n\nme: https://t.co/rYxCCjgiOg"""
1064666913568043009,2018-11-19 23:49:07,b'@JENNASTY @Ayyydreee Cotton panties ladies these are not healthy for our lady parts :/'
1064557868634976256,2018-11-19 16:35:49,b'RT @jkrbie: Trying to hold in all my affection so I don\xe2\x80\x99t look annoying or clingy https://t.co/C97EOWbVog'
1064549310694547456,2018-11-19 16:01:48,b'RT @agggeeeee: @jocelinpeony I love YOU too\xf0\x9f\x92\x98\xf0\x9f\x92\x98\xf0\x9f\x98\xad'
1064549025146265601,2018-11-19 16:00:40,b'@agggeeeee I LOVE YOU\xf0\x9f\x98\xa9\xf0\x9f\x92\x96'
1064423747791216640,2018-11-19 07:42:52,b'RT @chuuzus: The Office reunion is the best thing you\xe2\x80\x99ll see today. You\xe2\x80\x99re welcome. https://t.co/ECnjn0w6X4'
1064373260916219904,2018-11-19 04:22:15,b'@Gaaabriela_a Ty girly!'
1064353584962105344,2018-11-19 03:04:04,b'That taco sauce hit different https://t.co/lY74hY90KF'
1064348833662943233,2018-11-19 02:45:11,b'@Astrid0421_ Thanks babes!!\xf0\x9f\x92\x96'
1064287795450011648,2018-11-18 22:42:38,b'RT @NaviSZN: This is the greatest app on the planet LMFAOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO https://t.co/nemIJPed5F'
1064277881734320128,2018-11-18 22:03:14,b'RT @_seasic: my mental                        the amount \n  health                          of money in my\xe2\x80\xa6'
1064265598341804032,2018-11-18 21:14:26,b'\xf0\x9f\x90\xaf\xf0\x9f\x92\x9b meow https://t.co/mgL2tv13JQ'
1064227406515396608,2018-11-18 18:42:40,b'@gracefuletro IM EXCITED DUDE IM NOT EVEN KIDDING'
1064187087753113607,2018-11-18 16:02:28,b'@gracefuletro DDDAAAYYYYY 18'
1064186191438733312,2018-11-18 15:58:54,"b""RT @HalalHamDog: Girls. If you're every worried about guys talking about you on the GC, dw this is what really happens on a guys group chat\xe2\x80\xa6"""
1062800131202764800,2018-11-14 20:11:11,"b""RT @joeypleasestop: if i remain ugly for the rest of my life, once i die, i'm asking God to direct me to heaven's human resources departmen\xe2\x80\xa6"""
1062762483889319937,2018-11-14 17:41:35,"b""RT @rickmobile: It's National Pickle (Rick) Day! Follow the link to get find discounts on some of your favorite #PickleRick merch: https://\xe2\x80\xa6"""
1062602690474082305,2018-11-14 07:06:38,b'RT @Tchamimami: A mood https://t.co/oXm09ObSRf'
1062586936701812736,2018-11-14 06:04:02,b'RT @yellowloser: maybe it was too ahead of it\xe2\x80\x99s time for certain people...lil pump who https://t.co/metj6qw3JK'
1062586077322465280,2018-11-14 06:00:37,b'RT @isslouis: *minor inconvenience happens*\n\nmy brain:\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t say it\ndon\xe2\x80\x99t\xe2\x80\xa6'
1062535974696058882,2018-11-14 02:41:31,b'RT @LORAFRIMANEE: me going to see toy story 4 https://t.co/auOrqNdWDg'
1062535010278756353,2018-11-14 02:37:42,b'RT @queentparker: one taught me love\none taught me patience\none taught me pain https://t.co/nlMY2IcufX'
1062529283631996928,2018-11-14 02:14:56,b'RT @LeanandCuisine: It was only right https://t.co/YqCrKu1yIy'
1062187033504796672,2018-11-13 03:34:57,b'RT @ogladihoiram: One taught me love\nOne taught me patience\nOne taught me pain https://t.co/STygLmLCZU'
1062186501029605377,2018-11-13 03:32:50,b'RT @ghostfaceshelby: Today marks one year since the Taco Bell employees let us lock the white people out of the store when they tried to co\xe2\x80\xa6'
1062186339485896704,2018-11-13 03:32:12,"b'RT @joeypleasestop: Snap, crackle, papi chulo got his hot paws all over my boy culo'"
1061864944537227264,2018-11-12 06:15:05,b'RT @LORAFRIMANEE: my favorite daft punk song https://t.co/6XR08sYij9'
1061802746238590977,2018-11-12 02:07:56,"b'RT @pescaditomalo: fuck i look like waiting for someone to act right? lmfao, NEXT'"
1061767509206941696,2018-11-11 23:47:55,b'Currently the man in blue https://t.co/VdD4A4JSQl'
