id,created_at,text
1067083248201797632,2018-11-26 15:50:46,b'5 Insane Cyber Monday Deals on the Priciest Beauty Products https://t.co/zWCwLVqKMJ'
1067080226654564352,2018-11-26 15:38:46,"b'RT @peopletv: #BlackFriday may have passed, but we want to hear about the best deals you scored on the ultimate shopping day! Share your re\xe2\x80\xa6'"
1067080083733708800,2018-11-26 15:38:12,"b""The Walking Dead Star Tom Payne Reveals He's Engaged Following His Character's Shocking Episode https://t.co/PE1BDwU6zU"""
1067077037825949697,2018-11-26 15:26:05,"b'Bernardo Bertolucci, Last Tango in Paris Director, Dies at 77 https://t.co/qLWF0vX8pm'"
1067074461223043073,2018-11-26 15:15:51,"b""Why Kim Kardashian Decided to 'Extend an Olive Branch' to Tristan Thompson After Cheating Scandal https://t.co/EBesgGvU7A"""
1067070598474620928,2018-11-26 15:00:30,b'Deadly California Wildfire Finally Contained After 2 Weeks as Death Toll Climbs to 88 https://t.co/LmttMA05hb'
1067070475896086533,2018-11-26 15:00:01,"b""How It's Done: Meghan Markle's Signature Waves https://t.co/74ebju3y0R"""
1067066281625559041,2018-11-26 14:43:21,"b'Storm Creates Post-Thanksgiving Travel Nightmare, Causing 1.8K Flight Cancelations &amp; Car Crashes https://t.co/RICwnIjK0t'"
1067060952334516226,2018-11-26 14:22:10,"b""Ina Garten's Favorite Holiday Gift Picks for Foodies (All Under $100!) https://t.co/CfcOfy024i"""
1067058034411798529,2018-11-26 14:10:35,"b""U.S. Agents Spray Migrants with Tear Gas Before Trump Threatens to Close Border 'Permanently' https://t.co/BplKcGfg72"""
1067052984075456512,2018-11-26 13:50:30,b'Nordstrom\xe2\x80\x99s Cyber Monday Deals Are Even More Major Than Black Friday \xe2\x80\x94 And They End Tonight https://t.co/Ih5zv4kIik'
1067050144875638784,2018-11-26 13:39:14,"b""Last Night's Look: The Red Carpet Outfits You Have to See https://t.co/6eVL53IFYa"""
1067042866915172352,2018-11-26 13:10:18,"b""Kylie Jenner Cuddles Up to Curious Stormi in Cute Video: 'What Are You Looking At?' https://t.co/0BDX1HJIJ3"""
1067011256937316352,2018-11-26 11:04:42,"b'Michelle Obama Has a Shoe Moment, Plus the Clinton Family, Will Smith &amp; More https://t.co/xss3AJqIHt'"
1066897846329376768,2018-11-26 03:34:03,b'Walmart\xe2\x80\x99s Cyber Monday Deals Are Even Better Than Black Friday https://t.co/Lumdk0sSOu'
1066895121579429890,2018-11-26 03:23:13,b'Kim Kardashian Says She Was High on Ecstasy During First Wedding \xe2\x80\x94 and When She Made a Sex Tape https://t.co/mQiTDl4Jbq'
1066890283693105152,2018-11-26 03:04:00,"b'Amazon\xe2\x80\x99s Cyber Week Deals Kick Off with Insanely Low Prices on TVs, the Instant Pot, and More https://t.co/9v9Frqemdi'"
1066883597443960833,2018-11-26 02:37:26,b'Morning Joe Co-Hosts Joe Scarborough and Mika Brzezinski Get Married in Secret Wedding https://t.co/0rgjXrTzWa'
1066875825641918470,2018-11-26 02:06:33,"b""RHOA's Shamari DeVoe Started an Open Marriage with Husband to Date a Woman: 'I Was Bi-Curious' https://t.co/3bpBfEcSvt"""
1066865440260014082,2018-11-26 01:25:17,b'Why Real Housewives of Atlanta Star Kandi Burruss Decided to Pursue Surrogacy https://t.co/b77hjmaR3o'
1066848820884054016,2018-11-26 00:19:14,"b""Jon Gosselin Goes Christmas Tree Shopping with Collin and Hannah: 'Let the Holidays Begin' https://t.co/9ElJlEN7Ez"""
1066846246013468673,2018-11-26 00:09:00,"b""Richie Sambora Spends Thanksgiving with Daughter Ava After Heather Locklear's Psychiatric Hold https://t.co/bpH1j7ngKt"""
1066843355672383492,2018-11-25 23:57:31,"b""Newlywed Mandy Moore's Wedding Ring Is Front and Center on L.A. Shopping Trip https://t.co/lfr89e6A2q"""
1066840828784640000,2018-11-25 23:47:29,"b""Ross Mathews and Salvador Camarena Split After 10 Years Together: 'We Are Happy' https://t.co/hlQnkVkvyd"""
1066838047726190596,2018-11-25 23:36:26,b'Twinning! Smiley Dream Kardashian Channels Disney\xe2\x80\x99s Moana in Adorable Poolside Photo https://t.co/NLQ7fQonGW'
1066835044898144256,2018-11-25 23:24:30,b'The Stories Behind Shark Tank\xe2\x80\x99s Most Successful Products Ever \xe2\x80\x94 and How Much They\xe2\x80\x99re Worth Now! https://t.co/DTrZizm1Om'
1066832513144901633,2018-11-25 23:14:26,b'\xe2\x80\x98Damn Thrilled\xe2\x80\x99 Katherine Heigl Celebrates 40th Birthday with Inspiring Message About Aging https://t.co/81LyNlPvJE'
1066829896025034752,2018-11-25 23:04:02,b'Royal Resemblance! Princess Charlotte Looks Just Like Princess Diana\xe2\x80\x99s Niece in Throwback Snap https://t.co/WOoSOxCkQO'
1066818157640384512,2018-11-25 22:17:23,"b'Dakota Johnson Spends Thanksgiving with Chris Martin, Gwyneth Paltrow &amp; Their Kids: Source https://t.co/n8M7AoxzVT'"
1066813848215269376,2018-11-25 22:00:16,"b""Inside The Bachelorette's Jillian Harris' 'Quintessential Girl Nursery' for Her Daughter Annie https://t.co/8mxruTnTd6"""
1066799094872645634,2018-11-25 21:01:39,"b""Kate Beckinsale Praises 'Mask of Liquefied Cloned Foreskins' as She Shows Off Treatment Results https://t.co/mopoicHh70"""
1066795489503387648,2018-11-25 20:47:19,b'Barbra Streisand Returns Home with Her Dogs \xe2\x80\x94 Including 2 Clones \xe2\x80\x94 After Devastating Fires https://t.co/RgkVGGgRFQ'
1066783717379751937,2018-11-25 20:00:32,"b""Ariana Grande Shuts Down Troll Accusing Her of 'Milkin' Mac Miller's Death https://t.co/5d0j9USGsX"""
1066776307739123714,2018-11-25 19:31:06,"b""'Proud' Lena Dunham Shares Revealing Selfies &amp; Thoughts on Her Body: 'I Should Fetishize This' https://t.co/CUAh9aCPmw"""
1066771896677609473,2018-11-25 19:13:34,"b""Wells Adams Praises Girlfriend Sarah Hyland While Wishing Her a Happy Birthday: 'You\xe2\x80\x99re Perfect' https://t.co/XOP62FTCGk"""
1066768308140212229,2018-11-25 18:59:18,"b""Diddy's Powerful Eulogy to 'Irreplaceable' Kim Porter Includes Touching 'Pledge' to Their Children https://t.co/fomlMJciQ3"""
1066756284123398145,2018-11-25 18:11:32,"b""See Meghan Markle and Prince Harry's New Home, Windsor's Enchanting Frogmore Cottage! https://t.co/bzmfKYsZ5x"""
1066741818925166592,2018-11-25 17:14:03,"b""Hailey Baldwin Shows Off 'Bieber' Necklace and Shares Steamy Smooch with Justin at Hockey Game https://t.co/ixkb11LvTF"""
1066737280696664064,2018-11-25 16:56:01,"b""Sean 'Diddy' Combs Mourns Ex-Girlfriend Kim Porter as He Sits by Her Gravesite at Cemetery https://t.co/kML6xgL5kf"""
1066732015419080705,2018-11-25 16:35:06,"b""Ben Affleck and Jennifer Garner 'Are in a Good Place' After 'Some Ups and Downs': Source https://t.co/8bQkDX8Grg"""
1066729117045936129,2018-11-25 16:23:35,"b""Khlo\xc3\xa9 Kardashian Defends Kendall for Heckling Tristan Thompson: She 'Was Watching HER Man Play' https://t.co/VgdmCNZ38A"""
1066650931675172865,2018-11-25 11:12:54,"b'Cardi B and Offset Cuddle Up on Date Night, Plus Angelina Jolie, Elton John &amp; More https://t.co/c1oozRYdfr'"
1066578479649570816,2018-11-25 06:25:00,"b""Roseanne Barr Says She's 'Fine' After Heart Attack Speculation https://t.co/0LWxRxbqLn"""
1066485563363082240,2018-11-25 00:15:47,b'Ben Affleck &amp; Jennifer Garner Celebrate Thanksgiving with Kids on \xe2\x80\x98Long-Planned\xe2\x80\x99 Trip: Sources https://t.co/SZ893M2cwL'
1066474141665161216,2018-11-24 23:30:24,b'Kit Harington Denies Cheating on Rose Leslie with Russian Model After Alleged Nude Photo Leak https://t.co/xMYQBfdOOg'
1066458065237667840,2018-11-24 22:26:31,"b""Man Killed During Thanksgiving Mall Shooting 'Likely' Didn't Fire Shots that Injured 2: Police https://t.co/Z3DS5Qd6d3"""
1066453905264058368,2018-11-24 22:09:59,"b""Kenya Moore Shares Sweet Photo with Her 'Miracle Baby': 'All Things Are Possible' https://t.co/m6oXadUYyy"""
1066451108967665665,2018-11-24 21:58:52,b'Rob Kardashian Posts Adorable Snaps of Daughter Dream as Kourtney &amp; Khlo\xc3\xa9 Shower Her with Love https://t.co/Tipjv5vst2'
1066439570298990594,2018-11-24 21:13:01,"b""Beyonc\xc3\xa9 Posts Touching Tributes During Kim Porter's Funeral: \xe2\x80\x98Heaven Couldn\xe2\x80\x99t Wait For You\xe2\x80\x99 https://t.co/cA4LQKiGyd"""
1066419547803127811,2018-11-24 19:53:27,"b'Thank U, Fetch! Ariana Grande Channels Mean Girls for New Music Video \xe2\x80\x94 with a Special Guest! https://t.co/lI5jJIiRtn'"
1066416440759201792,2018-11-24 19:41:07,"b""Sean 'Diddy' Combs Lays Ex-Girlfriend Kim Porter to Rest in Her Georgia Hometown https://t.co/x2BpY5OHZU"""
1066411912701902849,2018-11-24 19:23:07,b'Cardi B Reunites with Her 1st Grade Teacher During Visit to Her Old Elementary School https://t.co/xGkL2GWfV9'
1066405750254305280,2018-11-24 18:58:38,"b""Behati Prinsloo Shares Rare Family Photo with Adam Levine and Their 2 Kids: 'Thankful' https://t.co/vUCCFWZuMl"""
1066402960685568000,2018-11-24 18:47:33,"b""Chris Watts 'Giggled' as Agents Pushed for a Murder Confession \xe2\x80\x94 and Failed a Polygraph Test https://t.co/74N2ByeqrE"""
1066400365938176000,2018-11-24 18:37:14,b'Kendall Jenner Watches as Ben Simmons Flips Off Tristan Thompson in Tense Basketball Game https://t.co/1kEz7CNO5C'
1066381453947269120,2018-11-24 17:22:05,"b""Diddy Pays Tribute to Kim Porter Ahead of Her Funeral: 'Today We Lay to Rest Our ANGEL' https://t.co/Ru4Dmbx64o"""
1066365672064774149,2018-11-24 16:19:22,b'Khlo\xc3\xa9 Kardashian Defends Decision to Spend Thanksgiving with Tristan Thompson https://t.co/glbtzqwShN'
