id,created_at,text
1064495572978036736,2018-11-19 12:28:16,b'@CMcCurdyPDX A MOVE?!'
1063481747755548673,2018-11-16 17:19:41,b'@jesshopp Hill staffer sent me this pic of Ocasio-Cortez they took just now. I\xe2\x80\x99ll tell you something: that jacket a\xe2\x80\xa6 https://t.co/qZDTD5dJVe'
1056335289109676032,2018-10-28 00:02:13,"b'This little guy/girl hanging out, eyeing me up https://t.co/SYUYu4mUfv https://t.co/dGHzgSrUBD'"
1055776784359264259,2018-10-26 11:02:55,"b'And lastly, I took this picture at a pet store today and it looks like it should be accompanied by house music.\xe2\x80\xa6 https://t.co/jZs9DzWRCu'"
1055776780232126464,2018-10-26 11:02:54,b'Peephole. :) https://t.co/LsXTaZrzws https://t.co/bPnCks7RE0'
1055776773110149121,2018-10-26 11:02:52,"b'This is just a dumb picture I took, but I noticed that the street light on the list and the tail lights kinda frame\xe2\x80\xa6 https://t.co/f8yHnSeyt7'"
1055010578522095618,2018-10-24 08:18:17,b'@OpTicMiDNiTE I will fight you'
1054852215381221376,2018-10-23 21:49:01,"b""Things you don't want to have someone say to you when you exit a public bathroom stall: 1) nice Chucks, how much we\xe2\x80\xa6 https://t.co/8304Vy8Y4Z"""
1053224895461625856,2018-10-19 10:02:37,"b""And this is the view looking northeast. I'm standing on the low level bridge. https://t.co/BWRCou6XGq https://t.co/chXpX182IF"""
1053209867547226112,2018-10-19 09:02:54,"b'This is right out front of the Muttart Conservatory, but at night this thing looks sort of like a device aliens wil\xe2\x80\xa6 https://t.co/vw87CgnUo5'"
1053209862291767296,2018-10-19 09:02:53,"b'So this is, seemingly, every light in Edmonton. https://t.co/9Ae4DZ0d7P https://t.co/AXRj5lxxg0'"
1053209857195757568,2018-10-19 09:02:52,"b""The ATB building downtown. Every now and then I think that I'm getting tired of LEDs on buildings. And then I say,\xe2\x80\xa6 https://t.co/s8OU65qAzZ"""
1053209852254846976,2018-10-19 09:02:51,"b'Walking north on 124 St, the lights in the trees started doing that creepy ""start turning on while you\'re really cl\xe2\x80\xa6 https://t.co/86y1Cp5Mpv'"
1053209846168862726,2018-10-19 09:02:49,"b'I forget where this was. Oliver, probably. https://t.co/Nk1ipEjjzp https://t.co/SY0GT0RSOO'"
1052832353079439360,2018-10-18 08:02:48,"b'Instead of pictures of downtown, a picture at the University of Alberta \xe2\x9d\xa4\xef\xb8\x8f https://t.co/Z00CeHD7un https://t.co/SVueEy1VTH'"
1052832347861778432,2018-10-18 08:02:47,"b""This is the tulip power box on the corner of Jasper Ave and 124 St. I didn't get the light right, but it's still cu\xe2\x80\xa6 https://t.co/vMarcls8uN"""
1052832340119031809,2018-10-18 08:02:45,b'This is part of Grant Mac. I like how bright the stairwell is. https://t.co/nOWJ2gEZZW https://t.co/mfVPDGHmqB'
1052692375821152256,2018-10-17 22:46:35,b'RT @MarleyBarbie__: I was also today years old...... https://t.co/NfBbRV1qzR'
1052691175667167232,2018-10-17 22:41:48,"b""RT @cuppycup: May I have your attention? Sandstorm and Singin' in the Rain have the same BPM. \xf0\x9f\x8f\x96\xef\xb8\x8f https://t.co/ZyAcij7OfF"""
1052690101862465536,2018-10-17 22:37:32,b'RT @BoingBoing: A working bicycle made of wood https://t.co/uXgAnbhNDE https://t.co/BuT7P1L8Jo'
1052077366372110338,2018-10-16 06:02:45,b'Both the top and bottom of the Edmonton funicular. https://t.co/pUtHe0E952 https://t.co/U2x5pcZBaj'
1052077358847590400,2018-10-16 06:02:43,"b'Spooky-looking trees, lit up by the high level bridge. https://t.co/tTNqJ9xuVh https://t.co/4xAEmKcoBB'"
1052077352153477120,2018-10-16 06:02:42,b'Part of the mural on the side of the Atomic Zombie building. I &lt;3 Laura Kinney. https://t.co/I2nucoFDcM https://t.co/ltOoJiuVQd'
1051790605439897600,2018-10-15 11:03:16,"b'Caught this sunrise a while ago. Pretty legit, if I do say so myself. :) https://t.co/m7Ul9EodID https://t.co/EZkVWjfujN'"
1051790598078963712,2018-10-15 11:03:14,b'I found this in the river valley. :) https://t.co/cAYzpZeUvW https://t.co/KTVA28KFjD'
1051790591753969664,2018-10-15 11:03:13,b'One of the many lines on the bridge downtown. https://t.co/PAUjk3pRk4 https://t.co/kZvLxVitr3'
1051790583092695040,2018-10-15 11:03:10,b'Fiend. https://t.co/PaVgk0q6Ss https://t.co/ExizY3rB2E'
1051790575664619520,2018-10-15 11:03:09,b'Hi. https://t.co/cDvsoAXhAa https://t.co/uCJl5JDKwc'
1051790567519211520,2018-10-15 11:03:07,"b""I really wish they'd get rid of that sign on Groat Rd (ft. Government House). https://t.co/rRh1FfS4IB https://t.co/nd0WChMID6"""
1051760287735537664,2018-10-15 09:02:48,"b""I love all the colours along 124 St, and I'm a big fan of the lights in this picture, bouncing off the road.\xe2\x80\xa6 https://t.co/5DwBJwT2of"""
1049793727256875008,2018-10-09 22:48:23,"b'RT @alannakyee: Merry Thanksgiving from Edmonton, AB \xf0\x9f\xa6\x83 \n\n#exploreedmonton #yegwx #stormhour #CanadianThanksgiving #HappyThanksgiving #500px\xe2\x80\xa6'"
1049793540891373568,2018-10-09 22:47:39,b'RT @1staidgirl: @alannakyee @B_Ubiquitous That is such a pretty picture. I played with the tint a bit. Is that Edmonton today? https://t.co\xe2\x80\xa6'
1049793421106274304,2018-10-09 22:47:10,b'@saharalee_ @_gersonramirez Yeah lol my instagram pictures went from :) weather to :( weather'
1049178256686166016,2018-10-08 06:02:43,b'I was wandering around the old museum and I noticed how clear you could see the veins in the leaves.\xe2\x80\xa6 https://t.co/avRTdxk5Kw'
1049178249849446400,2018-10-08 06:02:42,b'https://t.co/0bTYScG2G2 https://t.co/UXDjFS29LQ'
1049178241494343680,2018-10-08 06:02:40,b'So it begins! https://t.co/oqRN6rMbRB https://t.co/NA09JFSCu2'
1047648551382073344,2018-10-04 00:44:13,b'RT @DeuceAtJerkcity: SQUIRP'
1046928480208936960,2018-10-02 01:02:55,b'More Nuit Blanche Edmonton. https://t.co/VpjIi2PZRz https://t.co/wjw5Aye18Z'
1046928473699311616,2018-10-02 01:02:53,"b""From Nuit Blanche Edmonton. I've forgotten what it's called. https://t.co/26Y7bI9o4N https://t.co/2Mv2yxVGCW"""
1046928466334158849,2018-10-02 01:02:52,"b'The Anglican Church in Oliver, Edmonton https://t.co/BEtxieKQ2L https://t.co/lQHMEDsVpi'"
1045509117559918592,2018-09-28 03:02:52,"b'I dunno, some random street near the former museum https://t.co/AAuZfEKFQM https://t.co/qFLu1WBncr'"
1045494008456327169,2018-09-28 02:02:50,b'Oh and then there were these guys that were bordering on fluorescent. https://t.co/q20xaFEPBk https://t.co/WRd7ERDhE5'
1045494002080993280,2018-09-28 02:02:49,b'I like it when leaves go purple :) https://t.co/AmEEJOLe9e https://t.co/0EXwLuloLA'
1045455651294535681,2018-09-27 23:30:25,"b""RT @steeletalk: That's his wife. https://t.co/wiEuEnhIsx"""
1045424782278193153,2018-09-27 21:27:45,b'If you think those signs are going to be there for a while please make a sign at home to append to them which reads\xe2\x80\xa6 https://t.co/cADuX68FMq'
1045086338486284289,2018-09-26 23:02:54,"b""Just some leaves, but honestly it's a pretty legit AF phone background. https://t.co/1YfJlNyLM8 https://t.co/SkKGkHBoob"""
1045086332052213760,2018-09-26 23:02:52,"b'And a rainbow over Victoria Promenade, while it was overcast https://t.co/aczcP4Ctge https://t.co/s2J0Gmw6Uv'"
1045086326192844800,2018-09-26 23:02:51,b'Sunrise today ;) https://t.co/pqer82PLtP https://t.co/BZ28S3YxnT'
1045086317976211456,2018-09-26 23:02:49,"b""Google Photos decided to auto-create a black and white picture of Commerce Place's glass ceiling.\xe2\x80\xa6 https://t.co/9umWqp7MJZ"""
1044864078299172864,2018-09-26 08:19:43,"b'RT @DennysDiner: table: dinner\xe2\x80\x99s on me guys \ncustomer: lol I get it \ntable, pulling out his wallet: no. I GOT IT.'"
1044373081806884866,2018-09-24 23:48:40,b'@rebeccahate moderate to severe arson'
1043797032492654592,2018-09-23 09:39:40,b'The love coming from seemingly every single game development company in the wake of talented people losing their\xe2\x80\xa6 https://t.co/qTwWyS8T0Q'
1043739080167587840,2018-09-23 05:49:23,b'@willrad ABSOLUTE MADLAD'
1043735704289730560,2018-09-23 05:35:58,"b'@CMcCurdyPDX I dunno, I lean into the Carlin-esque theory on all people: ""A few winners, a whole lotta losers.""'"
1043395774371917824,2018-09-22 07:05:12,b'RT @doctorow: \xe2\x80\x9cDress up for bed\xe2\x80\x9d. Universal Pajamas 1947 https://t.co/ZZwxpVolGA https://t.co/lS4diXRHIN'
1042033023472893952,2018-09-18 12:50:07,b'@jaubert_moniker hnnnng artifacts hnnnnng'
1041486835183083520,2018-09-17 00:39:46,"b""@MrJonCryer Didn't the guy on the right create the Smoke Monster on Lost?"""
1040915105406308352,2018-09-15 10:47:55,"b""@KHPutnam @CMcCurdyPDX I gave it deep thought and I haven't seen the Simpsons since before Futurama"""
1038593514009964544,2018-09-09 01:02:44,b'I was walking in the river valley and I noticed this weird spiky grass and I liked it. That is all \xf0\x9f\xa4\x94\xf0\x9f\x98\x8f\xe2\x80\xa6 https://t.co/RmobTwakB4'
1037823483764502531,2018-09-06 22:02:55,b'More #oldsigns https://t.co/Tt1XsWKIkP https://t.co/PLpJyyB1kP'
1037758261884149760,2018-09-06 17:43:44,"b""I don't know who Cory Booker or Bob Woodward are but they're the plainest names. My real life name is no better but\xe2\x80\xa6 https://t.co/1kYSaazXce"""
1037756696435671040,2018-09-06 17:37:31,"b'@jaubert_moniker what is ""social media"" does that include my friendster profile'"
1037551649043169280,2018-09-06 04:02:44,b':) https://t.co/UoE2PmoSqw https://t.co/kvKUqf7we2'
1037532015640207360,2018-09-06 02:44:43,b'@realDonaldTrump https://t.co/VMsMNAvmn1'
1037531040431013888,2018-09-06 02:40:51,"b'@MrWilliamHaynes Or, you know, any time.'"
1033022033221828608,2018-08-24 16:03:39,b'The other hell on Earth https://t.co/lKAkVzepqs https://t.co/mFxInq6gA8'
1033022025605033984,2018-08-24 16:03:38,"b""One of two pictures of the hell on Earth I've been hanging on to https://t.co/yvqewQqW4N https://t.co/DDIY30QoSe"""
1032702163661684736,2018-08-23 18:52:37,b'@jaubert_moniker it is about a little piggy going to the market'
1032689124136775680,2018-08-23 18:00:48,b'RT @discoveryduck: Bisexuality is often misunderstood because it\xe2\x80\x99s unclear whether it means being attracted to twice a gender or once every\xe2\x80\xa6'
1018210647367020544,2018-07-14 19:08:30,b'RT @CMcCurdyPDX: What the fuck are you talking about https://t.co/mI1ZXRSjVv'
1018133735538089984,2018-07-14 14:02:53,"b'Sticker on top of a free newspaper box, in front on Grant Mac. \xf0\x9f\xa4\x98\xf0\x9f\xa4\x98\xf0\x9f\xa4\x98 https://t.co/KICSlh8zny https://t.co/fQWyeewt5A'"
1018118666943107072,2018-07-14 13:03:00,"b""The downtown outdoor neon museum. I'll try to take a pretty night time picture at some point.\xe2\x80\xa6 https://t.co/NP2sRH4nAg"""
1018118661704470528,2018-07-14 13:02:59,b'Downtown art https://t.co/VAVhn5SRvF https://t.co/IhCG85QGU9'
1018118656176336896,2018-07-14 13:02:58,b'Downtown art https://t.co/ncfsl8AEO3 https://t.co/TCfTd7WzeV'
1018118649666785280,2018-07-14 13:02:56,b'Downtown art https://t.co/x1IxfE1HsS https://t.co/8fQCXjsefM'
1017716106897731584,2018-07-13 10:23:22,"b'RT @KimKierkegaard: Luckily for the rest of you, Twitter only purged the fake accounts,\n not the inauthentic selves'"
1010780187645087744,2018-06-24 07:02:30,b'Also this doorway is neat https://t.co/Jo4p3tkMzq https://t.co/bh38j4KMrT'
1010780180812632064,2018-06-24 07:02:29,b'The sky tonight was weird. https://t.co/0JUDyEuFL5 https://t.co/Uvnqr7YgCB'
1004445900519792640,2018-06-06 19:32:19,b'RT @theprophetpizza: Incredible https://t.co/ylBGQaE5CI'
1003774087330746368,2018-06-04 23:02:46,b'More great signs. https://t.co/8JmLt6Dv5m https://t.co/nuYnGsGk2M'
1001794760305098753,2018-05-30 11:57:37,"b'@ClassyKatie that decision will come, someday'"
997628500814295040,2018-05-19 00:02:24,b'#oldsigns https://t.co/VzTs5vD4jy https://t.co/OIkMZxw5mn'
997628491003817984,2018-05-19 00:02:21,b'#oldsigns https://t.co/SJg65rxfbY https://t.co/hYPsruFMJ3'
994168222915018752,2018-05-09 10:52:29,"b'@CMcCurdyPDX will you join my band, it will be called band of heavy rain'"
985415234520154112,2018-04-15 07:11:14,b'@willrad BEYONC\xc3\x89 COULD BE LIKE BRUH DO YOU WANT ME TO JUST SING THE PHONE BOOK AND I WOULD BE LIKE OK FAM SOUNDS PRETTY GOOD'
985218968485937152,2018-04-14 18:11:21,"b'@joe_hill A little too serious in tone, though.'"
984899223651926016,2018-04-13 21:00:48,"b'Wait, so that guy\'s name is really ""Scooter Libby""?'"
984898461630840832,2018-04-13 20:57:46,"b'@CMcCurdyPDX for gritting my teeth and clenching jaw in sleep, I bought a $30 mouth guard from the MMA/BJJ place I go to'"
984574446223667201,2018-04-12 23:30:15,b'Looking downtown from the golf course. https://t.co/JZ2fDTCvMG https://t.co/CRrPEnRfH7'
984574147622768640,2018-04-12 23:29:03,"b""I tried to save this picture with a filter, but nahhhh didn't work. https://t.co/m3tL6A6BCn https://t.co/KwKapY1dhf"""
984519565739679744,2018-04-12 19:52:10,"b'@tomsegura And verily, your jeans were never higher and tighter than they were at that moment.'"
984345356489121792,2018-04-12 08:19:55,b'Hi! https://t.co/DeizkPFXUw https://t.co/oTqsUYObWw'
984345007003000833,2018-04-12 08:18:32,"b'A little too dark, but whatever https://t.co/dtvPl3fnXV https://t.co/SzTNLuHgT3'"
984341706941353984,2018-04-12 08:05:25,"b'I took this picture facing east, I guess, on a bus, I guess, going somewhere (I guess). https://t.co/GfHQZm7bev https://t.co/i3874LQxox'"
984338652116504576,2018-04-12 07:53:17,b'Dust from a fan. https://t.co/SUOrQOefTF https://t.co/aKEKKXBFbI'
984337372363087872,2018-04-12 07:48:12,b'Looking east to downtown. I thought those buildings in the background had sort of a Nakatomi Plaza vibe.\xe2\x80\xa6 https://t.co/eYBQZ5VEPP'
984334830815948800,2018-04-12 07:38:06,"b""(And I'm dealing with a little depression/insomnia thing, so expect older picture spam. Might even be different sessions.)"""
984293962386112512,2018-04-12 04:55:42,"b'Mushroom Kits--I mean, I know what the words mean, and I know what mushroom kits are, but still a funny phrase.\xe2\x80\xa6 https://t.co/bnG4EapgCV'"
984292599463849984,2018-04-12 04:50:17,"b'Some closed store, close to the No Frills on Stony Plain Road. https://t.co/FAq7v2Ejd8 https://t.co/ZkPNHT1mcX'"
984273001679020032,2018-04-12 03:32:25,b'#NewProfilePic https://t.co/bcZgWPzoyA'
984271888317792256,2018-04-12 03:27:59,"b'FORGET IT, I DID THAT ALREADY. STUPID AUTOMATIC PHONE, FUCKIN'"
984271540135997440,2018-04-12 03:26:36,"b""HUMANS THAT FOLLOW ME ON TWITTER: I'm going to set this thing to auto-spit out my Instagram photos. You maybe might\xe2\x80\xa6 https://t.co/OovI3SvYGH"""
983831395540680709,2018-04-10 22:17:38,b'@BloodyfasterTV Bond villain af'
981349782500331520,2018-04-04 01:56:35,"b'This is from Century Park: I pointed the camera directly at the Pearl, a building close to where I live.\xe2\x80\xa6 https://t.co/nzolFLEoYu'"
981347411120488449,2018-04-04 01:47:10,"b'This is the bus stop at 124 Street and 104 Avenue, looking east just around sunrise, obviously. I dunno. I just tho\xe2\x80\xa6 https://t.co/cUDYTm7DkW'"
977246841946255360,2018-03-23 18:12:58,b'RT @FeyRazzle: Massive crystals giveaway to prepare for OB68! \n\n2x1500 Crystals\n5x800 Crystals\n\nOpen to everybody!\n\nTwitch subscribers get\xe2\x80\xa6'
977241898166267904,2018-03-23 17:53:19,"b'@boozecouncil Premium quality content here. Booze reviews should either fall into the ""fuckin drink it"" or ""don\'t f\xe2\x80\xa6 https://t.co/0mo1a4k2pU'"
976307869032198145,2018-03-21 04:01:49,b'@CMcCurdyPDX #PoliteGate'
973273116993642496,2018-03-12 19:02:48,b'From Grant Notley Park https://t.co/QDrSZPAUJp https://t.co/6Jv1g0YrV6'
972031334515294208,2018-03-09 08:48:24,"b""RT @LanceStorm: I'm pretty sure Everyone of his peers has a very high level of respect for him. Not sure what higher rating @Goldust can ge\xe2\x80\xa6"""
972030471272984576,2018-03-09 08:44:58,"b'RT @j0nnyBo1: People hanging on every word, and not interrupting with stupid chants. @Goldust putting on a clinic of how to cut a promo. #R\xe2\x80\xa6'"
970500897120821248,2018-03-05 03:26:59,"b'RT @BrennanLM: Hey gang, Ozymandias here! Thanks as always for looking on my works, and if you liked what you saw don\'t forget to click ""De\xe2\x80\xa6'"
970432622936633344,2018-03-04 22:55:41,b'I think this is the stairwell at 120 St. https://t.co/Q8LsHpF3XH https://t.co/AfTwp8wyem'
970257402623922176,2018-03-04 11:19:25,b'The Catholic Basilica looking scary af https://t.co/sqJnjFbPGq https://t.co/RYIgTTPz1x'
969477529315762178,2018-03-02 07:40:29,b'West Edmonton Mall parking lot https://t.co/S3f5Rnr5Gs https://t.co/zglh1wKtC3'
968686517400096768,2018-02-28 03:17:17,b'Planet Organic downtown https://t.co/wGS6cDdbEN https://t.co/bvx9QdQ7Qk'
944056715263143936,2017-12-22 04:07:15,b'@Greenspeak Support independent filmmakers!'
942767769719681025,2017-12-18 14:45:26,b'@OpTicMiDNiTE Suhhhh'
920669367733428224,2017-10-18 15:14:17,"b'RT @Its_Supabounce: Hey its the Month of Horror, therefore...\n\nhttps://t.co/7MxaFN3N0r https://t.co/afr0F3rMGh'"
844343544441638912,2017-03-22 00:22:42,"b""RT @Lvl1OfficeDrone: @notch M'lake *tips into water*"""
832400253441687552,2017-02-17 01:24:20,b'@CMcCurdyPDX GERMANS LOVE DAVID HASSELHOFF'
830559138023358469,2017-02-11 23:28:24,b'@jaubert_moniker YET!!!!!!!'
825070113560858625,2017-01-27 19:56:58,"b'@DanaSchwartzzz #TinyTrumpHands And his feet are smaller too, I think. Similar height to Pres. Obama, small feet. #TinyTrumpFeet'"
