id,created_at,text
1067083328149442565,2018-11-26 15:51:05,b'@MrStripeyLegs @PhenomenalWoo @1bn_Abdullah @daddykinz218 @AverageMuslimJo @EliteMartiaI @ryanbyrnes2 @SloMoSportz\xe2\x80\xa6 https://t.co/FhnNKs1h89'
1067080856349696000,2018-11-26 15:41:16,"b'@AerialL2 @tomellis17 I hear you on the ""out of context"" bit!! \xf0\x9f\x98\x82\xf0\x9f\x98\x82 I\'ve loved that show since the cop pulled him ove\xe2\x80\xa6 https://t.co/MHJBVzV1w0'"
1067079915953106946,2018-11-26 15:37:32,b'@MrStripeyLegs @PhenomenalWoo @1bn_Abdullah @daddykinz218 @AverageMuslimJo @EliteMartiaI @ryanbyrnes2 @SloMoSportz Looks like it!! \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1067069878690086913,2018-11-26 14:57:38,b'@Its_um_soto God bless you!!'
1067069607566106624,2018-11-26 14:56:34,b'@laydagreat09 @DillionDrugs @EliteMartiaI @aazlis @AlexFarquhar8 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1067068864662552576,2018-11-26 14:53:37,"b""@msxmonae I actually don't have kids but I'm glad you thought it was funny!! \xf0\x9f\x98\x81\xf0\x9f\x98\x81"""
1067015461869666309,2018-11-26 11:21:24,"b'@AerialL2 I followed you, you had me at ""applying for a job at Lux Nightclub."" \xf0\x9f\x98\x88 Greetings fellow Lucifan!!'"
1067007861576876032,2018-11-26 10:51:12,"b'@donthitmeimcra1 @DillionDrugs @EliteMartiaI @aazlis @AlexFarquhar8 Hey, I swear to God after reading that, I pictu\xe2\x80\xa6 https://t.co/gZla15Lh3H'"
1067002841125015552,2018-11-26 10:31:15,"b'@doIIsznn @DillionDrugs @EliteMartiaI @aazlis @AlexFarquhar8 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Just be glad I\'m not one of those ""celebrate your curves"" chicks!! \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
1066977068267839488,2018-11-26 08:48:51,"b""I was going to be okay... Then I saw that dog I just RT'd... The idea of that puppy (and yes, one year old is still\xe2\x80\xa6 https://t.co/rXtXDauJld"""
1066976188126646272,2018-11-26 08:45:21,b'RT @LolaWillFollow: @rnlynn1958 Its a start now lets get the wall funded'
1066976003921186817,2018-11-26 08:44:37,"b""PLEASE, FOR GOD'S SAKE DON'T LET THIS DOG BE KILLED!! \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/o4NY3bCJFf"""
1066975736718864384,2018-11-26 08:43:33,b'RT @loveklaire: If you are able to please donate to this cause https://t.co/hjuakI75T4 // these are the people who I look up to and I\xe2\x80\x99m so\xe2\x80\xa6'
1066975405633142784,2018-11-26 08:42:14,b'RT @traderjohnt1: @rnlynn1958 @LilyNCali @Patriot_M1A @WillOfThePeopl5 @ltlgcoach @Shar_n_Shar @Chrisconsrv1776 @ernie_plumley @Birdle2963\xe2\x80\xa6'
1066975333856014337,2018-11-26 08:41:57,b'RT @Patriot_M1A: @traderjohnt1 @rnlynn1958 @LilyNCali @WillOfThePeopl5 @ltlgcoach @Shar_n_Shar @Chrisconsrv1776 @ernie_plumley @Birdle2963\xe2\x80\xa6'
1066975023016009728,2018-11-26 08:40:43,b'RT @robbystarbuck: Twitter: The place where you can call a whole race of people racist trash and face no consequences as long as you\xe2\x80\x99re a D\xe2\x80\xa6'
1066974922830946304,2018-11-26 08:40:19,b'RT @FWSPompano: @dbongino https://t.co/ZSMHWODwB6'
1066974785765326849,2018-11-26 08:39:47,b'RT @_ParkerH: Y\xe2\x80\x99all ever notice when you lose the remote you lose trust in everyone? \n\n\xe2\x80\x9cAre you sitting on the remote?\xe2\x80\x9d \n\n- \xe2\x80\x9cNo\xe2\x80\x9d\n\n\xe2\x80\x9cStand up\xe2\x80\x9d'
1066974715108081665,2018-11-26 08:39:30,"b'RT @Maggieb1B: .We have the RIGHT to protect our borders, @POTUS and Mattis know this. Just as we, as citizens have the RIGHT to protect ou\xe2\x80\xa6'"
1066974664193388544,2018-11-26 08:39:18,b'RT @SaraCarterDC: .@jack it\xe2\x80\x99s true and what your company is doing is going to have bad repercussions. Listen to what people are saying -@be\xe2\x80\xa6'
1066974623324168192,2018-11-26 08:39:08,"b'RT @rhettjum: The libs ignore this, but it is factual and disgusting. https://t.co/v52xuKhfh4'"
1066974499562770432,2018-11-26 08:38:38,"b""RT @Devsfan55: @Mark_Sheppard miss seeing your face on TV... Really can't wait to see what you're up to. Lots of love \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f"""
1066974439148015616,2018-11-26 08:38:24,"b'RT @catturd2: Raise your hand if you want to see the tax returns of every single  Democrat in Congress, for the past 50 years, who made $13\xe2\x80\xa6'"
1066974340388921344,2018-11-26 08:38:00,"b'RT @Jenn198523: Well, lookie here...\n\nSo Barry thinks that we need to protect our borders. He also believed  in following proper procedures\xe2\x80\xa6'"
1066974269161304065,2018-11-26 08:37:43,b'RT @jcbrhodesia: This is the judge who believes little girls should be mutilated\ntweet and retweet until he gets his come uppance. https://\xe2\x80\xa6'
1066974148570882048,2018-11-26 08:37:15,"b""@PhenomenalWoo @1bn_Abdullah @daddykinz218 @AverageMuslimJo @EliteMartiaI @ryanbyrnes2 @SloMoSportz Oh that's right\xe2\x80\xa6 https://t.co/LS7remorxz"""
1066973948024422401,2018-11-26 08:36:27,b'RT @SarahPalinUSA: Alyssa Milano BLASTED after Asking for Money for Asylum Seekers Instead of Wildfire Survivors https://t.co/8yJY2kN6nE'
1066973883083960320,2018-11-26 08:36:11,b'RT @LaylaAlisha11: First incident of caravan-related violence in US as an illegal sets fire to tree in Cali &amp; throws rocks at border patrol\xe2\x80\xa6'
1066973820844691456,2018-11-26 08:35:56,b'RT @eatkinson48: No. This is not the outskirts of Mumbai or Bangladesh! This is Paris! This is the results of uncontrolled immigration! Thi\xe2\x80\xa6'
1066973699818078208,2018-11-26 08:35:28,"b""@analogcapaldi If it's you-know-who I don't blame you..."""
1066973527797112832,2018-11-26 08:34:47,b'RT @Liz_Wheeler: Law-abiding = NOT storming the U.S. border.\n\nPeaceful = NOT throwing projectiles at U.S. border patrol agents.\n\nInnocent =\xe2\x80\xa6'
1066973413015732224,2018-11-26 08:34:19,b'RT @StateFarm: #CampFireParadise and @NVCF NEEDS YOUR RETWEETS! State Farm Neighborhood of Good teamed up with @AaronRodgers12 to donate $1\xe2\x80\xa6'
1066973288100958208,2018-11-26 08:33:49,b'RT @TheFakeLiberal: \xf0\x9f\x9a\xa8FLASH POLL\xf0\x9f\x9a\xa8\n\nShould President @realDonaldTrump nominate an Atty Gen (AG) that will Investigate Hillary and the Clinton\xe2\x80\xa6'
1066973227447140352,2018-11-26 08:33:35,b'RT @chuckwoolery: San Diego Port of Entry Shut Down as Migrants Rush Border Chanting \xe2\x80\x98Yes We Can\xe2\x80\x99 https://t.co/GzlPqMiEYJ via @BreitbartNews'
1066973198435131392,2018-11-26 08:33:28,b'RT @justlurking4now: 2013: stroke\n\n2015: tough mudder\n\n2018: seattle marathon\n\n\xf0\x9f\x99\x8c\xf0\x9f\x98\xad\xf0\x9f\x91\x8f \n\n@RobBenedict is a champion'
1066972928875614208,2018-11-26 08:32:24,"b""RT @keelbytje: First a stroke\n2 years later he did tough mudder and now a marathon \xf0\x9f\x98\xad\xf0\x9f\x98\xad\nProud doesn't even describe what I'm feeling right no\xe2\x80\xa6"""
1066972615850541058,2018-11-26 08:31:09,"b""@1bn_Abdullah @PhenomenalWoo @daddykinz218 @AverageMuslimJo @EliteMartiaI @ryanbyrnes2 @SloMoSportz I don't know wh\xe2\x80\xa6 https://t.co/k6ZCi8Px0k"""
1066972325810266113,2018-11-26 08:30:00,b'@adamfergus Understandable sweetie... You guys deserve three weeks of utter lassitude.'
1066972001947054080,2018-11-26 08:28:43,"b'@riapanacea @burrowed_deep Aww!! All my stress dissolved by a beagle puppy, thank you so much!! \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'"
1066970931682258944,2018-11-26 08:24:28,b'@mediumsean__ @EliteMartiaI Followed.'
