id,created_at,text
1066968307939594241,2018-11-26 08:14:02,b'@realDonaldTrump @60Minutes You\xe2\x80\x99re a fucking degenerate. You have ordered the tear gassing of children. Hell is too good for you.'
1066962580013490176,2018-11-26 07:51:16,"b'RT @BetoORourke: It should tell us something about her home country that a mother is willing to travel 2,000 miles with her 4-month old son\xe2\x80\xa6'"
1066766559027310592,2018-11-25 18:52:21,b'@Bakari_Sellers @TomPerez @dccc @DemGovs They absolutely do deserve a massive thank you! \n\nI wish they had invested\xe2\x80\xa6 https://t.co/EzDOn4JwJJ'
1066394391273705472,2018-11-24 18:13:30,b'@andylassner \xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae\xf0\x9f\xa4\xae'
1065705417018433536,2018-11-22 20:35:45,b'@Trump \xf0\x9f\xa4\xae'
1065704194873675776,2018-11-22 20:30:54,b'@BetoORourke Thank you! You gave me hope that we can change and make this country better for everyone. Happy Thanksgiving!'
1064765829462528000,2018-11-20 06:22:10,"b'RT @TexasTribune: Beto O\xe2\x80\x99Rourke. \n\nJuli\xc3\xa1n Castro. \n\nJohn Cornyn.\n\nLike it or not, the 2020 election cycle has already arrived in Texas.\n\nht\xe2\x80\xa6'"
1062581673789841408,2018-11-14 05:43:07,b'@brianefallon I\xe2\x80\x99m so proud that I had the opportunity to vote for Beto. It has been so many years since Texas was f\xe2\x80\xa6 https://t.co/W3MBM6gAQ8'
1062580778444324864,2018-11-14 05:39:34,b'@brianefallon Absolutely!'
1061832684836700160,2018-11-12 04:06:54,b'@AnnCoulter Hell is too good for you.'
1060964291191414784,2018-11-09 18:36:13,b'@AprilDRyan You are a wonderful journalist. Stay strong. Don\xe2\x80\x99t let that moron diminish you in any way. We see you and appreciate you!'
1060728409888710656,2018-11-09 02:58:54,b'@JakeSherman @jaketapper The DNC would be wise to ask @BetoORourke to take his place!'
1060561954601873408,2018-11-08 15:57:28,b'@Acosta Anyone who thinks you have apologize is a hypocrite. This administration was overjoyed to endorse a man who\xe2\x80\xa6 https://t.co/cpS5A7n9yf'
1060560721531015168,2018-11-08 15:52:34,b'@Acosta We don\xe2\x80\x99t believe them! We all saw what really happened. You\xe2\x80\x99re a wonderful reporter who takes his duty seri\xe2\x80\xa6 https://t.co/j4SExhwRPC'
1060350402833604608,2018-11-08 01:56:51,b'@PressSec You expect me to believe what you say and not what I saw with my own eyes? He didn\xe2\x80\x99t put hands on her and\xe2\x80\xa6 https://t.co/pudXYJRmTk'
1060333409501958144,2018-11-08 00:49:19,b'@MikeLevinCA Congratulations!'
1060263590438060032,2018-11-07 20:11:53,b'@luckidraw @PhilipRucker @Acosta @PeterAlexander @AprilDRyan He is a serious journalist and damn good one too. If y\xe2\x80\xa6 https://t.co/c8T6uzjnWK'
1060257521221419008,2018-11-07 19:47:46,b'@joshscampbell Bye.'
1060190203976081408,2018-11-07 15:20:16,b'@realDonaldTrump Two words: Subpoena Power'
1060189842573803520,2018-11-07 15:18:50,b'@KevinGutzman @joekennedy @jtLOL @BetoORourke Who are you?'
1060189482664816645,2018-11-07 15:17:24,b'@joekennedy @BetoORourke Amen'
1060189382265761793,2018-11-07 15:17:00,b'@joekennedy @BetoORourke This Texan was proud to cast my vote for Beto. He inspired us all. He brought out the best\xe2\x80\xa6 https://t.co/a7qUrR1T0t'
1060085962179457024,2018-11-07 08:26:03,b'@BetoORourke Thank you so much for inspiring us!!! Texas still needs you. Take a good break and come back!'
1060049668418211841,2018-11-07 06:01:50,b'@BetoORourke Thank you for lifting up this state and inspiring so many of us.'
1060039329890865152,2018-11-07 05:20:45,b'@shaunking I voted for @BetoORourke! I was honored to have that privilege. I am so proud of him and his campaign. H\xe2\x80\xa6 https://t.co/qtA0KDAvT2'
1059952100862509062,2018-11-06 23:34:08,"b'RT @BetoORourke: Thank you, Beyonc\xc3\xa9! https://t.co/wfNJsGvrec'"
1059921113046753280,2018-11-06 21:31:00,b'@jonfavs @jonlovett @danpfeiffer @TVietor08 https://t.co/FG8DbZSsne'
1059899676265197569,2018-11-06 20:05:49,b'@seanhannity Fuck off. No one believes you.'
1059898633728987136,2018-11-06 20:01:40,b'@jaketapper BETO!'
1059694944078708736,2018-11-06 06:32:17,b'@BobMooreNews @JoaquinCastrotx @TexasMonthly @BetoORourke @RepMaryGonzalez @RepCuellar @ACLUTx @RepGonzalez This wa\xe2\x80\xa6 https://t.co/FbAhvOL6zt'
1059675334046564352,2018-11-06 05:14:22,b'@BrianKempGA Seriously? The only thing you\xe2\x80\x99ve proven about yourself in this election is that you\xe2\x80\x99re scared of Afric\xe2\x80\xa6 https://t.co/MOZZ21lEe8'
1059652904989155328,2018-11-06 03:45:14,b'@jeffzeleny Ugh. Grotesque.'
1059613279255977984,2018-11-06 01:07:47,b'@VanityFair I don\xe2\x80\x99t expect that to happen. I\xe2\x80\x99m just hoping it pisses him off.'
1059502387029831680,2018-11-05 17:47:08,b'@kenolin1 @BetoORourke My family and I already voted for @BetoORourke!'
1059174494772883456,2018-11-04 20:04:12,b'@GOPChairwoman The joke was in poor taste. I didn\xe2\x80\x99t like it at all. I also abhor the hypocrisy you are flailing aro\xe2\x80\xa6 https://t.co/QqrIh7fUWj'
1058996440968691712,2018-11-04 08:16:41,"b'@realDonaldTrump You\xe2\x80\x99re dying to be loved like he still is loved by us. No executive orders, no tweets and no lies\xe2\x80\xa6 https://t.co/eRW3clextO'"
1058904506057084928,2018-11-04 02:11:22,b'@BetteMidler John Lewis is a national treasure \xe2\x9d\xa4\xef\xb8\x8f'
1058769953145438209,2018-11-03 17:16:42,b'@DonaldJTrumpJr @SenatorBrakey Weaponizing the color of people\xe2\x80\x99s skin and religion for your base of mouth breathing\xe2\x80\xa6 https://t.co/33vEJu1FPi'
1058765623298277376,2018-11-03 16:59:30,"b'@realDonaldTrump @FoxNews YOU, of all people, don\xe2\x80\x99t have the right to call anyone corrupt. Your desperation &amp; fear\xe2\x80\xa6 https://t.co/RTUtnn73xQ'"
1058764373118930945,2018-11-03 16:54:32,b'@realDonaldTrump @FoxNews You clearly didn\xe2\x80\x99t pay attention when you were shown your cult follower\xe2\x80\x99s van had picture\xe2\x80\xa6 https://t.co/wJNM2VlaOl'
