id,created_at,text
1067033665954291713,2018-11-26 12:33:45,b'@noorhares on his way https://t.co/dZxl4fwDk1'
1067033017112293376,2018-11-26 12:31:10,b'@averychillowl https://t.co/lGcGELhv6w'
1066939726945546240,2018-11-26 06:20:28,b'@averychillowl habibi \xe2\x9d\xa4\xef\xb8\x8f also\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc https://t.co/X9iz8E39LU'
1066929841071632384,2018-11-26 05:41:11,b'@averychillowl ma y2oum msh 3ejbak george \xf0\x9f\x98\x82 bass eno to me antonio idk why'
1066926107608449024,2018-11-26 05:26:21,b'RT @catsfolder: High 5 https://t.co/HWm8Jfdxrr'
1066808408056217600,2018-11-25 21:38:39,b'RT @Trashvis: this is the closest thing to gun control america has had https://t.co/suFSqnaA26'
1066807827929411584,2018-11-25 21:36:21,b'RT @emperordjh: did you survive the titanic based on your zodiac sign?\n\naries: yes\ntaurus: yes\ngemini: yes\ncancer: yes\nleo: no\nvirgo: yes\nl\xe2\x80\xa6'
1066784905076580354,2018-11-25 20:05:15,b'I was being filmed today... \xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbb\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbb\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbb https://t.co/TPtJfUTDd1'
1066592976955158529,2018-11-25 07:22:36,b'@khrasiitsrudy same https://t.co/E3uwDymjdc'
1066588396888428544,2018-11-25 07:04:24,b'@andrewtokatly https://t.co/2vwb0VWTYF'
1066586729237368833,2018-11-25 06:57:47,b'@andrewtokatly new n\xc4\x93m new m\xc4\x93n'
1066586013580083200,2018-11-25 06:54:56,b'@andrewtokatly omw\xe2\x9c\x88\xef\xb8\x8fchange my name n steal your g\xc3\xa9rl'
1066431036224151552,2018-11-24 20:39:07,b'@katyslaymichael https://t.co/aBWoe6dKFZ'
1066430931496517633,2018-11-24 20:38:42,b'@Elia115 so true ya bro'
1066430776051408897,2018-11-24 20:38:04,b'@averychillowl eza metet ellayle el mrasim 3lek kella'
1066403671951507462,2018-11-24 18:50:22,b'why not https://t.co/pblIBuuias'
1066232791329923072,2018-11-24 07:31:21,b'RT @OtakuVibez: A Starbucks cup transformed into Totoro artwork \xe2\x9c\xa8 https://t.co/uJeSjbRfNP'
1066230965129875456,2018-11-24 07:24:06,b'RT @LGDoingThings: there can be a hundred people in the room... https://t.co/0MwVxVRXpd'
1066005632518680576,2018-11-23 16:28:42,b'THE ACCURACY https://t.co/OIgynVkEPr'
1066005167156412416,2018-11-23 16:26:51,b'RT @laraayoub6: Hambergel aa djej https://t.co/WWyaVFAL38'
1066004675953082369,2018-11-23 16:24:54,b'@noorhares we stan taste'
1066004610547150853,2018-11-23 16:24:39,b'RT @switchlikefagts: Lebanese gays after quote tweeting with pass on the muscle gays they secretly thirst over 24/7 https://t.co/2ONYYuScG8'
1065714500408623104,2018-11-22 21:11:51,b'@jonaybish thank you! come have hot cocoa and stare at it anytime'
1065705624367972357,2018-11-22 20:36:35,b'my mum and I make a great decorating duo. we\xe2\x80\x99ve been doing this together for 10 years and I just have no words on h\xe2\x80\xa6 https://t.co/oZeedu0Bju'
1065703395334516736,2018-11-22 20:27:43,b'RT @Georgesabh: Hafzin l nashid l watane ? RT please'
1065702606729826305,2018-11-22 20:24:35,b'@andrewtokatly i wass political sciencist'
1065694646997868545,2018-11-22 19:52:58,b'@andrewtokatly ta3a'
1065369256043442184,2018-11-21 22:19:58,b'I just put up the Christmas tree and am still decorating it. I\xe2\x80\x99m five again. I\xe2\x80\x99m so happy.'
1065358406666604545,2018-11-21 21:36:52,b'@sxy_dreamlover took care of it'
1065000928825217024,2018-11-20 21:56:22,b'my phone screen just SHATTERED and i dont have any money to buy a new one now great.'
1064971399645863938,2018-11-20 19:59:02,b'RT @AlBatrick: Me going through my instagram https://t.co/X7B6v1edtM'
1064749489511178241,2018-11-20 05:17:15,b'wen najwa karam https://t.co/grgW5uqXiV'
1064749082831462400,2018-11-20 05:15:38,b'RT @mercuryhutton: artists: we will have a world tour!! stay tune for tickets &lt;3\n\nworld tour: https://t.co/VaSbRCgT3l'
1064590420699750401,2018-11-19 18:45:10,b'RT @pedahlss: 5 ways not to be used:\n\n-believe patterns not apologies \n-don\xe2\x80\x99t fall in love with potential\n-believe red flags\n-know your wor\xe2\x80\xa6'
1064458443489189888,2018-11-19 10:00:44,b'RT @illusigram: https://t.co/xYvJ5NrNdd'
1064393361895886848,2018-11-19 05:42:07,b'this animation is so good wth good job to whoever did that I hope more Lebanese shops follow this trend https://t.co/8TKphSmQUB'
1064014195266592769,2018-11-18 04:35:27,b'RT @Marwhining: https://t.co/Rr5nmfbt0k'
1063895021789855749,2018-11-17 20:41:54,b'@oreoandwine \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1063893885762572289,2018-11-17 20:37:23,b'i won at the johnnie walker keep walking lebanon competition today! https://t.co/tQZaekzEt2'
1063385500524965888,2018-11-16 10:57:14,b'RT @CharlyTweetin: https://t.co/cefJIfHN9g'
1063385100010905600,2018-11-16 10:55:39,b'RT @sleepyyyunicorn: IF THIS DOESNT MAKE YOU SMILE LIKE AN IDIOT YOU ARE NOT HUMAN https://t.co/2h9pRusT6S'
1063370981551554560,2018-11-16 09:59:33,b'RT @yarakhoury: . @NakhalTravel should make Independence Day trips!\nIndependence? Time to run away for a break! Edleb? Sounds like a great\xe2\x80\xa6'
1063347886782586882,2018-11-16 08:27:46,"b'RT @AkikiEli: Left my house at 6:20 AM only to reach work at 8:45 AM, 1h45 minutes late, all for stupid preparations of a celebratory event\xe2\x80\xa6'"
