id,created_at,text
1067063411815710720,2018-11-26 14:31:57,b'RT @cinnamon_sanrio: \xe3\x81\xa1\xe3\x81\x83\xe3\x81\x9f\xe3\x82\x93\xe2\x98\x86\xe3\x81\xa8\xe3\x81\x84\xe3\x81\xa3\xe3\x81\x97\xe3\x82\x87\xe3\x81\xab\xe9\x81\x8a\xe3\x82\x93\xe3\x81\xa7\xe3\x81\x8a\xe3\x81\xa8\xe3\x82\x82\xe3\x81\xa0\xe3\x81\xa1\xe3\x81\xab\xe3\x81\xaa\xe3\x82\x8c\xe3\x81\x9f\xe3\x82\x93\xe3\x81\xa0\xe3\x81\xa3\xe2\x99\xaa \xe3\x82\xb7\xe3\x83\x8a\xe3\x83\xa2\xe3\x83\xb3\xe3\x81\xa7\xe3\x81\x99\xe3\x81\xa3\xe2\x98\x86 @love2chiitan https://t.co/RCDwSzI9Px'
1065738697432281088,2018-11-22 22:48:00,"b""Why don't eggs taste like chicken?"""
1065732543285215234,2018-11-22 22:23:33,b'@BeachBunnyMusic I think my nose is cute and I have nice legs \xe2\x80\xa2u\xe2\x80\xa2'
1063153311954677762,2018-11-15 19:34:36,b'@TheAVClub My dad also banned me from reading JTHM novels but I was allowed to read Anne Rice books'
1063152056771461120,2018-11-15 19:29:37,"b'@TheAVClub My dad wouldnt let us watch the misadventures of Flap Jack, and I was never allowed to watch Futurama but Simpsons was okay?'"
1062802961317928961,2018-11-14 20:22:26,b'RT @charlubby: he no like https://t.co/iMQINxDfiC'
1062184610342281216,2018-11-13 03:25:20,b'I wanted Danny devito to voice detective pikachu'
1061041046430334976,2018-11-09 23:41:13,b'RT @NightValeRadio: Pigeons are poems about garbage.'
1057659760932253696,2018-10-31 15:45:12,"b'RT @ogecebel: BEHOLD, THE CHII-TAURUS https://t.co/IomlezW0kL'"
1057659068540731393,2018-10-31 15:42:26,b'RT @fu_dad: Me: HALLOWEEN!!!\n\nWeen: Hallo!'
1057389461091291136,2018-10-30 21:51:07,b'Charlie is the best character https://t.co/B13invfBFt'
1055605646215790593,2018-10-25 23:42:52,b'The dinosaurs in the first Jurassic Park are lesbians'
1055137600409952256,2018-10-24 16:43:02,b'RT @20x2Chi: Why Is It Important? - Maribel Mathias: https://t.co/d7jre0S7LM via @YouTube'
1055067113193385984,2018-10-24 12:02:56,b'RT @tatamepi: \xe6\xaf\x92\xe3\x82\xad\xe3\x83\x8d\xe3\x82\xb3\xe3\x81\xae\xe6\x88\x90\xe9\x95\xb7\xf0\x9f\x8d\x84 https://t.co/pHshsmdsJv'
1054866350575943680,2018-10-23 22:45:11,"b""@kthx_bai I'm not familiar with many"""
1054866037815066626,2018-10-23 22:43:56,"b'@kthx_bai Olanzapine, it gave me the worst sweet tooth ever'"
1054864778102009856,2018-10-23 22:38:56,"b""@kthx_bai It's so hard because I was finally at a weight I liked a few months ago and it just went down the drain \xf0\x9f\x99\x83"""
