id,created_at,text
1066401708622979072,2018-11-24 18:42:34,"b'Why is Popeyes trying to kill me (other than the blood pressure stuff). Really, raw chicken?! @PopeyesChicken https://t.co/Fp9gStGbbQ'"
1066039140775542784,2018-11-23 18:41:51,b'Everyday is Black Friday \xe2\x9c\x8a\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbe'
1066015764208066560,2018-11-23 17:08:58,b'When your wife throws it down in the kitchen and that itis hits #nightnight @ Sleepy Town https://t.co/xVEtdyLSz1'
1065655061592842240,2018-11-22 17:15:40,"b""Thank you to my friends and #relationshipgoals Leslie and Paul for my amazing new sweater! @ Macy's Thanksgiving Da\xe2\x80\xa6 https://t.co/UTU3DHPaKE"""
1065447923184480256,2018-11-22 03:32:34,b'@RealChrisCal @iamryanbeck A dry bagel and a coke!'
1065447761057906689,2018-11-22 03:31:55,"b'I immediately got cotton mouth. I wasn\xe2\x80\x99t nervous but my body was telling me I should be, it was trying to protect m\xe2\x80\xa6 https://t.co/wlL3s0VreG'"
1065447633353916417,2018-11-22 03:31:25,"b'I had to call the cops for a bizarre situation that you can follow if we\xe2\x80\x99re friends on instagram. Anyway, when the\xe2\x80\xa6 https://t.co/5kYmyq9wek'"
1065309097245892609,2018-11-21 18:20:55,b'@iamryanbeck Yup!'
1065309019684917248,2018-11-21 18:20:37,"b'You ever a crackhead code switch? Shit is bonkers. \xe2\x80\x9cExcuse sir, might you have a dollar to spare (while intensely scratching their forearm)?'"
1064265055099854850,2018-11-18 21:12:16,b'I\xe2\x80\x99m not holding the door open for no more white women! \n#saythankyou'
1063816779816939521,2018-11-17 15:30:59,b'Stranger: Dude I just wanted to call my wife and tell her my phone died and I\xe2\x80\x99m running late.'
1063816739606208512,2018-11-17 15:30:50,b'Stranger: Hey can I use your phone to make a quick phone call?\nMe: The last time I leant a stranger my phone the DE\xe2\x80\xa6 https://t.co/qriF1ZTcZm'
1063460212978458625,2018-11-16 15:54:07,b'@ArgentBearKing @RoosterHarlem Always down!'
1063432885099728896,2018-11-16 14:05:32,"b'The day I blew a Mumford &amp; Son, no one said the road to the top would be glamorous. What?!...OH NO, his hair, with\xe2\x80\xa6 https://t.co/rRpGn8vBzq'"
1063129891804233728,2018-11-15 18:01:32,b'Why do co-workers always wanna talk to you on your lunch break?! BRUH you saw the headphones go in right?! We not friends for the next hour!'
1063116106414592000,2018-11-15 17:06:46,"b'Ma\xc3\xb1ana!!! Cheap drinks, good vibes and AN ILL LINE UP THAT MATCHES THE DEMOGRAPHIC OF THE NEIGHBORHOOD (but probabl\xe2\x80\xa6 https://t.co/Q8mEghTXsn'"
1063106816538746880,2018-11-15 16:29:51,b'I\xe2\x80\x99m terrified that I won\xe2\x80\x99t be able to provide Jen with everything she deserves...the warmth that only fat boys can\xe2\x80\xa6 https://t.co/njXX0ZAwBG'
1062779858806325248,2018-11-14 18:50:38,b'They say that when you get deja vu it means you\xe2\x80\x99re where you\xe2\x80\x99re supposed to be in life. Does that depress the shit\xe2\x80\xa6 https://t.co/mjOOWqwQfo'
1062464660790755329,2018-11-13 21:58:09,"b'Guy: I\xe2\x80\x99M TAKING A SHIT! \nME: STOP YELLING AT ME, SHUT UP AND TAKE YOUR SHIT! AND YOU BETTER HAVE THAT SAME ENERGY W\xe2\x80\xa6 https://t.co/sPcn65x98D'"
