id,created_at,text
1063184810070474752,2018-11-15 21:39:46,b'Yes!! Fuck the Tories!! https://t.co/p1KXwqik3B'
1063078603200569345,2018-11-15 14:37:44,b'Seriously pissed off. \nhttps://t.co/YdHinqFnfw'
1063076414432444416,2018-11-15 14:29:02,b'@Phil43ok @official_bottom What do you mean? You have do it blindfold.'
1063006871815098369,2018-11-15 09:52:42,"b'RT @BipolarWarlord: @YoutubeCommuni3 https://t.co/ospTsXyJuy. I do game playthroughs, do blu-ray, vinyl and game pick up videos, music, and\xe2\x80\xa6'"
1062980852743835648,2018-11-15 08:09:19,"b""Easily one of the best in-ring wrestling segments of all time. The battle of the WOOOOOOOO's. All, I can say cocain\xe2\x80\xa6 https://t.co/DvjVPcQsLO"""
1062969077063401475,2018-11-15 07:22:31,"b'@YoutubeCommuni3 https://t.co/ospTsXyJuy. I do game playthroughs, do blu-ray, vinyl and game pick up videos, music,\xe2\x80\xa6 https://t.co/z66RVriZdO'"
1062852238618570753,2018-11-14 23:38:15,"b'Yeah, I know a day late. But never forget Mr Guerrero. \xf0\x9f\x91\x8d'"
1062851628523548672,2018-11-14 23:35:49,b'Eddie Guerrero such an awesome wrestler. \xf0\x9f\x91\x8d R.I.P \xf0\x9f\x98\xa2\xf0\x9f\x98\xa2\nhttps://t.co/Z1JQVB6tgF'
1062845807014088707,2018-11-14 23:12:41,b'@official_bottom https://t.co/bJuH3htKgr Nighty Night \xf0\x9f\x91\x8d'
1062780053635903488,2018-11-14 18:51:24,"b'@BBCPolitics This guy was the worst Labour leader ever, completely destroyed them from inside by re-labelling Labou\xe2\x80\xa6 https://t.co/AeiKEk6IGq'"
1062777404664487937,2018-11-14 18:40:53,"b""@official_bottom No, i'm 54."""
1062723283118972930,2018-11-14 15:05:49,b'@dharkin248 @official_bottom HANG ON!! Is there some sort of problem officer?'
1062711690415034368,2018-11-14 14:19:45,b'No volunteers then? Chicken shit.'
1062709792672751616,2018-11-14 14:12:13,"b""I am tired of being, depressed, agitated, hurt,  and feeling empty inside all the time, so I don't appreciate some\xe2\x80\xa6 https://t.co/lTrm7L5Wm5"""
1062707634908905474,2018-11-14 14:03:38,"b""The reason I come on this stupid website is for @TheBadger_Utube. Otherwise, I wouldn't fucking bother, because thi\xe2\x80\xa6 https://t.co/ipSNAQKrPb"""
1062705998505357312,2018-11-14 13:57:08,b'If someone has a problem with me.... https://t.co/olKeQtgOHv'
1062243176155619328,2018-11-13 07:18:03,b'@TheBadger_Utube @AZnativeJay32 @PaulFoxhound @mrlashout @MissTimeBunny @deluxeraptor @Scorpios9472 @XaineGaming\xe2\x80\xa6 https://t.co/VQJhUgwJ85'
1062242932982452224,2018-11-13 07:17:05,b'@Scorpios9472 @TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @AZnativeJay32\xe2\x80\xa6 https://t.co/RVLPqmAiau'
1062242315811676161,2018-11-13 07:14:38,b'@Scorpios9472 @AZnativeJay32 @TheBadger_Utube @PaulFoxhound @mrlashout @MissTimeBunny @deluxeraptor @XaineGaming\xe2\x80\xa6 https://t.co/gJ5BMqUXJN'
1062242071069757440,2018-11-13 07:13:39,b'@TheBadger_Utube @AZnativeJay32 @PaulFoxhound @mrlashout @MissTimeBunny @deluxeraptor @Scorpios9472 @XaineGaming\xe2\x80\xa6 https://t.co/QzVWdzqP3C'
1062240696533426176,2018-11-13 07:08:12,b'@AZnativeJay32 @TheBadger_Utube @PaulFoxhound @mrlashout @MissTimeBunny @deluxeraptor @Scorpios9472 @XaineGaming\xe2\x80\xa6 https://t.co/hYNwruCV2N'
1062239417623044096,2018-11-13 07:03:07,b'@TheBadger_Utube @AZnativeJay32 @PaulFoxhound @mrlashout @MissTimeBunny @deluxeraptor @Scorpios9472 @XaineGaming\xe2\x80\xa6 https://t.co/4TpWIzgjk8'
1062239261007724545,2018-11-13 07:02:29,b'@TheBadger_Utube @AZnativeJay32 @PaulFoxhound @mrlashout @MissTimeBunny @deluxeraptor @Scorpios9472 @XaineGaming\xe2\x80\xa6 https://t.co/WodHZGfpEu'
1062238392883310592,2018-11-13 06:59:02,b'@AZnativeJay32 @TheBadger_Utube @PaulFoxhound @mrlashout @MissTimeBunny @deluxeraptor @Scorpios9472 @XaineGaming\xe2\x80\xa6 https://t.co/TBfuqm08ZE'
1062237701758509057,2018-11-13 06:56:18,b'@TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @Scorpios9472 @AZnativeJay32\xe2\x80\xa6 https://t.co/HD3M33g6Kf'
1062236942644006912,2018-11-13 06:53:17,b'@TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @Scorpios9472 @AZnativeJay32\xe2\x80\xa6 https://t.co/0J3Duqj8Mx'
1062236310805590016,2018-11-13 06:50:46,b'@AZnativeJay32 @TheBadger_Utube @PaulFoxhound @mrlashout @MissTimeBunny @deluxeraptor @Scorpios9472 @XaineGaming\xe2\x80\xa6 https://t.co/JUBZyRgd2B'
1062235868583378944,2018-11-13 06:49:01,b'@AZnativeJay32 @TheBadger_Utube @PaulFoxhound @mrlashout @MissTimeBunny @deluxeraptor @Scorpios9472 @XaineGaming\xe2\x80\xa6 https://t.co/xLXQSOflTl'
1062235681232248832,2018-11-13 06:48:16,b'@TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @Scorpios9472 @AZnativeJay32\xe2\x80\xa6 https://t.co/GuXpXmnbSC'
1062235455192735745,2018-11-13 06:47:22,b'@TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @Scorpios9472 @AZnativeJay32\xe2\x80\xa6 https://t.co/51cl2JGfSQ'
1062234971824418816,2018-11-13 06:45:27,b'@TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @Scorpios9472 @AZnativeJay32\xe2\x80\xa6 https://t.co/vjMIpK1hz3'
1062234679997358080,2018-11-13 06:44:17,b'@TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @Scorpios9472 @AZnativeJay32\xe2\x80\xa6 https://t.co/DoGZR9X30y'
1062234417303826432,2018-11-13 06:43:15,b'@TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @Scorpios9472 @AZnativeJay32\xe2\x80\xa6 https://t.co/zT6OAkDV5I'
1062233704989425665,2018-11-13 06:40:25,b'@TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @Scorpios9472 @AZnativeJay32\xe2\x80\xa6 https://t.co/qteoWG2tvP'
1062233331054665728,2018-11-13 06:38:56,b'@TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @Scorpios9472 @AZnativeJay32\xe2\x80\xa6 https://t.co/dddcnCol9m'
1062232697848954880,2018-11-13 06:36:25,b'@TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @Scorpios9472 @AZnativeJay32\xe2\x80\xa6 https://t.co/U32ZcW6lpj'
1062232289646702592,2018-11-13 06:34:47,b'@TheBadger_Utube @PaulFoxhound @mrlashout @CtrlAltDan1 @MissTimeBunny @deluxeraptor @Scorpios9472 @AZnativeJay32\xe2\x80\xa6 https://t.co/GfaDVtYWsk'
