id,created_at,text
1067033808933974019,2018-11-26 12:34:19,b'RT @jules_su: This is a *literal* war crime. https://t.co/VT9eLbF4Oj'
1066878566862897152,2018-11-26 02:17:26,b'RT @RespectableLaw: Just want to make sure you see this picture today. https://t.co/ngxWcPUrEi'
1066544859174060032,2018-11-25 04:11:24,b'RT @KOakaKoala: LOVE IS MORE ADDICTIVE THAN OPIOIDS'
1066544130631843840,2018-11-25 04:08:30,b'RT @JeffreeStar: I\xe2\x80\x99m craving @Wendys and I also wanna suck dick so I don\xe2\x80\x99t know what to do first \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
1066150085833175041,2018-11-24 02:02:43,b'Dear god yes https://t.co/LUGAhOfNWx'
1065815423801798658,2018-11-23 03:52:53,b'RT @raccooons: going to macdondald what u want? https://t.co/0vwL6q4xXF'
1065238742389178368,2018-11-21 13:41:22,b'Whoops https://t.co/TSCleWHHUR'
1064730257603870722,2018-11-20 04:00:49,b'RT @brokeangeI: not a cell phone in sight. just people living in the moment. https://t.co/GO1KNTbbgs'
1064729106422603776,2018-11-20 03:56:15,b'RT @CrudKilla: Go see a therapist: $400 \n\nTelling yourself it be like that sometimes: $0'
1064725730276315137,2018-11-20 03:42:50,"b'In an attempt to further isolate myself from any potential friends, I will now only refer to myself as \xe2\x80\x9cyours truly\xe2\x80\x9d'"
1064648741108486144,2018-11-19 22:36:54,b'https://t.co/15Ektp9Iy4'
1064620013049528320,2018-11-19 20:42:45,b'@CMPunk \xf0\x9f\x98\xb1'
1064544854867357697,2018-11-19 15:44:06,b'Got my ephedrine and my toxic levels on caffeine in ready to start the day !!!'
1064185486883868672,2018-11-18 15:56:06,"b'RT @jessienolan_x: Scary that if I went out,expressed no desire to have sex,got raped &amp;brought it to court,my choice of underwear on that n\xe2\x80\xa6'"
1064122393906610176,2018-11-18 11:45:23,b'@FightRyanMurphy Yes \xe2\x9d\xa4\xef\xb8\x8f'
1063998693605560320,2018-11-18 03:33:51,b'RT @purrbunny: really fucked up shit makes me horny... like oh someone just died? Hmm time for doggy style'
1063997597210370050,2018-11-18 03:29:29,b'I\xe2\x80\x99ve been in a trance all day like I can\xe2\x80\x99t even remember any of the shit I did today for real what is happening to me'
1063993891509149696,2018-11-18 03:14:46,"b'RT @meganeace: Do you ever think that if you were in a movie, you\xe2\x80\x99d probably be the antagonist?'"
1063275932801269765,2018-11-16 03:41:51,b'RT @cakefacecutie: Serotonin @ my brain https://t.co/ULGSiZ5cEJ'
1062885051459870726,2018-11-15 01:48:38,b'RT @SHEEPISHLORDOFC: https://t.co/5050Xr9JMA'
1062735274235564032,2018-11-14 15:53:28,"b""RT @ShadowFoxMT: @WSJ I'd consider taking over $27K from kids with cancer more hateful than anything said in a youtube video."""
1062734008969236485,2018-11-14 15:48:27,b'RT @JPNibs: @anniexkatz Charmander is the most emotionally complex character in that entire show.  All the way up to Charizard and after.\xe2\x80\xa6'
1062685579589177344,2018-11-14 12:36:00,b'Remember when charmander was abandoned by that little shit and he was holding that leaf above his tail in the rain\xe2\x80\xa6 https://t.co/KqLOGN35b3'
1062423963442262016,2018-11-13 19:16:26,b'@britt_michele_ Ily miss u'
1062376265695592448,2018-11-13 16:06:54,b'Buying a Fitbit was the best decision I ever made fr'
1062343725429465090,2018-11-13 13:57:36,b'Imagine pikachu coming across a belt made of nipples wow https://t.co/0dRiJcoHh6'
1062161902455922688,2018-11-13 01:55:06,"b'@meganxoanne \xe2\x9d\xa4\xef\xb8\x8fI\xe2\x80\x99m sorry, I hope things start to get better for you'"
1061997211322642433,2018-11-12 15:00:40,"b'RT @Grummz: ""Is this an April fool\'s joke"" is not hate-speech.'"
1061996526891925509,2018-11-12 14:57:57,b'@Vafois What? You guys have PHONES don\xe2\x80\x99t you??'
1061994291466305537,2018-11-12 14:49:04,b'Blizzard has really gotten themselves into a beautiful terrible mess it\xe2\x80\x99s so fun to follow'
1061984109453565952,2018-11-12 14:08:37,b'Omg guys I can still drive I just lost the license card thing at the bar lol'
1061831225437052928,2018-11-12 04:01:06,b'@SHAKELANGDON I lovvvveeeee yewwww'
1061829679085219840,2018-11-12 03:54:57,b'Lmfaoooo this was not supposed to go on my main acct but eh I\xe2\x80\x99m just gonna leave it'
1061829524302807040,2018-11-12 03:54:21,"b'In 2018 I lost my drivers license, my fianc\xc3\xa9, and my dignity but hey at least I also lost weight https://t.co/ZwBio5R8D0'"
1061381564846825473,2018-11-10 22:14:19,b'I would kill to find a gym in Tampa with a vertical leg press machine'
1061249086249230337,2018-11-10 13:27:53,"b'RT @AndrewGillum: What\xe2\x80\x99s embarrassing to democracy is not counting every vote \xe2\x80\x94 and you, of course. \n\nCount every vote. https://t.co/ZfrBBc\xe2\x80\xa6'"
