id,created_at,text
1066952731083096066,2018-11-26 07:12:08,b'I wanna try to get summer noire but I\xe2\x80\x99m also like I might as well save my orbs for the Xmas banner'
1066935315460472832,2018-11-26 06:02:56,b'RT @booono_rs: \xe2\x9a\xa0\xef\xb8\x8f\xe5\xa5\xb3\xe4\xbd\x93\xe5\x8c\x96\n\n\xf0\x9f\xa6\x87\xe3\x81\x82\xe3\x82\x93\xe3\x81\xa7\xe3\x81\xa3\xe3\x81\xa9\xe3\x81\xae\xe5\xac\xa2\xe3\x81\xa1\xe3\x82\x83\xe3\x82\x93\xe3\x81\x9f\xe3\x81\xa1\xf0\x9f\xa6\x87 https://t.co/L2c6w3c7yQ'
1066931100944121856,2018-11-26 05:46:11,b'RT @winded_wolf: https://t.co/kKECq65FrR'
1066892396745629698,2018-11-26 03:12:23,b'@noxiousdesu @homuralilly Oh I\xe2\x80\x99m fucking stupid'
1066883999593832448,2018-11-26 02:39:01,b'@homuralilly I don\xe2\x80\x99t have one that\xe2\x80\x99s bullshit'
1066854657769783296,2018-11-26 00:42:26,b'RT @KUN_1k: \xec\xb9\x98\xec\x95\x84\xed\x82\xa4\xf0\x9f\x98\x8a https://t.co/iHJ29TuBhH'
1066844577389268993,2018-11-26 00:02:22,b'I wanna watch umineko why is it on like no platform'
1066843824088068097,2018-11-25 23:59:23,b'RT @30_voca_music: \xe3\x83\xa9\xe3\x83\x96\xe3\x83\x89\xe3\x83\xbc\xe3\x83\xab / DECO*27\nhttps://t.co/rKIlrOhhoN'
1066843734313234433,2018-11-25 23:59:01,b'RT @olioario414: \xec\xb2\x9b\xeb\x8b\x98\xec\x9d\xb4\xeb\x9e\x91 \xec\xa7\xa4\xeb\x94\x9c\xed\x95\x9c \xeb\x87\xa8\xed\x83\x80\xeb\xa0\x88\xec\x98\xa4\xec\x9d\xb4\xec\xa6\x88 ! https://t.co/es0UdjW9kN'
1066837975550570496,2018-11-25 23:36:08,b'RT @chamnae_: \xec\x86\x90\xed\x92\x80\xea\xb8\xb0.. https://t.co/tmGtNyKm75'
1066837713016496129,2018-11-25 23:35:06,b'RT @aster_duster: \xe7\x84\xa1\xe9\x85\x8d\xe3\x81\x97\xe3\x81\x9f\xe3\x81\xbf\xe3\x81\xa9\xe3\x81\xa1\xe3\x81\x82\xe3\x83\x9a\xe3\x83\xbc\xe3\x83\x91\xe3\x83\xbc\xe6\xbc\xab\xe7\x94\xbb\xf0\x9f\x99\x8c\n\xe4\xbc\x9a\xe5\xa0\xb4\xe3\x81\xa7\xe3\x81\x8a\xe6\x89\x8b\xe3\x81\xab\xe3\x81\xa8\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x8f\xe3\x81\xa0\xe3\x81\x95\xe3\x81\xa3\xe3\x81\x9f\xe6\x96\xb9\xe3\x80\x85\n\xe3\x81\x82\xe3\x82\x8a\xe3\x81\x8c\xe3\x81\xa8\xe3\x81\x86\xe3\x81\x94\xe3\x81\x96\xe3\x81\x84\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xf0\x9f\x99\x87\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/k2aRJttusM'
1066837099419222017,2018-11-25 23:32:40,b'RT @Malza_HQ: \xe3\x85\x9c\xec\xb9\x98\xec\x95\x84\xec\x9d\xb4\xec\xa6\x88 https://t.co/os90bEH0Xj'
1066837050899529730,2018-11-25 23:32:28,b'RT @__pherae: \xf0\x9f\x92\x9b\xe2\x9d\xa4\xef\xb8\x8f https://t.co/vZC8mYDTkp'
1066836625932632064,2018-11-25 23:30:47,b'RT @G0M_V3: https://t.co/ZjYLMqOblc'
1066836477584265216,2018-11-25 23:30:11,b'RT @sr_eokb: \xe3\x81\x9d\xe3\x82\x8d\xe3\x81\x9d\xe3\x82\x8d\xe6\x81\x8b\xe3\x81\x97\xe3\x81\x84\xe5\xad\xa3\xe7\xaf\x80 https://t.co/pLgcQO5EUi'
1066631707682529280,2018-11-25 09:56:30,b'Please I just wanna read fanfic before I go to sleep'
1066631220224843776,2018-11-25 09:54:34,b'Lrt MY IDIOT BOYS'
1066631169662423040,2018-11-25 09:54:22,b'RT @ShahaeChan: Another Kofi Commission! For someone on Tumblr! https://t.co/t3nc4ZX6fr'
1066630503401435136,2018-11-25 09:51:43,b'RT @sdr_roll0808: 1\xe6\x9c\x88\xe3\x81\xae\xe3\x83\x96\xe3\x83\xac\xe3\x82\xb7\xe3\x83\xa7   \xe3\x81\x97\xe3\x81\x8a\xe3\x81\xa1(@kara_aren )\xe3\x81\xa8\xe5\x8f\x82\xe5\x8a\xa0\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x9c\xef\xbc\x81\n\xe7\xa7\x81\xe3\x81\xaf\xe6\x89\x8b\xe7\xb4\x99\xe3\x81\x8c\xe3\x83\x86\xe3\x83\xbc\xe3\x83\x9e\xe3\x81\xae\xe3\x83\x92\xe3\x83\x8a\xe3\x83\x8a\xe3\x83\x9f\xe6\xbc\xab\xe7\x94\xbb\xe6\x9c\xac(40P\xe3\x80\x9c\xe6\x9c\xaa\xe5\xae\x9a)  \xe3\x81\x97\xe3\x81\x8a\xe3\x81\xa1\xe3\x81\xaf\xe3\x82\xa4\xe3\x83\xa9\xe3\x82\xb9\xe3\x83\x88\xe6\x9c\xac\n\xe3\x81\x82\xe3\x81\xa8\xe3\x81\xaf\xe6\x97\xa2\xe5\x88\x8a(\xe3\x82\xa4\xe3\x83\xa9\xe6\x9c\xac)\xe3\x81\xa8\xe3\x82\xa2\xe3\x82\xaf\xe3\x82\xad\xe3\x83\xbc\xe6\x8c\x81\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x8f\xe3\x81\xae\xe3\x81\xa7\xe9\x81\x8a\xe3\x81\xb3\xe3\x81\xab\xe6\x9d\xa5\xe3\x81\xa6\xe3\x81\xad\xe3\x80\x9c\xef\xbc\x81  \xe5\xa4\x9a\xe5\x88\x86\xe8\x89\xb2\xe7\xb4\x99\xe3\x82\x82\xe3\x81\x82\xe3\x82\x8b https://t.c\xe2\x80\xa6'
1066630167446126593,2018-11-25 09:50:23,"b'Is,,, is anyone else having trouble with ao3?'"
1066612852583276544,2018-11-25 08:41:35,b'There\xe2\x80\x99s different discourse every day I\xe2\x80\x99m so exhausted'
1066612430040637440,2018-11-25 08:39:54,b'\xe2\x80\x9cThot\xe2\x80\x9d as an insult makes me wanna kms you sound like you\xe2\x80\x99re a little kid grow up'
1066566605667278848,2018-11-25 05:37:49,b'Why does it take 18 minutes to cook a mini pizza'
1066556716995829765,2018-11-25 04:58:31,b'RT @pulip53: \xec\x98\xa4\xeb\x8a\x98 \xeb\x88\x88\xec\x99\x93\xeb\x8d\x98\xeb\x8d\xb0 \xea\xb2\xb8\xec\x82\xac\xea\xb2\xb8\xec\x82\xac \xec\x9c\xa0\xec\x84\xb1\xeb\x8c\x80 \xeb\xa1\xb1\xed\x8c\xa8\xeb\x94\xa9(\xeb\xa8\xbc\xec\x83\x81\xea\xb4\x80?) https://t.co/FWlUIWR7cF'
1066516013179723776,2018-11-25 02:16:47,b'Big panic I was rting things on the wrong account'
1066512775571275777,2018-11-25 02:03:55,b'I want haru okumura merch'
1066501369425784832,2018-11-25 01:18:35,b'RT @ning4455: \xec\xa0\x80 \xeb\x82\xb4\xec\x9d\xbc \xec\xb4\xac\xec\x98\x81\xec\x86\x8c\xed\x92\x88\xec\x9c\xbc\xeb\xa1\x9c \xec\xa7\x84\xec\xa7\x9c \xec\xa3\xbc\xec\x82\xac\xea\xb8\xb0 \xeb\x93\xa4\xea\xb3\xa0\xea\xb0\x91\xe3\x84\xb4\xeb\xaf\xb8\xeb\x8b\xa4....\xe2\x98\x86 https://t.co/tpy3IFljaZ'
1066493662375354368,2018-11-25 00:47:58,b'RT @gravitypriest: first six episodes of higurashi for under $20 on steam https://t.co/aeSP0BRoBl'
1066488102561226752,2018-11-25 00:25:52,b'I got Doritos'
1066475147006234625,2018-11-24 23:34:23,b'I want Doritos'
1066450401958998016,2018-11-24 21:56:04,b'RT @c01a_: bunnygiri https://t.co/MUfsEG1dBj'
1066443618766999552,2018-11-24 21:29:06,b'RT @h_akamon0825: \xe4\xb9\x85\xe3\x80\x85\xe3\x81\xab\xe6\xbc\xab\xe7\x94\xbb\xe6\x8f\x8f\xe3\x81\x84\xe3\x81\x9f\xe3\x82\x89\xe6\x99\x82\xe9\x96\x93\xe3\x81\x8b\xe3\x81\x8b\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x97\xe3\x81\xbe\xe3\x81\xa3\xe3\x81\x9f\xe3\x81\xae\xe3\x81\xa7\xe3\x81\x8a\xe9\xa1\x8c\xe3\x81\xa0\xe3\x81\x91\xe5\x80\x9f\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xef\xbd\x9e\n\xe3\x80\x8e\xe5\xa4\x89\xe8\xba\xab\xe3\x80\x8f\xe3\x81\xbf\xe3\x81\xa9\xe3\x81\xa1\xe3\x81\x82\xe3\x80\x80\xe2\x80\xbb\xe8\x83\x8c\xe5\xbe\x8c\xe3\x81\xa8\xe3\x80\x81\xe3\x81\xb2\xe3\x81\xa8\xe3\x82\xb3\xe3\x83\x9e\xe3\x81\xa0\xe3\x81\x91\xe7\x9b\xae\xe3\x81\x8c\xe2\x99\xa1\xe3\x81\xaa\xe3\x81\xae\xe3\x81\xa7\xe6\xb3\xa8\xe6\x84\x8f https://t.co/8gnuqWgOxD'
1066264986618601473,2018-11-24 09:39:17,b'RT @netgeek_0915: \xe7\x89\xa9\xe7\x90\x86\xe5\xad\xa6\xe3\x82\x92\xe8\xb6\x85\xe8\xb6\x8a\xe3\x81\x99\xe3\x82\x8b\xe7\x8c\xab\xe6\xb6\xb2\xe4\xbd\x93\xe8\xaa\xac https://t.co/dhxV0nRnJs'
1066264906813644800,2018-11-24 09:38:58,b'Hulu I know I\xe2\x80\x99ve watched 2 seasons now but /yes/ I am still watching'
1066250897389428736,2018-11-24 08:43:18,b'@grandprintams That\xe2\x80\x99s kind of awkward'
1066250076211871744,2018-11-24 08:40:02,b'There\xe2\x80\x99s a new death note figure and I would kill for a hot misa one'
1066234828327174145,2018-11-24 07:39:27,b'@homuralilly I\xe2\x80\x99m not home anymore I forgot to snap you while I was \xf0\x9f\x98\xb1\xf0\x9f\x98\xb1'
1066233095957999616,2018-11-24 07:32:34,b'@tamameow This is so pure'
1066232994845913093,2018-11-24 07:32:10,b'@homuralilly I gave suh lots of kisses for you https://t.co/QSmMFM5GZX'
