id,created_at,text
1062057741383016448,2018-11-12 19:01:12,b'#RIPStanLee cannot believe this amazing man who brought us all so much joy is gone...so sad!!! \xf0\x9f\x98\xad'
1057769202994556928,2018-10-31 23:00:05,b'#Halloween18 https://t.co/HZP0L9cPqu'
1056687930339672064,2018-10-28 23:23:29,b'Amazing time away with wonderful family in this beautiful country we call home!!! Memories made to cherish forever.\xe2\x80\xa6 https://t.co/MLKVtifiRE'
1054095346060722181,2018-10-21 19:41:29,b'https://t.co/2CSejaawIc'
1054095337743376385,2018-10-21 19:41:27,b'https://t.co/dQNJs9hYln'
1054090083878481920,2018-10-21 19:20:34,b'This is important to me in many ways I hate any form of bullying and I see lots of people using power against other\xe2\x80\xa6 https://t.co/mB1w9xW5ch'
1054090082116866054,2018-10-21 19:20:34,"b'So.... I\xe2\x80\x99m living in Luton and I am a big fan of Tommy Robinson, myself and my children witness racial discriminati\xe2\x80\xa6 https://t.co/cLIjWRe0P6'"
1053602184934445056,2018-10-20 11:01:50,b'RT @AdkinsSuz: #iamsoldierx #PTSD https://t.co/H9rqMvUml4'
1053602137060577280,2018-10-20 11:01:39,b'RT @AdkinsSuz: People beginning to arrive in Leicester square to support our veterans #PTSD #iamsoldierx https://t.co/9PLFUSnD0a'
1050170929496674304,2018-10-10 23:47:15,b'#WorldMentalHealthAwarenessDay ...so on this day strangely I was diagnosed with bipolar disorder. I\xe2\x80\x99m not sure exac\xe2\x80\xa6 https://t.co/DIJqjcugcB'
1025271275294535682,2018-08-03 06:44:55,b'Living in Luton for the past 10 years I can say I support and agree with #TommyRobinson someone to stand up for goo\xe2\x80\xa6 https://t.co/YrbMIWGpEk'
1024028785102991365,2018-07-30 20:27:42,"b""RT @J_D_Landis: You may never find what you seek, but if you don't seek it, you will lose not only what it is but also what you are."""
1024028723501252608,2018-07-30 20:27:27,"b'RT @zoesaldana: If you please, read the statement written and signed by The Guardians of the Galaxy cast in support of James Gunn\xe2\x80\x99s reinsta\xe2\x80\xa6'"
1021127369891950593,2018-07-22 20:18:31,b'Shout out to @paulrose9489 on instagram brilliant decorating company and movie set designer!!!'
1020056798252929034,2018-07-19 21:24:27,b'Uncle and nephew \xe2\x9d\xa4\xef\xb8\x8f'
1020056793337167873,2018-07-19 21:24:25,b'https://t.co/iEU25evqVw'
1020055399045705729,2018-07-19 21:18:53,b'I miss holding a baby \xf0\x9f\x99\x88\xf0\x9f\x99\x88'
1020055395816091648,2018-07-19 21:18:52,b'https://t.co/HDwg1PfZ0b'
987220628292997120,2018-04-20 06:45:14,"b'Hang out with Lynda and other fun new people nearby, when you sign in to Badoo! https://t.co/ObieIXxArt https://t.co/9dDjbwqqdD'"
986489191734366208,2018-04-18 06:18:46,"b'Hang out with Lynda and other fun new people nearby, when you sign in to Badoo! https://t.co/ObieIXxArt https://t.co/yXhmedHggL'"
985711833423208449,2018-04-16 02:49:49,"b'Hang out with Lynda and other fun new people nearby, when you sign in to Badoo! https://t.co/ObieIXxArt https://t.co/cgdJXZJeDJ'"
984964691725348869,2018-04-14 01:20:56,"b'Hang out with Lynda and other fun new people nearby, when you sign in to Badoo! https://t.co/ObieIXxArt https://t.co/MxpDS2Qczy'"
