id,created_at,text
1067057318133723136,2018-11-26 14:07:44,"b'Sssooooo dethroning christianity, labeling it as sexist and murder because eating animals? Seems pretty lame... ani\xe2\x80\xa6 https://t.co/IiRJ9UoUMG'"
1067049005006405634,2018-11-26 13:34:42,"b'That fantastical creature in my dream last night night \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d. Like... she was a real person I know, just exact one esc\xe2\x80\xa6 https://t.co/nWNlEuDMg5'"
1066949973105889280,2018-11-26 07:01:11,"b""I'd love to meet a person that captures my gaze with her confidence BUT also humility, intellect, superior speech, and ethics."""
1066949139274088448,2018-11-26 06:57:52,"b""And, AND, and... you may not want to publicly admit it, but it's FAIRLY FUCKING OBVIOUS i'm of superior intellect.\xe2\x80\xa6 https://t.co/8F1qWAxdRh"""
1066948762168410112,2018-11-26 06:56:22,"b""Like... nah talk down about me, say you're not as dumb when you drink, wtf ever, but drinking dehydrates you, destr\xe2\x80\xa6 https://t.co/3kHWyDCrdo"""
1066948442876989441,2018-11-26 06:55:06,"b'Like... life should revolve around flossing. Flossing, studying, exercise. AND NONE OF THEM ALONE. COMBINED. Altoge\xe2\x80\xa6 https://t.co/iIGq3dEJtt'"
1066947340563550208,2018-11-26 06:50:43,"b""Or if you're a woman, a man loves a woman with AN AMAZING, BEAUTIFUL, CLEAN, SEXY SMILE \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d"""
1066947079623323648,2018-11-26 06:49:41,"b""Y'all. Idc about your b.s excuses of why you don't floss, ex(permanent retainers, clean enough, etc.) FLOSS. IT'S I\xe2\x80\xa6 https://t.co/NgqBIIuwZh"""
1066896538012721152,2018-11-26 03:28:51,b'RT @skywalkerlsd: Need blunt'
1066851864464056321,2018-11-26 00:31:20,"b'I have literally never been in a bathroom. ""how does that work?"" I meditate, and make it go away.'"
1066801187805114375,2018-11-25 21:09:58,"b'Beltway was great. Geoff Turner, my D Group leader when I was a senior in high school made a phenomenal sermon lead\xe2\x80\xa6 https://t.co/TF5D8n9fpx'"
1066773125432557568,2018-11-25 19:18:27,"b""Babies are weird huh? That's a HUMAN, growing INSIDE you. That a man caused. \xf0\x9f\x98\xb1\xf0\x9f\xa4\xa8"""
1066733699704729600,2018-11-25 16:41:47,b'Beltway this A.M. with rents'
1066593113622351878,2018-11-25 07:23:09,b'@Coach_T_Time11 Oh bro duh. Records set galore. LSU players looked like jack asses too. So self disrespecting'
1066566342176907264,2018-11-25 05:36:46,b'THEY WON THOUGH!!! \xf0\x9f\x99\x8f https://t.co/qTQiUVAerV'
1066563958973390853,2018-11-25 05:27:18,b'RECORD SET!!'
1066562265007222784,2018-11-25 05:20:34,b'Anyone else watching this A&amp;M LSU INSANE GAME RIGHT NOW? 7TH OVERTIME!!! \xf0\x9f\x98\xb1'
1066225782501064705,2018-11-24 07:03:30,"b""Nah I couldn't actually kill someone. Disregarding the fact i'd obvi get away with it on account of, holy shit, you\xe2\x80\xa6 https://t.co/zpxaf1Gyb7"""
1066224009900187648,2018-11-24 06:56:28,b'@skywalkerlsd LMMFAO. TF \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1066223669788196864,2018-11-24 06:55:07,b'\xf0\x9f\xa4\xaa'
1066223614083645441,2018-11-24 06:54:53,"b""I'm obviously very against stupid people, but when PEOPLE DON'T EVEN KNOW THEY'RE FUCKING RETARDED, i get.. HOOO HO\xe2\x80\xa6 https://t.co/fwSTwbIqNy"""
1065866934422593537,2018-11-23 07:17:34,"b""Morally, i'm pretty sure i'm not supposed to brush my teeth ever again. My mouth... IS TOO CLEAN. \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d"""
1065793526007500802,2018-11-23 02:25:52,b'#TheCutestThingEVER #AdoptedBrothers #GreatDanesofInstagram #LabsOfInstagram  #PrinceFed  #KingTitus https://t.co/n0iby4fnFR'
1065761900401696768,2018-11-23 00:20:12,b'@HelmanDC You are just another component of cowboys assery behavior that Jerry supports \xf0\x9f\x98\xa1'
1065761087465971712,2018-11-23 00:16:58,"b""Yeah let's support behavior that gets a penalty. \xf0\x9f\x98\xa1 quit acting like asses Dallas. Damn https://t.co/LUqNqissVM"""
1065760605485891584,2018-11-23 00:15:03,"b""@dak try not being a dumb ass after you score \xf0\x9f\x98\x91 acting like it's your first time \xf0\x9f\x99\x84 who are you, Zeke? Let's have class"""
1065758168112947200,2018-11-23 00:05:22,b'RT @JasonWitten: Dak\xe2\x80\x99s Lower body strength is underrated. Shows there...big 3rd down conversion'
1065758087334830085,2018-11-23 00:05:03,b'RT @dallascowboys: TANK with the INT!\n\n@TankLawrence | #DallasCowboys https://t.co/f7mj4p8fBo'
1065758068640759810,2018-11-23 00:04:59,b'RT @dallascowboys: Give Tanks! \n@TankLawrence with the INT #HotBoyz #WASvsDAL https://t.co/3XJqg53B29'
1065756749737668608,2018-11-22 23:59:44,b'COWBOYS!!! \xe2\x9c\x8a'
1065751418311766017,2018-11-22 23:38:33,"b""I just know random facts. Don't know why I know em. But they are plentiful. It's pretty bad ass being highly intelligent.\xf0\x9f\x98\x8b"""
1065742317905170432,2018-11-22 23:02:23,b'MY MOUF SO CLEAN \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
1065741974270029824,2018-11-22 23:01:01,"b'Is being obsessed with oral hygiene really OCD, or am I just better than most...? Eh.... latter fasho'"
1065682898718785536,2018-11-22 19:06:17,"b""#Unusua\xc3\xb7lThingsToBeThankfulFor my TBI. Element of surprise. They don't even KNOW my abilities. Intellectually impai\xe2\x80\xa6 https://t.co/yHJZ0gRyxM"""
1065681172724936705,2018-11-22 18:59:25,b'Happy Thanksgiving to all \xe2\x9d\xa4\xf0\x9f\xa6\x83'
