id,created_at,text
1066860629783470082,2018-11-26 01:06:10,"b""I get that solders have to follow orders. But when you're asked to fire tear gas on unarmed civilians &amp; children, h\xe2\x80\xa6 https://t.co/MExyt9N2pB"""
1066813815747239942,2018-11-25 22:00:08,"b""What does it say about me that when I goof up the spelling of scenic, Word's 1st recommended replacement to my goof is satanic?"""
1066812364920692742,2018-11-25 21:54:22,b'I look forward to these every Sunday. I cannot recommend this web comic highly enough \xe2\x99\xa5\xef\xb8\x8f https://t.co/dMdzQoanfc'
1066776379147075586,2018-11-25 19:31:23,"b'Item description for a Light Salad:\nCrisp &amp; refreshing, but dang is it hard to find a fork during the end of the wo\xe2\x80\xa6 https://t.co/bH1JIU7LBc'"
1066776377821663232,2018-11-25 19:31:22,"b""Working on my game design document for Survey of Gaming. Went with the idea for a beat 'em up game called: Honeymoo\xe2\x80\xa6 https://t.co/Yi9ikQcpAs"""
1066759853350297600,2018-11-25 18:25:43,"b'New follower type people: I mostly post art stuff, pics of my cats, the dumb stuff my sis Peanut &amp; I say, complain\xe2\x80\xa6 https://t.co/hAAtZ0jaaB'"
1066469850053337088,2018-11-24 23:13:20,"b""They both just go Let's Go. 1 got Evee &amp; the other Pickachu so they could get all the varents between them. They ar\xe2\x80\xa6 https://t.co/oeRsGDumdE"""
1066469312431620101,2018-11-24 23:11:12,b'My sisters are trying to convince me to play Pokemon Go. All they really want is for me to catch &amp; level up Pokemon for them. \xf0\x9f\x98\x8f'
1066373302736826368,2018-11-24 16:49:42,"b""Can't tell who's going to fall asleep first, Ethan or Runt. https://t.co/YQw65GMNQG"""
1066325021818277895,2018-11-24 13:37:51,"b""RT @lartist: Colouring Sheet: Santa's Workshop! Feel free to download, print and share this seasonal colouring sheet :) Please feel free to\xe2\x80\xa6"""
1066038592890380289,2018-11-23 18:39:41,"b""We don't black Friday shop in my house. Instead Mom, Peanut, &amp; I are painting the living room. https://t.co/zzohtRqizS"""
1065598006731382785,2018-11-22 13:28:57,b'RT @Artist_Pat: Happy #Thanksgiving! Back some LGBTQ comics on Kickstarter!  https://t.co/y78wTBFcer'
1065597985575317510,2018-11-22 13:28:52,b'RT @choochoobear: Give @guigar moneys plz https://t.co/ziubWyDulm'
1065465645507194880,2018-11-22 04:42:59,b'RT @PulyBeast: I quit my job today. Ready to pursue my dreams. Being 27 and starting all over is difficult but it\xe2\x80\x99s all for happiness. My p\xe2\x80\xa6'
1065275139909197824,2018-11-21 16:05:59,b'Working on the 6 panel catfood commercial storyboard &amp; Spike has decided to supervise. https://t.co/0l4oZzNTR0'
1065045598955544576,2018-11-21 00:53:53,b'@MykeCole @SamSykesSwears Or is it because you retconned the retcon!?!'
1065000974341804035,2018-11-20 21:56:33,"b'Seriously, if you stop coming in to shop on holidays, companies will stop being open on those days. If you talk abo\xe2\x80\xa6 https://t.co/b0clxOPOGs'"
1064791472023703552,2018-11-20 08:04:04,b'RT @iammoshow: Retweet this if you would be besties with two cool black cats https://t.co/pncZdPhqn0'
