id,created_at,text
1064967076178202624,2018-11-20 19:41:51,b'https://t.co/S2B0odMYu0'
1064956181033222145,2018-11-20 18:58:34,b'@spdubb95 Dick head asses'
1064956146459516928,2018-11-20 18:58:25,"b'RT @spdubb95: Mfs will be brand new artist have like 6 songs n yall be like this dude is a legend,  the fucking goattt'"
1064956110703157249,2018-11-20 18:58:17,b'RT @kaiitlinnn: @TaterGangORdie Random ahh i love u'
1064930920082415616,2018-11-20 17:18:11,b'RT @TaterGangORdie: Wrote it in like 10 but das how shorty made me feel https://t.co/bpKn1GlNyK'
1064930665110650882,2018-11-20 17:17:10,b'@kaiitlinnn ILY BYE'
1064930617136214016,2018-11-20 17:16:59,b'(0###################$$$^&gt;&lt;*&amp;^aTAT aKIl bRANCH sTEWART'
1064930494503157766,2018-11-20 17:16:29,b'gOODBYE'
1064930469186281474,2018-11-20 17:16:23,b'lOVE YOU ALL'
1064930426064695297,2018-11-20 17:16:13,b'Beats are not free this is an investment ND MY LFE'
1064930327712489472,2018-11-20 17:15:50,b'if you would like to join contact me and we can work @ProdByEsse'
1064930220287905794,2018-11-20 17:15:24,b'my email is @ Atat.Branch@gmail.com'
1064930126264176641,2018-11-20 17:15:02,b'7039468386 is my number'
1064930058987597825,2018-11-20 17:14:46,b'703222666**********************************************************************************************************\xe2\x80\xa6 https://t.co/jPzd3BhsGS'
1064929940670427137,2018-11-20 17:14:17,b'If you need to contact a therapist contact one look up insurance'
1064929848064393216,2018-11-20 17:13:55,b'and halfways and treatments'
1064929783346278402,2018-11-20 17:13:40,b'50 % goes to charities'
1064929713808961540,2018-11-20 17:13:23,b'90% I own'
1064929621261602817,2018-11-20 17:13:01,b'every check'
1064929593184931840,2018-11-20 17:12:55,b'if you relapse we take 10%'
1064929527552507906,2018-11-20 17:12:39,b'But to join you must have 10 months Sober'
1064929454336720898,2018-11-20 17:12:22,b'all artist are welcome'
1064929414805417984,2018-11-20 17:12:12,b'naming it Mac N CheZ'
1064929362573737984,2018-11-20 17:12:00,b'I am starting a label'
1064929309394124804,2018-11-20 17:11:47,b'I wrote my will this morning'
1064929261956546561,2018-11-20 17:11:36,b'We take this life for granted'
1064929189172785153,2018-11-20 17:11:18,b'@biggiesmalls @upVaOakNyLA'
1064929102761811968,2018-11-20 17:10:58,b'@2PAC we all are in gratitude'
1064929006812897280,2018-11-20 17:10:35,b'@xxxtentacion miss you lil bruv'
1064928943021727752,2018-11-20 17:10:20,b'I live for you my guy we all miss you'
1064928880895635456,2018-11-20 17:10:05,b'saw you in the mall in fairoaks but was too scared @matty_fletchh went in to the jew store and said whats up though\xe2\x80\xa6 https://t.co/pMPuiwMJr6'
1064928698623844352,2018-11-20 17:09:21,b'mispelled'
1064928677648052231,2018-11-20 17:09:16,b'$*'
1064928652247384066,2018-11-20 17:09:10,b'Self Care rest in peace mac I miss you so much you are the greatest insperation'
1064928509905289222,2018-11-20 17:08:36,b'Still currently in treatment'
1064928434596560896,2018-11-20 17:08:18,b'I  am well as I hope you are'
1064928367454101506,2018-11-20 17:08:02,b'And happy hollidays'
1064928322197561345,2018-11-20 17:07:52,b'Hello'
1063819926320939013,2018-11-17 15:43:29,b'Byeeeee guys ;)'
1063819726718160896,2018-11-17 15:42:42,b'RT @Onthe_DL41: @TaterGangORdie so you can chin up n stop being a lil bitch https://t.co/M9GB4rsk6B'
1063819680232730626,2018-11-17 15:42:31,b'If no one told you today i love you and so does god'
1063819620119916545,2018-11-17 15:42:16,b'Help your friends love yourself believe in yourself'
1063819546799288321,2018-11-17 15:41:59,b'Im going back just tryna make it out alive'
1063819477626830849,2018-11-17 15:41:42,b'I been gone for a minute cause ive been tryna do better was in treatment for 2 months'
1063819375512363010,2018-11-17 15:41:18,b'Hey guys'
1063605753561448448,2018-11-17 01:32:27,b'She taught me how to drive that bih'
1063605629930098688,2018-11-17 01:31:57,b'Its not like im tryna buy her a house shit hahaha momma did that she been in the coupe since 04'
1063605518814650369,2018-11-17 01:31:31,b'But we talked today and she say she not dissapointed'
1063605406109495296,2018-11-17 01:31:04,b'I be stressin ion call my momma when shit tuff im tryna make her proud always'
1063591198693171200,2018-11-17 00:34:36,b'Stressin'
1063591172554264577,2018-11-17 00:34:30,b'Hakkunna Matata? Right lil atat?'
1063591067482812416,2018-11-17 00:34:05,b'Least da moon pretty'
1063590979511435264,2018-11-17 00:33:44,b'Ugh'
1063590904873791489,2018-11-17 00:33:26,b'RT @yunggarzi: I wonder who you\xe2\x80\x99ll fuck when i die'
1063590311753076736,2018-11-17 00:31:05,b'RT @JuiceWorlddd: From the unknown \xf0\x9f\x92\x94\xf0\x9f\xa4\x95 https://t.co/wErR9k0gON'
1063590108681637888,2018-11-17 00:30:17,b'RT @JuiceWorlddd: I do care \xf0\x9f\x98\x95'
1063579968372965377,2018-11-16 23:49:59,b'RT @JuiceWorlddd: Rude'
1063579919563849730,2018-11-16 23:49:47,"b'RT @JuiceWorlddd: We live in a fucked up society, then mfs wonder why niggas go crazy lol'"
1063578823185321984,2018-11-16 23:45:26,b'She say i changed i reply back with heartbreak may just do that'
1063571407748108289,2018-11-16 23:15:58,b'RT @ijoshfacts: josh thinks he\xe2\x80\x99s horny but he\xe2\x80\x99s just lonely'
1063571184426655744,2018-11-16 23:15:05,b'Ery girl a tad different'
1063571125601476608,2018-11-16 23:14:51,b'You cant figure women out persay'
1063571060573069313,2018-11-16 23:14:35,b'@jazzy_skye Be havin brain blast tryna figure it out'
1063570726597378048,2018-11-16 23:13:16,b'RT @ilovesmokingmid: god snapped whenhe made my life terrible'
1063485431738703879,2018-11-16 17:34:20,b'RT @DaimarrKeys: THIS NIGGA ON FACEBOOK LIVE RIGHT NOW DRAWING LINES IN HIS HEAD LIKE A ETCH A SKETCH \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x98\x82 https://t.co/CZDAwLhBGb'
1063485387547512832,2018-11-16 17:34:09,b'RT @BodakBlack: Me when I find out my gf calling other niggas cute https://t.co/QCrVlD5S9t'
