id,created_at,text
1066766246945980417,2018-11-25 18:51:07,"b""RT @HockeyCentraI: All hell breaks loose when a brawl between the Jets and Wild makes its way onto Winnipeg's bench \xf0\x9f\x98\xb1\xf0\x9f\x91\x8a https://t.co/iN8VwDV\xe2\x80\xa6"""
1065276042250731520,2018-11-21 16:09:35,b'RT @NewEng_DadLife: Why is it that when the CDC says to throw out your romaine lettuce everyone takes it as gospel yet when the same agency\xe2\x80\xa6'
1064876545532207105,2018-11-20 13:42:07,"b""If you could have any singer's voice who would it be?"""
1063494285302136834,2018-11-16 18:09:31,b'RT @tylercziegler: Me: makes a super healthy meal.             \n\nDon\xe2\x80\x99t do it\nDon\xe2\x80\x99t do it\nDon\xe2\x80\x99t do it\nDon\xe2\x80\x99t do it\nDon\xe2\x80\x99t do it\n\nMe: drenches\xe2\x80\xa6'
1063295406791106561,2018-11-16 04:59:14,"b'Wild win, Packers lose. Not a bad day \xf0\x9f\x98\x8e'"
1056244016558362624,2018-10-27 17:59:32,b'@KStengs Thank you for this\xf0\x9f\x91\x8d #GameChanger'
1051567733568081920,2018-10-14 20:17:39,b'A live look at the Vikes defense this week.. \xf0\x9f\x98\x8e https://t.co/RVthcwUcnF'
1048591009649713152,2018-10-06 15:09:13,b'@aj_fbaum Please Tell me you said it like Dr. Brule would \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1045358399519690757,2018-09-27 17:03:58,b'Hey @VancityReynolds nice work with the product placement in @ASimpleFavor \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x98\x82'
1045116289260441602,2018-09-27 01:01:55,"b'RT @MeatSauce1: Dear football junkies, Everson Griffens mental health is a million times more important than a football team that doesn\xe2\x80\x99t g\xe2\x80\xa6'"
1045106965364559875,2018-09-27 00:24:52,b'RT @SamShotFirst: When you destroyed the One Ring and brought lasting peace to the realm https://t.co/eWH4jnC1Kl'
1043733090160574464,2018-09-23 05:25:34,b'Do you want the cup now or....? https://t.co/rLxKg3ExTf'
1043715601657671680,2018-09-23 04:16:05,b'@shibbyy3 I like the hip thrust to curl. Grade A technique. \xf0\x9f\x92\xaa'
1041882932091281408,2018-09-18 02:53:42,b'It is flannel season my dudes.... \xf0\x9f\x98\x8e'
1041471516087668736,2018-09-16 23:38:53,b'RT @MikeFregin10: Forbath would be 3/3.'
1041392178059202566,2018-09-16 18:23:38,b'I think we should just put Rodgers in a bubble..'
1041387557374881793,2018-09-16 18:05:16,"b""@NickSwardson Still wondering why he didn't catch it.."""
1040106568430366721,2018-09-13 05:15:04,b'This... \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f https://t.co/WP6DtbxTDT'
1038087250624606210,2018-09-07 15:31:01,b'RT @VancityReynolds: He did it first. And best. And naked. #BurtReynolds https://t.co/3HN5XsPXM6'
1038085732131373056,2018-09-07 15:24:59,b'@TaylorCrothers https://t.co/XFoutDoeGM'
1035633737000779778,2018-08-31 21:01:38,b'@tylercziegler @Vikings BDE \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
1035136185692299266,2018-08-30 12:04:33,"b""@TDCanes @NHL There ya go! You're welcome! https://t.co/74hv61okg0"""
1034565289952849921,2018-08-28 22:16:01,b'RT @BuschBeer: #BuschLatte is here... well it\xe2\x80\x99s actually just Busch Light but we changed the name. RT if this is the only Latte you\xe2\x80\x99ll be d\xe2\x80\xa6'
1032983678035603456,2018-08-24 13:31:15,b'*watches one Bruce Lee movie... https://t.co/VJvXD7zL3d'
1028833102574051328,2018-08-13 02:38:21,b'RT @BlastCastND: Snot Rocket Bay Pike https://t.co/gEA43C6Ras'
1027411241810178048,2018-08-09 04:28:23,b'RT @BlastnCastND: Canada Giants! https://t.co/lqh1U5kMAF'
1027411216405291009,2018-08-09 04:28:17,b'RT @BlastnCastND: https://t.co/imaZ4xymsD'
1027411191352750080,2018-08-09 04:28:11,b'RT @BlastnCastND: Lakers! https://t.co/n5pIut0yL1'
1026662896804212736,2018-08-07 02:54:43,b'RT @Theresdaniel: he\xe2\x80\x99s Michael Scott even after the office \xf0\x9f\x98\xab https://t.co/1gyucflX0x'
1026291693937741824,2018-08-06 02:19:42,b'RT @HunterKimmel: DO YOUR THING TWITTER. RT FOR FREE WINGS\xf0\x9f\x94\xa5\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x98\xab https://t.co/CO6BRH3jxM'
1024859958112931841,2018-08-02 03:30:29,b'@ronkresha Do root beer floats count?'
1024859377860268032,2018-08-02 03:28:11,b'@MrAndurson Sorry'
1024857858263982080,2018-08-02 03:22:09,"b""Never forget Scott's Tots.. Just gonna say \xf0\x9f\x99\x88 https://t.co/YvEkbRBjjs"""
1020490496093970434,2018-07-21 02:07:48,b'Is this real life? https://t.co/I3AE2RWmKi'
1019739744824102913,2018-07-19 00:24:35,b'@JeffDye Restraining order \xf0\x9f\x98\x8e'
1017488492778041346,2018-07-12 19:18:55,b'@cole_everett_ Big win for the shark!'
1015080905340317696,2018-07-06 03:52:01,"b'""The circle of life"" \xf0\x9f\x98\x8e https://t.co/y1CTqgM02S'"
1014232859337469953,2018-07-03 19:42:11,b'@MistaMB23 There ya go sir! https://t.co/mUrWiPLkWR'
1013984349484699655,2018-07-03 03:14:42,"b""Should've done this a long time ago. https://t.co/j2TZyGLgV9"""
1010270912090984448,2018-06-22 21:18:50,"b""RT @respoken: The hero we need but don't deserve. \nPlease retweet! \n#Incredibles2 #Frozone https://t.co/VwfeFxGnd6"""
