id,created_at,text
1052493480436686848,2018-10-17 09:36:14,"b'RT @farhan_saeed: To all the Pakistanis ghabrana nahin hai!  @ImranKhanPTI Was and  is the right choice and we all will be thankful to him,\xe2\x80\xa6'"
1052488794082029568,2018-10-17 09:17:37,b'RT @Amnaaayyyy: Aurat ki mohabbat jab haad se barh jaye tw mard bewafa hojata hai\xf0\x9f\x8d\x81'
1051512163830034433,2018-10-14 16:36:50,b'RT @DummyPM: Hum ne rupee itna sasta krdia hai takey dunya kay sab ghareeb rupee afford kr sakein!!'
1051412752772812801,2018-10-14 10:01:49,"b'RT @ImranKhanPTI: Disappointed at the arrogant &amp; negative response by India to my call for resumption of the peace dialogue. However, all m\xe2\x80\xa6'"
1051187830372876288,2018-10-13 19:08:03,b'Karachi food is probably the best in the country.'
1011922928571748352,2018-06-27 10:43:21,b'RT @cakeshole: We live in a country where people take seconds and Judges take years to judge anyone.'
1007356787459313665,2018-06-14 20:19:08,b'Nothing is more worst than having periods on eid'
1001064667370917893,2018-05-28 11:36:30,b'Amir liaquat hussain is a cunt'
992003019800743936,2018-05-03 11:28:45,b'RT @hondadeal4vets: Smoking weed gets you high'
992003004588003328,2018-05-03 11:28:41,"b'RT @meanadorable: ""Nikkah in Islam is so simple and beautiful. Throw in culture and suddenly everything becomes long and complicated.""'"
992002870277963776,2018-05-03 11:28:09,b'RT @Thenisshh: How girls survive Twitter:\n\n- Do all the dirty stuff\n- When you get bored throw him outa your life\n- Leak ss and screen reco\xe2\x80\xa6'
992002707086037008,2018-05-03 11:27:30,"b'RT @meanadorable: mard of this society can drink, date &amp; sleep with any girl &amp; do all haram things but find it against Islam when girls do\xe2\x80\xa6'"
992002674001350657,2018-05-03 11:27:22,"b'RT @champagne_lassi: Jab rona aye, tu ro liya karo.'"
992002639452889088,2018-05-03 11:27:14,b'RT @meanadorable: How\xe2\x80\x99s uni going is a very disrespectful question to ask'
992002497974808576,2018-05-03 11:26:40,b'RT @cakeshole: Why these girls dont understand that wearing naked clothes doesnt make them cool. Ye smjhti hai cleavage dekhne se larke in\xe2\x80\xa6'
992002010504417280,2018-05-03 11:24:44,b'RT @iamhamzaabbasi: @mahwashajaz_ Thr is a difference between what Islam teaches in principle and what Muslims do.'
992001651186774018,2018-05-03 11:23:18,b'RT @_umaimakhan: kisi se koi masla share kero toh agay se apna batate hain jese yahan muqabla chal raha hai'
989787204636610560,2018-04-27 08:43:53,b'Why these girls dont understand that wearing naked clothes doesnt make them cool. Ye smjhti hai cleavage dekhne se\xe2\x80\xa6 https://t.co/k6QvOQfTmI'
989782134448709632,2018-04-27 08:23:44,b'RT @meanadorable: People are full of shit and this world is evil as fuck'
980376150814928896,2018-04-01 09:27:43,b'RT @Heyitshassan: Girls are starting to become more and more heartless. You better appreciate your girl while she still cares'
980376087225098242,2018-04-01 09:27:28,b'RT @mazinggracee: guys after being loyal for 5 minutes https://t.co/Zla3kNBY7q'
980376025048715264,2018-04-01 09:27:13,b'RT @itx_omar: This depression is killing me inside'
980375937303961601,2018-04-01 09:26:52,b'Ek cheez Islam mai haraam hai toh haraam hai us pe behaz karne ne ka kia faida ? Apne apko takleef dene se kia milega?'
980374948907831297,2018-04-01 09:22:56,"b'RT @meanadorable: A real man understands that sex isn\xe2\x80\x99t everything when it comes to satisfying a lady. Comforting her, appreciating her , r\xe2\x80\xa6'"
980374840556351488,2018-04-01 09:22:31,b'RT @hinasafi: 3 bachon ki Amma se bhi log flirt kr letay hain. Wah tharak.'
980374805282205697,2018-04-01 09:22:22,"b""RT @meanadorable: If she is good enough for you to sleep with, why can't she be good enough to be your wife?"""
980107726188634112,2018-03-31 15:41:06,"b""I don't have personal problem with shias bas mai chahti hu wo muslaman hojaen"""
