id,created_at,text
1064707238185512960,2018-11-20 02:29:21,"b'RT @cheerylex: you are the only home you will ever know so decorate yourself with love and compassion, furnish yourself with learning, and\xe2\x80\xa6'"
1063845313339830272,2018-11-17 17:24:22,b'RT @emptyflirting: good morning to myself only'
1063558548397817856,2018-11-16 22:24:52,b'RT @cheerylex: i hope that one day you\xe2\x80\x99re so happy that you feel like this inside \xf0\x9f\x92\x98\xf0\x9f\x92\x96\xe2\x9c\xa8\xf0\x9f\x92\xab\xf0\x9f\x92\x9d\xf0\x9f\x92\x95\xf0\x9f\x92\x96\xf0\x9f\x92\x9e\xf0\x9f\x92\x98\xe2\x9c\xa8\xf0\x9f\x92\xab\xf0\x9f\x92\x93\xf0\x9f\x92\xab\xf0\x9f\x92\xab\xf0\x9f\x92\x9d\xf0\x9f\x92\x9d\xf0\x9f\x92\x97\xf0\x9f\x92\x9e\xf0\x9f\x92\x93\xf0\x9f\x92\x95\xf0\x9f\x92\x96\xf0\x9f\x92\x95\xf0\x9f\x92\x98\xf0\x9f\x92\x96\xf0\x9f\x92\x97\xf0\x9f\x92\x93\xf0\x9f\x92\x9e\xe2\x9c\xa8\xf0\x9f\x92\xab\xf0\x9f\x92\x93\xf0\x9f\x92\x96\xf0\x9f\x92\x98\xf0\x9f\x92\x95\xe2\x9c\xa8\xe2\x9c\xa8\xf0\x9f\x92\x97\xe2\x9c\xa8\xf0\x9f\x92\x95\xf0\x9f\x92\x9e\xf0\x9f\x92\x9d\xe2\x9c\xa8'
1063170020899876864,2018-11-15 20:41:00,b'@el_branbran @TheEyebrowGod I\xe2\x80\x99m violent'
1062239023136071680,2018-11-13 07:01:33,b'RT @hoemoticon: me: *about to fall asleep*\n\nmy brain: ok so bitch remember when...'
1062216910224248832,2018-11-13 05:33:41,b'Debating between getting back into yoga or taking kickboxing ??? Hmm'
1060715499602903041,2018-11-09 02:07:36,"b'Don\xe2\x80\x99t brag about what you want, multiply what you got.'"
1059661460094148608,2018-11-06 04:19:14,b'I keep buying dogs when I\xe2\x80\x99m sad or go through a break up and I currently have 5 dogs and a cat and tbh maybe I need a reptile.'
1059660808215441408,2018-11-06 04:16:38,"b'RT @BigBodiPapi: date idea: just come over and sleep, thats it'"
1059660747435720704,2018-11-06 04:16:24,b'RT @dmnwtr: https://t.co/2bvhxA99wk'
1058402327302832135,2018-11-02 16:55:53,"b""RT @faalyx: There's a Japanese legend that says your present face is the face of the one you loved most in your past life. It's probably ju\xe2\x80\xa6"""
1058303960455335936,2018-11-02 10:25:01,b'RT @Pornhub: Horny. https://t.co/1EL6uzW0li'
1058264036125552640,2018-11-02 07:46:22,b'RT @archillect: https://t.co/QEQrxdRZgT'
1058257129105027072,2018-11-02 07:18:55,b'RT @el_branbran: It be like that https://t.co/2rg8QS2H5z'
1058256423946047489,2018-11-02 07:16:07,b'RT @tristanreveur: when society casts you as a villain and you reluctantly accept https://t.co/hw6bZAc4RU'
1058256203019481088,2018-11-02 07:15:14,b'I just want consistency and stability. Where the fuck y\xe2\x80\x99all @@@@ !!!'
1052399903920467970,2018-10-17 03:24:24,b'Winter goals https://t.co/F6kKMERiNu'
1052398946503421953,2018-10-17 03:20:36,b'2018 vs 2019 energy https://t.co/ulQEZWXT2w'
1051977365746671616,2018-10-15 23:25:23,"b'RT @deIphinium: if he isn\xe2\x80\x99t registered to vote, his dick isn\xe2\x80\x99t registered to get sucked!!!'"
1051975603769901056,2018-10-15 23:18:23,b'RT @damn_lui: me opening up to people https://t.co/GYGeVLBvKI'
1051681962526527490,2018-10-15 03:51:33,b'RT @waifubliss: https://t.co/nUqx4sZqy1'
1051554172871430144,2018-10-14 19:23:46,b'I want hot Cheetos'
1050934191481704450,2018-10-13 02:20:11,b'Where the hell did all this rain come from'
1050800709023612928,2018-10-12 17:29:46,b'How dare u https://t.co/qSyQkeyhcd'
1050521900781207552,2018-10-11 23:01:53,b'RT @fuckmeitscarson: https://t.co/Sp2xx3sFtf'
1050198271002460160,2018-10-11 01:35:54,b'@anthnyrene Burrito daddy**'
1050181501881466881,2018-10-11 00:29:16,b'Best sext award \xf0\x9f\x8f\x86 https://t.co/ZGhQ9LlhFC'
1049907218697674752,2018-10-10 06:19:21,b'RT @rachaelpetersx: continuing to love without receiving a return is probably one of the worst feelings there is'
1049866487727513601,2018-10-10 03:37:30,b'Body progress https://t.co/F2N49eBq04'
1048105199070412800,2018-10-05 06:58:46,b'RT @lowkeylean2: you wanting a sign is a sign'
1048070956298657793,2018-10-05 04:42:42,"b""RT @persianthotz_: I've been so stressed about getting my shit together that I haven't gotten any of my shit together"""
1048066708534059008,2018-10-05 04:25:50,b'@Fynestchina @SaraStephenss LMAOOO \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1047717099433472000,2018-10-04 05:16:36,b'I might say it\xe2\x80\x99s your fault but it\xe2\x80\x99s only because I know you could\xe2\x80\x99ve done more'
1047333667213721603,2018-10-03 03:52:59,"b'RT @s_weezay: My therapist: I feel like you\xe2\x80\x99re  making a lot of progress! \n\nMe, thinking about all the secrets I keep from her because I do\xe2\x80\xa6'"
1047331769630900229,2018-10-03 03:45:27,b'RT @artfulIy: https://t.co/z3wKVY3UI4'
1047331269044916224,2018-10-03 03:43:27,b'RT @IzzyDelfino: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8 PARENTS: watch out for these EXTREMELY spooky halloween decorations this year! \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8 https://t.co/8X18eg86A7'
1046030963258482688,2018-09-29 13:36:30,b'If you feel you deserve the world then take it for yourself'
1045975972149813248,2018-09-29 09:57:59,b'RT @guccihomo: Gays driving to work https://t.co/Pl9s9iYAFk'
1045381773201301504,2018-09-27 18:36:51,"b'RT @iambrillyant: you\xe2\x80\x99ve been breathing for a while now, \nbut when are you finally going to live?'"
1044838860474191873,2018-09-26 06:39:31,b'RT @retrosanime: https://t.co/Cb5VvL0snn'
1044838706920771585,2018-09-26 06:38:54,b'RT @Garrettss_: whoever has my voodoo doll choke it a lil bit'
1042284468092850177,2018-09-19 05:29:16,b'RT @the_myleg_fish: Getting a compliment from someone you don\xe2\x80\x99t like: \nhttps://t.co/IO8xupzXoI'
1042275062718464006,2018-09-19 04:51:54,b'I guess your body isn\xe2\x80\x99t the only thing that\xe2\x80\x99s flexible you like to bend the truth'
1040081787391602689,2018-09-13 03:36:36,b'I clean my mamas house cus I love her but can\xe2\x80\x99t wait for the day I buy her a new home and hire someone to clean it for her #goals'
1039717674991869952,2018-09-12 03:29:45,b'RT @archillect: https://t.co/IdAMEpQSnc'
1038863551002234880,2018-09-09 18:55:46,"b""RT @A1LUNG: last night was sooo fuckin hilarious honestly couldn't even breathe by the end of the night from jus laughin"""
1038863042421841920,2018-09-09 18:53:45,b'@A1LUNG Love u mas \xf0\x9f\x92\x98\xf0\x9f\x92\x98\xf0\x9f\x92\x98!!!'
1037932391782739968,2018-09-07 05:15:40,b'@IVANsaywhat \xf0\x9f\x98\xb1\xf0\x9f\x92\x98 tysm bless u and ur family'
1037928978932092928,2018-09-07 05:02:07,b'I need to work on my chest and arms more. My shoulders have gotten pretty broad and these thighs juicy but I feel u\xe2\x80\xa6 https://t.co/QaBJomilxw'
1037558981416243200,2018-09-06 04:31:52,b'RT @nicengroovy: me after brushing my tongue https://t.co/0msUFYjgz5'
1037558935652204544,2018-09-06 04:31:41,b'***sigh***'
1037543192948748288,2018-09-06 03:29:08,b'I need like a new pet or hobby or drug addiction idk life is boring as hell lately and everything is unsatisfying'
1037512863441543168,2018-09-06 01:28:37,b'https://t.co/9kBMNyfWK6'
1035443575960432640,2018-08-31 08:26:00,b'@ndres94 Smell my shorts haha'
1035013697993826304,2018-08-30 03:57:49,b'RT @lexandrameyer: does anyone else write things they already did in their planner just so u can cross it out and feel accomplished'
1034828085785317381,2018-08-29 15:40:16,b'RT @cup_of_chino: why do so many people on here think someone watching your instagram story means anything more than they were bored on the\xe2\x80\xa6'
1034663515284328448,2018-08-29 04:46:19,"b'Why does my life always feel like it\xe2\x80\x99s in a transition, I never feel settled.'"
1034649219565465605,2018-08-29 03:49:31,b'I need a new challenge/hobby I\xe2\x80\x99m getting bored and bored for me equals trouble'
1032901350177132544,2018-08-24 08:04:06,b'This 7-8 hours of sleep a night thing? WILL NEVER HAPPEN FOR ME. More like 7-8 hours a week.'
1032872842981826560,2018-08-24 06:10:50,b'My Fucking Heart \xf0\x9f\x92\x98 https://t.co/qA4dTpGghr'
1032859428217745408,2018-08-24 05:17:31,b'RT @neurodiversegrl: fuck your zodiac sign....which kind of non dairy milk do you prefer'
1032859108964098048,2018-08-24 05:16:15,"b""RT @Chinyeree__: I'm afraid if I start working out I'll be too sexy"""
1032803275207192576,2018-08-24 01:34:24,b'RT @CaucasianJames: murderer: any last words \n\nme: do u think i\xe2\x80\x99m cute be honest'
1032107654812819456,2018-08-22 03:30:15,b'@cloudbustings LMAOOO LEAVE THAT GIRL ALONE SHES TRAUMATIZED ALREADY'
1031966750064107520,2018-08-21 18:10:20,"b'RT @JayyDuran: only faggots can call another faggot , faggot'"
1031701173697306625,2018-08-21 00:35:02,b'RT @CassidyOgletree: I KNOW that Jesus has the wheel but sometimes im like ... hehe...where r we going ? :)'
1031600376766640128,2018-08-20 17:54:30,b'RT @jsphdeal: why hit the gym when you can hit rock bottom instead'
1030352007486296065,2018-08-17 07:13:56,b'RT @archillect: https://t.co/edX70L1E3l'
1030267782888218624,2018-08-17 01:39:15,b'@ageofFRANKIE An expired meal maybe'
1029593191282921472,2018-08-15 04:58:40,b'RT @PowerhausKieu: *takes dick out of mouth* I fucking hate men'
1029546604842246144,2018-08-15 01:53:33,b'Your body says top but your eyebrows say bottom'
1028222631202283521,2018-08-11 10:12:33,b'RT @0thighgap: if u worked hard 4 everything u got can i get a Hell Ya'
1026671971579256835,2018-08-07 03:30:47,b'Smile like a saint but you have a sinners mind'
1025825532238159872,2018-08-04 19:27:20,"b'Pick up the pieces and go home, Pisces.'"
1023091476480196608,2018-07-28 06:23:10,"b'I tried but I don\xe2\x80\x99t relate to Secret Sabbath anymore. Time for a new chapter, burn the books.'"
1022921309842333696,2018-07-27 19:06:59,b'RT @atxpapi: me after successfully getting paid for doing nothing at my job https://t.co/OKCEArIMb2'
1022920656248139776,2018-07-27 19:04:24,b'@boyxrose My tax money was held back because my dad don\xe2\x80\x99t pay the tax man. I\xe2\x80\x99m like um I\xe2\x80\x99m the second please stop I\xe2\x80\x99m poor.'
1022920202948734976,2018-07-27 19:02:35,b'RT @weebishlord: https://t.co/PyLwNsrh77'
1022379085392011265,2018-07-26 07:12:23,"b'I applaud those who can work, school, stay healthy, socialize AND sleep at a reasonable time. I\xe2\x80\x99m out here trying b\xe2\x80\xa6 https://t.co/bTasmQW7Fw'"
1022317250009751552,2018-07-26 03:06:40,b'Just a nap... a lilllllll nap... and I\xe2\x80\x99ll finish what\xe2\x80\x99s left for me to do today.... \xf0\x9f\x98\xad\xf0\x9f\x98\x85'
1022278047527972864,2018-07-26 00:30:54,b'RT @xborisr: to any nigga who think he\xe2\x80\x99s gonna come into my life and waste my time https://t.co/bOgFR4OeET'
1022202931607568385,2018-07-25 19:32:25,b'RT @Garrettss_: Dickpressed \xf0\x9f\x92\x94'
1021817709128953856,2018-07-24 18:01:40,b'@Ashkushum I love morning work outs! But only when I can manage going to sleep and waking up in time to do it. Whic\xe2\x80\xa6 https://t.co/ssS8SLZLKp'
1021817182513070080,2018-07-24 17:59:35,"b'Work, internship, and then strength training today. It\xe2\x80\x99s going to be a long, BUT productive day. \xf0\x9f\x91\x94\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8f\xab\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb xoxo'"
1021551413879439360,2018-07-24 00:23:31,b'I legit slept at my desk for at least 4 hours today and no one noticed'
1020956221489086464,2018-07-22 08:58:26,b'There really needs to be a book about my life. It would be worth reading.'
1020203391979409408,2018-07-20 07:06:57,"b'It\xe2\x80\x99s okay to love again,\nEven when you\xe2\x80\x99ve been heartbroken. \nAnd it\xe2\x80\x99s okay to love with just as much after that. \nY\xe2\x80\xa6 https://t.co/oEPROuwPfQ'"
1020181984629350400,2018-07-20 05:41:53,b'I\xe2\x80\x99m becoming obsessed with my body and the torture I can put it through. https://t.co/TdmznFwQPq'
1020157261904146432,2018-07-20 04:03:39,b'Ok pretty sure my body hates me now'
1019814224166440960,2018-07-19 05:20:32,b'@StfuHoe LMAO DONT SAY THAT!'
1019452355547299840,2018-07-18 05:22:36,b'RT @sadlilthingx: my life as a wikipedia page https://t.co/43dqRAfOxK'
1019446916080267264,2018-07-18 05:00:59,"b'@nandoks_ Yeah, my bumper isn\xe2\x80\x99t tho \xf0\x9f\x99\x83'"
1019440153322852352,2018-07-18 04:34:07,b'RT @emptyflirting: y\xe2\x80\x99all are so pathetic with this choking thing do something more dangerous like opening up'
1019438437554745344,2018-07-18 04:27:18,b'Wow two car accidents in one month fmlllllllll'
