id,created_at,text
1066944502655418368,2018-11-26 06:39:26,b'RT @Kev_RackedUp: This .. Right here.. is my ... SWAG https://t.co/ceFXwDJwAi'
1066887771841736704,2018-11-26 02:54:01,b'RT @pretygurl_nene: no matter what caption y\xe2\x80\x99all quote with this gif i\xe2\x80\x99m dead every time \xe2\x98\xa0\xef\xb8\x8f https://t.co/OpTXoNhrTx'
1066797089441509376,2018-11-25 20:53:40,b'RT @catsfolder: High 5 https://t.co/HWm8Jfdxrr'
1066614911898279937,2018-11-25 08:49:46,b'RT @fawnshh: hi please unmute and share in my revelation https://t.co/lGtnSnAnCx'
1066570829830340610,2018-11-25 05:54:36,b'Wow UNLV and VGK both won tonight. Yay for Vegas \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89'
1066530134646116352,2018-11-25 03:12:53,b'RT @GoldenKnights: WE SCORED RIGHT AWAY\n\nWILLIAM KARLSSON!!!!!!!! https://t.co/TWJWOAFy0A'
1066459277529800704,2018-11-24 22:31:20,b'RT @videocats: Big Cats are still cats \xf0\x9f\x98\x82 https://t.co/Y1JxBPyZPK'
1066396230824034304,2018-11-24 18:20:48,"b'RT @itsrjhill: \xe2\x80\x9cLook Maggie, I walking Maggie\xe2\x80\x9d https://t.co/nGlWly73hB'"
1066394808954941440,2018-11-24 18:15:09,b'RT @NATUREADORABLE: So beautiful. So majestic.\xf0\x9f\xa6\x81\xf0\x9f\x91\x91 https://t.co/LL5mmCBoXG'
1066185338324836353,2018-11-24 04:22:48,b'Twins \xf0\x9f\x91\xaf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/QZgpBxSgkC'
1066167050224058370,2018-11-24 03:10:07,b'I was with Jerryd all day and I already miss him. \xf0\x9f\x99\x87\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1066163486349086723,2018-11-24 02:55:58,b'@TheRealJerry_D Whaaat \xf0\x9f\x98\xad'
1066156941263560704,2018-11-24 02:29:57,b'My mom went to the game tonight and doesn\xe2\x80\x99t like Krispy Kreme so guess who\xe2\x80\x99s getting A DOZEN DONUTS TO HERSELF TOMORROWWWWW.'
1066156757402058752,2018-11-24 02:29:13,b'RT @GoldenKnights: \xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xf0\x9f\x8d\xa9\xe2\x80\xa6'
1066029313923833856,2018-11-23 18:02:48,"b'RT @jxsmineexox: I DRINK TILL IM DRUNK, I SMOKE TILL IM HIGH https://t.co/Dr4y7jUlgF'"
1065869816932626432,2018-11-23 07:29:01,b'RT @houston_trill98: When I see someone standing up straight https://t.co/4cOlDvgNQx'
1065818749926699009,2018-11-23 04:06:06,"b'RT @hawillisdc: honestly, jolene must have truly been a bad bitch to have dolly parton begging her for 3 minutes not to snatch her man up'"
1065672694803255296,2018-11-22 18:25:44,b'Thanksgiving consists of my mom and I watching the Macy\xe2\x80\x99s parade and pointing out who\xe2\x80\x99s lip synching and who\xe2\x80\x99s not.'
