id,created_at,text
13231055651,2010-05-02 05:51:25,b'Why is it again that I decided to wake up so early on a Sunday? Beyond me...'
8248385037,2010-01-26 20:02:58,"b'Soooooo tired! Looking fwd to my warm, fuzzy sheets. Mmmmm'"
7230666283,2009-12-31 11:02:12,b'Happy 2010! An easy slide in the new year and the best of wishes!!!!'
6901815226,2009-12-21 18:49:41,b'Busy reading... and what not?'
6309981925,2009-12-03 17:50:08,"b""I'm so tired and sleepy, spent yet another day behind the wheel in traffic. And the day's not over yet. Fun fun fun!"""
6309944176,2009-12-03 17:48:41,"b""@mudoveee  I've never seen worse driving than Jordan. I call it kamikaze driving, after Amman and Jordab Romania seems heaven :P"""
6210249852,2009-11-30 19:16:32,"b'RT @MauraAura ""There is no greater agony than bearing an untold story inside you.""  \xe2\x80\x94 Maya Angelou'"
6107771290,2009-11-27 09:29:26,b'RT @GAAGZ: Eid Mubarak to You All.....a very nervous day for all the sheep around the world'
5656622552,2009-11-12 19:00:56,"b""I'm still alive and kicking! Yey me"""
5366446028,2009-11-02 16:18:12,"b""Ce-I cu frigu' asta? Freezing weather in this hot town. :)"""
5104927509,2009-10-23 19:37:30,"b""What are you tweeting about? got too lazy or busy to check what's new in the world. So what did I miss?"""
4819612952,2009-10-12 22:45:52,b'And then I got older... but wiser too? nahhhhh!'
4785635005,2009-10-11 15:18:43,"b""I hate admitting it but I suffer greatly from a tremendous hangover. Whoever said whiskey doesn't give you head aches lied."""
4650007762,2009-10-06 07:01:19,b'Crazy week and the most important b-days of the year!'
4622411468,2009-10-05 06:12:20,"b'RT @MauraAura ""Some of us think holding on makes us strong but sometimes it is letting go"" \xe2\x80\x94 Hermann Hesse'"
4622403582,2009-10-05 06:11:42,"b'RT @MauraAura ""Your task is not to seek for love, but merely to seek and find all the barriers within yourself that you have built (cont\xe2\x80\xa6'"
4622403574,2009-10-05 06:11:42,"b'\xe2\x80\xa6cont) against it.""-Rumi'"
4581891739,2009-10-03 16:26:30,b'Too much shopping hurt my achy old bones... :D'
4565739759,2009-10-02 23:06:14,b'I got today some great news. So far our journey is safe :P\nEarly wake up tomorrow.Gnight!!!!!!!!!!!'
4492317960,2009-09-30 07:38:05,b'The longest ride to the airport. Still early though...'
4439733956,2009-09-28 10:30:37,"b""It seems I'm not only sick but also highly contagious. Lucky people around me... Sorry!"""
4405031395,2009-09-26 23:53:49,b'Damn! Sneeze attacks and running nose. Sniffy sniff!...'
4354449006,2009-09-24 23:27:32,"b""Oh God almighty. I'm sneezing and crying, I got a cold. Poor old me :P"""
4354430710,2009-09-24 23:26:39,b'@Cristi_Baluta  Sunt convinsa dar nu mai am rabdarea... o fi si varsta un factor :))'
4314285071,2009-09-23 12:38:41,b'One week left and then... hurray!'
4314260746,2009-09-23 12:37:08,b'@Cristi_Baluta Mi se pare curios ca un barbat se uita la Gossip Girl :P\nEu n-am avut rabdarea sau curiozitatea sa vad despre ce e vba...'
4299397432,2009-09-22 21:56:29,"b""Being held hostage by my sister! Actually I don't want to leave although the plan was way different..."""
4040646777,2009-09-16 23:01:29,b'Top Gear is shooting in Romania!!! Coool'
3989914164,2009-09-14 22:09:49,b'Time for a new start :D'
3952641843,2009-09-13 10:29:04,b'Lazy Sundays... Missing my Yara terribly! :-S'
3883990459,2009-09-10 09:02:31,b'Is really excited about some good news! All we need is a bit of luck.'
3883967437,2009-09-10 09:00:09,"b""@wild_honey7 hey! I'm good, u? Plane tickets for flying back home :D meanwhile I'm already there :P"""
3871454400,2009-09-09 20:59:32,"b""I really must be the most clumsy blonde on earth. Black and blue. Maybe it's because I'm too tall?! :))"""
3846742839,2009-09-08 19:40:00,b'No laptop and no battery on my Iphone. Internet withdrawal symptoms :))'
3827051456,2009-09-07 22:07:54,"b""My dog's conquering my bed little by little. In one week or so I'll be probably kicked off and sleeping on the floor :))"""
3826932914,2009-09-07 22:01:09,"b""Next movie I'll watch with nachos final destination! http://bit.ly/dlq48"""
3826851441,2009-09-07 21:56:32,"b""@mudoveee you're right!  my bad :P All the damn series I watch and love start end of September? conspiracy!!!"""
3826620142,2009-09-07 21:43:12,b'and for all Americans (if any of them follow me) happy Labor Day. We got it 1st of May :))'
3826596669,2009-09-07 21:41:51,"b""@mudoveee one of my  favorites is grey's anatomy. But isn't that just a heroes trailer?"""
3805612221,2009-09-06 21:35:28,b'Long day :)\nAll I wish for is good weather and a bit of luck! Inshaallah'
3797395292,2009-09-06 12:12:49,b'I need to return some books I finished and start reading the next one. Sorry  @Maura_aruaM :*'
3795836426,2009-09-06 09:02:51,b'Lost all consciousness of time. Thank god I still know where I am :P'
3795785200,2009-09-06 08:56:56,b'RT @mudoveee After all a Clinic for internet addicts opens in US http://tr.im/xZEc Lol'
3784077542,2009-09-05 19:22:50,"b""Today ain't my day. Somehow everything tends to escalate. Damn!"""
3779211319,2009-09-05 14:21:22,b'Why is it that the more you have of something the less it seems?'
3776050064,2009-09-05 08:47:39,"b""@mudoveee enjoy! You deserve it fully. But you don't mind me being jealous I hope :)"""
3776001480,2009-09-05 08:41:42,"b""I'm thinking a gigantic cup of coffee and Starbucks comes to my mind. Why not? :D"""
3775989888,2009-09-05 08:40:21,"b""Waking up early doesn't agree with me. Nice ppl talking while I smile thinking of my warm bed..."""
3765827179,2009-09-04 21:28:44,b'sooo freaking tired and yet I refuse to sleep. Early day tomorrow :)'
3740934919,2009-09-03 20:08:55,"b""Damn! Everybody around me is leaving for vacation. Even if it's for a few days I'll miss them all :/"""
3740872828,2009-09-03 20:05:41,"b""@mudoveee I hate you so much right now! That food looks delicious. I never thought I'd say this but I miss Jordanian food!!!"""
3692620696,2009-09-01 17:29:01,b'Feeling tired and sleepy for no apparent reason.'
3662299056,2009-08-31 08:44:35,"b""Oversleeping... A new concept I'm trying out and enjoying a bit too much :)"""
3662241647,2009-08-31 08:38:02,b'RT @mudoveee @queenrania Happy Birthday =)'
3644524339,2009-08-30 12:56:42,"b""It got cold...  And then too hot. Are we in the desert and I wasn't aware?!"""
3634111326,2009-08-29 23:10:09,"b'RT @aplusk ""Learn from yesterday, live for today, hope for tomorrow."" - Albert Einstein'"
3612677877,2009-08-28 22:17:11,b'Love is tough! Even gigolos can account for it :)'
3606677042,2009-08-28 17:10:21,b'Finally going to watch Spread :)'
3590538969,2009-08-27 23:25:25,"b""When the houses' walls are so thick mobile coverage isn't decent I'm thankful for the great ISP :D"""
3590255281,2009-08-27 23:10:57,"b'@mudoveee I did too, so did my family and friends, it was so funny! At least we got a funny story to tell and a good time :))'"
3584799263,2009-08-27 18:33:08,b'Damn Facebook! nothing will load properly! is it just me?'
3584787230,2009-08-27 18:32:30,"b""@mudoveee Imagine 4 people driving around looking for 2 moons. Haha! either way it was a funny 'joke' on us all :P"""
3584755760,2009-08-27 18:30:54,b'@mudoveee Turns out it was a prank. And believe me I looked hard even for the first moon. LOL Stupid chain e-mails!'
3561861862,2009-08-26 18:43:39,"b""Tonight 00:30 Mars should look like a 2nd moon on the sky. Hoping I'll remember to look! Next time this happens 2287 :S"""
3517713909,2009-08-24 18:33:39,b'I need new music. Know any great songs?'
3514185456,2009-08-24 15:20:49,b'RT @nytimes Thousands Flee as Greek Fires Rage http://bit.ly/1uNsYl'
3470319135,2009-08-22 11:14:59,"b""I'm feeling guilty every time I'm eating or drinking. My poor baby started Ramadan :)"""
3470099166,2009-08-22 10:47:58,"b""@mudoveee I know how hard this month is for muslims, although I can't even begin to imagine.Joy and health!!!"""
3453050220,2009-08-21 16:37:46,b'RT @Simplybad \xee\x81\x8c\xee\x81\x8cRamadan Kareem \xee\x81\x8c\xee\x81\x8c'
3425500471,2009-08-20 11:05:48,b'Today starts what I like to call a 4 day weekend :-)'
3391667969,2009-08-18 21:59:40,"b'not planning to sleep late. 3rd day of antibiotics shots, poor Yara...'"
3380561760,2009-08-18 10:57:16,"b'@tib0n Yup, ma iei distantat!! Vecinii mei sunt ok, mai putin coca care se rup in figuri in fata la mall :))'"
3371481133,2009-08-17 23:33:00,b'How sad is it to be awakened by 2 cars crashing into eachother? :S'
3359872085,2009-08-17 11:06:15,"b""I'm looking for the best price on tickets Amman-Bucharest. Help? !"""
3348384797,2009-08-16 19:23:29,"b""This can not happen! Now I know I'm not capable physicly to jog :-/"""
3342419637,2009-08-16 09:31:06,b'Great day for tanning and splashing. Lazy Sundays :)'
3334787721,2009-08-15 22:22:30,"b'RT @digg_2000 ""Non-Alcoholic.... Wait what? [Pic]"" - http://digg.com/d210l5Y?t1'"
3330241387,2009-08-15 16:32:16,b'Waiting for @tib0n to eat!!! Yummmm'
3293968382,2009-08-13 21:10:37,b'RT @eonline Megan Fox Inspires Teens to Eat Boys for Dinner http://bit.ly/zQbgq @cipfox @FoxCip'
3293885107,2009-08-13 21:05:50,"b'RT @eonline Grey\'s Anatomy Is ""Heavy"" This Season http://bit.ly/16mIFu'"
3286121235,2009-08-13 13:43:02,"b""RT @FoX_CC I'm a haters hater!"""
3265316619,2009-08-12 13:45:51,b'Facebook To Launch Facebook Lite http://bit.ly/fblite'
3265193116,2009-08-12 13:37:14,"b""Who should I follow? and what's wrong with my internet??? grrrrr"""
3263143933,2009-08-12 10:23:56,"b""I'm sick of rain! No rain drops, no frogs, no men. :))"""
3253167291,2009-08-11 22:10:19,b'Nighty night!'
3245353201,2009-08-11 13:41:27,"b""@tib0n gabitzule! la ritmul nostru ne intreci la pas :))\nVi si tu?? ca pe celalalt frate a lu' Samson nu-l urnim.:P La stadion"""
3232030940,2009-08-10 20:51:42,"b""I know I'm a good person because I care too much. Even when I shouldn't. I might as well be just stupid. Oh well!"""
3213632710,2009-08-09 21:12:45,"b""I started jogging again. They say every wonder lasts 3 days. I'm curious to test that hypothesis :)"""
3210425029,2009-08-09 17:27:07,"b""Just had an orgasmic encounter with the best Plescavitza ever. I'm a fatty within, I know!"""
3184827061,2009-08-07 22:52:53,b'I wish for better wifi. And if I get another wish I want a million euros. All I need now is a goldfish to make it happen :P'
3180884330,2009-08-07 17:50:41,"b""I'm finally putting make up on. Too much naturality is bad for the health :P"""
3180803572,2009-08-07 17:44:30,b'@tib0n gabitzule! Te-a prostit si pe tine Boobsy Fox sa te twittereshti? Haha! Amaze us!'
3152267174,2009-08-05 20:28:32,b'Bravo Poli! Who would have thought?!'
3152260494,2009-08-05 20:28:09,b'Thank God for you! :D'
3141156866,2009-08-05 06:52:27,"b""@Fox_oxF Didn't we come back? Is it raining there too?"""
3141129002,2009-08-05 06:49:50,b'@Bea_Trixie Welcome dear!'
3141126105,2009-08-05 06:49:32,b'@Maura_aruaM Let me upgrade you! :))'
3141109358,2009-08-05 06:47:56,"b""@Fox_oxF Didn't we come back? Is it raining there too?"""
3103936277,2009-08-03 13:24:14,"b""Ummm.. Curiosity killed the cat. But then again life wouldn't taste the same without a little dirt :P"""
2949675502,2009-07-31 11:45:21,"b""@Fox_oxF pai ai grija pe ce prostii intri! I'm so wasted, see you in 2 hrs boobsy!"""
2942923518,2009-07-31 02:06:03,"b""Only when it's late and the streets are empty I can truly see how much this city has changed."""
2931501468,2009-07-30 15:07:46,b'Visiting our new mummy! Finally..! And then thinking what to pack :)'
2917488154,2009-07-29 21:42:21,"b""I'm gonna finish reading this damn book! One of these days. Then.. Well, we'll have to see :)"""
2908944157,2009-07-29 12:56:05,b'Where are my followers? Where did you go?!!'
2908907728,2009-07-29 12:53:04,"b""@FoxCip I know, I know! I'm not a blonde in vain. :))"""
2906459800,2009-07-29 08:21:33,"b""@FoxCip I'm almost certain you're talking about Santa! :D"""
2906067884,2009-07-29 07:37:36,b'@FoxCip xaxaxa si jajaja! Like who? :-?'
2897869658,2009-07-28 21:54:54,b'@FoxCip Nice avatar :P and delete those automated tweets!'
2879164921,2009-07-27 22:54:02,"b""I'm back. And like always getting updated with the bad news, Yey."""
2841813289,2009-07-25 19:47:18,b'Getting drunk and happy in Sighisoara! Yppiaiokayeeee!'
2806167022,2009-07-23 21:38:12,b'My ankle is still swollen. Anybody care to sweep me off my feet so they finally rest? :P'
2802619041,2009-07-23 18:10:19,b'@Maura_aruaM the important thing is that I love you! Me and only me! In your face @cipfox'
2797610566,2009-07-23 13:00:31,b'@Maura_aruaM my favorite 2 peeps on Twitter! Turns out lingo sales ppl do have time :P Am impachetat btw :*'
2797572050,2009-07-23 12:57:35,b'I need new music! And a supplier for it. Damn!'
2786579107,2009-07-22 22:21:04,"b""I guess I'll go back to reading sooo good night!"""
2786559861,2009-07-22 22:19:58,"b""Fun fact of the day:People thinking that if they write subtle questions to celebrities on Twitter they will get a reply. I've seen stranger!"""
2745814137,2009-07-20 21:25:37,"b'should we really take dreams seriously? they only confuse us if we do, so I  stick to reality.'"
2738353825,2009-07-20 13:17:55,b'I need to rest my ankle and I feel anything but that. Grrrr'
2659391721,2009-07-15 22:48:13,b'I need to feed the beast within. Stay away :P'
2641129525,2009-07-14 23:25:40,"b""It's easy to tell that I'm stubborn. My eyes want to close yet I refuse to surrender!"""
2621273851,2009-07-13 21:57:55,b'Need to rest my ancle in order to catch up with that perfectly proportioned cutie :P'
2604625099,2009-07-12 22:30:24,b'What kind of person would still take the stairs with a sprained ancle?! Am I crazy or just stupid? :P'
2597308470,2009-07-12 11:00:54,b'Is puzzled. Why does my wifi work so bad on my Iphone? grrrrrr!!!!!!!!!!!'
2567314314,2009-07-10 12:35:40,"b'Ready, set, go!! Bets are on!'"
2567310484,2009-07-10 12:35:17,"b'Ready, set, go!!!'"
2511179143,2009-07-07 08:05:53,b'Recovering from sun over exposure. :P and jogging!'
2452045816,2009-07-03 10:14:19,"b""Why do we celebrate people only when they're dead?! They ain't coming back :P"""
2436375484,2009-07-02 12:54:29,"b""terribly sleepy. I wonder if Starbucks tastes the same in Timisoara :) Should be better cuz it's new :D"""
2424775518,2009-07-01 19:26:28,"b""@JNGLTRBL So when's George coming back?!"""
2401859370,2009-06-30 10:32:04,b'Back in cloudy Timisoara!!!'
2358464039,2009-06-27 13:05:01,b'Time for take off. Fingers crossed for Yara!'
2349825380,2009-06-26 21:00:07,"b""Damn luggage weight limit. I got a feeling someone's paying extra charges :S"""
2346654874,2009-06-26 17:11:34,b'R.I.P. MJ'
2346602090,2009-06-26 17:07:53,b'I should really start packing! God I hate packing.. but I love traveling.'
2333343057,2009-06-25 22:12:18,"b""Wow! Seems everybody's talking about Michael Jackson being dead. And I find out over Facebook?!"""
2328571428,2009-06-25 16:44:32,b'Someone please kill me before this migrene does! :S'
2326551505,2009-06-25 14:11:38,b'The best girly iPhone theme ever! Hello Kitty LOL!'
2323908092,2009-06-25 08:47:41,"b""Listening to Barry White! Can't get enough of you baby!"""
2318834244,2009-06-25 00:32:39,"b'We want to learn everything about the ppl around us. Sometimes the less we know, the better.'"
2314593434,2009-06-24 19:02:17,b'My last 3 days in Amman! Awwww'
2309538632,2009-06-24 12:20:27,b'Great day to go shopping!'
2301493385,2009-06-23 22:30:53,b'Sleep is for the weak! but we all got our moments of weakness so good night!'
2297732858,2009-06-23 17:48:22,"b""Backing up, restoring and sync-ing! Don't we all just love Apple?"""
2293037775,2009-06-23 10:53:40,b'Why is it that all good songs are about unhappy in love ppl? http://bit.ly/xLYfF'
2292548006,2009-06-23 09:36:35,b'Mornings without coffee are inhumane.'
2277637017,2009-06-22 11:21:59,b'I never thought there would be Americans suffering from hunger. I was wrong http://bit.ly/jqVxO'
2271667654,2009-06-21 23:53:08,b'Money makes the world go round. With me or against me?'
