id,created_at,text
1067099258145386499,2018-11-26 16:54:23,b'imagine actually thinking you\xe2\x80\x99re better than someone just because you don\xe2\x80\x99t smoke lol'
1067097369764868096,2018-11-26 16:46:53,"b""RT @shesatornado: How the fuck am I supposed to go back to work tomorrow. I don't even remember what I do."""
1066945748175065088,2018-11-26 06:44:23,b'RT @jordanrubiks: being metrosexual is when you really like shake it by metro station'
1066945382872227842,2018-11-26 06:42:56,b'My life summed up in 1 tweet https://t.co/Ojkz9dSn9w'
1066945144828686336,2018-11-26 06:42:00,b'RT @ellisuhhh: homophobia is weird when you start thinking about how there\xe2\x80\x99s people who won\xe2\x80\x99t like other people just bc those other people\xe2\x80\xa6'
1066919632567705600,2018-11-26 05:00:37,b'RT @elonmusk: \xf0\x9f\x96\xa4 trouble'
1066896285574283265,2018-11-26 03:27:51,"b'RT @ieuanthomas028: ""Welsh University of the Year"" https://t.co/zl0Kwbp2Y5'"
1066858996160757760,2018-11-26 00:59:40,b'RT @boujeesIut: so no head? https://t.co/wVEKlIR7CU'
1066858902325739520,2018-11-26 00:59:18,b'@ClarkLennox https://t.co/JSrT4siECc'
1066785174065684486,2018-11-25 20:06:20,b'@ashleyjmaurice https://t.co/0dhb95AMvS'
1066779987615907843,2018-11-25 19:45:43,b'@sarahgrafa \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f'
1066772419560579072,2018-11-25 19:15:39,b'RT @Medusaaa_____: mom can you pick me up? no one here is smoking weed'
1066756619399299073,2018-11-25 18:12:52,b'RT @playnikes: pussy so good he hits u up 3 yrs later via linkedin'
1066749391229382658,2018-11-25 17:44:08,b'RT @CaucasianJames: last night i drank too many beers. if u want to unfollow me for this i understand'
1066748126541811714,2018-11-25 17:39:07,"b'\xe2\x80\x9cWelcome to the Peterborough waterfront holiday inn, where the only thing we overlook, is the water\xe2\x80\x9d'"
1066747648764510213,2018-11-25 17:37:13,b'RT @saltysaad: THE SEVEN DEADLY SINS:\n\n- doing math \n- being good at math\n- liking math\n- excelling in math\n- majoring in math\n- willingly\xe2\x80\xa6'
1066725705424281600,2018-11-25 16:10:01,b'RT @neverhitpuberty: chopped would be better if the chefs got shot in the head when theyre eliminated. higher stakes'
1066724966899609601,2018-11-25 16:07:05,b'I lowkey can never drink again'
1066710902844649474,2018-11-25 15:11:12,"b'RT @AlyGosewitz: A year ago today @saarahrosss and I got into our first male fist fight and yup! You got it right, we fucking lost lol'"
1065633119120703488,2018-11-22 15:48:28,b'Last night was the best night of my life I think'
1065502641071878144,2018-11-22 07:10:00,b'@sosababykt @kobychill Ur moms a legend'
1065346908393136129,2018-11-21 20:51:10,b'RT @OutterSpaceSWAG: Got my asshole pierced at Claire\xe2\x80\x99s'
1065132826738200578,2018-11-21 06:40:29,b'RT @duunk: asthma mfs be hittin the inhaler like it\xe2\x80\x99s a juul .. they be textin they mum \xe2\x80\x9ccan u grab some pods on the way home\xe2\x80\x9d n they mum b\xe2\x80\xa6'
1065130738390052866,2018-11-21 06:32:11,b'@taliagay111 ok ME!!!!!!!'
1065112274279518213,2018-11-21 05:18:49,b'RT @OregonJOBS2: PSA please retweet https://t.co/H5RRESBrT0'
