id,created_at,text
922117498178240512,2017-10-22 15:08:38,"b""Sorry I had to tweet that to get it so you know it's good"""
922117392964227074,2017-10-22 15:08:13,b'Get it free: Free\xe2\x80\x8b \xe2\x80\x8beBook:\xe2\x80\x8b \xe2\x80\x8bHow To Build a Career in Tech https://t.co/riIEbc40mE via @dailydot'
921645784810119168,2017-10-21 07:54:13,"b""RT @DanielNothing: One of the few things I don't like about Mindhunter is its staggeringly awful title.\nIt should be called 'Mad Men'."""
851266125195165696,2017-04-10 02:50:34,b'#WCE \xf0\x9f\x98\x8d https://t.co/TuNEETQHGi'
845694679706415105,2017-03-25 17:51:38,"b'RT @BrettSVergara: ""Did you get the votes"" https://t.co/kHByIFG7bY'"
845693717205921792,2017-03-25 17:47:49,b'RT @darth: https://t.co/GMqyuoXoqg'
845445723038601217,2017-03-25 01:22:22,"b""@Fantasmagorie_ Also being that i don't use Twitter often anymore, i keep coming across this and don't have a good\xe2\x80\xa6 https://t.co/Vp7H4K0Wyx"""
845444633089990656,2017-03-25 01:18:02,"b'@Fantasmagorie_ still pending! The rest of the trip was a wash, but it was a wash in a cool and different city!'"
845444119354859520,2017-03-25 01:16:00,"b'@Fantasmagorie_ ohh man, yes it was! You both were every bit as charming and kind as your online personas. I was having a rough day. I \xf0\x9f\x92\x96 \xf0\x9f\x92\x91'"
843789880014573569,2017-03-20 11:42:38,b'Bibb 5'
838884484816715777,2017-03-06 22:50:21,"b""My skin's not angry, it's just disappointed."""
832133978710798336,2017-02-16 07:46:15,b'LUMP SAT ALONE IN A BOGGY MARSH'
826486201796419586,2017-01-31 17:44:00,"b""RT @piques15: someone: u ok? u seem distracted\nme: nah i'm good\nmy brain: https://t.co/NPJELWxiED"""
825154321302028288,2017-01-28 01:31:35,"b'I hate to revisit my fav topic, but you guys know everyone dies, right? You, me, yo mama, yo idols..'"
825117527747547137,2017-01-27 23:05:23,b'Who the fuck is playing or singing an operatic version of the national anthem nearby like literally who is that jazzed for America today'
824934031972249604,2017-01-27 10:56:14,"b'I feel like if you hold back on your review of a shitty airbnb only to find the host dragged you hard in theirs, you should get a rewrite'"
824928663049216001,2017-01-27 10:34:54,"b""No, YOU take videos of your dog snoring so you can sleep when you're away from home"""
824476285795729409,2017-01-26 04:37:19,"b""RT @dreegs: What's your favourite music streaming service?:\n\xe2\x97\xbb\xef\xb8\x8f Spotify\n\xe2\x97\xbb\xef\xb8\x8f Apple Music\n\xe2\x98\x91\xef\xb8\x8f Richard Spencer getting punched videos"""
824476154673426432,2017-01-26 04:36:47,"b""RT @RedIsDead: I can't believe people are mad about Richard Spencer getting alt-kissed in the face"""
824448483205775361,2017-01-26 02:46:50,"b""RT @VicenteFoxQue: Sean Spicer, I've said this to @realDonaldTrump and now I'll tell you: Mexico is not going to pay for that fucking wall.\xe2\x80\xa6"""
824415249038249985,2017-01-26 00:34:46,"b""If I wasn't rich I'd be so fucked in this regime"""
819013550966525952,2017-01-11 02:50:21,b'This has been fun. See you the next time my every thought is too dark for my other accounts \xf0\x9f\x98\x9c'
819012752433958912,2017-01-11 02:47:11,"b""Ok ok enough joking around the actual chillest part is the judgment free life of drugs and weird sex. Y'all missing out"""
819011249426067456,2017-01-11 02:41:13,"b""Seriously though it's so chill and never sad lololol lo ollp"""
819009912588144640,2017-01-11 02:35:54,b'One chill thing about having dead parents is that you can swear all you want and no one will take away your motherfucking birthday presents!'
816093875890769921,2017-01-03 01:28:36,b'RT @j_tiarra: everyone: ur annoying \nme: https://t.co/bNm9sfgYO7'
802655454677479424,2016-11-26 23:29:07,"b""My dog is disciplining dogs and owners up and down the block and I'm not even arguing with her now, she must smell my rising blood pressure"""
802655103576522752,2016-11-26 23:27:43,b'The owner of screaming crying dog finally arrived and my dog is barking at her for letting it happen \xf0\x9f\x98\x82 gotta love border collies'
802650052837654528,2016-11-26 23:07:39,"b'Happy Leave Your Anxious, Vocal Dog Outside Way Past Its Emotional Breaking Point Day, neighborhood!'"
792418136494518272,2016-10-29 17:29:40,"b'I need a little sun hat for my new tattoo so I can function in Texas. Does this exist? If not, hi shark tank, I have a vague idea'"
790710560694296576,2016-10-25 00:24:23,"b""@stefapie @fake90skid_ well yeah, that one's a given, but the other two are, well, also givens, if I'm being honest"""
790710060750032896,2016-10-25 00:22:23,b'@stefapie also I just remembered everyone from this weekend but me was tweeting about it and now get to relive the magic from so many sides!'
790709754532290560,2016-10-25 00:21:10,"b'@stefapie @fake90skid_ I got regret, hate, drugs.. awesome'"
784782445468012544,2016-10-08 15:48:10,"b""RT @GynoStar: Please RT if you're a woman who's had an intimate body part grabbed without your consent. I'm curious."""
766517532446461953,2016-08-19 06:09:55,b'My department is best department https://t.co/30JwKw0ijH'
765284319652933632,2016-08-15 20:29:34,"b'RT @bornmiserable: I like how people say ""manage your depression"" like it\'s a stock portfolio but you\'re heavily invested in sadness'"
763206531215044608,2016-08-10 02:53:11,b'RT @robwhisman: the olympics are held once every 4 years.. hell even im not held that often!!!!!'
763166467143507969,2016-08-10 00:13:59,"b""RT @1BabyBye: Don't run away from me. I told y'all not to talk about Gabby Douglas hair #Olympics https://t.co/htNenP6os7"""
757778736171278337,2016-07-26 03:25:04,"b'Dead mom is like, no one asked you, Gabrielle. And dead dad is like, ask your dead mother.'"
757778388266328064,2016-07-26 03:23:41,"b""Dear (dead) mom, I fucking miss you and it's not cool that u let urself die,.Just fyi"""
757778130920628224,2016-07-26 03:22:39,"b'Some shit went down at work, my mentor got fired (the 2nd time this has happened) and all I want is to talk to my stupid dead mom about it.'"
742911958957981696,2016-06-15 02:49:48,"b""RT @samlansky: They hate us because they know we're magic and it terrifies them, but being gay is an extraordinary gift. Shine brighter tod\xe2\x80\xa6"""
736005141170528256,2016-05-27 01:24:34,b'Some neighborhood kid is dribbling his basketball intensely up and down the middle of the street. He straight up posterized that one Honda.'
727671305646940160,2016-05-04 01:28:53,"b""There's probably worse noise pollution than the cheers and loudspeaker commentary for a nearby prep school lacrosse game but, no there isn't"""
727633067213348864,2016-05-03 22:56:56,"b""The parking garage elevator is broken and my car is on the 3rd floor and I'm honestly considering just sleeping here until it is better"""
724780575572160512,2016-04-26 02:02:09,b'RT @GraceSpelman: me when I am around men http://t.co/RCYxWuxxJ5'
724746605044224001,2016-04-25 23:47:10,"b""Anyone who tries to tell me this wasn't a tax refund well spent can sashay the fuck away. #RPDR #DragRace https://t.co/SqlmUKrFec"""
722979948290445313,2016-04-21 02:47:06,"b""RT @batkaren: Things won't get better, but time will pass, if that's any consolation"""
715712002417516544,2016-04-01 01:26:53,b'@stefapie .. This fall very briefly before her passing.. BALLIN'
715711821689151488,2016-04-01 01:26:10,"b""@stefapie scroll down a bit and there's a link to when my mom won the Dallas morning news cookie contest. Recipe was republished in print"""
715711443060920321,2016-04-01 01:24:39,"b'@stefapie https://t.co/77hdD3kc55 The first two are my folks, and Christie haggard was my aunt.'"
715711272315015169,2016-04-01 01:23:59,b'@stefapie Would have rated 5 stars but for excessive grounding into my twenties.'
715710512663646208,2016-04-01 01:20:58,"b""It's so strange/ funny that my parents' obituaries are online and have comment sections. I kind of want to leave yelp-style reviews for them"""
713221985459830784,2016-03-25 04:32:27,b'Today I got my first promotion since I was 19 and worked at Jamba Juice.'
711380988023021568,2016-03-20 02:36:59,"b'Oh wow, Twitter is so much more doable now without every news outlet, aggregator, and sportscaster in the country tweeting 100x/ min'"
711321535026319360,2016-03-19 22:40:44,"b'Just unfollowed around 1000 people one by goddamn one. Hey 2009 me, you know you can say no, just generally in life, right?'"
711287046363418624,2016-03-19 20:23:41,"b""I swear to god if I catch my neighbors freeloading off MY windchimes one more time, I'm going FULL HATFIELD. #FreedomIsNotFree"""
686752004287238144,2016-01-12 03:30:11,b'I just put down my deposit for a lesbian cruise in Tahiti and Bora Bora in August so p. much every adolescent dream of mine has come true'
674421950723166209,2015-12-09 02:54:57,b'@elizabethbakari CRAP I meant to vote COASTERS YES but I accidentally voted yes dumb. Please update your records to reflect this!'
662616926519205888,2015-11-06 13:06:00,b'@voellig now with 50% fewer spider colonies!'
662610273702924288,2015-11-06 12:39:34,"b'@voellig nope nope just functional human adults living here, no descent into madness has ever occurred in this prime property'"
662607043463921664,2015-11-06 12:26:44,"b'""If it ain\'t broke, don\'t fix it. If it is broke, just leave it,"" or ""convincing the realtor a human person has been occupying your home""'"
662486831875903492,2015-11-06 04:29:03,"b'Incinerated, and then pulverized'"
639988018237935616,2015-09-05 02:26:48,"b""Things are not good! If there's anything I suck at, it's keeping parents alive. Going to delete this acct soon, but will post new handle."""
589217906153525248,2015-04-18 00:04:30,"b'A co-worker asked me to creep her out (long story). Five days later, in a low voice: ""I\'ve been thinkin about you."" Mission accomplished'"
587757176891973632,2015-04-13 23:20:05,"b""I can't tell whether I'm hungry or my mouth is just bored"""
585626158810664960,2015-04-08 02:12:11,b'All the lesbian ex Christian Scientists in the house say heeeeyyyy (says hey to self) heyyyy'
585624890587353088,2015-04-08 02:07:08,b'That thing of where your Christian Scientist Dad dies w/o warning so you live in terror that yr Christian Scientist Mom will too #relatable'
584157582622765056,2015-04-04 00:56:35,"b'Rehearsing my lines.. ""I WANT A \'JALISCO\' BUT INSTEAD OF A CHEESE ENCHILADA WITH CHILI COULD I JUST GET A SOFT CHEESE TACO?"" what do u think'"
582691570568187904,2015-03-30 23:51:10,b'\xe2\x99\xab how much is that burgie in the window? \xe2\x99\xab'
582672474812231681,2015-03-30 22:35:18,b'Some images may be disturbing'
581682681508827137,2015-03-28 05:02:13,"b'Hugs for the ladies, handshakes for the men. WHY?'"
581682564315791360,2015-03-28 05:01:45,b'On a big reality tv kick of the Alaskan/ treehouse/ psycho-pet-therapeutic variety.'
578677376550203393,2015-03-19 22:00:12,"b'""You can REALLY taste the horseradish."" -Trader Joe\'s cashier telling me why she did not like and also why I would love these chips'"
576216163811598336,2015-03-13 03:00:13,"b'Woohoo, got the day off tomorrow! Better inject some STRESS into it. Gotta give myself some TASKS, gotta do some CHORES, gotta make it COUNT'"
