id,created_at,text
1067089934832435200,2018-11-26 16:17:20,b'@petexciv @pipipcherio pIP HAS THE SWEETEST VOICE IM IN TEARS'
1067084413886812161,2018-11-26 15:55:24,b'adult cat was in utter disbelief that some child would hit him like that https://t.co/liBYI7KTF0'
1067078837287084032,2018-11-26 15:33:14,b'RT @tylerrjoseph: pacheetah'
1066930598827057152,2018-11-26 05:44:12,"b'RT @rogertayl0rs: TRY CLOSING YOUR EYES WHILE LISTENING TO THIS AND REMEMBER THE LAST SCENE IN BO RHAP,,, ARE YOU SAD? BC SAME https://t.co\xe2\x80\xa6'"
1066927867844419584,2018-11-26 05:33:20,b'i just saw bohemian rhapsody .. FUCK'
1066871720194170881,2018-11-26 01:50:14,"b'it\xe2\x80\x99s the absolute worst, living in this state 24/7 i havnt felt like a real person in over 3 years! have not come o\xe2\x80\xa6 https://t.co/yt2KzrEBfV'"
1066863594866802688,2018-11-26 01:17:57,b'@ptownmorgan TASTES'
1066855199472373760,2018-11-26 00:44:35,b'https://t.co/yOqTGjFAbP'
1066822431355002881,2018-11-25 22:34:22,b'@fakeyououut HENRHEHEH I LIVE YOU'
1066802937907752960,2018-11-25 21:16:55,b'SANTA IS COMING TO TOWN https://t.co/JGrPvPi3i5'
1066783942806667264,2018-11-25 20:01:26,b'@brickisasmella @ptownmorgan @grlgay 3OH3'
1066768593898024961,2018-11-25 19:00:27,b'@petexciv ITS SO FUNNY THOUH'
1066768505599447041,2018-11-25 19:00:05,b'@petexciv @VanessaRamzieh V DO YOU WANT ME TO CRY'
1066767956787453952,2018-11-25 18:57:55,b'@catharticlinnea @sadsipjr omg yeah we love vivid seats that\xe2\x80\x99s what i used for my top tickets this year roo'
1066766329816920064,2018-11-25 18:51:27,b'@sadsipjr @catharticlinnea LETS GO TO VEGAS LINNEA'
1066764470108606464,2018-11-25 18:44:03,b'@vesperteen420 layla that\xe2\x80\x99s from 2016'
