id,created_at,text
1066863393254952961,2018-11-26 01:17:08,b'I love when my urethra tries to kill me \xf0\x9f\x92\x93'
1066863044230176770,2018-11-26 01:15:45,b'@sierraxzombie saaaaaame'
1066863008335327232,2018-11-26 01:15:37,b'RT @sierraxzombie: @taraa_dactyyyl https://t.co/0ho6fIOqaC'
1066801461114298368,2018-11-25 21:11:03,b'All i want for solstice presents are vials of human blood'
1066597025209176064,2018-11-25 07:38:41,b'me n Keira are the cutest n champagne helps https://t.co/JSP9FJtEjZ'
1066595206345056258,2018-11-25 07:31:28,b'I have the best boyfriend in the entire world and the best girlfriend in the entire world. Got it all bitches'
1066573451282927616,2018-11-25 06:05:01,b'A metaphor for our lives https://t.co/sptAQz1ZLu'
1066573292495003648,2018-11-25 06:04:23,b'Also me and Keira drove to the literal edge of Vegas just to piss on it'
1066573181983481856,2018-11-25 06:03:57,b'listening to Cable Car by the fray and vaping is a mood'
1066550966583869440,2018-11-25 04:35:40,b'me and Keira chewing gum for dessert. #skinny'
1066429146182516736,2018-11-24 20:31:36,b'Keira is the actual incarnation of Ron Swanson'
1066427588040511488,2018-11-24 20:25:24,b'RT @theyearofelan: Banning romaine lettuce won\xe2\x80\x99t work. People who want romaine lettuce will still find ways to get it. The only way to be s\xe2\x80\xa6'
1066426842490400768,2018-11-24 20:22:27,"b""RT @ItsAlexJackson: bi girls who've a preference for girls aren't lesbians.\n\nbi girls who've a preference for guys aren't straight.\n\nbi guy\xe2\x80\xa6"""
1066420624359223297,2018-11-24 19:57:44,b'RT @tracbexchange: Happy weekend Vegas!! We will be open 12-4 pm on Monday; come in &amp; sign up for FREE #harmreduction services\n\xe2\x80\xa2needle exch\xe2\x80\xa6'
1066416076030758912,2018-11-24 19:39:40,b'RT @sammmnic: When he smokes you out before hooking up and then tells you to spit on it as if you don\xe2\x80\x99t have the worst cottonmouth ever.. h\xe2\x80\xa6'
1066415190814601216,2018-11-24 19:36:09,b'RT @MuslimIQ: Tamir Rice held a toy gun in an open carry state\n\xe2\x80\xa2Police executed him\n\nJemel Roberson stopped a mass shooter while on duty\n\xe2\x80\xa2P\xe2\x80\xa6'
1066414043638902784,2018-11-24 19:31:35,b'I\xe2\x80\x99m gunna leave this paper i wrote for my English class last here. Check out that second paragraph if you got any q\xe2\x80\xa6 https://t.co/w5ljHI9TVQ'
1066412202263928836,2018-11-24 19:24:16,"b'Y\xe2\x80\x99all know that this lettuce E. coli outbreak is caused by the meat industry and their lack of animal sewage treatment system, right?'"
1065732768326344704,2018-11-22 22:24:26,b'the best thing that has ever happened to me https://t.co/ZpOuY7QzKd'
1065101424369889280,2018-11-21 04:35:42,b'RT @tulyx3: This part is sending me cuz it\xe2\x80\x99s literally fucking me except I\xe2\x80\x99m still fucking poor and gettin free weed sadsfdhfjgkl I hate ta\xe2\x80\xa6'
1065101261660246017,2018-11-21 04:35:04,b'RT @ecokeanhour: Unpopular opinion: Black Friday used to be much more fun when the stores opened at 5 am rather than the night of Thanksgiv\xe2\x80\xa6'
1064585745833185280,2018-11-19 18:26:35,b'@edgygothmom bitch it like 90% of what i use tumblr for. I was tryna turn safety mode on and off and looking up shit. I was MAD'
1064585218714030080,2018-11-19 18:24:29,b'RT @womenlooped: sarah paulson saying if you\xe2\x80\x99re not gay...you\xe2\x80\x99re a weirdo looped https://t.co/ixaSXL1IHG'
1064581579287056384,2018-11-19 18:10:02,"b""RT @venusyourgod: If you haven't handed a girl a $100 bill don't tell her to smile."""
1064580471789502464,2018-11-19 18:05:38,b'@edgygothmom abt to delete my acct rip'
1064052074416005120,2018-11-18 07:05:58,b'all the plugs are fucking lagging ughhhh'
1064051958636376064,2018-11-18 07:05:30,b'yo who wants to sell my some weed rn'
1064008655865954304,2018-11-18 04:13:26,"b'RT @sophiewatkins8: If rape was about how revealing clothes are, rates would increase in the summer, but they don\xe2\x80\x99t. If rape was about how\xe2\x80\xa6'"
1063891279048781825,2018-11-17 20:27:01,b'RT @NECROMANClNG: when i die i want the flesh stripped from my bones and my skeleton disassembled and made into some kind of art do not und\xe2\x80\xa6'
1063890184763146241,2018-11-17 20:22:40,b'RT @ProgPro: Can we start a petition for them to stop hating gay people first? https://t.co/aG3OF8Trq0'
1063890164382978049,2018-11-17 20:22:35,"b'RT @rosesbythstairs: hope all my gays, gals, and non binary pals are having a good day'"
1063751314302164993,2018-11-17 11:10:51,b'@T_Stojanovich skinny legends'
1063743509088235526,2018-11-17 10:39:50,b'damn i got like...skinny-skinny\xf0\x9f\x91\x80'
