id,created_at,text
1067069827477581824,2018-11-26 14:57:26,b'RT @Y2SHAF: i\xe2\x80\x99m officially at the age where i really hate loud and unnecessary noises'
1067050659256680449,2018-11-26 13:41:16,"b'RT @mitchellmalbouf: Please don\xe2\x80\x99t forget to tell the people you care about how much you love them, and how much they mean to you.'"
1066913640127897602,2018-11-26 04:36:48,"b'Having a kid at 20 while having 0 financial stability,  career,  or any real stability of your own without your par\xe2\x80\xa6 https://t.co/eXAxXswbo5'"
1066867128928743426,2018-11-26 01:31:59,b'RT @bona_fidee___: Even when you take medication for it smh it still seems to do you dirty \xe2\x98\xb9\xef\xb8\x8f https://t.co/kRsJwbOf7C'
1066830640396541952,2018-11-25 23:07:00,"b""@danyelgrieder Literally same and now that I also work at BBW it's even worse"""
1066820676957454336,2018-11-25 22:27:24,b'This looks like an infomercial \xf0\x9f\x98\x82 https://t.co/llbq06j1Hc'
1066820456148291585,2018-11-25 22:26:31,b'Luke just asked me today to pick out clothes on fashion novas website \xf0\x9f\x98\x82 https://t.co/u8YHI4UfHi'
1066811759309271040,2018-11-25 21:51:58,"b""We went to look at and ordered this crazy air purifier today and I'm kinda pumped \xf0\x9f\x98\x82 https://t.co/G8xiIk2VmK"""
1066780582980591617,2018-11-25 19:48:05,"b'RT @6xtimes: When you\xe2\x80\x99re living in a different frequency and energetic vibration, most of the time people can\xe2\x80\x99t hear or understand what you\xe2\x80\xa6'"
1066754044335726592,2018-11-25 18:02:38,b'Luke and I literally live at best buy lmfao'
1066706353320800257,2018-11-25 14:53:07,b'RT @Azthecutest: My parents(ex jevoha\xe2\x80\x99s witnesses) finally told me they loved me and fully accapeted me being gay and then we had a full 2\xe2\x80\xa6'
1066705754789478402,2018-11-25 14:50:45,b'RT @UberFacts: This woman rescued a cat when she was in college \xe2\x80\x93 and had no idea her future daughters would love him this much \xe2\x9d\xa4\xef\xb8\x8fhttps://t\xe2\x80\xa6'
1066696719100981248,2018-11-25 14:14:50,b'RT @HoodieAllen: ginger ale is underrated'
1066696505912897536,2018-11-25 14:13:59,b'RT @sarahgkirby: why don\xe2\x80\x99t grocery stores participate in black friday?? i don\xe2\x80\x99t need 20% off a flatscreen - give me half price tide pods an\xe2\x80\xa6'
1066549612587175936,2018-11-25 04:30:17,b'RT @samanthapaigeu: i was today years old when i found out that Walt Disney put in his will that all Disney classics are to be remade every\xe2\x80\xa6'
1066544867424313344,2018-11-25 04:11:26,"b""RT @defjam: On November 24, 2008, Kanye West released '808s &amp; Heartbreak.' https://t.co/iaNmoSGPlE"""
1066542265164881920,2018-11-25 04:01:06,b'A KitchenAid https://t.co/CdYnhPyCwb'
1066532526158741509,2018-11-25 03:22:24,b'RT @mberwebb: can we bring back bright pink juicy couture velour sweatsuits?'
1066532468096999424,2018-11-25 03:22:10,"b""I've been free for over 4 years! After a 7 year struggle!  ~ a couple bumps in the road but I've never been better!\xe2\x80\xa6 https://t.co/1CcHS3rfhk"""
1066531842222931975,2018-11-25 03:19:41,b'I can vouch for this..  Tis true https://t.co/ISgxPJqCrs'
1066437883723173888,2018-11-24 21:06:19,"b'RT @ConanOBrien: I don\xe2\x80\x99t need to buy anything on Black Friday, I just want to get in a fistfight at Bed Bath and Beyond to feel alive.'"
1066407261193625600,2018-11-24 19:04:38,"b'RT @flufftheory: Some animals don\xe2\x80\x99t know other animals exist, like a lion doesn\xe2\x80\x99t know that a squid is a thing.'"
1066398010291208194,2018-11-24 18:27:53,b'RT @homedepotfan91: Anyone: h-\n\nMy brain:\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t\xe2\x80\xa6'
1066396997471608833,2018-11-24 18:23:51,"b""RT @sgrate_: I randomly get in moods where I don't wanna talk, I dont be mad or nun"""
1066396178827358209,2018-11-24 18:20:36,b'Wut https://t.co/29WYvRF1jU'
1066395494019227648,2018-11-24 18:17:53,b'RT @NOTVIKING: nfl commissioner: okay what teams should we have play on thanksgiving day\n\nironic steve: [doing a line of cocaine] how about\xe2\x80\xa6'
1066394933823721472,2018-11-24 18:15:39,b'RT @mattiedothamer: my favorite part of the \xe2\x80\x9cholidays\xe2\x80\x9d is finding out which ppl i follow on instagram have rich parents based on what the i\xe2\x80\xa6'
1066354333854388226,2018-11-24 15:34:19,b'RT @LexiScorsese: Baby boomers who actually did it and burned all the bridges &amp; ladders they used on their path to hoard wealth and power h\xe2\x80\xa6'
1066341428886945793,2018-11-24 14:43:02,"b""RT @LilMelo: Stunt on anyone who didn't see potential in you"""
1066341335962189824,2018-11-24 14:42:40,b'RT @jacquelineestey: my dog has a stuffed bear that he always hangs out with and he sat in front of the dryer the whole cycle just to make\xe2\x80\xa6'
1066341252650672128,2018-11-24 14:42:20,"b""RT @OkigboXL: PSA: Don't EVER let your printer know that you've waited until the last minute to print something out and you're in hurry bec\xe2\x80\xa6"""
1066331836295651329,2018-11-24 14:04:55,b'RT @Y2SHAF: that\xe2\x80\x99s on the way to hogwarts https://t.co/AsTQXKO7sH'
1066105677087760384,2018-11-23 23:06:15,b'RT @MalibuJones_: niggas who quit soda act like they quit smoking crack.'
1066044030914609153,2018-11-23 19:01:17,b'Luke- I wanna spend 150 tops on a new sound bar\nAlso luke- spends $300 on a new sound bar \xf0\x9f\x98\x82'
1066043261809291264,2018-11-23 18:58:14,"b'RT @boujeesIut: 9/10 i\xe2\x80\x99II get over it, i just gotta be dramatic first'"
1066014060913860609,2018-11-23 17:02:12,"b'RT @rons_post: My pet:  *Falls Asleep*\n\nMe: *Lies down in front of them, gets 5 inches from their face and stares at them for 30 minutes*'"
1066013844848422912,2018-11-23 17:01:20,b'RT @_kos3: oh. my. god.  \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d https://t.co/iIZVfGtnEW'
1066013417931194369,2018-11-23 16:59:39,b'RT @AlexBarrett_: Me: *follows back a pyramid scheme girl on instagram*\n\nHer Brain:\n\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDon\xe2\x80\x99t say it\nDo\xe2\x80\xa6'
1065795297220198400,2018-11-23 02:32:55,b'RT @Sethrogen: I honestly couldn\xe2\x80\x99t be happier and more excited to be in this movie. #TheLionKing comes July 2019. https://t.co/wa03cciFMl'
1065630160337145856,2018-11-22 15:36:43,b'RT @rachaelpetersx: livin\xe2\x80\x99 like Larry'
1065628334464356353,2018-11-22 15:29:28,"b'RT @umcornell: well hello, let\xe2\x80\x99s celebrate that https://t.co/Muoy9CXI2Z'"
1065584177431683072,2018-11-22 12:34:00,"b""RT @UberFacts: When this woman met a little chick who was found on the streets of NYC, she didn't expect to fall in love. But Bree quickly\xe2\x80\xa6"""
1065458377004859393,2018-11-22 04:14:06,"b""RT @austinkeller: When real life isn't exactly like the movies \xf0\x9f\x98\x82 https://t.co/SGEGb9Prwh"""
1065434216350081024,2018-11-22 02:38:06,b'@dmianii Lmfao yes'
1065434118664724480,2018-11-22 02:37:43,b'@_kos3 I put it allll out at the one in preakness shopping center!!'
1065388104452923392,2018-11-21 23:34:52,b'RT @LilBibby_: Hate ungrateful mfs'
1065384952953532416,2018-11-21 23:22:21,b'YAS https://t.co/Ht6A0JmLhX'
1065066559847219202,2018-11-21 02:17:10,"b'RT @AwesomePatt_: I think between age 21-29 is a phase of hustle, suffering and smiling, toiling depression, over thinking, wondering wheth\xe2\x80\xa6'"
1065029076216360961,2018-11-20 23:48:13,b'RT @whatevermommi: when ur a professional you have all of your cards memorized https://t.co/1JBCssoPCV'
1065028914219794432,2018-11-20 23:47:35,b'RT @TopMovieClips: Achilles Vs. Hector\n\n(Troy | 2004)\n https://t.co/YeEyPwGGLy'
1065028834410545152,2018-11-20 23:47:16,b'RT @_maura_a: I feel like I have seen so many people lose precious loved ones throughout 2018 &amp; I just want anyone who falls under that lis\xe2\x80\xa6'
1065028776654974976,2018-11-20 23:47:02,b'RT @itsaightdoh: y\xe2\x80\x99all so obsessed with these honeymoon stages in relationships you don\xe2\x80\x99t stay w ur lovers long enough to feel the waves of\xe2\x80\xa6'
1064941838249922560,2018-11-20 18:01:34,b'ME https://t.co/tGglKv1dpP'
1064941716002742272,2018-11-20 18:01:05,b'LMFAO https://t.co/tFaw2RoNHO'
1064941664773509122,2018-11-20 18:00:53,b'RT @hannahcookj: Ross and Rachel had a wildly toxic relationship and \xe2\x80\x9cFriends\xe2\x80\x9d is a mediocre show that gets more hype than it may deserve.\xe2\x80\xa6'
1064924412737130502,2018-11-20 16:52:19,b'RT @xvvvier: people need to stop glorifying pettiness &amp; bitterness\xc2\xa0&amp; start promoting the idea of actually being fucking nice and civil to p\xe2\x80\xa6'
1064694188212666369,2018-11-20 01:37:30,b'RT @xirtempest: S/O empaths: you are the type to fall into a yes-man mentality since you\xe2\x80\x99re more likely to give yourself up for the sake of\xe2\x80\xa6'
1064676987367800832,2018-11-20 00:29:09,b'RT @NOTORIOUSAALI: GOODMORNING TO EVERYONE EXCEPT THOSE WHO THINK THAT ALL WATER TASTES THE SAME'
1064647642322530308,2018-11-19 22:32:32,b'@VinnyCircs \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1064647580817199106,2018-11-19 22:32:18,b'\xf0\x9f\x98\xad https://t.co/8m4bYY7m8P'
1064647178449227776,2018-11-19 22:30:42,b'I LOVE THEM https://t.co/5E5omS7k7p'
